"transab_cat","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","lower secondary degree","in school","","","",""
"No transfer dependency","1984","lower secondary degree","inadequately","","","",""
"No transfer dependency","1984","lower secondary degree","general elemantary","1051","0.550943632983547","0.530092626386287","0.571794639580807"
"No transfer dependency","1984","lower secondary degree","middle vocational","1523","0.492396126261517","0.475630918580056","0.509161333942977"
"No transfer dependency","1984","lower secondary degree","vocational + Abi","2","","",""
"No transfer dependency","1984","lower secondary degree","higher vocational","125","0.482814870449175","0.424595405918435","0.541034334979915"
"No transfer dependency","1984","lower secondary degree","higher education","16","","",""
"No transfer dependency","1984","secondary school degree","in school","","","",""
"No transfer dependency","1984","secondary school degree","inadequately","","","",""
"No transfer dependency","1984","secondary school degree","general elemantary","122","0.309974404881989","0.267572486222493","0.352376323541486"
"No transfer dependency","1984","secondary school degree","middle vocational","560","0.533423006927729","0.504526664227743","0.562319349627714"
"No transfer dependency","1984","secondary school degree","vocational + Abi","1","","",""
"No transfer dependency","1984","secondary school degree","higher vocational","84","0.480293674234281","0.409807835586044","0.550779512882518"
"No transfer dependency","1984","secondary school degree","higher education","25","","",""
"No transfer dependency","1984","college entrance qualification","in school","","","",""
"No transfer dependency","1984","college entrance qualification","inadequately","","","",""
"No transfer dependency","1984","college entrance qualification","general elemantary","","","",""
"No transfer dependency","1984","college entrance qualification","middle vocational","78","0.269738601461447","0.219263106147228","0.320214096775665"
"No transfer dependency","1984","college entrance qualification","vocational + Abi","99","0.544700932234982","0.474442755325842","0.614959109144122"
"No transfer dependency","1984","college entrance qualification","higher vocational","61","0.507229253630445","0.422262920517332","0.592195586743558"
"No transfer dependency","1984","college entrance qualification","higher education","280","0.484455325403891","0.444763646954094","0.524147003853689"
"No transfer dependency","1984","Other degree","in school","","","",""
"No transfer dependency","1984","Other degree","inadequately","6","","",""
"No transfer dependency","1984","Other degree","general elemantary","174","0.265338611259304","0.232839700371261","0.297837522147347"
"No transfer dependency","1984","Other degree","middle vocational","138","0.312713645878508","0.272905540672012","0.352521751085004"
