"transab_cat","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Not Employed","lower secondary degree","1449","0.633140045126824","0.614456137483667","0.65182395276998"
"No transfer dependency","1984","Not Employed","secondary school degree","272","0.514895720031146","0.476084654251229","0.553706785811063"
"No transfer dependency","1984","Not Employed","college entrance qualification","149","0.404736225873025","0.357512004261563","0.451960447484487"
"No transfer dependency","1984","Not Employed","Other degree","60","0.236272427610192","0.188985292744728","0.283559562475656"
"No transfer dependency","1984","Not Employed","no degree/no degree yet","95","0.16154532175065","0.130759630625981","0.192331012875319"
"No transfer dependency","1984","Employed","lower secondary degree","1268","0.405922433098013","0.389315624041461","0.422529242154565"
"No transfer dependency","1984","Employed","secondary school degree","520","0.446809783287672","0.418946425936982","0.474673140638361"
"No transfer dependency","1984","Employed","college entrance qualification","369","0.470777539803779","0.43655091579927","0.505004163808288"
"No transfer dependency","1984","Employed","Other degree","316","0.318443272692751","0.291024414738549","0.345862130646953"
"No transfer dependency","1984","Employed","no degree/no degree yet","206","0.314589812551464","0.280385641700209","0.34879398340272"
"Very low transfer dependency","1984","Not Employed","lower secondary degree","881","0.289996505795401","0.272405353365984","0.307587658224817"
"Very low transfer dependency","1984","Not Employed","secondary school degree","319","0.423877721912619","0.385502048872025","0.462253394953212"
"Very low transfer dependency","1984","Not Employed","college entrance qualification","220","0.484382125869315","0.436300175137827","0.532464076600802"
"Very low transfer dependency","1984","Not Employed","Other degree","177","0.530714405736865","0.475160283041063","0.586268528432666"
"Very low transfer dependency","1984","Not Employed","no degree/no degree yet","342","0.667228154495779","0.627812169112266","0.706644139879292"
"Very low transfer dependency","1984","Employed","lower secondary degree","1952","0.557089075122743","0.540290841909903","0.573887308335583"
"Very low transfer dependency","1984","Employed","secondary school degree","670","0.528286679132927","0.500309188255672","0.556264170010183"
"Very low transfer dependency","1984","Employed","college entrance qualification","412","0.487867030893879","0.453591896577152","0.522142165210606"
"Very low transfer dependency","1984","Employed","Other degree","715","0.594989895686923","0.566098398879633","0.623881392494212"
"Very low transfer dependency","1984","Employed","no degree/no degree yet","450","0.589107044856846","0.552866650245164","0.625347439468527"
"Low transfer dependency","1984","Not Employed","lower secondary degree","100","0.031227617424632","0.0244846980609336","0.0379705367883304"
"Low transfer dependency","1984","Not Employed","secondary school degree","22","","",""
"Low transfer dependency","1984","Not Employed","college entrance qualification","14","","",""
"Low transfer dependency","1984","Not Employed","Other degree","36","0.0993250319561442","0.0660299071455759","0.132620156766713"
"Low transfer dependency","1984","Not Employed","no degree/no degree yet","66","0.115035885345252","0.0883463250690432","0.141725445621462"
"Low transfer dependency","1984","Employed","lower secondary degree","107","0.0285018345812103","0.0228745291335877","0.0341291400288329"
"Low transfer dependency","1984","Employed","secondary school degree","26","","",""
"Low transfer dependency","1984","Employed","college entrance qualification","20","","",""
"Low transfer dependency","1984","Employed","Other degree","65","0.0711128522460492","0.0559863734158584","0.08623933107624"
"Low transfer dependency","1984","Employed","no degree/no degree yet","43","0.0778917746177224","0.0581508173025927","0.0976327319328522"
"High transfer dependency","1984","Not Employed","lower secondary degree","30","0.0108666500835866","0.00684741942954578","0.0148858807376274"
"High transfer dependency","1984","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1984","Not Employed","college entrance qualification","8","","",""
"High transfer dependency","1984","Not Employed","Other degree","18","","",""
"High transfer dependency","1984","Not Employed","no degree/no degree yet","10","","",""
"High transfer dependency","1984","Employed","lower secondary degree","24","","",""
