"transab_cat","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Full Time","in school","1","","",""
"No transfer dependency","1984","Full Time","inadequately","162","0.349696662937049","0.30785571131249","0.391537614561608"
"No transfer dependency","1984","Full Time","general elemantary","410","0.447592345560719","0.418548771091427","0.47663592003001"
"No transfer dependency","1984","Full Time","middle vocational","1211","0.46476818484595","0.446418396829179","0.483117972862721"
"No transfer dependency","1984","Full Time","vocational + Abi","80","0.563091652102557","0.489813168614536","0.636370135590578"
"No transfer dependency","1984","Full Time","higher vocational","149","0.464570322955107","0.411634721404448","0.517505924505767"
"No transfer dependency","1984","Full Time","higher education","194","0.448291657561009","0.401928600943423","0.494654714178596"
"No transfer dependency","1984","Part Time","in school","2","","",""
"No transfer dependency","1984","Part Time","inadequately","24","","",""
"No transfer dependency","1984","Part Time","general elemantary","124","0.2635248293304","0.225840719180902","0.301208939479897"
"No transfer dependency","1984","Part Time","middle vocational","212","0.292017149483328","0.261485951798891","0.322548347167766"
"No transfer dependency","1984","Part Time","vocational + Abi","18","","",""
"No transfer dependency","1984","Part Time","higher vocational","26","","",""
"No transfer dependency","1984","Part Time","higher education","69","0.475257635925983","0.396640022233486","0.553875249618479"
"No transfer dependency","1984","Not Working","in school","12","","",""
"No transfer dependency","1984","Not Working","inadequately","76","0.254196227879766","0.209343315857399","0.299049139902133"
"No transfer dependency","1984","Not Working","general elemantary","813","0.580986509687228","0.557539203154216","0.60443381622024"
"No transfer dependency","1984","Not Working","middle vocational","910","0.583685318284504","0.561087826170319","0.606282810398688"
"No transfer dependency","1984","Not Working","vocational + Abi","33","0.501369850145744","0.389690956517472","0.613048743774016"
"No transfer dependency","1984","Not Working","higher vocational","98","0.612117836939875","0.54113126147345","0.6831044124063"
"No transfer dependency","1984","Not Working","higher education","85","0.598058990315896","0.521609830161496","0.674508150470295"
"Very low transfer dependency","1984","Full Time","in school","","","",""
"Very low transfer dependency","1984","Full Time","inadequately","319","0.607224597488341","0.564375208130346","0.650073986846335"
"Very low transfer dependency","1984","Full Time","general elemantary","681","0.527695775435242","0.498536171585956","0.556855379284528"
"Very low transfer dependency","1984","Full Time","middle vocational","1562","0.517795066245649","0.4994112075062","0.536178924985098"
"Very low transfer dependency","1984","Full Time","vocational + Abi","84","0.392734875599219","0.320585818176114","0.464883933022324"
"Very low transfer dependency","1984","Full Time","higher vocational","188","0.524903529843728","0.471900395786922","0.577906663900534"
"Very low transfer dependency","1984","Full Time","higher education","246","0.546718086227909","0.500309015506459","0.593127156949359"
"Very low transfer dependency","1984","Part Time","in school","6","","",""
"Very low transfer dependency","1984","Part Time","inadequately","69","0.48840862045509","0.399343291731387","0.577473949178793"
"Very low transfer dependency","1984","Part Time","general elemantary","348","0.658260253947848","0.617689320311647","0.698831187584049"
"Very low transfer dependency","1984","Part Time","middle vocational","548","0.612781255606664","0.580072861956387","0.645489649256941"
"Very low transfer dependency","1984","Part Time","vocational + Abi","21","","",""
"Very low transfer dependency","1984","Part Time","higher vocational","64","0.615306708857167","0.519469617350868","0.711143800363466"
"Very low transfer dependency","1984","Part Time","higher education","73","0.446535136766815","0.368272389586986","0.524797883946644"
"Very low transfer dependency","1984","Not Working","in school","140","0.82067695624334","0.763009897555536","0.878344014931144"
"Very low transfer dependency","1984","Not Working","inadequately","199","0.485837303422181","0.43435126020853","0.537323346635833"
"Very low transfer dependency","1984","Not Working","general elemantary","717","0.342157377692458","0.319611357436672","0.364703397948245"
"Very low transfer dependency","1984","Not Working","middle vocational","737","0.337434739401029","0.315759234532579","0.359110244269478"
"Very low transfer dependency","1984","Not Working","vocational + Abi","32","0.347235556094502","0.240896434542702","0.453574677646302"
"Very low transfer dependency","1984","Not Working","higher vocational","64","0.293033426881215","0.226725289968124","0.359341563794307"
"Very low transfer dependency","1984","Not Working","higher education","58","0.314608998294103","0.242203038180668","0.387014958407538"
"Low transfer dependency","1984","Full Time","in school","","","",""
"Low transfer dependency","1984","Full Time","inadequately","17","","",""
"Low transfer dependency","1984","Full Time","general elemantary","32","0.0228709690398206","0.0141393025947277","0.0316026354849135"
"Low transfer dependency","1984","Full Time","middle vocational","61","0.0162830549310176","0.011626712451892","0.0209393974101432"
"Low transfer dependency","1984","Full Time","vocational + Abi","9","","",""
"Low transfer dependency","1984","Full Time","higher vocational","4","","",""
"Low transfer dependency","1984","Full Time","higher education","2","","",""
"Low transfer dependency","1984","Part Time","in school","","","",""
"Low transfer dependency","1984","Part Time","inadequately","19","","",""
"Low transfer dependency","1984","Part Time","general elemantary","33","0.0467126527324015","0.0286618043190427","0.0647635011457603"
"Low transfer dependency","1984","Part Time","middle vocational","65","0.0673635193703698","0.0505330248225569","0.0841940139181827"
"Low transfer dependency","1984","Part Time","vocational + Abi","5","","",""
"Low transfer dependency","1984","Part Time","higher vocational","5","","",""
"Low transfer dependency","1984","Part Time","higher education","11","","",""
"Low transfer dependency","1984","Not Working","in school","15","","",""
"Low transfer dependency","1984","Not Working","inadequately","49","0.145180468089794","0.108890622497519","0.181470313682069"
"Low transfer dependency","1984","Not Working","general elemantary","82","0.0326734689732489","0.0242249592719291","0.0411219786745687"
"Low transfer dependency","1984","Not Working","middle vocational","80","0.0326885821788365","0.0245370134537405","0.0408401509039325"
"Low transfer dependency","1984","Not Working","vocational + Abi","3","","",""
"Low transfer dependency","1984","Not Working","higher vocational","4","","",""
"Low transfer dependency","1984","Not Working","higher education","5","","",""
"High transfer dependency","1984","Full Time","in school","","","",""
"High transfer dependency","1984","Full Time","inadequately","1","","",""
"High transfer dependency","1984","Full Time","general elemantary","2","","",""
"High transfer dependency","1984","Full Time","middle vocational","3","","",""
"High transfer dependency","1984","Full Time","vocational + Abi","3","","",""
"High transfer dependency","1984","Full Time","higher vocational","","","",""
"High transfer dependency","1984","Full Time","higher education","","","",""
"High transfer dependency","1984","Part Time","in school","","","",""
"High transfer dependency","1984","Part Time","inadequately","7","","",""
"High transfer dependency","1984","Part Time","general elemantary","18","","",""
"High transfer dependency","1984","Part Time","middle vocational","19","","",""
"High transfer dependency","1984","Part Time","vocational + Abi","3","","",""
"High transfer dependency","1984","Part Time","higher vocational","3","","",""
"High transfer dependency","1984","Part Time","higher education","1","","",""
"High transfer dependency","1984","Not Working","in school","1","","",""
"High transfer dependency","1984","Not Working","inadequately","8","","",""
"High transfer dependency","1984","Not Working","general elemantary","26","","",""
"High transfer dependency","1984","Not Working","middle vocational","28","","",""
"High transfer dependency","1984","Not Working","vocational + Abi","3","","",""
"High transfer dependency","1984","Not Working","higher vocational","2","","",""
"High transfer dependency","1984","Not Working","higher education","3","","",""
"Very high transfer dependency","1984","Full Time","in school","","","",""
"Very high transfer dependency","1984","Full Time","inadequately","","","",""
"Very high transfer dependency","1984","Full Time","general elemantary","1","","",""
"Very high transfer dependency","1984","Full Time","middle vocational","1","","",""
"Very high transfer dependency","1984","Full Time","vocational + Abi","","","",""
"Very high transfer dependency","1984","Full Time","higher vocational","","","",""
"Very high transfer dependency","1984","Full Time","higher education","","","",""
"Very high transfer dependency","1984","Part Time","in school","","","",""
"Very high transfer dependency","1984","Part Time","inadequately","2","","",""
"Very high transfer dependency","1984","Part Time","general elemantary","2","","",""
"Very high transfer dependency","1984","Part Time","middle vocational","8","","",""
"Very high transfer dependency","1984","Part Time","vocational + Abi","1","","",""
"Very high transfer dependency","1984","Part Time","higher vocational","1","","",""
"Very high transfer dependency","1984","Part Time","higher education","1","","",""
"Very high transfer dependency","1984","Not Working","in school","2","","",""
"Very high transfer dependency","1984","Not Working","inadequately","9","","",""
"Very high transfer dependency","1984","Not Working","general elemantary","12","","",""
"Very high transfer dependency","1984","Not Working","middle vocational","10","","",""
"Very high transfer dependency","1984","Not Working","vocational + Abi","1","","",""
