"transab_cat","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1985","Not Employed","Urban Area","1403","0.574269023460073","0.557188037979866","0.59135000894028"
"No transfer dependency","1985","Not Employed","Rural Area","408","0.565549936160892","0.532966069334735","0.598133802987048"
"No transfer dependency","1985","Employed","Urban Area","1924","0.441450492974568","0.427990273507589","0.454910712441547"
"No transfer dependency","1985","Employed","Rural Area","383","0.338024295844485","0.312418296579958","0.363630295109013"
"Very low transfer dependency","1985","Not Employed","Urban Area","1483","0.346510251031343","0.330071643157546","0.36294885890514"
"Very low transfer dependency","1985","Not Employed","Rural Area","397","0.357518672674202","0.326013865181426","0.389023480166978"
"Very low transfer dependency","1985","Employed","Urban Area","3117","0.528359041771253","0.514827395699725","0.54189068784278"
"Very low transfer dependency","1985","Employed","Rural Area","871","0.619151254840623","0.592865443387587","0.64543706629366"
"Low transfer dependency","1985","Not Employed","Urban Area","138","0.0267317792136817","0.0211596932626593","0.0323038651647041"
"Low transfer dependency","1985","Not Employed","Rural Area","39","0.0343184166051027","0.0223516228522874","0.0462852103579179"
"Low transfer dependency","1985","Employed","Urban Area","131","0.0192958909198324","0.0155669825059103","0.0230247993337546"
"Low transfer dependency","1985","Employed","Rural Area","48","0.0346319947703712","0.0247343480276419","0.0445296415131004"
"High transfer dependency","1985","Not Employed","Urban Area","71","0.0186938741734241","0.0140150199401333","0.0233727284067149"
"High transfer dependency","1985","Not Employed","Rural Area","8","","",""
"High transfer dependency","1985","Employed","Urban Area","48","0.00925506645658682","0.00665938734367769","0.0118507455694959"
"High transfer dependency","1985","Employed","Rural Area","7","","",""
"Very high transfer dependency","1985","Not Employed","Urban Area","46","0.0139675822801043","0.00991348823928183","0.0180216763209268"
"Very high transfer dependency","1985","Not Employed","Rural Area","15","","",""
"Very high transfer dependency","1985","Employed","Urban Area","8","","",""
"Very high transfer dependency","1985","Employed","Rural Area","2","","",""
"Complete transfer dependency","1985","Not Employed","Urban Area","78","0.0198274898413737","0.0150116422992218","0.0246433373835256"
"Complete transfer dependency","1985","Not Employed","Rural Area","22","","",""
"Complete transfer dependency","1985","Employed","Urban Area","","","",""
"Complete transfer dependency","1985","Employed","Rural Area","","","",""
"No transfer dependency","1986","Not Employed","Urban Area","1303","0.576506584989164","0.558886897738949","0.59412627223938"
"No transfer dependency","1986","Not Employed","Rural Area","366","0.577703081745165","0.543304004052306","0.612102159438024"
"No transfer dependency","1986","Employed","Urban Area","1945","0.455513822205003","0.441778254576561","0.469249389833445"
"No transfer dependency","1986","Employed","Rural Area","403","0.345985199424597","0.320186426418265","0.37178397243093"
"Very low transfer dependency","1986","Not Employed","Urban Area","1429","0.347192792073574","0.330216198598327","0.364169385548821"
"Very low transfer dependency","1986","Not Employed","Rural Area","353","0.345922979596354","0.312795404094886","0.379050555097821"
"Very low transfer dependency","1986","Employed","Urban Area","2928","0.511525996840359","0.497739402887579","0.525312590793139"
