"transab_cat","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","(0) in school","Male","8","","",""
"No transfer dependency","1984","(0) in school","Female","7","","",""
"No transfer dependency","1984","(1a) inadequately completed","Male","135","0.301081533112052","0.260001039671209","0.342162026552894"
"No transfer dependency","1984","(1a) inadequately completed","Female","151","0.297617385345012","0.260941808724264","0.33429296196576"
"No transfer dependency","1984","(1b) general elementary school","Male","318","0.438326183782384","0.406724232587062","0.469928134977706"
"No transfer dependency","1984","(1b) general elementary school","Female","913","0.564860033286084","0.542978409521296","0.586741657050872"
"No transfer dependency","1984","(1c) basic vocational qualification","Male","1057","0.48674912610622","0.466973590685409","0.506524661527032"
"No transfer dependency","1984","(1c) basic vocational qualification","Female","709","0.4896284160111","0.465674491814965","0.513582340207236"
"No transfer dependency","1984","(2b) intermediate general qualification","Male","31","0.206634927236743","0.145948937376505","0.267320917096981"
"No transfer dependency","1984","(2b) intermediate general qualification","Female","91","0.362047122859869","0.306348824793973","0.417745420925766"
"No transfer dependency","1984","(2a) intermediate vocational","Male","271","0.49530858936298","0.454583720400294","0.536033458325667"
"No transfer dependency","1984","(2a) intermediate vocational","Female","372","0.548506232014486","0.513056185083835","0.583956278945138"
"No transfer dependency","1984","(2c_gen) general maturity certificate","Male","59","0.251124328665726","0.194585979084954","0.307662678246499"
"No transfer dependency","1984","(2c_gen) general maturity certificate","Female","40","0.283318897558017","0.215382034947777","0.351255760168257"
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","Male","113","0.488565778151272","0.429161181275372","0.547970375027171"
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","Female","81","0.558662587799469","0.483126547730702","0.634198627868236"
"No transfer dependency","1984","(3a) lower tertiary education","Male","89","0.523980134103483","0.450611904501788","0.597348363705177"
"No transfer dependency","1984","(3a) lower tertiary education","Female","37","0.548851097348567","0.433911660777618","0.663790533919515"
"No transfer dependency","1984","(3b) higher tertiary education","Male","141","0.448093753368272","0.394600852636552","0.501586654099992"
"No transfer dependency","1984","(3b) higher tertiary education","Female","81","0.496887012258449","0.422381805132488","0.571392219384411"
"Very low transfer dependency","1984","(0) in school","Male","74","0.798733962643562","0.715899099327802","0.881568825959322"
"Very low transfer dependency","1984","(0) in school","Female","73","0.820444322248818","0.741148379915548","0.899740264582088"
"Very low transfer dependency","1984","(1a) inadequately completed","Male","280","0.528196985378307","0.483491722892996","0.572902247863618"
"Very low transfer dependency","1984","(1a) inadequately completed","Female","364","0.528750929591102","0.488709299369451","0.568792559812753"
"Very low transfer dependency","1984","(1b) general elementary school","Male","542","0.476849232917935","0.445038250698236","0.508660215137634"
"Very low transfer dependency","1984","(1b) general elementary school","Female","905","0.370558505289595","0.349242750605558","0.391874259973632"
"Very low transfer dependency","1984","(1c) basic vocational qualification","Male","1261","0.46512122971623","0.445386936646084","0.484855522786376"
