"transab_cat","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1985","higher education","Rural Area","","","","","5"
"Complete transfer dependency","1985","higher vocational","Rural Area","","","","","5"
"Complete transfer dependency","1985","higher education","Urban Area","","","","","5"
"Complete transfer dependency","1985","general elemantary","Rural Area","12","","","","5"
"Complete transfer dependency","1985","higher vocational","Urban Area","2","","","","5"
"Complete transfer dependency","1985","inadequately","Rural Area","2","","","","5"
"Complete transfer dependency","1985","inadequately","Urban Area","16","","","","5"
"Complete transfer dependency","1985","general elemantary","Urban Area","29","","","","5"
"Complete transfer dependency","1985","in school","Rural Area","","","","","5"
"Complete transfer dependency","1985","middle vocational","Urban Area","29","","","","5"
"Complete transfer dependency","1985","in school","Urban Area","1","","","","5"
"Complete transfer dependency","1985","middle vocational","Rural Area","7","","","","5"
"Complete transfer dependency","1985","vocational + Abi","Urban Area","","","","","5"
"Complete transfer dependency","1985","vocational + Abi","Rural Area","1","","","","5"
"High transfer dependency","1985","higher education","Rural Area","","","","","3"
"High transfer dependency","1985","inadequately","Rural Area","2","","","","3"
"High transfer dependency","1985","higher education","Urban Area","4","","","","3"
"High transfer dependency","1985","higher vocational","Rural Area","1","","","","3"
"High transfer dependency","1985","in school","Rural Area","","","","","3"
"High transfer dependency","1985","inadequately","Urban Area","9","","","","3"
"High transfer dependency","1985","general elemantary","Rural Area","6","","","","3"
"High transfer dependency","1985","general elemantary","Urban Area","37","0.0166166153240073","0.0113661318991976","0.021867098748817","3"
"High transfer dependency","1985","middle vocational","Urban Area","52","0.0118029676231636","0.00842300671834888","0.0151829285279783","3"
"High transfer dependency","1985","in school","Urban Area","2","","","","3"
"High transfer dependency","1985","higher vocational","Urban Area","9","","","","3"
"High transfer dependency","1985","middle vocational","Rural Area","5","","","","3"
"High transfer dependency","1985","vocational + Abi","Urban Area","6","","","","3"
"High transfer dependency","1985","vocational + Abi","Rural Area","","","","","3"
"Low transfer dependency","1985","higher vocational","Urban Area","13","","","","2"
"Low transfer dependency","1985","higher vocational","Rural Area","2","","","","2"
"Low transfer dependency","1985","higher education","Urban Area","8","","","","2"
"Low transfer dependency","1985","higher education","Rural Area","2","","","","2"
"Low transfer dependency","1985","middle vocational","Rural Area","31","0.0261507700969272","0.0166199923248464","0.0356815478690081","2"
"Low transfer dependency","1985","vocational + Abi","Urban Area","13","","","","2"
"Low transfer dependency","1985","vocational + Abi","Rural Area","2","","","","2"
"Low transfer dependency","1985","general elemantary","Urban Area","78","0.024364688519199","0.0180319615696903","0.0306974154687077","2"
"Low transfer dependency","1985","general elemantary","Rural Area","35","0.0443224828253071","0.0290323521887363","0.059612613461878","2"
"Low transfer dependency","1985","middle vocational","Urban Area","103","0.0198821958717322","0.015513361206483","0.0242510305369815","2"
"Low transfer dependency","1985","in school","Urban Area","6","","","","2"
"Low transfer dependency","1985","in school","Rural Area","2","","","","2"
"Low transfer dependency","1985","inadequately","Urban Area","42","0.0636990209609636","0.0457227713094309","0.0816752706124963","2"
"Low transfer dependency","1985","inadequately","Rural Area","10","","","","2"
"No transfer dependency","1985","in school","Urban Area","8","","","","0"
"No transfer dependency","1985","in school","Rural Area","1","","","","0"
"No transfer dependency","1985","inadequately","Urban Area","168","0.306441864875765","0.272507442836385","0.340376286915145","0"
"No transfer dependency","1985","inadequately","Rural Area","17","","","","0"
"No transfer dependency","1985","general elemantary","Urban Area","858","0.503023212911017","0.482486608328569","0.523559817493465","0"
"No transfer dependency","1985","general elemantary","Rural Area","271","0.474645683344193","0.437547350658074","0.511744016030311","0"
"No transfer dependency","1985","middle vocational","Urban Area","1676","0.514654401644775","0.499012927189159","0.530295876100391","0"
"No transfer dependency","1985","middle vocational","Rural Area","390","0.436192246970585","0.40657499690597","0.4658094970352","0"
"No transfer dependency","1985","vocational + Abi","Urban Area","101","0.568635067935683","0.504207105007469","0.633063030863896","0"
"No transfer dependency","1985","vocational + Abi","Rural Area","16","","","","0"
"No transfer dependency","1985","higher vocational","Urban Area","214","0.511361524014157","0.465976456386374","0.556746591641941","0"
"No transfer dependency","1985","higher vocational","Rural Area","54","0.511562729265558","0.424282342062716","0.598843116468399","0"
"No transfer dependency","1985","higher education","Urban Area","283","0.537022530249351","0.497289966809883","0.576755093688819","0"
"No transfer dependency","1985","higher education","Rural Area","42","0.467771032305715","0.375364005793444","0.560178058817985","0"
"Very high transfer dependency","1985","in school","Urban Area","1","","","","4"
"Very high transfer dependency","1985","in school","Rural Area","2","","","","4"
"Very high transfer dependency","1985","inadequately","Urban Area","4","","","","4"
"Very high transfer dependency","1985","inadequately","Rural Area","2","","","","4"
"Very high transfer dependency","1985","general elemantary","Urban Area","12","","","","4"
"Very high transfer dependency","1985","general elemantary","Rural Area","7","","","","4"
"Very high transfer dependency","1985","middle vocational","Urban Area","30","0.00807036323839613","0.00527021340517337","0.0108705130716189","4"
"Very high transfer dependency","1985","middle vocational","Rural Area","6","","","","4"
"Very high transfer dependency","1985","vocational + Abi","Urban Area","2","","","","4"
"Very high transfer dependency","1985","vocational + Abi","Rural Area","","","","","4"
"Very high transfer dependency","1985","higher vocational","Urban Area","2","","","","4"
"Very high transfer dependency","1985","higher vocational","Rural Area","","","","","4"
"Very high transfer dependency","1985","higher education","Urban Area","1","","","","4"
"Very high transfer dependency","1985","higher education","Rural Area","","","","","4"
"Very low transfer dependency","1985","higher education","Urban Area","309","0.444039653389359","0.404448040935944","0.483631265842773","1"
"Very low transfer dependency","1985","inadequately","Urban Area","470","0.578758517046908","0.542413971941758","0.615103062152057","1"
"Very low transfer dependency","1985","inadequately","Rural Area","67","0.491214286759511","0.393231217418857","0.589197356100165","1"
"Very low transfer dependency","1985","higher vocational","Rural Area","69","0.459537115858957","0.372519725882234","0.54655450583568","1"
"Very low transfer dependency","1985","higher education","Rural Area","68","0.524305733397444","0.431815613672601","0.616795853122287","1"
"Very low transfer dependency","1985","in school","Rural Area","28","","","","1"
"Very low transfer dependency","1985","general elemantary","Urban Area","1263","0.436900901268627","0.416528113446687","0.457273689090567","1"
"Very low transfer dependency","1985","general elemantary","Rural Area","365","0.447144631809587","0.410206642839603","0.484082620779572","1"
