"transab_cat","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","North Rhine-Westphalia","Not Employed","58","0.0466565306863162","0.0351072630609944","0.058205798311638","5"
"Complete transfer dependency","1984","Bremen","Employed","","","","","5"
"Complete transfer dependency","1984","Bremen","Not Employed","4","","","","5"
"Complete transfer dependency","1984","Lower Saxony","Not Employed","22","","","","5"
"Complete transfer dependency","1984","Hamburg","Employed","","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","Not Employed","6","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","Employed","","","","","5"
"Complete transfer dependency","1984","Lower Saxony","Employed","","","","","5"
"Complete transfer dependency","1984","Hamburg","Not Employed","5","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","Employed","","","","","5"
"Complete transfer dependency","1984","Hesse","Not Employed","19","","","","5"
"Complete transfer dependency","1984","Hesse","Employed","","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","9","","","","5"
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","Not Employed","11","","","","5"
"Complete transfer dependency","1984","Bavaria","Not Employed","19","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","Employed","","","","","5"
"Complete transfer dependency","1984","Bavaria","Employed","","","","","5"
"Complete transfer dependency","1984","Berlin","Not Employed","5","","","","5"
"Complete transfer dependency","1984","Berlin","Employed","","","","","5"
"Complete transfer dependency","1984","Brandenburg","Not Employed","","","","","5"
"Complete transfer dependency","1984","Brandenburg","Employed","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","5"
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","","","5"
"Complete transfer dependency","1984","Saxony","Not Employed","","","","","5"
"Complete transfer dependency","1984","Saxony","Employed","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","Not Employed","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","Employed","","","","","5"
"Complete transfer dependency","1984","Thuringia","Not Employed","","","","","5"
"Complete transfer dependency","1984","Thuringia","Employed","","","","","5"
"High transfer dependency","1984","Baden-Württemberg","Not Employed","6","","","","3"
"High transfer dependency","1984","Saxony","Not Employed","","","","","3"
"High transfer dependency","1984","Hamburg","Not Employed","2","","","","3"
"High transfer dependency","1984","Berlin","Employed","2","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","Employed","1","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","Not Employed","30","0.0180381916647861","0.0107500413152673","0.0253263420143049","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","1","","","","3"
"High transfer dependency","1984","Baden-Württemberg","Employed","8","","","","3"
"High transfer dependency","1984","Hamburg","Employed","1","","","","3"
"High transfer dependency","1984","Bavaria","Employed","7","","","","3"
"High transfer dependency","1984","Berlin","Not Employed","1","","","","3"
"High transfer dependency","1984","Brandenburg","Not Employed","","","","","3"
"High transfer dependency","1984","Brandenburg","Employed","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","Not Employed","1","","","","3"
"High transfer dependency","1984","Bavaria","Not Employed","6","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","Not Employed","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","Employed","","","","","3"
"High transfer dependency","1984","Thuringia","Not Employed","","","","","3"
"High transfer dependency","1984","Thuringia","Employed","","","","","3"
"High transfer dependency","1984","Hesse","Employed","7","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","4","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","Employed","25","","","","3"
"High transfer dependency","1984","Saxony","Employed","","","","","3"
"High transfer dependency","1984","Lower Saxony","Not Employed","6","","","","3"
"High transfer dependency","1984","Lower Saxony","Employed","8","","","","3"
"High transfer dependency","1984","Bremen","Not Employed","2","","","","3"
"High transfer dependency","1984","Bremen","Employed","1","","","","3"
"High transfer dependency","1984","Hesse","Not Employed","14","","","","3"
"Low transfer dependency","1984","Schleswig-Holstein","Employed","8","","","","2"
"Low transfer dependency","1984","Hamburg","Not Employed","2","","","","2"
"Low transfer dependency","1984","Lower Saxony","Not Employed","47","0.0730430236625447","0.0508061167008723","0.095279930624217","2"
"Low transfer dependency","1984","Lower Saxony","Employed","35","0.0382367129977358","0.0237913609743895","0.0526820650210821","2"
"Low transfer dependency","1984","Bremen","Employed","7","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","Not Employed","9","","","","2"
"Low transfer dependency","1984","Hamburg","Employed","5","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","Not Employed","74","0.0380725181454492","0.0275927784943498","0.0485522577965487","2"
"Low transfer dependency","1984","North Rhine-Westphalia","Employed","77","0.0352832094854565","0.0269323454024083","0.0436340735685046","2"
"Low transfer dependency","1984","Hesse","Not Employed","24","","","","2"
"Low transfer dependency","1984","Hesse","Employed","26","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","Not Employed","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","Employed","","","","","2"
"Low transfer dependency","1984","Bremen","Not Employed","11","","","","2"
"Low transfer dependency","1984","Thuringia","Employed","","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","10","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","11","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","Not Employed","36","0.0226065961354692","0.0118749427594373","0.0333382495115012","2"
"Low transfer dependency","1984","Baden-Württemberg","Employed","49","0.0223980076627659","0.0147657991322491","0.0300302161932827","2"
"Low transfer dependency","1984","Bavaria","Not Employed","25","","","","2"
"Low transfer dependency","1984","Brandenburg","Not Employed","","","","","2"
"Low transfer dependency","1984","Brandenburg","Employed","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Low transfer dependency","1984","Saxony","Not Employed","","","","","2"
"Low transfer dependency","1984","Saxony","Employed","","","","","2"
"Low transfer dependency","1984","Thuringia","Not Employed","","","","","2"
"Low transfer dependency","1984","Bavaria","Employed","43","0.0292091485103976","0.0200938891342137","0.0383244078865815","2"
"Low transfer dependency","1984","Berlin","Not Employed","3","","","","2"
"Low transfer dependency","1984","Berlin","Employed","4","","","","2"
"No transfer dependency","1984","Schleswig-Holstein","Not Employed","66","0.554302102163417","0.473400402541328","0.635203801785506","0"
"No transfer dependency","1984","Schleswig-Holstein","Employed","82","0.420453650980664","0.355809798135078","0.48509750382625","0"
"No transfer dependency","1984","Hamburg","Not Employed","67","0.659474497918829","0.574331598719246","0.744617397118413","0"
"No transfer dependency","1984","Hamburg","Employed","90","0.573840441628599","0.501995848450855","0.645685034806344","0"
"No transfer dependency","1984","Lower Saxony","Not Employed","205","0.470739331885532","0.42808331765701","0.513395346114054","0"
"No transfer dependency","1984","Lower Saxony","Employed","216","0.34264028224781","0.306890408699018","0.378390155796601","0"
"No transfer dependency","1984","Bremen","Not Employed","42","0.671057720130271","0.561773186251048","0.780342254009495","0"
"No transfer dependency","1984","Bremen","Employed","20","","","","0"
"No transfer dependency","1984","North Rhine-Westphalia","Not Employed","508","0.500126754862157","0.472746119821722","0.527507389902592","0"
"No transfer dependency","1984","North Rhine-Westphalia","Employed","706","0.423989706454489","0.40162103278558","0.446358380123398","0"
"No transfer dependency","1984","Hesse","Not Employed","195","0.585599315622958","0.539517843660706","0.631680787585209","0"
"No transfer dependency","1984","Hesse","Employed","311","0.486568254362672","0.450915929160399","0.522220579564946","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","198","0.63183706855686","0.581308540240578","0.682365596873141","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","190","0.445047180744681","0.399925404162809","0.490168957326552","0"
"No transfer dependency","1984","Baden-Württemberg","Not Employed","328","0.585264619007367","0.54969526108631","0.620833976928425","0"
"No transfer dependency","1984","Baden-Württemberg","Employed","524","0.419476859515001","0.394024487261832","0.444929231768169","0"
"No transfer dependency","1984","Bavaria","Not Employed","352","0.59482871097787","0.558692695269851","0.630964726685889","0"
"No transfer dependency","1984","Bavaria","Employed","430","0.367597932830208","0.341498569344022","0.393697296316395","0"
"No transfer dependency","1984","Berlin","Not Employed","74","0.677107750986974","0.596104805961764","0.758110696012184","0"
"No transfer dependency","1984","Berlin","Employed","125","0.493537810808908","0.434447608997562","0.552628012620254","0"
"No transfer dependency","1984","Brandenburg","Not Employed","","","","","0"
"No transfer dependency","1984","Brandenburg","Employed","","","","","0"
"No transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","0"
"No transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","","","0"
"No transfer dependency","1984","Saxony","Not Employed","","","","","0"
"No transfer dependency","1984","Saxony","Employed","","","","","0"
"No transfer dependency","1984","Saxony-Anhalt","Not Employed","","","","","0"
"No transfer dependency","1984","Saxony-Anhalt","Employed","","","","","0"
"No transfer dependency","1984","Thuringia","Not Employed","","","","","0"
"No transfer dependency","1984","Thuringia","Employed","","","","","0"
"Very high transfer dependency","1984","Brandenburg","Not Employed","","","","","4"
"Very high transfer dependency","1984","Saxony","Not Employed","","","","","4"
"Very high transfer dependency","1984","Berlin","Employed","1","","","","4"
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Very high transfer dependency","1984","Saxony","Employed","","","","","4"
"Very high transfer dependency","1984","Brandenburg","Employed","","","","","4"
"Very high transfer dependency","1984","Schleswig-Holstein","Not Employed","3","","","","4"
"Very high transfer dependency","1984","Schleswig-Holstein","Employed","2","","","","4"
"Very high transfer dependency","1984","Hamburg","Not Employed","3","","","","4"
"Very high transfer dependency","1984","Hamburg","Employed","1","","","","4"
"Very high transfer dependency","1984","Lower Saxony","Employed","5","","","","4"
"Very high transfer dependency","1984","Bremen","Not Employed","","","","","4"
"Very high transfer dependency","1984","Bremen","Employed","","","","","4"
"Very high transfer dependency","1984","North Rhine-Westphalia","Employed","4","","","","4"
"Very high transfer dependency","1984","Hesse","Not Employed","","","","","4"
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","1","","","","4"
"Very high transfer dependency","1984","Baden-Württemberg","Not Employed","2","","","","4"
"Very high transfer dependency","1984","Baden-Württemberg","Employed","2","","","","4"
"Very high transfer dependency","1984","Bavaria","Not Employed","","","","","4"
"Very high transfer dependency","1984","Bavaria","Employed","2","","","","4"
"Very high transfer dependency","1984","Berlin","Not Employed","","","","","4"
"Very high transfer dependency","1984","Lower Saxony","Not Employed","11","","","","4"
"Very high transfer dependency","1984","North Rhine-Westphalia","Not Employed","19","","","","4"
"Very high transfer dependency","1984","Hesse","Employed","","","","","4"
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","","","","","4"
"Very high transfer dependency","1984","Saxony-Anhalt","Not Employed","","","","","4"
"Very high transfer dependency","1984","Saxony-Anhalt","Employed","","","","","4"
"Very high transfer dependency","1984","Thuringia","Not Employed","","","","","4"
"Very high transfer dependency","1984","Thuringia","Employed","","","","","4"
"Very low transfer dependency","1984","Hamburg","Not Employed","40","0.275315922485954","0.195062301901093","0.355569543070816","1"
"Very low transfer dependency","1984","Schleswig-Holstein","Not Employed","60","0.358606013294708","0.280544796659952","0.436667229929463","1"
"Very low transfer dependency","1984","Baden-Württemberg","Employed","861","0.551302316673809","0.525649425619063","0.576955207728556","1"
"Very low transfer dependency","1984","North Rhine-Westphalia","Employed","1063","0.528769349316098","0.506175129123294","0.551363569508903","1"
"Very low transfer dependency","1984","Bremen","Employed","31","0.439448197584284","0.312804434791933","0.566091960376634","1"
"Very low transfer dependency","1984","North Rhine-Westphalia","Not Employed","592","0.38279039547291","0.35617270440843","0.40940808653739","1"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","264","0.531932917274598","0.486628805944999","0.577237028604197","1"
"Very low transfer dependency","1984","Schleswig-Holstein","Employed","131","0.540554819819042","0.475292755965593","0.605816883672491","1"
"Very low transfer dependency","1984","Bavaria","Not Employed","307","0.346869456562315","0.31183398233464","0.381904930789989","1"
"Very low transfer dependency","1984","Bavaria","Employed","829","0.594262209224419","0.567681991634227","0.620842426814611","1"
"Very low transfer dependency","1984","Berlin","Not Employed","45","0.264792992881274","0.188356426615243","0.341229559147305","1"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","128","0.310369609362989","0.261900854896492","0.358838363829486","1"
"Very low transfer dependency","1984","Baden-Württemberg","Not Employed","354","0.372751279619537","0.337841764987222","0.407660794251852","1"
"Very low transfer dependency","1984","Thuringia","Not Employed","","","","","1"
"Very low transfer dependency","1984","Hamburg","Employed","85","0.403675895011731","0.332395518018805","0.474956272004658","1"
"Very low transfer dependency","1984","Lower Saxony","Not Employed","235","0.408623063903968","0.36661343469582","0.450632693112116","1"
"Very low transfer dependency","1984","Lower Saxony","Employed","413","0.604909064118023","0.568083675733992","0.641734452502054","1"
"Very low transfer dependency","1984","Bremen","Not Employed","12","","","","1"
"Very low transfer dependency","1984","Hesse","Not Employed","187","0.342630047735607","0.298235107181766","0.387024988289447","1"
"Very low transfer dependency","1984","Hesse","Employed","411","0.48088697382835","0.4452478445323","0.516526103124401","1"
"Very low transfer dependency","1984","Berlin","Employed","143","0.474941145766891","0.415920271930939","0.533962019602843","1"
"Very low transfer dependency","1984","Brandenburg","Not Employed","","","","","1"
"Very low transfer dependency","1984","Brandenburg","Employed","","","","","1"
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Very low transfer dependency","1984","Thuringia","Employed","","","","","1"
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Very low transfer dependency","1984","Saxony","Not Employed","","","","","1"
"Very low transfer dependency","1984","Saxony-Anhalt","Employed","","","","","1"
"Very low transfer dependency","1984","Saxony","Employed","","","","","1"
"Very low transfer dependency","1984","Saxony-Anhalt","Not Employed","","","","","1"
"Complete transfer dependency","1985","Bremen","Employed","","","","","5"
"Complete transfer dependency","1985","North Rhine-Westphalia","Not Employed","47","0.0358015260890884","0.025182653259987","0.0464203989181897","5"
"Complete transfer dependency","1985","North Rhine-Westphalia","Employed","","","","","5"
"Complete transfer dependency","1985","Hesse","Not Employed","10","","","","5"
"Complete transfer dependency","1985","Hesse","Employed","","","","","5"
"Complete transfer dependency","1985","Rhineland-Palatinate,Saarland","Not Employed","3","","","","5"
"Complete transfer dependency","1985","Schleswig-Holstein","Employed","","","","","5"
"Complete transfer dependency","1985","Hamburg","Not Employed","3","","","","5"
"Complete transfer dependency","1985","Lower Saxony","Not Employed","16","","","","5"
"Complete transfer dependency","1985","Lower Saxony","Employed","","","","","5"
"Complete transfer dependency","1985","Bremen","Not Employed","2","","","","5"
"Complete transfer dependency","1985","Hamburg","Employed","","","","","5"
"Complete transfer dependency","1985","Rhineland-Palatinate,Saarland","Employed","","","","","5"
"Complete transfer dependency","1985","Baden-Württemberg","Not Employed","4","","","","5"
"Complete transfer dependency","1985","Baden-Württemberg","Employed","","","","","5"
"Complete transfer dependency","1985","Bavaria","Not Employed","8","","","","5"
"Complete transfer dependency","1985","Schleswig-Holstein","Not Employed","5","","","","5"
"Complete transfer dependency","1985","Bavaria","Employed","","","","","5"
"Complete transfer dependency","1985","Berlin","Not Employed","2","","","","5"
"Complete transfer dependency","1985","Berlin","Employed","","","","","5"
"Complete transfer dependency","1985","Brandenburg","Not Employed","","","","","5"
"Complete transfer dependency","1985","Brandenburg","Employed","","","","","5"
"Complete transfer dependency","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","5"
"Complete transfer dependency","1985","Mecklenburg-Western Pomerania","Employed","","","","","5"
"Complete transfer dependency","1985","Saxony","Not Employed","","","","","5"
"Complete transfer dependency","1985","Saxony","Employed","","","","","5"
"Complete transfer dependency","1985","Saxony-Anhalt","Not Employed","","","","","5"
"Complete transfer dependency","1985","Saxony-Anhalt","Employed","","","","","5"
"Complete transfer dependency","1985","Thuringia","Not Employed","","","","","5"
"Complete transfer dependency","1985","Thuringia","Employed","","","","","5"
"High transfer dependency","1985","Schleswig-Holstein","Employed","","","","","3"
"High transfer dependency","1985","Saxony-Anhalt","Employed","","","","","3"
"High transfer dependency","1985","Bavaria","Employed","10","","","","3"
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Employed","","","","","3"
"High transfer dependency","1985","Saxony","Not Employed","","","","","3"
"High transfer dependency","1985","Brandenburg","Not Employed","","","","","3"
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"High transfer dependency","1985","Schleswig-Holstein","Not Employed","2","","","","3"
"High transfer dependency","1985","Saxony-Anhalt","Not Employed","","","","","3"
"High transfer dependency","1985","Berlin","Not Employed","2","","","","3"
"High transfer dependency","1985","Lower Saxony","Not Employed","6","","","","3"
"High transfer dependency","1985","Lower Saxony","Employed","3","","","","3"
"High transfer dependency","1985","Bremen","Not Employed","2","","","","3"
"High transfer dependency","1985","Bremen","Employed","2","","","","3"
"High transfer dependency","1985","North Rhine-Westphalia","Not Employed","30","0.0178803267222028","0.0103065175137702","0.0254541359306354","3"
"High transfer dependency","1985","Hesse","Employed","6","","","","3"
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Not Employed","5","","","","3"
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Employed","3","","","","3"
"High transfer dependency","1985","Baden-Württemberg","Not Employed","12","","","","3"
"High transfer dependency","1985","Hamburg","Not Employed","5","","","","3"
"High transfer dependency","1985","Bavaria","Not Employed","6","","","","3"
"High transfer dependency","1985","Berlin","Employed","2","","","","3"
"High transfer dependency","1985","Brandenburg","Employed","","","","","3"
"High transfer dependency","1985","Saxony","Employed","","","","","3"
"High transfer dependency","1985","Thuringia","Not Employed","","","","","3"
"High transfer dependency","1985","Thuringia","Employed","","","","","3"
"High transfer dependency","1985","Hamburg","Employed","5","","","","3"
"High transfer dependency","1985","Baden-Württemberg","Employed","6","","","","3"
"High transfer dependency","1985","North Rhine-Westphalia","Employed","18","","","","3"
"High transfer dependency","1985","Hesse","Not Employed","9","","","","3"
"Low transfer dependency","1985","Schleswig-Holstein","Not Employed","8","","","","2"
"Low transfer dependency","1985","Schleswig-Holstein","Employed","3","","","","2"
"Low transfer dependency","1985","Hamburg","Not Employed","6","","","","2"
"Low transfer dependency","1985","Hamburg","Employed","8","","","","2"
"Low transfer dependency","1985","Lower Saxony","Not Employed","32","0.0469075349093462","0.027771564402518","0.0660435054161745","2"
"Low transfer dependency","1985","Bremen","Employed","11","","","","2"
"Low transfer dependency","1985","Lower Saxony","Employed","29","","","","2"
"Low transfer dependency","1985","Bremen","Not Employed","12","","","","2"
"Low transfer dependency","1985","North Rhine-Westphalia","Not Employed","50","0.0277656103265443","0.0183752224452023","0.0371559982078863","2"
"Low transfer dependency","1985","North Rhine-Westphalia","Employed","48","0.020953093800016","0.0141204670303167","0.0277857205697152","2"
"Low transfer dependency","1985","Hesse","Employed","19","","","","2"
"Low transfer dependency","1985","Saxony-Anhalt","Not Employed","","","","","2"
"Low transfer dependency","1985","Thuringia","Employed","","","","","2"
"Low transfer dependency","1985","Hesse","Not Employed","17","","","","2"
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Not Employed","9","","","","2"
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Employed","5","","","","2"
"Low transfer dependency","1985","Baden-Württemberg","Not Employed","20","","","","2"
"Low transfer dependency","1985","Brandenburg","Not Employed","","","","","2"
"Low transfer dependency","1985","Brandenburg","Employed","","","","","2"
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Low transfer dependency","1985","Saxony","Not Employed","","","","","2"
"Low transfer dependency","1985","Saxony","Employed","","","","","2"
"Low transfer dependency","1985","Saxony-Anhalt","Employed","","","","","2"
"Low transfer dependency","1985","Thuringia","Not Employed","","","","","2"
"Low transfer dependency","1985","Baden-Württemberg","Employed","20","","","","2"
"Low transfer dependency","1985","Bavaria","Not Employed","12","","","","2"
"Low transfer dependency","1985","Bavaria","Employed","26","","","","2"
"Low transfer dependency","1985","Berlin","Not Employed","11","","","","2"
"Low transfer dependency","1985","Berlin","Employed","10","","","","2"
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No transfer dependency","1985","Schleswig-Holstein","Not Employed","63","0.585675136398561","0.500996217137106","0.670354055660015","0"
"No transfer dependency","1985","Schleswig-Holstein","Employed","78","0.398260847209745","0.332207503797464","0.464314190622027","0"
"No transfer dependency","1985","Hamburg","Not Employed","61","0.720337592551773","0.635294060687644","0.805381124415902","0"
"No transfer dependency","1985","Hamburg","Employed","66","0.536388107061651","0.460528445442996","0.612247768680306","0"
"No transfer dependency","1985","Lower Saxony","Not Employed","187","0.483832596430701","0.438604894726032","0.52906029813537","0"
"No transfer dependency","1985","Lower Saxony","Employed","188","0.36237207669802","0.323453198891064","0.401290954504976","0"
"No transfer dependency","1985","Bremen","Not Employed","36","0.643483053197671","0.527043626389826","0.759922480005517","0"
"No transfer dependency","1985","Bremen","Employed","14","","","","0"
"No transfer dependency","1985","North Rhine-Westphalia","Not Employed","442","0.504506552880473","0.47593085842343","0.533082247337516","0"
"No transfer dependency","1985","North Rhine-Westphalia","Employed","618","0.4244480050657","0.400869492740844","0.448026517390556","0"
"No transfer dependency","1985","Hesse","Not Employed","188","0.621492038373808","0.574429721493212","0.668554355254405","0"
"No transfer dependency","1985","Hesse","Employed","255","0.464368356842956","0.426744732757429","0.501991980928484","0"
"No transfer dependency","1985","Rhineland-Palatinate,Saarland","Not Employed","174","0.635225856723985","0.582730252750684","0.687721460697286","0"
"No transfer dependency","1985","Rhineland-Palatinate,Saarland","Employed","154","0.426092205706641","0.378799266883391","0.473385144529891","0"
"No transfer dependency","1985","Baden-Württemberg","Not Employed","278","0.582138117582835","0.54465232781793","0.61962390734774","0"
"No transfer dependency","1985","Baden-Württemberg","Employed","446","0.41941965963743","0.392768828466601","0.446070490808259","0"
"No transfer dependency","1985","Bavaria","Not Employed","320","0.622341369946146","0.584898493932413","0.659784245959878","0"
