"transab_cat","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","higher vocational","Female","7","","","","5"
"Complete transfer dependency","1984","higher education","Male","4","","","","5"
"Complete transfer dependency","1984","higher education","Female","2","","","","5"
"Complete transfer dependency","1984","general elemantary","Male","19","","","","5"
"Complete transfer dependency","1984","inadequately","Male","6","","","","5"
"Complete transfer dependency","1984","inadequately","Female","15","","","","5"
"Complete transfer dependency","1984","higher vocational","Male","2","","","","5"
"Complete transfer dependency","1984","in school","Female","","","","","5"
"Complete transfer dependency","1984","general elemantary","Female","32","0.0138531178409845","0.00902147854408695","0.0186847571378821","5"
"Complete transfer dependency","1984","in school","Male","","","","","5"
"Complete transfer dependency","1984","middle vocational","Male","28","","","","5"
"Complete transfer dependency","1984","middle vocational","Female","35","0.0151996607309682","0.0103521123948174","0.020047209067119","5"
"Complete transfer dependency","1984","vocational + Abi","Male","4","","","","5"
"Complete transfer dependency","1984","vocational + Abi","Female","1","","","","5"
"High transfer dependency","1984","inadequately","Male","9","","","","3"
"High transfer dependency","1984","general elemantary","Male","13","","","","3"
"High transfer dependency","1984","inadequately","Female","7","","","","3"
"High transfer dependency","1984","higher vocational","Female","4","","","","3"
"High transfer dependency","1984","in school","Female","1","","","","3"
"High transfer dependency","1984","higher education","Male","3","","","","3"
"High transfer dependency","1984","higher education","Female","1","","","","3"
"High transfer dependency","1984","general elemantary","Female","33","0.0124933102353514","0.00790176652499366","0.0170848539457091","3"
"High transfer dependency","1984","in school","Male","","","","","3"
"High transfer dependency","1984","middle vocational","Male","28","","","","3"
"High transfer dependency","1984","higher vocational","Male","1","","","","3"
"High transfer dependency","1984","middle vocational","Female","22","","","","3"
"High transfer dependency","1984","vocational + Abi","Male","5","","","","3"
"High transfer dependency","1984","vocational + Abi","Female","4","","","","3"
"Low transfer dependency","1984","in school","Male","7","","","","2"
"Low transfer dependency","1984","in school","Female","8","","","","2"
"Low transfer dependency","1984","inadequately","Male","29","","","","2"
"Low transfer dependency","1984","inadequately","Female","56","0.128622587222117","0.10113906229283","0.156106112151405","2"
"Low transfer dependency","1984","general elemantary","Male","56","0.0387255056598599","0.0273443644297446","0.0501066468899751","2"
"Low transfer dependency","1984","general elemantary","Female","91","0.030150693478382","0.0230818116729684","0.0372195752837956","2"
"Low transfer dependency","1984","middle vocational","Male","130","0.0340372694253065","0.0276242032074498","0.0404503356431632","2"
"Low transfer dependency","1984","middle vocational","Female","76","0.0255497571182977","0.0192979678818373","0.0318015463547582","2"
"Low transfer dependency","1984","vocational + Abi","Male","11","","","","2"
"Low transfer dependency","1984","vocational + Abi","Female","6","","","","2"
"Low transfer dependency","1984","higher vocational","Male","4","","","","2"
"Low transfer dependency","1984","higher vocational","Female","9","","","","2"
"Low transfer dependency","1984","higher education","Male","12","","","","2"
"Low transfer dependency","1984","higher education","Female","6","","","","2"
"No transfer dependency","1984","in school","Male","8","","","","0"
"No transfer dependency","1984","in school","Female","7","","","","0"
"No transfer dependency","1984","inadequately","Male","116","0.269814995796431","0.226955310343214","0.312674681249648","0"
"No transfer dependency","1984","inadequately","Female","146","0.300700104557974","0.263054941344964","0.338345267770983","0"
"No transfer dependency","1984","general elemantary","Male","346","0.39596336480184","0.367114900631419","0.424811828972262","0"
"No transfer dependency","1984","general elemantary","Female","1001","0.537933924306599","0.51732447219513","0.558543376418067","0"
"No transfer dependency","1984","middle vocational","Male","1292","0.475415377252599","0.457752861054238","0.493077893450959","0"
"No transfer dependency","1984","middle vocational","Female","1041","0.495495366887674","0.475685412079318","0.51530532169603","0"
"No transfer dependency","1984","vocational + Abi","Male","72","0.458297183030475","0.387449535952946","0.529144830108004","0"
"No transfer dependency","1984","vocational + Abi","Female","59","0.619077790292953","0.52873835717947","0.709417223406437","0"
"No transfer dependency","1984","higher vocational","Male","161","0.48029615769061","0.428758223088106","0.531834092293115","0"
"No transfer dependency","1984","higher vocational","Female","112","0.493938567309839","0.433167130248039","0.554710004371638","0"
"No transfer dependency","1984","higher education","Male","230","0.477350284662972","0.434000498949819","0.520700070376124","0"
"No transfer dependency","1984","higher education","Female","118","0.512768873923455","0.450180540335625","0.575357207511286","0"
"Very high transfer dependency","1984","in school","Male","1","","","","4"
"Very high transfer dependency","1984","in school","Female","1","","","","4"
"Very high transfer dependency","1984","inadequately","Male","7","","","","4"
"Very high transfer dependency","1984","inadequately","Female","4","","","","4"
"Very high transfer dependency","1984","general elemantary","Male","4","","","","4"
"Very high transfer dependency","1984","general elemantary","Female","11","","","","4"
"Very high transfer dependency","1984","middle vocational","Male","8","","","","4"
"Very high transfer dependency","1984","middle vocational","Female","11","","","","4"
"Very high transfer dependency","1984","vocational + Abi","Male","2","","","","4"
"Very high transfer dependency","1984","vocational + Abi","Female","","","","","4"
"Very high transfer dependency","1984","higher vocational","Male","2","","","","4"
"Very high transfer dependency","1984","higher vocational","Female","3","","","","4"
"Very high transfer dependency","1984","higher education","Male","1","","","","4"
"Very high transfer dependency","1984","higher education","Female","1","","","","4"
"Very low transfer dependency","1984","higher education","Male","260","0.488588584822267","0.445205555952802","0.531971613691732","1"
"Very low transfer dependency","1984","inadequately","Male","245","0.563983590709282","0.516100283998347","0.611866897420216","1"
"Very low transfer dependency","1984","inadequately","Female","342","0.513909220986786","0.472878177714319","0.554940264259252","1"
"Very low transfer dependency","1984","higher vocational","Female","125","0.415654063683328","0.355749150028418","0.475558977338238","1"
"Very low transfer dependency","1984","higher education","Female","117","0.438701784223979","0.376565313811008","0.500838254636949","1"
"Very low transfer dependency","1984","in school","Female","72","0.820089228137429","0.740287513125861","0.899890943148997","1"
"Very low transfer dependency","1984","general elemantary","Male","666","0.529568746571176","0.500126373534723","0.55901111960763","1"
"Very low transfer dependency","1984","general elemantary","Female","1080","0.401256017133597","0.380994064416064","0.421517969851129","1"
"Very low transfer dependency","1984","in school","Male","74","0.798733962643562","0.715899099327802","0.881568825959322","1"
"Very low transfer dependency","1984","higher vocational","Male","191","0.496675185427095","0.445098326173388","0.548252044680802","1"
"Very low transfer dependency","1984","middle vocational","Male","1585","0.472120348179738","0.454463954526554","0.489776741832922","1"
"Very low transfer dependency","1984","middle vocational","Female","1262","0.451993387720994","0.432274153455878","0.47171262198611","1"
"Very low transfer dependency","1984","vocational + Abi","Male","96","0.438528885096611","0.367972860603355","0.509084909589868","1"
"Very low transfer dependency","1984","vocational + Abi","Female","41","0.299025798797535","0.213854759170415","0.384196838424655","1"
"Complete transfer dependency","1985","higher education","Male","","","","","5"
"Complete transfer dependency","1985","higher education","Female","","","","","5"
"Complete transfer dependency","1985","higher vocational","Female","2","","","","5"
"Complete transfer dependency","1985","general elemantary","Female","26","","","","5"
"Complete transfer dependency","1985","inadequately","Male","9","","","","5"
"Complete transfer dependency","1985","inadequately","Female","9","","","","5"
"Complete transfer dependency","1985","general elemantary","Male","15","","","","5"
"Complete transfer dependency","1985","higher vocational","Male","","","","","5"
"Complete transfer dependency","1985","in school","Female","1","","","","5"
"Complete transfer dependency","1985","middle vocational","Male","13","","","","5"
"Complete transfer dependency","1985","in school","Male","","","","","5"
"Complete transfer dependency","1985","middle vocational","Female","23","","","","5"
"Complete transfer dependency","1985","vocational + Abi","Male","1","","","","5"
"Complete transfer dependency","1985","vocational + Abi","Female","","","","","5"
"High transfer dependency","1985","higher education","Male","2","","","","3"
"High transfer dependency","1985","inadequately","Female","6","","","","3"
"High transfer dependency","1985","inadequately","Male","5","","","","3"
"High transfer dependency","1985","higher education","Female","2","","","","3"
"High transfer dependency","1985","in school","Female","1","","","","3"
"High transfer dependency","1985","general elemantary","Male","13","","","","3"
"High transfer dependency","1985","higher vocational","Female","6","","","","3"
"High transfer dependency","1985","middle vocational","Male","30","0.00876718365384065","0.00527920414072778","0.0122551631669535","3"
