"transab_cat","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","16-34 y.","lower secondary degree","478","0.292295264438339","0.271028611152436","0.313561917724242"
"No transfer dependency","1984","16-34 y.","secondary school degree","330","0.354790335402048","0.324758484047208","0.384822186756889"
"No transfer dependency","1984","16-34 y.","college entrance qualification","234","0.367135435061657","0.329820076607505","0.40445079351581"
"No transfer dependency","1984","16-34 y.","Other degree","123","0.272735608296161","0.234082885995363","0.31138833059696"
"No transfer dependency","1984","16-34 y.","no degree/no degree yet","72","0.14856424521258","0.117358762103418","0.179769728321741"
"No transfer dependency","1984","35-65 y.","lower secondary degree","1412","0.466408396221953","0.449115630951869","0.483701161492038"
"No transfer dependency","1984","35-65 y.","secondary school degree","299","0.455667264440075","0.418982342144339","0.492352186735811"
"No transfer dependency","1984","35-65 y.","college entrance qualification","193","0.417757257576317","0.374310283459237","0.461204231693397"
"No transfer dependency","1984","35-65 y.","Other degree","247","0.287368326829426","0.257836056692646","0.316900596966206"
"No transfer dependency","1984","35-65 y.","no degree/no degree yet","219","0.296542175519428","0.263634705209846","0.32944964582901"
"No transfer dependency","1984","66 and older","lower secondary degree","827","0.859236874969196","0.83724879536508","0.881224954573313"
"No transfer dependency","1984","66 and older","secondary school degree","163","0.926576409224107","0.888150877387519","0.965001941060695"
"No transfer dependency","1984","66 and older","college entrance qualification","91","0.93017862930937","0.879199802299684","0.981157456319055"
"No transfer dependency","1984","66 and older","Other degree","6","","",""
"No transfer dependency","1984","66 and older","no degree/no degree yet","10","","",""
"Very low transfer dependency","1984","16-34 y.","lower secondary degree","1106","0.615295549343088","0.592546266912735","0.63804483177344"
"Very low transfer dependency","1984","16-34 y.","secondary school degree","583","0.583748172371034","0.552807009863599","0.614689334878469"
"Very low transfer dependency","1984","16-34 y.","college entrance qualification","338","0.521520963245097","0.482849872760324","0.560192053729871"
"Very low transfer dependency","1984","16-34 y.","Other degree","338","0.607920932988909","0.56554947774982","0.650292388227998"
"Very low transfer dependency","1984","16-34 y.","no degree/no degree yet","368","0.721088427444112","0.681740184129429","0.760436670758795"
"Very low transfer dependency","1984","35-65 y.","lower secondary degree","1617","0.480046806940741","0.462728689105631","0.497364924775852"
"Very low transfer dependency","1984","35-65 y.","secondary school degree","393","0.522509533106081","0.485716895394716","0.559302170817446"
"Very low transfer dependency","1984","35-65 y.","college entrance qualification","289","0.553026321164656","0.509227808048254","0.596824834281059"
"Very low transfer dependency","1984","35-65 y.","Other degree","554","0.586003541915443","0.553860035134169","0.618147048696718"
"Very low transfer dependency","1984","35-65 y.","no degree/no degree yet","418","0.521163230467605","0.48517066021946","0.55715580071575"
"Very low transfer dependency","1984","66 and older","lower secondary degree","110","0.115693408785881","0.0954705692020505","0.135916248369712"
"Very low transfer dependency","1984","66 and older","secondary school degree","13","","",""
"Very low transfer dependency","1984","66 and older","college entrance qualification","5","","",""
"Very low transfer dependency","1984","66 and older","Other degree","","","",""
"Very low transfer dependency","1984","66 and older","no degree/no degree yet","6","","",""
"Low transfer dependency","1984","16-34 y.","lower secondary degree","98","0.0475919607516986","0.0376369774597586","0.0575469440436385"
"Low transfer dependency","1984","16-34 y.","secondary school degree","37","0.035329639218174","0.0237417361956988","0.0469175422406491"
"Low transfer dependency","1984","16-34 y.","college entrance qualification","28","","",""
"Low transfer dependency","1984","16-34 y.","Other degree","27","","",""
"Low transfer dependency","1984","16-34 y.","no degree/no degree yet","42","0.103791169848624","0.0770313841577991","0.130550955539448"
"Low transfer dependency","1984","35-65 y.","lower secondary degree","93","0.0281526049272195","0.0224189031145313","0.0338863067399076"
"Low transfer dependency","1984","35-65 y.","secondary school degree","10","","",""
"Low transfer dependency","1984","35-65 y.","college entrance qualification","6","","",""
"Low transfer dependency","1984","35-65 y.","Other degree","74","0.0918446551786527","0.072997238247051","0.110692072110254"
"Low transfer dependency","1984","35-65 y.","no degree/no degree yet","66","0.107524364609061","0.085204895619361","0.129843833598762"
"Low transfer dependency","1984","66 and older","lower secondary degree","16","","",""
"Low transfer dependency","1984","66 and older","secondary school degree","1","","",""
"Low transfer dependency","1984","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1984","66 and older","Other degree","","","",""
"Low transfer dependency","1984","66 and older","no degree/no degree yet","1","","",""
"High transfer dependency","1984","16-34 y.","lower secondary degree","25","","",""
"High transfer dependency","1984","16-34 y.","secondary school degree","10","","",""
"High transfer dependency","1984","16-34 y.","college entrance qualification","17","","",""
"High transfer dependency","1984","16-34 y.","Other degree","12","","",""
"High transfer dependency","1984","16-34 y.","no degree/no degree yet","4","","",""
"High transfer dependency","1984","35-65 y.","lower secondary degree","25","","",""
"High transfer dependency","1984","35-65 y.","secondary school degree","2","","",""
"High transfer dependency","1984","35-65 y.","college entrance qualification","","","",""
"High transfer dependency","1984","35-65 y.","Other degree","18","","",""
"High transfer dependency","1984","35-65 y.","no degree/no degree yet","14","","",""
"High transfer dependency","1984","66 and older","lower secondary degree","4","","",""
"High transfer dependency","1984","66 and older","secondary school degree","","","",""
"High transfer dependency","1984","66 and older","college entrance qualification","","","",""
"High transfer dependency","1984","66 and older","Other degree","","","",""
"High transfer dependency","1984","66 and older","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","16-34 y.","lower secondary degree","12","","",""
"Very high transfer dependency","1984","16-34 y.","secondary school degree","3","","",""
