"transab_cat","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1984","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1984","Not Employed","Not Working","158","0.0314851756853353","0.0263859188101568","0.0365844325605138","5"
"Complete transfer dependency","1984","Employed","Full Time","","","","","5"
"Complete transfer dependency","1984","Employed","Part Time","","","","","5"
"Complete transfer dependency","1984","Employed","Not Working","","","","","5"
"High transfer dependency","1984","Not Employed","Part Time","","","","","3"
"High transfer dependency","1984","Not Employed","Not Working","72","0.011789319516821","0.0086374383577146","0.0149412006759275","3"
"High transfer dependency","1984","Not Employed","Full Time","","","","","3"
"High transfer dependency","1984","Employed","Part Time","52","0.0245986370217769","0.0174704899657766","0.0317267840777772","3"
"High transfer dependency","1984","Employed","Not Working","","","","","3"
"High transfer dependency","1984","Employed","Full Time","9","","","","3"
"Low transfer dependency","1984","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1984","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1984","Not Employed","Not Working","241","0.0364485566130956","0.0309761505695987","0.0419209626565924","2"
"Low transfer dependency","1984","Employed","Full Time","127","0.0170184181661843","0.0135858212355587","0.02045101509681","2"
"Low transfer dependency","1984","Employed","Part Time","138","0.0637371824210876","0.0524956693876709","0.0749786954545043","2"
"Low transfer dependency","1984","Employed","Not Working","","","","","2"
"No transfer dependency","1984","Not Employed","Full Time","","","","","0"
"No transfer dependency","1984","Not Employed","Part Time","","","","","0"
"No transfer dependency","1984","Not Employed","Not Working","2035","0.557738562307814","0.543235638463254","0.572241486152374","0"
"No transfer dependency","1984","Employed","Full Time","2217","0.46028609467287","0.447058336231523","0.473513853114216","0"
"No transfer dependency","1984","Employed","Part Time","477","0.301266114285314","0.280152601514169","0.322379627056459","0"
"No transfer dependency","1984","Employed","Not Working","","","","","0"
"Very high transfer dependency","1984","Employed","Full Time","2","","","","4"
"Very high transfer dependency","1984","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1984","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1984","Not Employed","Not Working","39","0.00592856480419551","0.00368682978439327","0.00817029982399774","4"
"Very high transfer dependency","1984","Employed","Part Time","15","","","","4"
