"transab_cat","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","(0) in school","in school","15","","",""
"No transfer dependency","1984","(0) in school","inadequately","","","",""
"No transfer dependency","1984","(0) in school","general elemantary","","","",""
"No transfer dependency","1984","(0) in school","middle vocational","","","",""
"No transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"No transfer dependency","1984","(0) in school","higher vocational","","","",""
"No transfer dependency","1984","(0) in school","higher education","","","",""
"No transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"No transfer dependency","1984","(1a) inadequately completed","inadequately","256","0.289292338714866","0.260579290432239","0.318005386997492"
"No transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"No transfer dependency","1984","(1a) inadequately completed","middle vocational","29","","",""
"No transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"No transfer dependency","1984","(1a) inadequately completed","higher vocational","1","","",""
"No transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"No transfer dependency","1984","(1b) general elementary school","in school","","","",""
"No transfer dependency","1984","(1b) general elementary school","inadequately","6","","",""
"No transfer dependency","1984","(1b) general elementary school","general elemantary","1225","0.536571200936097","0.518406468879362","0.554735932992833"
"No transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"No transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"No transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"No transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"No transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
"No transfer dependency","1984","(1c) basic vocational qualification","inadequately","","","",""
"No transfer dependency","1984","(1c) basic vocational qualification","general elemantary","","","",""
"No transfer dependency","1984","(1c) basic vocational qualification","middle vocational","1641","0.488600851288142","0.472792628514888","0.504409074061395"
"No transfer dependency","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"No transfer dependency","1984","(1c) basic vocational qualification","higher vocational","125","0.480186740995676","0.42228470526933","0.538088776722022"
"No transfer dependency","1984","(1c) basic vocational qualification","higher education","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","in school","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","inadequately","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","general elemantary","122","0.309974404881989","0.267572486222493","0.352376323541486"
"No transfer dependency","1984","(2b) intermediate general qualification","middle vocational","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","higher vocational","","","",""
"No transfer dependency","1984","(2b) intermediate general qualification","higher education","","","",""
"No transfer dependency","1984","(2a) intermediate vocational","in school","","","",""
"No transfer dependency","1984","(2a) intermediate vocational","inadequately","","","",""
"No transfer dependency","1984","(2a) intermediate vocational","general elemantary","","","",""
"No transfer dependency","1984","(2a) intermediate vocational","middle vocational","559","0.533458018233122","0.50453654149636","0.562379494969884"
