"transab_cat","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1985","16-34 y.","Urban Area","40","0.0128186982958486","0.00893265150024791","0.0167047450914492","5"
"Complete transfer dependency","1985","16-34 y.","Rural Area","9","","","","5"
"Complete transfer dependency","1985","35-65 y.","Urban Area","34","0.0076104984166867","0.00504439901617248","0.0101765978172009","5"
"Complete transfer dependency","1985","35-65 y.","Rural Area","12","","","","5"
"Complete transfer dependency","1985","66 and older","Urban Area","4","","","","5"
"Complete transfer dependency","1985","66 and older","Rural Area","1","","","","5"
"High transfer dependency","1985","35-65 y.","Urban Area","48","0.00934549716358364","0.00650438644516377","0.0121866078820035","3"
"High transfer dependency","1985","66 and older","Urban Area","10","","","","3"
"High transfer dependency","1985","16-34 y.","Rural Area","10","","","","3"
"High transfer dependency","1985","66 and older","Rural Area","","","","","3"
"High transfer dependency","1985","16-34 y.","Urban Area","61","0.0183872548287144","0.0137462059273864","0.0230283037300423","3"
"High transfer dependency","1985","35-65 y.","Rural Area","5","","","","3"
"Low transfer dependency","1985","16-34 y.","Urban Area","133","0.0311045652937925","0.0251075089997522","0.0371016215878329","2"
"Low transfer dependency","1985","16-34 y.","Rural Area","37","0.0460209203132341","0.0315014700743353","0.060540370552133","2"
"Low transfer dependency","1985","35-65 y.","Urban Area","130","0.0222782879156077","0.0179204168125634","0.0266361590186519","2"
"Low transfer dependency","1985","35-65 y.","Rural Area","45","0.034045280247843","0.0234389522349826","0.0446516082607033","2"
"Low transfer dependency","1985","66 and older","Urban Area","6","","","","2"
"Low transfer dependency","1985","66 and older","Rural Area","5","","","","2"
"No transfer dependency","1985","16-34 y.","Urban Area","925","0.344612625242376","0.328195306493175","0.361029943991576","0"
"No transfer dependency","1985","16-34 y.","Rural Area","164","0.219984488051683","0.191279937821346","0.248689038282021","0"
"No transfer dependency","1985","35-65 y.","Urban Area","1668","0.46303849216462","0.448315164769049","0.477761819560191","0"
"No transfer dependency","1985","35-65 y.","Rural Area","391","0.419328261552169","0.390467975966389","0.448188547137948","0"
