"transab_cat","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","no migration background","(0) in school","12","","",""
"No transfer dependency","1984","no migration background","(1a) inadequately completed","24","","",""
"No transfer dependency","1984","no migration background","(1b) general elementary school","966","0.555568445327699","0.533154499149573","0.577982391505826"
"No transfer dependency","1984","no migration background","(1c) basic vocational qualification","1542","0.495281302485186","0.47845072935207","0.512111875618303"
"No transfer dependency","1984","no migration background","(2b) intermediate general qualification","110","0.314416817564592","0.268338273412369","0.360495361716816"
"No transfer dependency","1984","no migration background","(2a) intermediate vocational","604","0.527684142897954","0.499874779086253","0.555493506709655"
"No transfer dependency","1984","no migration background","(2c_gen) general maturity certificate","68","0.273873552286715","0.219978190462474","0.327768914110955"
"No transfer dependency","1984","no migration background","(2c_voc) vocational maturity certificate","157","0.561037214949652","0.504407187863383","0.617667242035921"
"No transfer dependency","1984","no migration background","(3a) lower tertiary education","117","0.544345085121457","0.479699949621899","0.608990220621015"
"No transfer dependency","1984","no migration background","(3b) higher tertiary education","186","0.48552580322845","0.436790310072401","0.534261296384498"
"No transfer dependency","1984","direct migration background","(0) in school","1","","",""
"No transfer dependency","1984","direct migration background","(1a) inadequately completed","262","0.253449853258172","0.22657014100459","0.280329565511753"
"No transfer dependency","1984","direct migration background","(1b) general elementary school","254","0.356180339133061","0.32644071257002","0.385919965696102"
"No transfer dependency","1984","direct migration background","(1c) basic vocational qualification","213","0.383545310808752","0.347498369276323","0.41959225234118"
"No transfer dependency","1984","direct migration background","(2b) intermediate general qualification","9","","",""
"No transfer dependency","1984","direct migration background","(2a) intermediate vocational","35","0.497431318070879","0.392367606762912","0.602495029378846"
"No transfer dependency","1984","direct migration background","(2c_gen) general maturity certificate","29","","",""
"No transfer dependency","1984","direct migration background","(2c_voc) vocational maturity certificate","36","0.244919357160613","0.174187975325211","0.315650738996015"
"No transfer dependency","1984","direct migration background","(3a) lower tertiary education","8","","",""
"No transfer dependency","1984","direct migration background","(3b) higher tertiary education","34","0.259908525222917","0.173514550112956","0.346302500332878"
"No transfer dependency","1984","indirect migration background","(0) in school","2","","",""
"No transfer dependency","1984","indirect migration background","(1a) inadequately completed","","","",""
"No transfer dependency","1984","indirect migration background","(1b) general elementary school","11","","",""
"No transfer dependency","1984","indirect migration background","(1c) basic vocational qualification","11","","",""
"No transfer dependency","1984","indirect migration background","(2b) intermediate general qualification","3","","",""
"No transfer dependency","1984","indirect migration background","(2a) intermediate vocational","4","","",""
"No transfer dependency","1984","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"No transfer dependency","1984","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"No transfer dependency","1984","indirect migration background","(3a) lower tertiary education","1","","",""
"No transfer dependency","1984","indirect migration background","(3b) higher tertiary education","2","","",""
"Very low transfer dependency","1984","no migration background","(0) in school","123","0.811279080646178","0.748868995092284","0.873689166200072"
"Very low transfer dependency","1984","no migration background","(1a) inadequately completed","28","","",""
"Very low transfer dependency","1984","no migration background","(1b) general elementary school","789","0.377138104570423","0.355275938721902","0.399000270418943"
"Very low transfer dependency","1984","no migration background","(1c) basic vocational qualification","1674","0.454422026430754","0.437660778771785","0.471183274089723"
"Very low transfer dependency","1984","no migration background","(2b) intermediate general qualification","261","0.640625385386197","0.593005147821","0.688245622951394"
"Very low transfer dependency","1984","no migration background","(2a) intermediate vocational","592","0.440237070611371","0.412584650869592","0.46788949035315"
"Very low transfer dependency","1984","no migration background","(2c_gen) general maturity certificate","165","0.613278803231628","0.554421795017882","0.672135811445373"
"Very low transfer dependency","1984","no migration background","(2c_voc) vocational maturity certificate","119","0.374376946687512","0.319150385236792","0.429603508138231"
"Very low transfer dependency","1984","no migration background","(3a) lower tertiary education","104","0.423048366234589","0.358920707794373","0.487176024674806"
"Very low transfer dependency","1984","no migration background","(3b) higher tertiary education","207","0.489082640828546","0.440338338125908","0.537826943531184"
"Very low transfer dependency","1984","direct migration background","(0) in school","18","","",""
"Very low transfer dependency","1984","direct migration background","(1a) inadequately completed","612","0.584762623758554","0.554312635970717","0.615212611546392"
"Very low transfer dependency","1984","direct migration background","(1b) general elementary school","639","0.555036569041383","0.52417333864607","0.585899799436696"
"Very low transfer dependency","1984","direct migration background","(1c) basic vocational qualification","425","0.546234845231606","0.509327332769904","0.583142357693308"
"Very low transfer dependency","1984","direct migration background","(2b) intermediate general qualification","42","0.753510833048144","0.636374914382507","0.870646751713782"
"Very low transfer dependency","1984","direct migration background","(2a) intermediate vocational","42","0.370107429633739","0.268649590291778","0.471565268975701"
"Very low transfer dependency","1984","direct migration background","(2c_gen) general maturity certificate","77","0.705476120571457","0.626199040526028","0.784753200616886"
"Very low transfer dependency","1984","direct migration background","(2c_voc) vocational maturity certificate","83","0.55657237214806","0.474862201918937","0.638282542377183"
"Very low transfer dependency","1984","direct migration background","(3a) lower tertiary education","9","","",""
"Very low transfer dependency","1984","direct migration background","(3b) higher tertiary education","57","0.629839896689001","0.534726786964382","0.724953006413619"
"Very low transfer dependency","1984","indirect migration background","(0) in school","6","","",""
"Very low transfer dependency","1984","indirect migration background","(1a) inadequately completed","4","","",""
"Very low transfer dependency","1984","indirect migration background","(1b) general elementary school","19","","",""
"Very low transfer dependency","1984","indirect migration background","(1c) basic vocational qualification","25","","",""
"Very low transfer dependency","1984","indirect migration background","(2b) intermediate general qualification","9","","",""
"Very low transfer dependency","1984","indirect migration background","(2a) intermediate vocational","6","","",""
"Very low transfer dependency","1984","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"Very low transfer dependency","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very low transfer dependency","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Very low transfer dependency","1984","indirect migration background","(3b) higher tertiary education","","","",""
"Low transfer dependency","1984","no migration background","(0) in school","14","","",""
"Low transfer dependency","1984","no migration background","(1a) inadequately completed","9","","",""
"Low transfer dependency","1984","no migration background","(1b) general elementary school","66","0.0323752890514809","0.0243915304202512","0.0403590476827105"
"Low transfer dependency","1984","no migration background","(1c) basic vocational qualification","107","0.0294472940213874","0.0237563999660077","0.0351381880767672"
"Low transfer dependency","1984","no migration background","(2b) intermediate general qualification","11","","",""
"Low transfer dependency","1984","no migration background","(2a) intermediate vocational","27","","",""
"Low transfer dependency","1984","no migration background","(2c_gen) general maturity certificate","12","","",""
"Low transfer dependency","1984","no migration background","(2c_voc) vocational maturity certificate","6","","",""
"Low transfer dependency","1984","no migration background","(3a) lower tertiary education","6","","",""
"Low transfer dependency","1984","no migration background","(3b) higher tertiary education","10","","",""
"Low transfer dependency","1984","direct migration background","(0) in school","1","","",""
"Low transfer dependency","1984","direct migration background","(1a) inadequately completed","84","0.0969375009351882","0.0786542291872007","0.115220772683176"
"Low transfer dependency","1984","direct migration background","(1b) general elementary school","67","0.0487419338187097","0.035369237699053","0.0621146299383664"
"Low transfer dependency","1984","direct migration background","(1c) basic vocational qualification","42","0.0420619662005841","0.0271812786964813","0.0569426537046869"
"Low transfer dependency","1984","direct migration background","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","direct migration background","(2a) intermediate vocational","4","","",""
"Low transfer dependency","1984","direct migration background","(2c_gen) general maturity certificate","8","","",""
"Low transfer dependency","1984","direct migration background","(2c_voc) vocational maturity certificate","13","","",""
"Low transfer dependency","1984","direct migration background","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","direct migration background","(3b) higher tertiary education","2","","",""
"Low transfer dependency","1984","indirect migration background","(0) in school","","","",""
"Low transfer dependency","1984","indirect migration background","(1a) inadequately completed","1","","",""
"Low transfer dependency","1984","indirect migration background","(1b) general elementary school","2","","",""
"Low transfer dependency","1984","indirect migration background","(1c) basic vocational qualification","2","","",""
"Low transfer dependency","1984","indirect migration background","(2b) intermediate general qualification","3","","",""
"Low transfer dependency","1984","indirect migration background","(2a) intermediate vocational","1","","",""
"Low transfer dependency","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Low transfer dependency","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","indirect migration background","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","no migration background","(0) in school","1","","",""
"High transfer dependency","1984","no migration background","(1a) inadequately completed","1","","",""
"High transfer dependency","1984","no migration background","(1b) general elementary school","26","","",""
"High transfer dependency","1984","no migration background","(1c) basic vocational qualification","23","","",""
"High transfer dependency","1984","no migration background","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1984","no migration background","(2a) intermediate vocational","5","","",""
"High transfer dependency","1984","no migration background","(2c_gen) general maturity certificate","6","","",""
"High transfer dependency","1984","no migration background","(2c_voc) vocational maturity certificate","5","","",""
"High transfer dependency","1984","no migration background","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","no migration background","(3b) higher tertiary education","1","","",""
"High transfer dependency","1984","direct migration background","(0) in school","","","",""
"High transfer dependency","1984","direct migration background","(1a) inadequately completed","16","","",""
"High transfer dependency","1984","direct migration background","(1b) general elementary school","18","","",""
"High transfer dependency","1984","direct migration background","(1c) basic vocational qualification","6","","",""
"High transfer dependency","1984","direct migration background","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","direct migration background","(2a) intermediate vocational","3","","",""
"High transfer dependency","1984","direct migration background","(2c_gen) general maturity certificate","9","","",""
"High transfer dependency","1984","direct migration background","(2c_voc) vocational maturity certificate","6","","",""
"High transfer dependency","1984","direct migration background","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","direct migration background","(3b) higher tertiary education","3","","",""
"High transfer dependency","1984","indirect migration background","(0) in school","","","",""
"High transfer dependency","1984","indirect migration background","(1a) inadequately completed","","","",""
"High transfer dependency","1984","indirect migration background","(1b) general elementary school","","","",""
"High transfer dependency","1984","indirect migration background","(1c) basic vocational qualification","","","",""
"High transfer dependency","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","indirect migration background","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"High transfer dependency","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"High transfer dependency","1984","indirect migration background","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","indirect migration background","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","no migration background","(0) in school","1","","",""
"Very high transfer dependency","1984","no migration background","(1a) inadequately completed","1","","",""
"Very high transfer dependency","1984","no migration background","(1b) general elementary school","9","","",""
"Very high transfer dependency","1984","no migration background","(1c) basic vocational qualification","7","","",""
