"transab_cat","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","16-34 y.","Not Employed","88","0.0764887312307083","0.0626062660874939","0.0903711963739228","5"
"Complete transfer dependency","1984","16-34 y.","Employed","","","","","5"
"Complete transfer dependency","1984","35-65 y.","Not Employed","65","0.0335737537072432","0.025474302403463","0.0416732050110234","5"
"Complete transfer dependency","1984","35-65 y.","Employed","","","","","5"
"Complete transfer dependency","1984","66 and older","Not Employed","5","","","","5"
"Complete transfer dependency","1984","66 and older","Employed","","","","","5"
"High transfer dependency","1984","16-34 y.","Employed","36","0.011490180620201","0.00767716121927348","0.0153032000211285","3"
"High transfer dependency","1984","35-65 y.","Not Employed","36","0.0138199048750856","0.00857059834725101","0.0190692114029202","3"
"High transfer dependency","1984","16-34 y.","Not Employed","32","0.0224709757091386","0.0147295213211467","0.0302124300971305","3"
"High transfer dependency","1984","66 and older","Not Employed","4","","","","3"
"High transfer dependency","1984","66 and older","Employed","","","","","3"
"High transfer dependency","1984","35-65 y.","Employed","25","","","","3"
"Low transfer dependency","1984","16-34 y.","Not Employed","123","0.0814002872713517","0.0671171738460452","0.0956834006966582","2"
"Low transfer dependency","1984","16-34 y.","Employed","111","0.0344143846559241","0.0278923892094632","0.040936380102385","2"
"Low transfer dependency","1984","35-65 y.","Not Employed","102","0.034017018630742","0.0258661451492859","0.0421678921121981","2"
"Low transfer dependency","1984","35-65 y.","Employed","152","0.026457053346779","0.0216050991785592","0.0313090075149987","2"
"Low transfer dependency","1984","66 and older","Not Employed","16","","","","2"
"Low transfer dependency","1984","66 and older","Employed","2","","","","2"
"No transfer dependency","1984","16-34 y.","Not Employed","156","0.105162647384008","0.0891394356698126","0.121185859098204","0"
"No transfer dependency","1984","16-34 y.","Employed","1086","0.401720005866435","0.384180027076987","0.419259984655882","0"
"No transfer dependency","1984","35-65 y.","Not Employed","841","0.509972687228668","0.487494830816967","0.532450543640368","0"
"No transfer dependency","1984","35-65 y.","Employed","1548","0.415506014305943","0.400607358858343","0.430404669753543","0"
"No transfer dependency","1984","66 and older","Not Employed","1038","0.868734770636653","0.849604572470601","0.887864968802704","0"
"No transfer dependency","1984","66 and older","Employed","60","0.936941647744735","0.877391110322074","0.996492185167397","0"
"Very high transfer dependency","1984","35-65 y.","Employed","1","","","","4"
"Very high transfer dependency","1984","16-34 y.","Not Employed","11","","","","4"
"Very high transfer dependency","1984","16-34 y.","Employed","16","","","","4"
"Very high transfer dependency","1984","35-65 y.","Not Employed","27","","","","4"
"Very high transfer dependency","1984","66 and older","Not Employed","1","","","","4"
"Very high transfer dependency","1984","66 and older","Employed","","","","","4"
"Very low transfer dependency","1984","66 and older","Not Employed","133","0.110637679835026","0.0928674964987779","0.128407863171275","1"
"Very low transfer dependency","1984","16-34 y.","Not Employed","998","0.7080560262548","0.684307846209163","0.731804206300437","1"
"Very low transfer dependency","1984","35-65 y.","Employed","2477","0.552746284447608","0.537714577838335","0.56777799105688","1"
"Very low transfer dependency","1984","16-34 y.","Employed","1752","0.548511878993705","0.530707317739628","0.566316440247781","1"
"Very low transfer dependency","1984","35-65 y.","Not Employed","829","0.398193977068748","0.376182615951265","0.420205338186231","1"
"Very low transfer dependency","1984","66 and older","Employed","2","","","","1"
"Complete transfer dependency","1985","16-34 y.","Not Employed","49","0.0417112351426093","0.0308473749984641","0.0525750952867545","5"
"Complete transfer dependency","1985","16-34 y.","Employed","","","","","5"
"Complete transfer dependency","1985","35-65 y.","Not Employed","46","0.0238252083240475","0.0166841400104639","0.030966276637631","5"
"Complete transfer dependency","1985","35-65 y.","Employed","","","","","5"
"Complete transfer dependency","1985","66 and older","Not Employed","5","","","","5"
"Complete transfer dependency","1985","66 and older","Employed","","","","","5"
"High transfer dependency","1985","16-34 y.","Employed","37","0.0132415773166654","0.00894424790082795","0.0175389067325028","3"
"High transfer dependency","1985","35-65 y.","Not Employed","36","0.0162842332604515","0.0103577165460711","0.0222107499748319","3"
"High transfer dependency","1985","66 and older","Employed","1","","","","3"
"High transfer dependency","1985","66 and older","Not Employed","9","","","","3"
"High transfer dependency","1985","16-34 y.","Not Employed","34","0.0227772518301293","0.0146703131417305","0.0308841905185282","3"
"High transfer dependency","1985","35-65 y.","Employed","17","","","","3"
"Low transfer dependency","1985","16-34 y.","Not Employed","87","0.0533619298026648","0.0411490751245874","0.0655747844807421","2"
"Low transfer dependency","1985","16-34 y.","Employed","83","0.0265223672999122","0.0204815945789891","0.0325631400208353","2"
"Low transfer dependency","1985","35-65 y.","Not Employed","79","0.0334184507073486","0.0250026886789697","0.0418342127357275","2"
"Low transfer dependency","1985","35-65 y.","Employed","96","0.0205066530348526","0.0159868164250611","0.0250264896446441","2"
"Low transfer dependency","1985","66 and older","Not Employed","11","","","","2"
"Low transfer dependency","1985","66 and older","Employed","","","","","2"
"No transfer dependency","1985","16-34 y.","Not Employed","124","0.0998668175399472","0.083574853836842","0.116158781243052","0"
"No transfer dependency","1985","16-34 y.","Employed","965","0.407852179979084","0.389376951148367","0.426327408809801","0"
"No transfer dependency","1985","35-65 y.","Not Employed","756","0.520555783042682","0.497162901579353","0.543948664506012","0"
"No transfer dependency","1985","35-65 y.","Employed","1303","0.416394186714551","0.400672949089466","0.432115424339636","0"
"No transfer dependency","1985","66 and older","Not Employed","931","0.892224371923078","0.873512416097677","0.910936327748478","0"
"No transfer dependency","1985","66 and older","Employed","39","0.862070541138423","0.760182861648255","0.963958220628592","0"
"Very high transfer dependency","1985","16-34 y.","Not Employed","33","0.0345158917219462","0.0245963511842325","0.0444354322596599","4"
"Very high transfer dependency","1985","35-65 y.","Employed","5","","","","4"
"Very high transfer dependency","1985","16-34 y.","Employed","5","","","","4"
"Very high transfer dependency","1985","35-65 y.","Not Employed","27","","","","4"
"Very high transfer dependency","1985","66 and older","Not Employed","1","","","","4"
"Very high transfer dependency","1985","66 and older","Employed","","","","","4"
"Very low transfer dependency","1985","66 and older","Not Employed","98","0.0829604043741825","0.0663166485680524","0.0996041601803127","1"
"Very low transfer dependency","1985","16-34 y.","Not Employed","974","0.747766873962703","0.724167873167164","0.771365874758243","1"
"Very low transfer dependency","1985","35-65 y.","Employed","2356","0.557216800063044","0.541375811995566","0.573057788130522","1"
"Very low transfer dependency","1985","16-34 y.","Employed","1628","0.550100191673606","0.531397583857456","0.568802799489756","1"
"Very low transfer dependency","1985","35-65 y.","Not Employed","808","0.388786071196027","0.365959903154775","0.411612239237279","1"
"Very low transfer dependency","1985","66 and older","Employed","4","","","","1"
"Complete transfer dependency","1986","16-34 y.","Employed","","","","","5"
"Complete transfer dependency","1986","16-34 y.","Not Employed","45","0.0459579204083635","0.0340206975386421","0.057895143278085","5"
"Complete transfer dependency","1986","35-65 y.","Not Employed","41","0.0269640638503278","0.0191198711192194","0.0348082565814361","5"
"Complete transfer dependency","1986","35-65 y.","Employed","","","","","5"
"Complete transfer dependency","1986","66 and older","Not Employed","1","","","","5"
"Complete transfer dependency","1986","66 and older","Employed","","","","","5"
"High transfer dependency","1986","16-34 y.","Not Employed","28","","","","3"
"High transfer dependency","1986","16-34 y.","Employed","28","","","","3"
"High transfer dependency","1986","66 and older","Employed","","","","","3"
"High transfer dependency","1986","66 and older","Not Employed","8","","","","3"
"High transfer dependency","1986","35-65 y.","Not Employed","35","0.0151655098007971","0.00924715122536664","0.0210838683762275","3"
"High transfer dependency","1986","35-65 y.","Employed","23","","","","3"
"Low transfer dependency","1986","16-34 y.","Employed","88","0.0314452677600072","0.0248867851511041","0.0380037503689104","2"
"Low transfer dependency","1986","35-65 y.","Not Employed","68","0.0326666852031148","0.024058100667857","0.0412752697383725","2"
"Low transfer dependency","1986","66 and older","Employed","","","","","2"
"Low transfer dependency","1986","66 and older","Not Employed","8","","","","2"
"Low transfer dependency","1986","16-34 y.","Not Employed","73","0.0594280368912429","0.0459498628701122","0.0729062109123735","2"
"Low transfer dependency","1986","35-65 y.","Employed","92","0.0237953207123315","0.0188138856494618","0.0287767557752011","2"
"No transfer dependency","1986","16-34 y.","Not Employed","124","0.111008706058627","0.0930999002653314","0.128917511851923","0"
"No transfer dependency","1986","16-34 y.","Employed","1037","0.430327406552611","0.411720430218241","0.448934382886982","0"
"No transfer dependency","1986","35-65 y.","Not Employed","670","0.500659601208006","0.476445922873828","0.524873279542185","0"
"No transfer dependency","1986","35-65 y.","Employed","1274","0.420771350324019","0.404635704681814","0.436906995966225","0"
