"transab_cat","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","16-34 y.","1242","0.311163271537482","0.297497619640422","0.324828923434542"
"No transfer dependency","1984","35-65 y.","2389","0.448199972871231","0.435723173898652","0.46067677184381"
"No transfer dependency","1984","66 and older","1098","0.871819191613679","0.853368388977054","0.890269994250305"
"Very low transfer dependency","1984","16-34 y.","2750","0.597230268688015","0.582753309187238","0.611707228188793"
"Very low transfer dependency","1984","35-65 y.","3306","0.499257296455541","0.486713010911181","0.511801581999901"
"Very low transfer dependency","1984","66 and older","135","0.107616714384352","0.0905123820705953","0.124721046698109"
"Low transfer dependency","1984","16-34 y.","234","0.0487619966056827","0.0424048331540344","0.055119160057331"
"Low transfer dependency","1984","35-65 y.","254","0.029073480750241","0.0248582815560741","0.0332886799444079"
"Low transfer dependency","1984","66 and older","18","","",""
"High transfer dependency","1984","16-34 y.","68","0.0148432754436718","0.0112738724957144","0.0184126783916291"
"High transfer dependency","1984","35-65 y.","61","0.00802920760400901","0.00579016585159748","0.0102682493564205"
"High transfer dependency","1984","66 and older","4","","",""
"Very high transfer dependency","1984","16-34 y.","27","","",""
"Very high transfer dependency","1984","35-65 y.","28","","",""
"Very high transfer dependency","1984","66 and older","1","","",""
"Complete transfer dependency","1984","16-34 y.","88","0.0233565936406476","0.0188984833827195","0.0278147038985758"
"Complete transfer dependency","1984","35-65 y.","65","0.0116195360609735","0.00893089469337395","0.0143081774285731"
"Complete transfer dependency","1984","66 and older","5","","",""
"No transfer dependency","1985","16-34 y.","1089","0.31606892733173","0.301694645462036","0.330443209201424"
"No transfer dependency","1985","35-65 y.","2059","0.452838265450843","0.439717649790618","0.465958881111067"
"No transfer dependency","1985","66 and older","970","0.891181506889029","0.872770239663313","0.909592774114744"
"Very low transfer dependency","1985","16-34 y.","2602","0.609007182891702","0.593920815318167","0.624093550465238"
"Very low transfer dependency","1985","35-65 y.","3164","0.498286225255957","0.485106928127464","0.511465522384449"
"Very low transfer dependency","1985","66 and older","102","0.0835942872755878","0.0672305899306305","0.0999579846205451"
"Low transfer dependency","1985","16-34 y.","170","0.0345208719256683","0.0288766847065506","0.040165059144786"
"Low transfer dependency","1985","35-65 y.","175","0.0250242352109278","0.0209070337991518","0.0291414366227039"
"Low transfer dependency","1985","66 and older","11","","",""
"High transfer dependency","1985","16-34 y.","71","0.0160833202362016","0.0121941576062959","0.0199724828661072"
"High transfer dependency","1985","35-65 y.","53","0.00856356400094922","0.00613480452679984","0.0109923234750986"
"High transfer dependency","1985","66 and older","10","","",""
"Very high transfer dependency","1985","16-34 y.","38","0.0118892600023135","0.00853829949028259","0.0152402205143444"
"Very high transfer dependency","1985","35-65 y.","32","0.00695174175250828","0.00476167784405309","0.00914180566096348"
"Very high transfer dependency","1985","66 and older","1","","",""
"Complete transfer dependency","1985","16-34 y.","49","0.0124304376123845","0.00900499934520686","0.0158558758795621"
"Complete transfer dependency","1985","35-65 y.","46","0.00833596832881522","0.00593942599672282","0.0107325106609076"
"Complete transfer dependency","1985","66 and older","5","","",""
"No transfer dependency","1986","16-34 y.","1161","0.34254242747339","0.32765239962563","0.35743245532115"
"No transfer dependency","1986","35-65 y.","1944","0.4484478105519","0.43497430851586","0.461921312587939"
"No transfer dependency","1986","66 and older","912","0.891792681561946","0.872849269791175","0.910736093332718"
"Very low transfer dependency","1986","16-34 y.","2445","0.581773222995195","0.566296206687465","0.597250239302925"
"Very low transfer dependency","1986","35-65 y.","2998","0.498289185343379","0.484743571397313","0.511834799289445"
"Very low transfer dependency","1986","66 and older","103","0.0900419224057747","0.072586474315321","0.107497370496229"
"Low transfer dependency","1986","16-34 y.","161","0.0391381050381374","0.0330534656964453","0.0452227443798295"
"Low transfer dependency","1986","35-65 y.","160","0.0268687134049909","0.0224880449531512","0.0312493818568307"
"Low transfer dependency","1986","66 and older","8","","",""
"High transfer dependency","1986","16-34 y.","56","0.0140197529199206","0.0103307521519985","0.0177087536878426"
"High transfer dependency","1986","35-65 y.","58","0.0103199260565494","0.00758203011624698","0.0130578219968517"
"High transfer dependency","1986","66 and older","8","","",""
"Very high transfer dependency","1986","16-34 y.","34","0.00989204493640338","0.00678685068342648","0.0129972391893803"
"Very high transfer dependency","1986","35-65 y.","33","0.00673294293876361","0.00451746864786832","0.0089484172296589"
"Very high transfer dependency","1986","66 and older","1","","",""
"Complete transfer dependency","1986","16-34 y.","45","0.0126344466369539","0.00912998300747175","0.0161389102664361"
"Complete transfer dependency","1986","35-65 y.","41","0.00934142170441736","0.00673526981560214","0.0119475735932326"
"Complete transfer dependency","1986","66 and older","1","","",""
"No transfer dependency","1987","16-34 y.","1132","0.358270661559486","0.343083137531293","0.373458185587679"
"No transfer dependency","1987","35-65 y.","1958","0.46636752804298","0.452670742438898","0.480064313647063"
"No transfer dependency","1987","66 and older","934","0.880308744252118","0.86092271074764","0.899694777756596"
"Very low transfer dependency","1987","16-34 y.","2414","0.569097609536089","0.553412475285243","0.584782743786935"
"Very low transfer dependency","1987","35-65 y.","2848","0.478136471178173","0.464421724487706","0.49185121786864"
"Very low transfer dependency","1987","66 and older","123","0.0993140112394926","0.0814519240734789","0.117176098405506"
"Low transfer dependency","1987","16-34 y.","170","0.0407611484603855","0.034498010271295","0.0470242866494759"
"Low transfer dependency","1987","35-65 y.","158","0.0287112125598425","0.0241262759436392","0.0332961491760458"
"Low transfer dependency","1987","66 and older","14","","",""
"High transfer dependency","1987","16-34 y.","48","0.0118919394016805","0.00845846374461638","0.0153254150587447"
"High transfer dependency","1987","35-65 y.","61","0.010288922736577","0.00751833090239337","0.0130595145707607"
"High transfer dependency","1987","66 and older","4","","",""
"Very high transfer dependency","1987","16-34 y.","33","0.01054909502128","0.00731308293495934","0.0137851071076006"
"Very high transfer dependency","1987","35-65 y.","31","0.0081139533108043","0.00565086193284199","0.0105770446887666"
"Very high transfer dependency","1987","66 and older","","","",""
"Complete transfer dependency","1987","16-34 y.","32","0.00942954602107907","0.00636833347148831","0.0124907585706698"
"Complete transfer dependency","1987","35-65 y.","40","0.00838191217162287","0.00587881819996771","0.010885006143278"
"Complete transfer dependency","1987","66 and older","2","","",""
"No transfer dependency","1988","16-34 y.","1098","0.372742012699892","0.357007919263156","0.388476106136628"
"No transfer dependency","1988","35-65 y.","1901","0.489725098362183","0.475577367524741","0.503872829199626"
"No transfer dependency","1988","66 and older","908","0.882508998647633","0.863041569316451","0.901976427978814"
"Very low transfer dependency","1988","16-34 y.","2287","0.56378360817739","0.547646650321502","0.579920566033278"
"Very low transfer dependency","1988","35-65 y.","2621","0.454182538255445","0.440091355968303","0.468273720542586"
"Very low transfer dependency","1988","66 and older","129","0.104276847463748","0.0858000125098027","0.122753682417694"
"Low transfer dependency","1988","16-34 y.","141","0.03545942764486","0.0294415886698699","0.04147726661985"
"Low transfer dependency","1988","35-65 y.","157","0.0280935539208416","0.0234170201356419","0.0327700877060413"
"Low transfer dependency","1988","66 and older","5","","",""
"High transfer dependency","1988","16-34 y.","39","0.0102797364650359","0.00699756191670442","0.0135619110133675"
