"transab_cat","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","lower secondary degree","Male","1207","0.487678125022843","0.468982675492104","0.506373574553582"
"No transfer dependency","1984","lower secondary degree","Female","1510","0.536478989316179","0.519117057641426","0.553840920990932"
"No transfer dependency","1984","secondary school degree","Male","316","0.434117313742642","0.399642288206446","0.468592339278838"
"No transfer dependency","1984","secondary school degree","Female","476","0.499072951963821","0.469057924399372","0.529087979528269"
"No transfer dependency","1984","college entrance qualification","Male","319","0.437205037715209","0.40212297178488","0.472287103645538"
"No transfer dependency","1984","college entrance qualification","Female","199","0.464454532487381","0.419075119104092","0.509833945870671"
"No transfer dependency","1984","Other degree","Male","237","0.300432620323928","0.269613023986518","0.331252216661338"
"No transfer dependency","1984","Other degree","Female","139","0.295886754679225","0.258382893963741","0.333390615394708"
"No transfer dependency","1984","no degree/no degree yet","Male","143","0.223940657436822","0.1897171431677","0.258164171705945"
"No transfer dependency","1984","no degree/no degree yet","Female","158","0.213309698470733","0.18267758786677","0.243941809074697"
"Very low transfer dependency","1984","lower secondary degree","Male","1381","0.459843969088472","0.441203248926569","0.478484689250375"
"Very low transfer dependency","1984","lower secondary degree","Female","1452","0.40454835724696","0.387460191757099","0.421636522736821"
"Very low transfer dependency","1984","secondary school degree","Male","446","0.530959688097544","0.496248162668412","0.565671213526676"
"Very low transfer dependency","1984","secondary school degree","Female","543","0.459992852714661","0.43007401042109","0.489911695008233"
"Very low transfer dependency","1984","college entrance qualification","Male","406","0.508277912986571","0.472920705416551","0.543635120556592"
"Very low transfer dependency","1984","college entrance qualification","Female","226","0.450710779629268","0.405437848678837","0.495983710579699"
"Very low transfer dependency","1984","Other degree","Male","524","0.577044073288864","0.543832406039108","0.61025574053862"
"Very low transfer dependency","1984","Other degree","Female","368","0.583656216726206","0.543152343244293","0.624160090208119"
"Very low transfer dependency","1984","no degree/no degree yet","Male","355","0.639576169460345","0.600160986306126","0.678991352614564"
