"transab_cat","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","1-pers.-HH","in school","","","",""
"No transfer dependency","1984","1-pers.-HH","inadequately","43","0.710684760457943","0.603693648223088","0.817675872692797"
"No transfer dependency","1984","1-pers.-HH","general elemantary","297","0.794629095972329","0.754328995616391","0.834929196328266"
"No transfer dependency","1984","1-pers.-HH","middle vocational","495","0.831413206694211","0.801678772483297","0.861147640905126"
"No transfer dependency","1984","1-pers.-HH","vocational + Abi","36","0.779130174798463","0.659251376413049","0.899008973183877"
"No transfer dependency","1984","1-pers.-HH","higher vocational","69","0.855159136427944","0.778515764312432","0.931802508543456"
"No transfer dependency","1984","1-pers.-HH","higher education","98","0.848571153144356","0.78333812546974","0.913804180818972"
"No transfer dependency","1984","(Married) couple without C. ","in school","1","","",""
"No transfer dependency","1984","(Married) couple without C. ","inadequately","88","0.691543074473481","0.611532021269668","0.771554127677295"
"No transfer dependency","1984","(Married) couple without C. ","general elemantary","592","0.881254480170095","0.857221769573851","0.905287190766339"
"No transfer dependency","1984","(Married) couple without C. ","middle vocational","1203","0.876424007163513","0.859203598947421","0.893644415379606"
"No transfer dependency","1984","(Married) couple without C. ","vocational + Abi","66","0.809521139435938","0.725042573253276","0.8939997056186"
"No transfer dependency","1984","(Married) couple without C. ","higher vocational","134","0.850358927703827","0.795085723269449","0.905632132138205"
"No transfer dependency","1984","(Married) couple without C. ","higher education","179","0.883952971697424","0.839785351641133","0.928120591753715"
"No transfer dependency","1984","Single parent ","in school","3","","",""
"No transfer dependency","1984","Single parent ","inadequately","16","","",""
"No transfer dependency","1984","Single parent ","general elemantary","57","0.332130773587326","0.266026268169033","0.39823527900562"
"No transfer dependency","1984","Single parent ","middle vocational","77","0.318415359599464","0.260782770253021","0.376047948945907"
"No transfer dependency","1984","Single parent ","vocational + Abi","1","","",""
"No transfer dependency","1984","Single parent ","higher vocational","8","","",""
"No transfer dependency","1984","Single parent ","higher education","7","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","in school","","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","inadequately","12","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","general elemantary","40","0.0618133945536653","0.0433287882870699","0.0802980008202607"
"No transfer dependency","1984","Couple + C. LE 16 ","middle vocational","68","0.047130431946341","0.0362861581868695","0.0579747057058124"
"No transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","4","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","higher vocational","12","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","higher education","20","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","in school","10","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","inadequately","64","0.324108124282213","0.246853923047519","0.401362325516906"
"No transfer dependency","1984","Couple + C. GT 16 ","general elemantary","209","0.374787513814321","0.334802221815372","0.41477280581327"
"No transfer dependency","1984","Couple + C. GT 16 ","middle vocational","343","0.391056811435647","0.358815323894839","0.423298298976454"
"No transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","11","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","higher vocational","35","0.447355732078968","0.33973634780738","0.554975116350555"
"No transfer dependency","1984","Couple + C. GT 16 ","higher education","31","0.312059358356991","0.214134499432128","0.409984217281854"
"No transfer dependency","1984","Couple + C. LE and GT 16","in school","1","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","inadequately","16","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","26","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","32","0.035735152577567","0.0213085017382229","0.0501618034169111"
"No transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","",""
"Very low transfer dependency","1984","1-pers.-HH","in school","","","",""
"Very low transfer dependency","1984","1-pers.-HH","inadequately","14","","",""
"Very low transfer dependency","1984","1-pers.-HH","general elemantary","53","0.13070809143307","0.0970810627827317","0.164335120083409"
"Very low transfer dependency","1984","1-pers.-HH","middle vocational","62","0.0994040698331144","0.0756407825923129","0.123167357073916"
"Very low transfer dependency","1984","1-pers.-HH","vocational + Abi","1","","",""
"Very low transfer dependency","1984","1-pers.-HH","higher vocational","1","","",""
"Very low transfer dependency","1984","1-pers.-HH","higher education","8","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","in school","","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","inadequately","28","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","general elemantary","73","0.0816757637887407","0.061329339505593","0.102022188071888"
"Very low transfer dependency","1984","(Married) couple without C. ","middle vocational","156","0.0968570917898359","0.0813809319698716","0.1123332516098"
"Very low transfer dependency","1984","(Married) couple without C. ","vocational + Abi","13","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","higher vocational","18","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","higher education","17","","",""
"Very low transfer dependency","1984","Single parent ","in school","10","","",""
"Very low transfer dependency","1984","Single parent ","inadequately","18","","",""
"Very low transfer dependency","1984","Single parent ","general elemantary","108","0.514714870722893","0.444567300119473","0.584862441326312"
"Very low transfer dependency","1984","Single parent ","middle vocational","130","0.514528196624669","0.452698398942583","0.576357994306754"
"Very low transfer dependency","1984","Single parent ","vocational + Abi","4","","",""
"Very low transfer dependency","1984","Single parent ","higher vocational","14","","",""
