"transab_cat","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Full Time","lower secondary degree","1035","0.443889284417183","0.424327187674622","0.463451381159743"
"No transfer dependency","1984","Full Time","secondary school degree","448","0.523128152916743","0.490369408329039","0.555886897504447"
"No transfer dependency","1984","Full Time","college entrance qualification","257","0.494218669160355","0.452049777935001","0.53638756038571"
"No transfer dependency","1984","Full Time","Other degree","281","0.339889079818936","0.309331123558843","0.37044703607903"
"No transfer dependency","1984","Full Time","no degree/no degree yet","183","0.364572217092427","0.325265956075135","0.40387847810972"
"No transfer dependency","1984","Part Time","lower secondary degree","233","0.299948741524451","0.269690159017168","0.330207324031734"
"No transfer dependency","1984","Part Time","secondary school degree","72","0.229030443633996","0.183693071593744","0.274367815674249"
"No transfer dependency","1984","Part Time","college entrance qualification","112","0.424169386879882","0.365969084360403","0.482369689399361"
"No transfer dependency","1984","Part Time","Other degree","35","0.219230773902005","0.159773674142645","0.278687873661366"
"No transfer dependency","1984","Part Time","no degree/no degree yet","23","","",""
"No transfer dependency","1984","Not Working","lower secondary degree","1449","0.633140045126824","0.614456137483667","0.65182395276998"
"No transfer dependency","1984","Not Working","secondary school degree","272","0.514895720031146","0.476084654251229","0.553706785811063"
"No transfer dependency","1984","Not Working","college entrance qualification","149","0.404736225873025","0.357512004261563","0.451960447484487"
"No transfer dependency","1984","Not Working","Other degree","60","0.236272427610192","0.188985292744728","0.283559562475656"
"No transfer dependency","1984","Not Working","no degree/no degree yet","95","0.16154532175065","0.130759630625981","0.192331012875319"
"Very low transfer dependency","1984","Full Time","lower secondary degree","1392","0.538606511174413","0.518978831105533","0.558234191243293"
"Very low transfer dependency","1984","Full Time","secondary school degree","430","0.461257387520365","0.428562135223604","0.493952639817126"
"Very low transfer dependency","1984","Full Time","college entrance qualification","279","0.497746333323382","0.455575051310875","0.53991761533589"
"Very low transfer dependency","1984","Full Time","Other degree","601","0.606185781977711","0.574665085197817","0.637706478757605"
"Very low transfer dependency","1984","Full Time","no degree/no degree yet","369","0.590970826616226","0.550819766848965","0.631121886383487"
"Very low transfer dependency","1984","Part Time","lower secondary degree","560","0.608677907572488","0.576450817726928","0.640904997418047"
"Very low transfer dependency","1984","Part Time","secondary school degree","240","0.719559041681891","0.671092162096697","0.768025921267085"
"Very low transfer dependency","1984","Part Time","college entrance qualification","133","0.468223948369507","0.40946156455629","0.526986332182724"
"Very low transfer dependency","1984","Part Time","Other degree","114","0.543195535672843","0.471608416678221","0.614782654667465"
"Very low transfer dependency","1984","Part Time","no degree/no degree yet","81","0.583621272851073","0.499526123006451","0.667716422695696"
"Very low transfer dependency","1984","Not Working","lower secondary degree","881","0.289996505795401","0.272405353365984","0.307587658224817"
"Very low transfer dependency","1984","Not Working","secondary school degree","319","0.423877721912619","0.385502048872025","0.462253394953212"
"Very low transfer dependency","1984","Not Working","college entrance qualification","220","0.484382125869315","0.436300175137827","0.532464076600802"
"Very low transfer dependency","1984","Not Working","Other degree","177","0.530714405736865","0.475160283041063","0.586268528432666"
"Very low transfer dependency","1984","Not Working","no degree/no degree yet","342","0.667228154495779","0.627812169112266","0.706644139879292"
"Low transfer dependency","1984","Full Time","lower secondary degree","45","0.0158827367970492","0.010960261622007","0.0208052119720914"
"Low transfer dependency","1984","Full Time","secondary school degree","14","","",""
"Low transfer dependency","1984","Full Time","college entrance qualification","3","","",""
"Low transfer dependency","1984","Full Time","Other degree","39","0.0519136343991132","0.0376012527596917","0.0662260160385347"
"Low transfer dependency","1984","Full Time","no degree/no degree yet","23","","",""
"Low transfer dependency","1984","Part Time","lower secondary degree","62","0.0637244651141803","0.0475951816729265","0.079853748555434"
"Low transfer dependency","1984","Part Time","secondary school degree","12","","",""
"Low transfer dependency","1984","Part Time","college entrance qualification","17","","",""
"Low transfer dependency","1984","Part Time","Other degree","26","","",""
"Low transfer dependency","1984","Part Time","no degree/no degree yet","20","","",""
"Low transfer dependency","1984","Not Working","lower secondary degree","100","0.031227617424632","0.0244846980609336","0.0379705367883304"
"Low transfer dependency","1984","Not Working","secondary school degree","22","","",""
"Low transfer dependency","1984","Not Working","college entrance qualification","14","","",""
"Low transfer dependency","1984","Not Working","Other degree","36","0.0993250319561442","0.0660299071455759","0.132620156766713"
"Low transfer dependency","1984","Not Working","no degree/no degree yet","66","0.115035885345252","0.0883463250690432","0.141725445621462"
"High transfer dependency","1984","Full Time","lower secondary degree","4","","",""
"High transfer dependency","1984","Full Time","secondary school degree","1","","",""
"High transfer dependency","1984","Full Time","college entrance qualification","1","","",""
"High transfer dependency","1984","Full Time","Other degree","2","","",""
"High transfer dependency","1984","Full Time","no degree/no degree yet","1","","",""
"High transfer dependency","1984","Part Time","lower secondary degree","20","","",""
"High transfer dependency","1984","Part Time","secondary school degree","6","","",""
"High transfer dependency","1984","Part Time","college entrance qualification","8","","",""
"High transfer dependency","1984","Part Time","Other degree","10","","",""
"High transfer dependency","1984","Part Time","no degree/no degree yet","7","","",""
"High transfer dependency","1984","Not Working","lower secondary degree","30","0.0108666500835866","0.00684741942954578","0.0148858807376274"
"High transfer dependency","1984","Not Working","secondary school degree","5","","",""
"High transfer dependency","1984","Not Working","college entrance qualification","8","","",""
"High transfer dependency","1984","Not Working","Other degree","18","","",""
"High transfer dependency","1984","Not Working","no degree/no degree yet","10","","",""
"Very high transfer dependency","1984","Full Time","lower secondary degree","2","","",""
"Very high transfer dependency","1984","Full Time","secondary school degree","","","",""
"Very high transfer dependency","1984","Full Time","college entrance qualification","","","",""
