"transab_cat","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1985","Schleswig-Holstein","Urban Area","74","0.52029824314331","0.443603407153573","0.596993079133047"
"No transfer dependency","1985","Schleswig-Holstein","Rural Area","67","0.443692873346023","0.370707366521413","0.516678380170634"
"No transfer dependency","1985","Hamburg","Urban Area","123","0.6195605517059","0.561326486173249","0.677794617238551"
"No transfer dependency","1985","Hamburg","Rural Area","4","","",""
"No transfer dependency","1985","Lower Saxony","Urban Area","205","0.450135047279857","0.408480996164701","0.491789098395013"
"No transfer dependency","1985","Lower Saxony","Rural Area","170","0.392649790718217","0.350142209895694","0.435157371540741"
"No transfer dependency","1985","Bremen","Urban Area","50","0.551754400725406","0.460463690575763","0.643045110875049"
"No transfer dependency","1985","Bremen","Rural Area","","","",""
"No transfer dependency","1985","North Rhine-Westphalia","Urban Area","1034","0.463476973220045","0.444990015458848","0.481963930981242"
"No transfer dependency","1985","North Rhine-Westphalia","Rural Area","26","","",""
"No transfer dependency","1985","Hesse","Urban Area","390","0.537178196482597","0.505353934702062","0.569002458263132"
"No transfer dependency","1985","Hesse","Rural Area","53","0.518037964270984","0.435268283106736","0.600807645435231"
"No transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","261","0.520106194246708","0.480296486541315","0.559915901952101"
"No transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","67","0.553957730601623","0.471023299498396","0.63689216170485"
"No transfer dependency","1985","Baden-Württemberg","Urban Area","619","0.482538338094071","0.458749773287591","0.506326902900551"
"No transfer dependency","1985","Baden-Württemberg","Rural Area","105","0.490656718711244","0.432820311260113","0.548493126162375"
"No transfer dependency","1985","Bavaria","Urban Area","410","0.528338983468046","0.496695049882264","0.559982917053828"
"No transfer dependency","1985","Bavaria","Rural Area","299","0.435520059333518","0.402667258366861","0.468372860300174"
"No transfer dependency","1985","Berlin","Urban Area","161","0.599270172269698","0.548718950572225","0.649821393967172"
"No transfer dependency","1985","Berlin","Rural Area","","","",""
"No transfer dependency","1985","Brandenburg","Urban Area","","","",""
"No transfer dependency","1985","Brandenburg","Rural Area","","","",""
"No transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No transfer dependency","1985","Saxony","Urban Area","","","",""
"No transfer dependency","1985","Saxony","Rural Area","","","",""
"No transfer dependency","1985","Saxony-Anhalt","Urban Area","","","",""
"No transfer dependency","1985","Saxony-Anhalt","Rural Area","","","",""
"No transfer dependency","1985","Thuringia","Urban Area","","","",""
"No transfer dependency","1985","Thuringia","Rural Area","","","",""
"Very low transfer dependency","1985","Schleswig-Holstein","Urban Area","81","0.445284895699925","0.368987754339308","0.521582037060541"
"Very low transfer dependency","1985","Schleswig-Holstein","Rural Area","99","0.496973949627261","0.423522539065368","0.570425360189153"
"Very low transfer dependency","1985","Hamburg","Urban Area","116","0.30116332396462","0.246135625863963","0.356191022065277"
"Very low transfer dependency","1985","Hamburg","Rural Area","2","","",""
"Very low transfer dependency","1985","Lower Saxony","Urban Area","294","0.473299448090239","0.43149642427664","0.515102471903838"
"Very low transfer dependency","1985","Lower Saxony","Rural Area","285","0.517696624022773","0.474201364275449","0.561191883770097"
"Very low transfer dependency","1985","Bremen","Urban Area","34","0.273220962833561","0.191420856125216","0.355021069541906"
"Very low transfer dependency","1985","Bremen","Rural Area","","","",""
"Very low transfer dependency","1985","North Rhine-Westphalia","Urban Area","1547","0.474806570221228","0.456293639024716","0.493319501417741"
"Very low transfer dependency","1985","North Rhine-Westphalia","Rural Area","39","0.518912702733859","0.401021162520313","0.636804242947406"
"Very low transfer dependency","1985","Hesse","Urban Area","500","0.420063041027947","0.388560914307898","0.451565167747997"
"Very low transfer dependency","1985","Hesse","Rural Area","73","0.420375832991207","0.33860918655904","0.502142479423374"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","326","0.443547792744945","0.403960614221509","0.483134971268382"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","63","0.397999006985181","0.31633171671476","0.479666297255603"
"Very low transfer dependency","1985","Baden-Württemberg","Urban Area","1020","0.495176030224401","0.471374053263332","0.518978007185471"
"Very low transfer dependency","1985","Baden-Württemberg","Rural Area","170","0.478522978098981","0.420729859607982","0.53631609658998"
"Very low transfer dependency","1985","Bavaria","Urban Area","510","0.428250670190247","0.396883813289462","0.459617527091033"
"Very low transfer dependency","1985","Bavaria","Rural Area","537","0.519606605513654","0.486502648469339","0.552710562557969"
