"transab_cat","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","no migration background","in school","12","","",""
"No transfer dependency","1984","no migration background","inadequately","24","","",""
"No transfer dependency","1984","no migration background","general elemantary","1072","0.51907679595767","0.498477729203738","0.539675862711602"
"No transfer dependency","1984","no migration background","middle vocational","2022","0.493058735618129","0.478387721666733","0.507729749569525"
"No transfer dependency","1984","no migration background","vocational + Abi","99","0.571806508818381","0.49911516996991","0.644497847666852"
"No transfer dependency","1984","no migration background","higher vocational","256","0.493239239199988","0.45201485599924","0.534463622400736"
"No transfer dependency","1984","no migration background","higher education","303","0.507059753284558","0.468082048556698","0.546037458012418"
"No transfer dependency","1984","direct migration background","in school","1","","",""
"No transfer dependency","1984","direct migration background","inadequately","238","0.246513459217035","0.2184344442099","0.27459247422417"
"No transfer dependency","1984","direct migration background","general elemantary","261","0.347315190363795","0.318406536225884","0.376223844501706"
"No transfer dependency","1984","direct migration background","middle vocational","295","0.372364668046286","0.342476246146601","0.402253089945971"
"No transfer dependency","1984","direct migration background","vocational + Abi","31","0.239388564176855","0.163670186376907","0.315106941976802"
"No transfer dependency","1984","direct migration background","higher vocational","16","","",""
"No transfer dependency","1984","direct migration background","higher education","42","0.278997853287308","0.198751338828341","0.359244367746275"
"No transfer dependency","1984","indirect migration background","in school","2","","",""
"No transfer dependency","1984","indirect migration background","inadequately","","","",""
"No transfer dependency","1984","indirect migration background","general elemantary","14","","",""
"No transfer dependency","1984","indirect migration background","middle vocational","16","","",""
"No transfer dependency","1984","indirect migration background","vocational + Abi","1","","",""
"No transfer dependency","1984","indirect migration background","higher vocational","1","","",""
"No transfer dependency","1984","indirect migration background","higher education","3","","",""
"Very low transfer dependency","1984","no migration background","in school","122","0.811086370786926","0.748444075987998","0.873728665585855"
"Very low transfer dependency","1984","no migration background","inadequately","34","0.419687744574484","0.307246344127695","0.532129145021274"
"Very low transfer dependency","1984","no migration background","general elemantary","1041","0.418575316809129","0.398236419142569","0.438914214475689"
"Very low transfer dependency","1984","no migration background","middle vocational","2210","0.457077205397231","0.442458941456393","0.471695469338068"
"Very low transfer dependency","1984","no migration background","vocational + Abi","67","0.354413030253908","0.284142972853913","0.424683087653903"
"Very low transfer dependency","1984","no migration background","higher vocational","282","0.460905443738524","0.41980350959136","0.502007377885689"
"Very low transfer dependency","1984","no migration background","higher education","311","0.464907256068082","0.426021795693558","0.503792716442606"
"Very low transfer dependency","1984","direct migration background","in school","18","","",""
"Very low transfer dependency","1984","direct migration background","inadequately","550","0.592291724038686","0.560275773732911","0.624307674344462"
"Very low transfer dependency","1984","direct migration background","general elemantary","677","0.57063186926625","0.540577532657516","0.600686205874984"
"Very low transfer dependency","1984","direct migration background","middle vocational","605","0.541988525129187","0.511185151371202","0.572791898887172"
"Very low transfer dependency","1984","direct migration background","vocational + Abi","70","0.549692708936556","0.461408576542303","0.637976841330808"
"Very low transfer dependency","1984","direct migration background","higher vocational","31","0.477019237956154","0.341263803759835","0.612774672152473"
"Very low transfer dependency","1984","direct migration background","higher education","66","0.573144220096565","0.484646922353177","0.661641517839952"
"Very low transfer dependency","1984","indirect migration background","in school","6","","",""
"Very low transfer dependency","1984","indirect migration background","inadequately","3","","",""
"Very low transfer dependency","1984","indirect migration background","general elemantary","28","","",""
"Very low transfer dependency","1984","indirect migration background","middle vocational","32","0.440496293393568","0.305563027400818","0.575429559386318"
"Very low transfer dependency","1984","indirect migration background","vocational + Abi","","","",""
"Very low transfer dependency","1984","indirect migration background","higher vocational","3","","",""
"Very low transfer dependency","1984","indirect migration background","higher education","","","",""
"Low transfer dependency","1984","no migration background","in school","14","","",""
"Low transfer dependency","1984","no migration background","inadequately","11","","",""
"Low transfer dependency","1984","no migration background","general elemantary","74","0.0308623779229798","0.0237321848386711","0.0379925710072885"
"Low transfer dependency","1984","no migration background","middle vocational","138","0.0289037959403507","0.0239874713464656","0.0338201205342359"
"Low transfer dependency","1984","no migration background","vocational + Abi","5","","",""
"Low transfer dependency","1984","no migration background","higher vocational","11","","",""
"Low transfer dependency","1984","no migration background","higher education","16","","",""
"Low transfer dependency","1984","direct migration background","in school","1","","",""
"Low transfer dependency","1984","direct migration background","inadequately","74","0.0947974621034084","0.0757123358092763","0.11388258839754"
"Low transfer dependency","1984","direct migration background","general elemantary","68","0.0452649792929801","0.0326427280290106","0.0578872305569496"
"Low transfer dependency","1984","direct migration background","middle vocational","64","0.0434391717359147","0.0308365145104586","0.0560418289613708"
