variable,type,label_de,study,dataset,version,meantable,probtable,template_id,label,concept,description,description_de,minedition,topic
aequiv_income,byte,Equivalent household income per year,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
age_gr,float,Age Group,soep-core,p_data,v36,demo,demo,,,,,,,Demography
agre,byte,Big Five Traits: Agreeableness Value,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
bmi,float,Body Mass Index,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
bula_h,byte,Federal States,soep-core,p_data,v36,demo,demo,,,,,,,Demography
conc,byte,Big Five Traits: Conscientiousness Value,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
corigin,int,Country Born In,soep-core,p_data,v36,demo,demo,,,,,,,Demography
d11101,int,Age of Individual,soep-core,p_data,v36,demo,demo,,,,,,,Demography
d11109,float,Number of Years of Education,soep-core,p_data,v36,demo,demo,,,,,,,Demography
e11102,byte,Employment Status of Individual,soep-core,p_data,v36,demo,demo,,,,,,,Demography
e11103,byte,Employment Level of Individual,soep-core,p_data,v36,demo,demo,,,,,,,Demography
education,float,Education Level,soep-core,p_data,v36,demo,demo,,,,,,,Demography
erwst,float,Employment status,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
extr,byte,Big Five Traits: Extraversion Value,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
gebjahr,,Birth Year,soep-core,p_data,v36,demo,demo,,,,,,,Demography
germborn,byte,German Born,soep-core,p_data,v36,demo,demo,,,,,,,Demography
hghinc,byte,Monthly household net income (EUR),soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
hgowner,byte,Tenant or Owner of Dwelling,soep-core,p_data,v36,No,Yes,,,,,,,"Home, Amenities, and Contributions of Private HH"
hgtyp1hh,byte,Household typology (1-digit),soep-core,p_data,v36,demo,demo,,,,,,,Demography
hid,long,Household ID,soep-core,p_data,v36,,,,,,,,,
hinceq,byte,Equivalent household income monthly,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
hlf0001_h,byte,"Main Tenant, Sub-Tenant, Owner",soep-core,p_data,v36,No,Yes,,,,,,,"Home, Amenities, and Contributions of Private HH"
hlf0019_h,byte,Total living space in sqm,soep-core,p_data,v36,Yes,No,,,,,,,"Home, Amenities, and Contributions of Private HH"
hlf0021_h,byte,Number of rooms in Apartment,soep-core,p_data,v36,Yes,No,,,,,,,"Home, Amenities, and Contributions of Private HH"
hlf0071_h,byte,Assessment of dwelling size,soep-core,p_data,v36,No,Yes,,,,,,,"Home, Amenities, and Contributions of Private HH"
hlf0094,byte,Houseing Costs vs Comparable Dwellings,soep-core,p_data,v36,No,Yes,,,,,,,"Home, Amenities, and Contributions of Private HH"
i11101,byte,HH Pre-Government Income,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
i11102,byte,HH Post-Government Income,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
i11103,long,HH Labor Income,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
i11106,byte,HH Private Transfers,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
i11107,byte,HH Public Transfers,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
m11104,byte,Frequency of Sport or Exercise,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
m11124,byte,Disability Status of Individual,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
m11125,byte,Satisfaction with Health,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
m11126,byte,Current Self-Rated Health Status,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
migback,byte,Migration background,soep-core,p_data,v36,demo,demo,,,,,,,Demography
neur,byte,Big Five Traits: Neuroticism Value,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
open,byte,Big Five Traits: Openness Value,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
party,float,Party affiliation,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
pgcasmin,byte,CASMIN-Klassifikation,soep-core,p_data,v36,demo,demo,,,,,,,Demography
pgfamstd,byte,Marital Status in Survey Year,soep-core,p_data,v36,No,Yes,,,,,,,"Home, Amenities, and Contributions of Private HH"
pgisced97,double,ISCED-1997-Classification,soep-core,p_data,v36,demo,demo,,,,,,,Demography
pglabgro,double,Current Gross Labor Income in Euro,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
pglabnet,double,Current Net Labor Income in Euro,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
pgnation,int,Nationality,soep-core,p_data,v36,No,Yes,,,,,,,Demography
pgoeffd,float,Civil Service,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
pgtatzeit,float,Actual Work Time Per Week,soep-core,p_data,v36,Yes,No,,,,,,,Work and Employment
pgvebzeit,float,Agreed Upon Work Time Per Week,soep-core,p_data,v36,Yes,No,,,,,,,Work and Employment
phrf,double,Weighting factor,soep-core,p_data,v36,,,,,,,,,
pid,long,Individual ID,soep-core,p_data,v36,,,,,,,,,
plb0037_h,byte,Employment relationship Limited/Unlimited,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
plb0050,byte,"Works council, staff council in company (""Betriebsrat"")",soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
plb0158,float,Distance from home to work in km,soep-core,p_data,v36,Yes,No,,,,,,,Work and Employment
plb0195_h,byte,Compensate overtime,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
plb0196_h,byte,Overtime last month,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
plb0197,float,Overtime last month number,soep-core,p_data,v36,Yes,No,,,,,,,Work and Employment
plb0218,byte,Work on Saturday,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
plb0219,byte,Work on Sunday,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
pld0043,byte,Hfk. pers. Lend things to friends,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
pld0044,byte,Hfk. Lend money to friends,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
pld0045,byte,Hfk. Door unlocked,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
pld0047,float,Number of close friends,soep-core,p_data,v36,Yes,No,,,,,,,Time Use and Environmental Behavior
ple0004,byte,Health condition impaired Climbing stairs,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0005,byte,Health condition impair. exert. Activities,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0006,float,Body height in cm,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
ple0007,float,Body weight in kg,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
ple0008,byte,Current state of health,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
ple0009,byte,Restriction in everyday life due to health problems,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0011,byte,Sleep disorder,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0012,byte,diabetes,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0013,byte,asthma,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0014,byte,Heart disease,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0015,byte,Cancer,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0016,byte,Stroke,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0017,byte,Migraine,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0018,byte,High blood pressure,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0019,byte,Depressive illness,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0020,byte,Dementia,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0021,byte,"Joint diseases (also arthrosis, rheumatism)",soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0022,byte,Chronic back problems,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0024,byte,No disease detected,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0040,byte,"Disability, severe disability",soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0041,byte,Degree of disability in percent,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
ple0044_h,byte,Didn't Work Last Year Due to Illness,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0053,byte,Hospitalization previous year,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0055,float,Hospitalization previous year Number,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
ple0056,float,Hospitalization previous year Nights,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
ple0081_h,float,Smoking,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0097,byte,Type of health insurance,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0098_v5,byte,Private supplementary health insurance (yes/no),soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0128_h,float,Contribution for private supplementary health insurance,soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
ple0160,byte,Change of insurance company in previous year,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
ple0162,byte,Health problems longer than half a year,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
plh0032,byte,Worries: Economic development,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0033,byte,Worries: Finances,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0034,byte,Worries: Stability of financial markets,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0035,byte,Worries: Own health,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0036,byte,Worries: Environment,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0037,byte,Worries: Consequences from climate change,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0038,byte,Worries: Peace,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0039,byte,Worries: Global terrorism,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0040,byte,Worries: Crime in Germany,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0042,byte,Worries: Job Security,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0105,byte,Importance: To be there for others,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0106,byte,Importance: to realize oneself,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0107,byte,Importance: To be successful in business,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0108,byte,Importance: To have own house,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
