"plh0191","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","Schleswig-Holstein","Urban Area","","","",""
"True entirely","1990","Schleswig-Holstein","Rural Area","","","",""
"True entirely","1990","Hamburg","Urban Area","","","",""
"True entirely","1990","Hamburg","Rural Area","","","",""
"True entirely","1990","Lower Saxony","Urban Area","","","",""
"True entirely","1990","Lower Saxony","Rural Area","","","",""
"True entirely","1990","Bremen","Urban Area","","","",""
"True entirely","1990","Bremen","Rural Area","","","",""
"True entirely","1990","North Rhine-Westphalia","Urban Area","","","",""
"True entirely","1990","North Rhine-Westphalia","Rural Area","","","",""
"True entirely","1990","Hesse","Urban Area","","","",""
"True entirely","1990","Hesse","Rural Area","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"True entirely","1990","Baden-Württemberg","Urban Area","","","",""
"True entirely","1990","Baden-Württemberg","Rural Area","","","",""
"True entirely","1990","Bavaria","Urban Area","","","",""
"True entirely","1990","Bavaria","Rural Area","","","",""
"True entirely","1990","Berlin","Urban Area","18","","",""
"True entirely","1990","Berlin","Rural Area","","","",""
"True entirely","1990","Brandenburg","Urban Area","6","","",""
"True entirely","1990","Brandenburg","Rural Area","47","0.0812386421069392","0.060300318620769","0.102176965593109"
"True entirely","1990","Mecklenburg-Western Pomerania","Urban Area","11","","",""
"True entirely","1990","Mecklenburg-Western Pomerania","Rural Area","33","0.0778204145310595","0.0529584648267102","0.102682364235409"
"True entirely","1990","Saxony","Urban Area","61","0.103113129244913","0.0805527603647128","0.125673498125114"
"True entirely","1990","Saxony","Rural Area","43","0.0799624923763624","0.0585084154745277","0.101416569278197"
"True entirely","1990","Saxony-Anhalt","Urban Area","27","","",""
"True entirely","1990","Saxony-Anhalt","Rural Area","50","0.101137733362412","0.0762762492717045","0.12599921745312"
"True entirely","1990","Thuringia","Urban Area","20","","",""
"True entirely","1990","Thuringia","Rural Area","36","0.0740404169240149","0.0514703283910761","0.0966105054569536"
"Tends to agree","1990","Schleswig-Holstein","Urban Area","","","",""
"Tends to agree","1990","Schleswig-Holstein","Rural Area","","","",""
"Tends to agree","1990","Hamburg","Urban Area","","","",""
"Tends to agree","1990","Hamburg","Rural Area","","","",""
"Tends to agree","1990","Lower Saxony","Urban Area","","","",""
"Tends to agree","1990","Lower Saxony","Rural Area","","","",""
"Tends to agree","1990","Bremen","Urban Area","","","",""
"Tends to agree","1990","Bremen","Rural Area","","","",""
"Tends to agree","1990","North Rhine-Westphalia","Urban Area","","","",""
"Tends to agree","1990","North Rhine-Westphalia","Rural Area","","","",""
"Tends to agree","1990","Hesse","Urban Area","","","",""
"Tends to agree","1990","Hesse","Rural Area","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Tends to agree","1990","Baden-Württemberg","Urban Area","","","",""
"Tends to agree","1990","Baden-Württemberg","Rural Area","","","",""
"Tends to agree","1990","Bavaria","Urban Area","","","",""
"Tends to agree","1990","Bavaria","Rural Area","","","",""
"Tends to agree","1990","Berlin","Urban Area","44","0.160114919156154","0.117314367125283","0.202915471187024"
"Tends to agree","1990","Berlin","Rural Area","","","",""
"Tends to agree","1990","Brandenburg","Urban Area","19","","",""
"Tends to agree","1990","Brandenburg","Rural Area","148","0.232019463299044","0.199667806063245","0.264371120534842"
"Tends to agree","1990","Mecklenburg-Western Pomerania","Urban Area","10","","",""
"Tends to agree","1990","Mecklenburg-Western Pomerania","Rural Area","106","0.247082186028064","0.207053146877849","0.287111225178279"
"Tends to agree","1990","Saxony","Urban Area","148","0.205839552400817","0.175845239277393","0.235833865524242"
"Tends to agree","1990","Saxony","Rural Area","112","0.178231646665318","0.147960350200808","0.208502943129827"
"Tends to agree","1990","Saxony-Anhalt","Urban Area","54","0.238411103466125","0.184161388739273","0.292660818192978"
"Tends to agree","1990","Saxony-Anhalt","Rural Area","113","0.195235830838652","0.1625516243539","0.227920037323405"
"Tends to agree","1990","Thuringia","Urban Area","35","0.175995701086075","0.12348012005049","0.22851128212166"
"Tends to agree","1990","Thuringia","Rural Area","95","0.182827572645576","0.149509450320529","0.216145694970623"
"Rather not true","1990","Schleswig-Holstein","Urban Area","","","",""
"Rather not true","1990","Schleswig-Holstein","Rural Area","","","",""
"Rather not true","1990","Hamburg","Urban Area","","","",""
"Rather not true","1990","Hamburg","Rural Area","","","",""
"Rather not true","1990","Lower Saxony","Urban Area","","","",""
"Rather not true","1990","Lower Saxony","Rural Area","","","",""
"Rather not true","1990","Bremen","Urban Area","","","",""
"Rather not true","1990","Bremen","Rural Area","","","",""
"Rather not true","1990","North Rhine-Westphalia","Urban Area","","","",""
"Rather not true","1990","North Rhine-Westphalia","Rural Area","","","",""
"Rather not true","1990","Hesse","Urban Area","","","",""
