"plh0191","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","(0) in school","","","",""
"True entirely","1990","(1a) inadequately completed","2","","",""
"True entirely","1990","(1b) general elementary school","56","0.194354990343782","0.151981387057246","0.236728593630318"
"True entirely","1990","(1c) basic vocational qualification","151","0.124150783346403","0.106488485363715","0.141813081329092"
"True entirely","1990","(2b) intermediate general qualification","9","","",""
"True entirely","1990","(2a) intermediate vocational","80","0.0589183423843289","0.0465127084950153","0.0713239762736424"
"True entirely","1990","(2c_gen) general maturity certificate","3","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","2","","",""
"True entirely","1990","(3a) lower tertiary education","34","0.0526534434447212","0.035536467254044","0.0697704196353984"
"True entirely","1990","(3b) higher tertiary education","18","","",""
"Tends to agree","1990","(0) in school","","","",""
"Tends to agree","1990","(1a) inadequately completed","12","","",""
"Tends to agree","1990","(1b) general elementary school","86","0.236624111865753","0.191112270699816","0.28213595303169"
"Tends to agree","1990","(1c) basic vocational qualification","293","0.217985171043489","0.195870587151978","0.240099754935"
"Tends to agree","1990","(2b) intermediate general qualification","38","0.209680867705673","0.150376121189156","0.26898561422219"
"Tends to agree","1990","(2a) intermediate vocational","269","0.19284417585187","0.172058602820679","0.21362974888306"
"Tends to agree","1990","(2c_gen) general maturity certificate","8","","",""
"Tends to agree","1990","(2c_voc) vocational maturity certificate","16","","",""
"Tends to agree","1990","(3a) lower tertiary education","123","0.187573006237023","0.157654730618016","0.21749128185603"
"Tends to agree","1990","(3b) higher tertiary education","56","0.176762291487573","0.136274103515798","0.217250479459347"
"Rather not true","1990","(0) in school","1","","",""
"Rather not true","1990","(1a) inadequately completed","18","","",""
"Rather not true","1990","(1b) general elementary school","106","0.32432116941648","0.274192809888702","0.374449528944258"
"Rather not true","1990","(1c) basic vocational qualification","441","0.323447172956659","0.29839125381399","0.348503092099328"
"Rather not true","1990","(2b) intermediate general qualification","79","0.442264160144527","0.369909925584447","0.514618394704607"
"Rather not true","1990","(2a) intermediate vocational","494","0.356422093165791","0.33118944003223","0.381654746299351"
"Rather not true","1990","(2c_gen) general maturity certificate","22","","",""
"Rather not true","1990","(2c_voc) vocational maturity certificate","32","0.382730043083698","0.278787749639338","0.486672336528058"
"Rather not true","1990","(3a) lower tertiary education","241","0.371553507859444","0.334519215302831","0.408587800416057"
"Rather not true","1990","(3b) higher tertiary education","153","0.43579666870863","0.383166994985647","0.488426342431613"
"Totally disagree","1990","(0) in school","","","",""
"Totally disagree","1990","(1a) inadequately completed","11","","",""
"Totally disagree","1990","(1b) general elementary school","87","0.244699728373985","0.198663233323255","0.290736223424715"
"Totally disagree","1990","(1c) basic vocational qualification","454","0.334416872653448","0.309147000478009","0.359686744828888"
"Totally disagree","1990","(2b) intermediate general qualification","55","0.285119967247863","0.219348246634401","0.350891687861324"
"Totally disagree","1990","(2a) intermediate vocational","541","0.391815388598011","0.366097310900451","0.417533466295571"
"Totally disagree","1990","(2c_gen) general maturity certificate","13","","",""
"Totally disagree","1990","(2c_voc) vocational maturity certificate","34","0.427177174931355","0.321392531859834","0.532961818002876"
"Totally disagree","1990","(3a) lower tertiary education","256","0.388220042458812","0.350869594423593","0.425570490494032"
"Totally disagree","1990","(3b) higher tertiary education","114","0.337019573111532","0.2868490283068","0.387190117916265"
"True entirely","1991","(0) in school","","","",""
"True entirely","1991","(1a) inadequately completed","1","","",""
"True entirely","1991","(1b) general elementary school","64","0.210824280883333","0.164039582232319","0.257608979534346"
"True entirely","1991","(1c) basic vocational qualification","155","0.136599836491418","0.117257578465658","0.155942094517179"
"True entirely","1991","(2b) intermediate general qualification","8","","",""
"True entirely","1991","(2a) intermediate vocational","66","0.0483227763090011","0.0368193229767674","0.0598262296412349"
"True entirely","1991","(2c_gen) general maturity certificate","2","","",""
"True entirely","1991","(2c_voc) vocational maturity certificate","4","","",""
"True entirely","1991","(3a) lower tertiary education","37","0.0594661331496112","0.040998982803556","0.0779332834956663"
"True entirely","1991","(3b) higher tertiary education","7","","",""
"Tends to agree","1991","(0) in school","","","",""
"Tends to agree","1991","(1a) inadequately completed","19","","",""
"Tends to agree","1991","(1b) general elementary school","90","0.307936661261687","0.254987353650318","0.360885968873055"
"Tends to agree","1991","(1c) basic vocational qualification","326","0.26618857725094","0.241296395641743","0.291080758860138"
