"plh0191","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Full Time","West Germany","98","0.0353027054485217","0.0288571360974512","0.0417482747995921"
"True entirely","1992","Full Time","East Germany","100","0.0504131524829545","0.0412327865807604","0.0595935183851485"
"True entirely","1992","Part Time","West Germany","52","0.035418042489073","0.0256054896696007","0.0452305953085452"
"True entirely","1992","Part Time","East Germany","44","0.0621855335771285","0.045005249149825","0.079365818004432"
"True entirely","1992","Not Working","West Germany","152","0.0706963463314791","0.0606428730762216","0.0807498195867366"
"True entirely","1992","Not Working","East Germany","141","0.159422736679289","0.137142353162477","0.181703120196101"
"Tends to agree","1992","Full Time","West Germany","215","0.071673756521434","0.0626644335047572","0.0806830795381108"
"Tends to agree","1992","Full Time","East Germany","414","0.205192377146121","0.188247737351455","0.222137016940787"
"Tends to agree","1992","Part Time","West Germany","124","0.0939605445743849","0.0784707206572125","0.109450368491557"
"Tends to agree","1992","Part Time","East Germany","188","0.242002831881639","0.211532918568525","0.272472745194753"
"Tends to agree","1992","Not Working","West Germany","376","0.16538157634867","0.150809334613416","0.179953818083923"
"Tends to agree","1992","Not Working","East Germany","295","0.292381079876225","0.264696810657168","0.320065349095282"
"Rather not true","1992","Full Time","West Germany","897","0.282241946671249","0.266521619615061","0.297962273727437"
"Rather not true","1992","Full Time","East Germany","896","0.408340014941721","0.387716257741395","0.428963772142047"
"Rather not true","1992","Part Time","West Germany","380","0.288230388034571","0.26418455830348","0.312276217765662"
"Rather not true","1992","Part Time","East Germany","285","0.36831331596911","0.333998097009754","0.402628534928466"
"Rather not true","1992","Not Working","West Germany","702","0.280387439197085","0.262768998676877","0.298005879717293"
"Rather not true","1992","Not Working","East Germany","351","0.32778993532994","0.299220015254115","0.356359855405766"
"Totally disagree","1992","Full Time","West Germany","1939","0.610781591358795","0.593752110191947","0.627811072525643"
"Totally disagree","1992","Full Time","East Germany","772","0.336054455429203","0.316234997271193","0.355873913587213"
"Totally disagree","1992","Part Time","West Germany","807","0.582391024901971","0.556209652279052","0.608572397524891"
"Totally disagree","1992","Part Time","East Germany","242","0.327498318572123","0.294111239350821","0.360885397793425"
"Totally disagree","1992","Not Working","West Germany","1267","0.483534638122766","0.463933864409451","0.503135411836082"
"Totally disagree","1992","Not Working","East Germany","250","0.220406248114546","0.195176969163962","0.245635527065129"
"True entirely","1993","Full Time","West Germany","234","0.0566396894650517","0.0497267024843074","0.0635526764457959"
"True entirely","1993","Full Time","East Germany","79","0.043039233536283","0.0339920897053123","0.0520863773672536"
"True entirely","1993","Part Time","West Germany","115","0.0630046476024695","0.0517957087579936","0.0742135864469454"
"True entirely","1993","Part Time","East Germany","58","0.0946749648725119","0.0720108419141711","0.117339087830853"
"True entirely","1993","Not Working","West Germany","276","0.0955826371012891","0.0852971140217881","0.10586816018079"
"True entirely","1993","Not Working","East Germany","182","0.182738307511721","0.161289150183472","0.20418746483997"
"Tends to agree","1993","Full Time","West Germany","519","0.112737078654015","0.103278496034245","0.122195661273785"
"Tends to agree","1993","Full Time","East Germany","352","0.187706402990574","0.170299230908327","0.20511357507282"
"Tends to agree","1993","Part Time","West Germany","234","0.128617064640382","0.11317293956606","0.144061189714704"
"Tends to agree","1993","Part Time","East Germany","131","0.219062129078079","0.187042892687976","0.251081365468182"
"Tends to agree","1993","Not Working","West Germany","606","0.188804105529096","0.175113551546118","0.202494659512075"
