"plh0191","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Full Time","Male","121","0.0359043903327705","0.029701486400908","0.0421072942646331"
"True entirely","1992","Full Time","Female","77","0.04538839286407","0.0359666073584043","0.0548101783697358"
"True entirely","1992","Part Time","Male","23","","",""
"True entirely","1992","Part Time","Female","73","0.0462797516463976","0.0356158708752765","0.0569436324175187"
"True entirely","1992","Not Working","Male","91","0.0747707271187784","0.05943517721179","0.0901062770257667"
"True entirely","1992","Not Working","Female","202","0.0926434205196823","0.0810535883667013","0.104233252672663"
"Tends to agree","1992","Full Time","Male","374","0.0974676062822886","0.0875792803351022","0.107355932229475"
"Tends to agree","1992","Full Time","Female","255","0.11825927185197","0.10364303721876","0.13287550648518"
"Tends to agree","1992","Part Time","Male","86","0.118917035041364","0.0936610768537002","0.144172993229027"
"Tends to agree","1992","Part Time","Female","226","0.12904947696829","0.112032432419377","0.146066521517202"
"Tends to agree","1992","Not Working","Male","221","0.197702847568651","0.174481738572561","0.220923956564742"
"Tends to agree","1992","Not Working","Female","450","0.184120209625893","0.168626882969079","0.199613536282707"
"Rather not true","1992","Full Time","Male","1165","0.312954483647484","0.297495014816437","0.328413952478531"
"Rather not true","1992","Full Time","Female","628","0.313044128509898","0.292054021330634","0.334034235689162"
"Rather not true","1992","Part Time","Male","197","0.310842999102198","0.274730042762668","0.346955955441728"
"Rather not true","1992","Part Time","Female","468","0.303148780309515","0.27981918452367","0.326478376095361"
"Rather not true","1992","Not Working","Male","312","0.278806771627535","0.25266190996486","0.304951633290209"
"Rather not true","1992","Not Working","Female","741","0.293910751921673","0.275700397623397","0.312121106219948"
"Totally disagree","1992","Full Time","Male","1796","0.553673519737457","0.537100012291757","0.570247027183157"
"Totally disagree","1992","Full Time","Female","915","0.523308206774062","0.500701095842915","0.545915317705209"
"Totally disagree","1992","Part Time","Male","325","0.540441320487368","0.501556672562315","0.57932596841242"
"Totally disagree","1992","Part Time","Female","724","0.521521991075797","0.49616623451776","0.546877747633834"
"Totally disagree","1992","Not Working","Male","506","0.448719653685035","0.419720677183338","0.477718630186733"
"Totally disagree","1992","Not Working","Female","1011","0.429325617932752","0.409539142060654","0.449112093804851"
"True entirely","1993","Full Time","Male","204","0.0547089997867281","0.0477691788693391","0.0616488207041171"
"True entirely","1993","Full Time","Female","109","0.0519542812782172","0.0424689224232519","0.0614396401331825"
"True entirely","1993","Part Time","Male","50","0.0587912905630988","0.0421001779400695","0.0754824031861281"
"True entirely","1993","Part Time","Female","123","0.0730670198463318","0.0606335914538057","0.0855004482388579"
"True entirely","1993","Not Working","Male","144","0.104597230260527","0.0888453138354907","0.120349146685564"
"True entirely","1993","Not Working","Female","314","0.117445686481442","0.105800154786238","0.129091218176646"
"Tends to agree","1993","Full Time","Male","557","0.125108239255613","0.115012079037532","0.135204399473695"
"Tends to agree","1993","Full Time","Female","314","0.134849802358464","0.120251600403872","0.149448004313056"
"Tends to agree","1993","Part Time","Male","119","0.151852171801111","0.126387850641926","0.177316492960296"
"Tends to agree","1993","Part Time","Female","246","0.141313941063687","0.124671549217431","0.157956332909943"
"Tends to agree","1993","Not Working","Male","289","0.198606912194202","0.178072415356414","0.21914140903199"
"Tends to agree","1993","Not Working","Female","638","0.2100000912819","0.195267018723166","0.224733163840633"
"Rather not true","1993","Full Time","Male","1456","0.344179023922305","0.329680594275595","0.358677453569015"
"Rather not true","1993","Full Time","Female","792","0.373673967217485","0.352997558533846","0.394350375901123"
"Rather not true","1993","Part Time","Male","256","0.339228006819864","0.305634334173404","0.372821679466325"
"Rather not true","1993","Part Time","Female","600","0.338850191587627","0.316237105348081","0.361463277827172"
"Rather not true","1993","Not Working","Male","481","0.325896439896712","0.301771446207834","0.35002143358559"
"Rather not true","1993","Not Working","Female","962","0.318855171093898","0.30199792877783","0.335712413409965"
"Totally disagree","1993","Full Time","Male","1908","0.476003737035353","0.460763020326594","0.491244453744112"
"Totally disagree","1993","Full Time","Female","888","0.439521949145834","0.418309146889814","0.460734751401853"
"Totally disagree","1993","Part Time","Male","338","0.450128530815926","0.414827719593975","0.485429342037876"
"Totally disagree","1993","Part Time","Female","714","0.446768847502354","0.423016814496401","0.470520880508308"
"Totally disagree","1993","Not Working","Male","536","0.370899417648559","0.346036493259975","0.395762342037143"
"Totally disagree","1993","Not Working","Female","1022","0.353699051142761","0.336404694547017","0.370993407738504"
"True entirely","1994","Full Time","Male","","","",""
"True entirely","1994","Full Time","Female","","","",""
"True entirely","1994","Part Time","Male","","","",""
"True entirely","1994","Part Time","Female","","","",""
"True entirely","1994","Not Working","Male","","","",""
"True entirely","1994","Not Working","Female","","","",""
"Tends to agree","1994","Full Time","Male","","","",""
"Tends to agree","1994","Full Time","Female","","","",""
"Tends to agree","1994","Part Time","Male","","","",""
"Tends to agree","1994","Part Time","Female","","","",""
"Tends to agree","1994","Not Working","Male","","","",""
"Tends to agree","1994","Not Working","Female","","","",""
"Rather not true","1994","Full Time","Male","","","",""
"Rather not true","1994","Full Time","Female","","","",""
"Rather not true","1994","Part Time","Male","","","",""
"Rather not true","1994","Part Time","Female","","","",""
"Rather not true","1994","Not Working","Male","","","",""
"Rather not true","1994","Not Working","Female","","","",""
"Totally disagree","1994","Full Time","Male","","","",""
"Totally disagree","1994","Full Time","Female","","","",""
"Totally disagree","1994","Part Time","Male","","","",""
"Totally disagree","1994","Part Time","Female","","","",""
"Totally disagree","1994","Not Working","Male","","","",""
"Totally disagree","1994","Not Working","Female","","","",""
"True entirely","1995","Full Time","Male","114","0.0284559031717424","0.023254198320801","0.0336576080226839"
"True entirely","1995","Full Time","Female","70","0.0433427227972969","0.0343393942509367","0.0523460513436571"
"True entirely","1995","Part Time","Male","40","0.0443278057627895","0.0304911473266505","0.0581644641989284"
"True entirely","1995","Part Time","Female","75","0.0424096457661518","0.0329544052798582","0.0518648862524455"
"True entirely","1995","Not Working","Male","132","0.0948749691806872","0.0805652723634637","0.109184665997911"
"True entirely","1995","Not Working","Female","278","0.104502046214378","0.093839477222521","0.115164615206236"
"Tends to agree","1995","Full Time","Male","392","0.0884420761485985","0.0795592766322885","0.0973248756649086"
"Tends to agree","1995","Full Time","Female","216","0.0915665885257419","0.0788144835223827","0.104318693529101"
"Tends to agree","1995","Part Time","Male","120","0.142198010969365","0.118719047860533","0.165676974078197"
"Tends to agree","1995","Part Time","Female","234","0.119674795415815","0.104445728659726","0.134903862171905"
"Tends to agree","1995","Not Working","Male","293","0.17399341806418","0.155481198836239","0.192505637292121"
"Tends to agree","1995","Not Working","Female","595","0.191081153394687","0.17737774622127","0.204784560568105"
"Rather not true","1995","Full Time","Male","1451","0.360226492844622","0.345207901115015","0.375245084574229"
"Rather not true","1995","Full Time","Female","728","0.364824837529843","0.343540714227161","0.386108960832525"
"Rather not true","1995","Part Time","Male","310","0.351446182204403","0.319350910748911","0.383541453659896"
"Rather not true","1995","Part Time","Female","577","0.339410349796785","0.317193688268585","0.361627011324986"
"Rather not true","1995","Not Working","Male","517","0.310023775509338","0.287439046485307","0.332608504533369"
"Rather not true","1995","Not Working","Female","1059","0.319811163705132","0.303554601210528","0.336067726199736"
"Totally disagree","1995","Full Time","Male","1968","0.522875527835037","0.507249691732616","0.538501363937458"
"Totally disagree","1995","Full Time","Female","951","0.500265851147118","0.478158497602453","0.522373204691783"
"Totally disagree","1995","Part Time","Male","380","0.462028001063442","0.428511967840356","0.495544034286528"
"Totally disagree","1995","Part Time","Female","859","0.498505209021247","0.47504572591214","0.521964692130355"
"Totally disagree","1995","Not Working","Male","669","0.421107837245794","0.396997914550779","0.445217759940809"
"Totally disagree","1995","Not Working","Female","1230","0.384605636685802","0.36764853058098","0.401562742790624"
"True entirely","1996","Full Time","Male","106","0.0263364929914994","0.0212617297048291","0.0314112562781697"
"True entirely","1996","Full Time","Female","78","0.0382888916103182","0.0296876160677172","0.0468901671529193"
