"plh0191","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","no migration background","Male","734","0.355255441483103","0.334466928917917","0.37604395404829","3"
"Rather not true","1990","no migration background","Female","797","0.349884047256788","0.33012897936654","0.369639115147037","3"
"Rather not true","1990","direct migration background","Male","25","","","","3"
"Rather not true","1990","direct migration background","Female","34","0.456217245154368","0.346384178555123","0.566050311753613","3"
"Rather not true","1990","indirect migration background","Male","","","","","3"
"Rather not true","1990","indirect migration background","Female","","","","","3"
"Tends to agree","1990","no migration background","Male","382","0.191749582478715","0.174649453484465","0.208849711472965","2"
"Tends to agree","1990","direct migration background","Male","17","","","","2"
"Tends to agree","1990","direct migration background","Female","10","","","","2"
"Tends to agree","1990","indirect migration background","Male","","","","","2"
"Tends to agree","1990","no migration background","Female","493","0.219905061846786","0.202749206044237","0.237060917649335","2"
"Tends to agree","1990","indirect migration background","Female","","","","","2"
"Totally disagree","1990","no migration background","Male","779","0.376473725277385","0.355428483505635","0.397518967049135","4"
"Totally disagree","1990","no migration background","Female","745","0.324901768732903","0.305502714056172","0.344300823409634","4"
"Totally disagree","1990","direct migration background","Male","18","","","","4"
"Totally disagree","1990","indirect migration background","Male","1","","","","4"
"Totally disagree","1990","direct migration background","Female","27","","","","4"
"Totally disagree","1990","indirect migration background","Female","","","","","4"
"True entirely","1990","no migration background","Male","141","0.076521250760797","0.0649743964234863","0.0880681050981077","1"
"True entirely","1990","no migration background","Female","204","0.105309122163523","0.09259487806259","0.118023366264456","1"
"True entirely","1990","direct migration background","Male","4","","","","1"
"True entirely","1990","direct migration background","Female","8","","","","1"
"True entirely","1990","indirect migration background","Male","","","","","1"
"True entirely","1990","indirect migration background","Female","1","","","","1"
"Rather not true","1991","no migration background","Male","775","0.396052589878352","0.374199062442781","0.417906117313923","3"
"Rather not true","1991","no migration background","Female","826","0.380659823141684","0.359833337488493","0.401486308794874","3"
"Rather not true","1991","direct migration background","Male","23","","","","3"
"Rather not true","1991","direct migration background","Female","35","0.402248837689171","0.29546311401997","0.509034561358373","3"
"Rather not true","1991","indirect migration background","Male","2","","","","3"
"Rather not true","1991","indirect migration background","Female","","","","","3"
"Tends to agree","1991","no migration background","Female","518","0.260152297511221","0.241334541143849","0.278970053878593","2"
"Tends to agree","1991","direct migration background","Male","16","","","","2"
"Tends to agree","1991","no migration background","Male","410","0.224781654212097","0.206129112941424","0.243434195482769","2"
"Tends to agree","1991","direct migration background","Female","15","","","","2"
"Tends to agree","1991","indirect migration background","Male","","","","","2"
"Tends to agree","1991","indirect migration background","Female","","","","","2"
"Totally disagree","1991","no migration background","Male","601","0.302262926630729","0.28174261753033","0.322783235731127","4"
"Totally disagree","1991","no migration background","Female","552","0.258336324443777","0.23956136158584","0.277111287301713","4"
"Totally disagree","1991","direct migration background","Male","17","","","","4"
"Totally disagree","1991","indirect migration background","Male","","","","","4"
"Totally disagree","1991","direct migration background","Female","21","","","","4"
"Totally disagree","1991","indirect migration background","Female","","","","","4"
"True entirely","1991","no migration background","Male","138","0.0769028292788229","0.0649975270184198","0.088808131539226","1"
"True entirely","1991","no migration background","Female","192","0.100851554903319","0.0879352038000053","0.113767906006632","1"
"True entirely","1991","direct migration background","Male","5","","","","1"
"True entirely","1991","direct migration background","Female","10","","","","1"
"True entirely","1991","indirect migration background","Male","","","","","1"
"True entirely","1991","indirect migration background","Female","1","","","","1"
"Rather not true","1992","no migration background","Male","1591","0.306961456870445","0.29407212821271","0.31985078552818","3"
"Rather not true","1992","no migration background","Female","1730","0.30209396850123","0.289863067010611","0.31432486999185","3"
"Rather not true","1992","direct migration background","Male","69","0.242682165213126","0.190471860029315","0.294892470396937","3"
"Rather not true","1992","direct migration background","Female","98","0.300469778793815","0.249841116389036","0.351098441198595","3"
"Rather not true","1992","indirect migration background","Male","14","","","","3"
"Rather not true","1992","indirect migration background","Female","9","","","","3"
"Tends to agree","1992","no migration background","Male","647","0.126855456668811","0.117554934583089","0.136155978754532","2"
"Tends to agree","1992","no migration background","Female","877","0.153530338057894","0.143927673305805","0.163133002809983","2"
"Tends to agree","1992","direct migration background","Female","50","0.159091925560408","0.118700317401148","0.199483533719667","2"
"Tends to agree","1992","direct migration background","Male","31","0.12154260528631","0.0817481255576607","0.161337085014959","2"
"Tends to agree","1992","indirect migration background","Male","3","","","","2"
"Tends to agree","1992","indirect migration background","Female","4","","","","2"
"Totally disagree","1992","no migration background","Male","2469","0.5228327152019","0.508874612570639","0.53679081783316","4"
"Totally disagree","1992","no migration background","Female","2483","0.477306322594822","0.464001435841385","0.490611209348259","4"
"Totally disagree","1992","direct migration background","Male","138","0.560324476788214","0.499876168571442","0.620772785004986","4"
"Totally disagree","1992","direct migration background","Female","141","0.444212103076354","0.389341144109854","0.499083062042854","4"
"Totally disagree","1992","indirect migration background","Male","20","","","","4"
"Totally disagree","1992","indirect migration background","Female","26","","","","4"
"True entirely","1992","no migration background","Male","212","0.0433503712588448","0.0376594504277954","0.0490412920898942","1"
"True entirely","1992","no migration background","Female","324","0.0670693708460537","0.0604062796506951","0.0737324620414123","1"
"True entirely","1992","direct migration background","Male","21","","","","1"
"True entirely","1992","direct migration background","Female","26","","","","1"
"True entirely","1992","indirect migration background","Male","2","","","","1"
"True entirely","1992","indirect migration background","Female","2","","","","1"
"Rather not true","1993","no migration background","Male","1726","0.345131594706541","0.331718660004953","0.358544529408129","3"
"Rather not true","1993","no migration background","Female","1889","0.341238474155659","0.328478804158295","0.353998144153023","3"
"Rather not true","1993","direct migration background","Male","387","0.291237526106266","0.266279633390128","0.316195418822404","3"
"Rather not true","1993","indirect migration background","Male","80","0.348617428935442","0.288202849665969","0.409032008204914","3"
"Rather not true","1993","direct migration background","Female","381","0.313808734387527","0.287376897453579","0.340240571321475","3"
"Rather not true","1993","indirect migration background","Female","84","0.329464537995422","0.269242510086005","0.389686565904838","3"
"Tends to agree","1993","no migration background","Male","691","0.142171981015958","0.132319138225135","0.152024823806782","2"
"Tends to agree","1993","direct migration background","Female","274","0.222873841300371","0.199168426833605","0.246579255767137","2"
"Tends to agree","1993","no migration background","Female","889","0.167758074964391","0.157702362528375","0.177813787400407","2"
"Tends to agree","1993","direct migration background","Male","245","0.19282718957338","0.17115507504516","0.214499304101601","2"
"Tends to agree","1993","indirect migration background","Male","29","","","","2"
"Tends to agree","1993","indirect migration background","Female","35","0.179597714083959","0.130415962082846","0.228779466085073","2"
"Totally disagree","1993","no migration background","Female","2110","0.402441519700097","0.389244133356424","0.415638906043769","4"
"Totally disagree","1993","no migration background","Male","2117","0.445300885298522","0.431278885779418","0.459322884817626","4"
"Totally disagree","1993","direct migration background","Male","545","0.436635738913106","0.409390653387754","0.463880824438458","4"
"Totally disagree","1993","direct migration background","Female","416","0.366869644144762","0.33941759944742","0.394321688842105","4"
"Totally disagree","1993","indirect migration background","Male","120","0.457119420125064","0.393963200008655","0.520275640241473","4"
"Totally disagree","1993","indirect migration background","Female","98","0.388316314648066","0.32587149299017","0.450761136305961","4"
"True entirely","1993","no migration background","Male","292","0.0673955389789787","0.0603222931538508","0.0744687848041065","1"
"True entirely","1993","no migration background","Female","416","0.0885619311798535","0.08091594595402","0.096207916405687","1"
"True entirely","1993","direct migration background","Male","96","0.0792995454072474","0.0644563154136945","0.0941427754008002","1"
"True entirely","1993","direct migration background","Female","113","0.0964477801673397","0.0796328531510475","0.113262707183632","1"
"True entirely","1993","indirect migration background","Male","10","","","","1"
"True entirely","1993","indirect migration background","Female","17","","","","1"
"Rather not true","1994","no migration background","Male","","","","","3"
"Rather not true","1994","no migration background","Female","","","","","3"
"Rather not true","1994","direct migration background","Male","","","","","3"
"Rather not true","1994","indirect migration background","Male","","","","","3"
"Rather not true","1994","direct migration background","Female","","","","","3"
"Rather not true","1994","indirect migration background","Female","","","","","3"
"Tends to agree","1994","no migration background","Male","","","","","2"
"Tends to agree","1994","no migration background","Female","","","","","2"
"Tends to agree","1994","direct migration background","Male","","","","","2"
"Tends to agree","1994","direct migration background","Female","","","","","2"
"Tends to agree","1994","indirect migration background","Male","","","","","2"
"Tends to agree","1994","indirect migration background","Female","","","","","2"
"Totally disagree","1994","no migration background","Female","","","","","4"
"Totally disagree","1994","no migration background","Male","","","","","4"
"Totally disagree","1994","direct migration background","Male","","","","","4"
"Totally disagree","1994","direct migration background","Female","","","","","4"
"Totally disagree","1994","indirect migration background","Male","","","","","4"
"Totally disagree","1994","indirect migration background","Female","","","","","4"
"True entirely","1994","no migration background","Male","","","","","1"
"True entirely","1994","no migration background","Female","","","","","1"
"True entirely","1994","direct migration background","Male","","","","","1"
"True entirely","1994","direct migration background","Female","","","","","1"
"True entirely","1994","indirect migration background","Male","","","","","1"
"True entirely","1994","indirect migration background","Female","","","","","1"
"Rather not true","1995","no migration background","Male","1723","0.350146238934842","0.336555024195479","0.363737453674206","3"
"Rather not true","1995","no migration background","Female","1829","0.337670984931631","0.32486515722108","0.350476812642182","3"
"Rather not true","1995","direct migration background","Male","471","0.310537523446411","0.286325470463747","0.334749576429074","3"
"Rather not true","1995","direct migration background","Female","449","0.318443140395271","0.293836738301216","0.343049542489326","3"
"Rather not true","1995","indirect migration background","Male","84","0.34002033225091","0.281416103872631","0.398624560629189","3"
"Rather not true","1995","indirect migration background","Female","86","0.344143871092873","0.28594662706578","0.402341115119966","3"
"Tends to agree","1995","no migration background","Male","541","0.112499486875888","0.103496527297579","0.121502446454198","2"
"Tends to agree","1995","no migration background","Female","746","0.145740189358954","0.136185676613993","0.155294702103915","2"
"Tends to agree","1995","direct migration background","Male","243","0.169204352742091","0.14958556686528","0.188823138618902","2"
"Tends to agree","1995","direct migration background","Female","267","0.185264076013111","0.164743707238749","0.205784444787472","2"
"Tends to agree","1995","indirect migration background","Male","21","","","","2"
"Tends to agree","1995","indirect migration background","Female","32","0.116281337666076","0.0770132157052941","0.155549459626858","2"
"Totally disagree","1995","no migration background","Female","2352","0.441007819282664","0.427563156828656","0.454452481736673","4"
"Totally disagree","1995","no migration background","Male","2271","0.48995327299175","0.475710057756338","0.504196488227162","4"
"Totally disagree","1995","direct migration background","Male","607","0.44932574189694","0.423297352628338","0.475354131165541","4"
"Totally disagree","1995","direct migration background","Female","561","0.418789516095471","0.392731236403293","0.444847795787649","4"
"Totally disagree","1995","indirect migration background","Male","139","0.513755390662233","0.451922887837977","0.575587893486489","4"
"Totally disagree","1995","indirect migration background","Female","127","0.490919532264479","0.429680759119527","0.552158305409432","4"
"True entirely","1995","no migration background","Male","197","0.0474010011975191","0.0413465533740851","0.0534554490209531","1"
"True entirely","1995","no migration background","Female","312","0.0755810064267512","0.0684234520321299","0.0827385608213724","1"
"True entirely","1995","direct migration background","Male","82","0.0709323819145587","0.0574996239662216","0.0843651398628958","1"
"True entirely","1995","direct migration background","Female","100","0.0775032674961471","0.0633803785067724","0.0916261564855218","1"
"True entirely","1995","indirect migration background","Male","7","","","","1"
"True entirely","1995","indirect migration background","Female","11","","","","1"
"Rather not true","1996","no migration background","Male","1917","0.39575317355343","0.381778752432418","0.409727594674443","3"
"Rather not true","1996","no migration background","Female","1997","0.368960717674422","0.355848348148941","0.382073087199904","3"
"Rather not true","1996","direct migration background","Female","490","0.3677068146027","0.3414247838899","0.3939888453155","3"
"Rather not true","1996","direct migration background","Male","477","0.360652508393608","0.334559605133924","0.386745411653293","3"
"Rather not true","1996","indirect migration background","Male","102","0.428260959669724","0.36890755620933","0.487614363130118","3"
"Rather not true","1996","indirect migration background","Female","103","0.369122007012012","0.312395851478258","0.425848162545766","3"
"Tends to agree","1996","no migration background","Male","555","0.119937422634123","0.110653135412531","0.129221709855716","2"
"Tends to agree","1996","no migration background","Female","740","0.150079227900156","0.140373850402625","0.159784605397687","2"
"Tends to agree","1996","direct migration background","Male","224","0.186995790248627","0.165808678622259","0.208182901874995","2"
"Tends to agree","1996","indirect migration background","Male","24","","","","2"
"Tends to agree","1996","direct migration background","Female","245","0.184563086044409","0.16341766028331","0.205708511805508","2"
"Tends to agree","1996","indirect migration background","Female","31","0.143357942972491","0.102163724341668","0.184552161603315","2"
"Totally disagree","1996","no migration background","Male","2067","0.451771262108352","0.437549459917881","0.465993064298824","4"
"Totally disagree","1996","no migration background","Female","2199","0.421339811742694","0.407921713493313","0.434757909992076","4"
"Totally disagree","1996","direct migration background","Male","528","0.377018557481245","0.350683858321694","0.403353256640797","4"
"Totally disagree","1996","direct migration background","Female","480","0.376818233719377","0.350404964847681","0.403231502591072","4"
"Totally disagree","1996","indirect migration background","Male","136","0.469786321863307","0.409921994397148","0.529650649329466","4"
"Totally disagree","1996","indirect migration background","Female","129","0.447309489364538","0.388861341594746","0.50575763713433","4"
"True entirely","1996","no migration background","Male","165","0.0325381417040937","0.027467910851138","0.0376083725570494","1"
"True entirely","1996","no migration background","Female","266","0.0596202426827275","0.0531857927965904","0.0660546925688645","1"
"True entirely","1996","direct migration background","Male","72","0.0753331438765192","0.0609916254797431","0.0896746622732954","1"
"True entirely","1996","direct migration background","Female","78","0.0709118656335145","0.0569212527121669","0.084902478554862","1"
"True entirely","1996","indirect migration background","Male","5","","","","1"
"True entirely","1996","indirect migration background","Female","15","","","","1"
"Rather not true","1997","no migration background","Male","1773","0.361368237938981","0.347566456439399","0.375170019438564","3"
"Rather not true","1997","direct migration background","Male","467","0.343776461128639","0.317435547007548","0.370117375249731","3"
"Rather not true","1997","no migration background","Female","1899","0.349883509665268","0.336831148882679","0.362935870447857","3"
"Rather not true","1997","indirect migration background","Male","104","0.36163010114194","0.306426160123821","0.41683404216006","3"
"Rather not true","1997","direct migration background","Female","483","0.391569134474633","0.364213631344742","0.418924637604523","3"
"Rather not true","1997","indirect migration background","Female","107","0.406307760500057","0.348573456081836","0.464042064918278","3"
"Tends to agree","1997","no migration background","Female","719","0.141427364573439","0.131890909063656","0.150963820083222","2"
"Tends to agree","1997","no migration background","Male","578","0.128940545681378","0.119312158347501","0.138568933015255","2"
"Tends to agree","1997","direct migration background","Male","244","0.207839897831918","0.185337032847493","0.230342762816344","2"
"Tends to agree","1997","direct migration background","Female","245","0.195387107769402","0.173165457507828","0.217608758030977","2"
"Tends to agree","1997","indirect migration background","Male","43","0.129251991496066","0.0907071323356481","0.167796850656484","2"
"Tends to agree","1997","indirect migration background","Female","41","0.117846843216849","0.0799453198248789","0.155748366608819","2"
