"plh0191","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","16-34 y.","lower secondary degree","21","","",""
"True entirely","1990","16-34 y.","secondary school degree","56","0.0474193809828925","0.0355994183419345","0.0592393436238506"
"True entirely","1990","16-34 y.","college entrance qualification","17","","",""
"True entirely","1990","16-34 y.","Other degree","1","","",""
"True entirely","1990","16-34 y.","no degree/no degree yet","2","","",""
"True entirely","1990","35-65 y.","lower secondary degree","119","0.101286263139128","0.0842513261373602","0.118321200140897"
"True entirely","1990","35-65 y.","secondary school degree","48","0.0705004892973362","0.0520316093433784","0.088969369251294"
"True entirely","1990","35-65 y.","college entrance qualification","13","","",""
"True entirely","1990","35-65 y.","Other degree","4","","",""
"True entirely","1990","35-65 y.","no degree/no degree yet","","","",""
"True entirely","1990","66 and older","lower secondary degree","64","0.208876127864021","0.166470120241933","0.251282135486109"
"True entirely","1990","66 and older","secondary school degree","6","","",""
"True entirely","1990","66 and older","college entrance qualification","2","","",""
"True entirely","1990","66 and older","Other degree","2","","",""
"True entirely","1990","66 and older","no degree/no degree yet","","","",""
"Tends to agree","1990","16-34 y.","lower secondary degree","45","0.251123386182649","0.187771353774109","0.314475418591189"
"Tends to agree","1990","16-34 y.","secondary school degree","236","0.188085849093602","0.166352812587134","0.209818885600069"
"Tends to agree","1990","16-34 y.","college entrance qualification","33","0.158770994364444","0.11101811826889","0.206523870459997"
"Tends to agree","1990","16-34 y.","Other degree","3","","",""
"Tends to agree","1990","16-34 y.","no degree/no degree yet","8","","",""
"Tends to agree","1990","35-65 y.","lower secondary degree","271","0.221997643393074","0.198532716475156","0.245462570310991"
"Tends to agree","1990","35-65 y.","secondary school degree","156","0.20611974793682","0.176934915047291","0.235304580826349"
"Tends to agree","1990","35-65 y.","college entrance qualification","48","0.163571698037429","0.121992152326638","0.205151243748221"
"Tends to agree","1990","35-65 y.","Other degree","10","","",""
"Tends to agree","1990","35-65 y.","no degree/no degree yet","3","","",""
"Tends to agree","1990","66 and older","lower secondary degree","74","0.214070198767166","0.171281338083401","0.256859059450932"
"Tends to agree","1990","66 and older","secondary school degree","11","","",""
"Tends to agree","1990","66 and older","college entrance qualification","","","",""
"Tends to agree","1990","66 and older","Other degree","2","","",""
"Tends to agree","1990","66 and older","no degree/no degree yet","1","","",""
"Rather not true","1990","16-34 y.","lower secondary degree","48","0.271299958848181","0.206345181350422","0.336254736345939"
"Rather not true","1990","16-34 y.","secondary school degree","481","0.385020947649441","0.357958963591714","0.412082931707168"
"Rather not true","1990","16-34 y.","college entrance qualification","104","0.445898055075123","0.380949505295126","0.510846604855119"
"Rather not true","1990","16-34 y.","Other degree","2","","",""
"Rather not true","1990","16-34 y.","no degree/no degree yet","15","","",""
"Rather not true","1990","35-65 y.","lower secondary degree","432","0.360219586754605","0.333114319142774","0.387324854366435"
"Rather not true","1990","35-65 y.","secondary school degree","239","0.33051602564864","0.296578024201209","0.364454027096071"
"Rather not true","1990","35-65 y.","college entrance qualification","129","0.420152189362627","0.364667695902568","0.475636682822685"
"Rather not true","1990","35-65 y.","Other degree","9","","",""
"Rather not true","1990","35-65 y.","no degree/no degree yet","3","","",""
"Rather not true","1990","66 and older","lower secondary degree","98","0.272243764658183","0.225810130351804","0.318677398964562"
"Rather not true","1990","66 and older","secondary school degree","17","","",""
"Rather not true","1990","66 and older","college entrance qualification","2","","",""
"Rather not true","1990","66 and older","Other degree","6","","",""
"Rather not true","1990","66 and older","no degree/no degree yet","1","","",""
"Totally disagree","1990","16-34 y.","lower secondary degree","66","0.361698213873901","0.291504527587135","0.431891900160667"
"Totally disagree","1990","16-34 y.","secondary school degree","469","0.379473822274065","0.352486595543859","0.406461049004271"
"Totally disagree","1990","16-34 y.","college entrance qualification","71","0.328953395600523","0.267563010121773","0.390343781079272"
"Totally disagree","1990","16-34 y.","Other degree","3","","",""
"Totally disagree","1990","16-34 y.","no degree/no degree yet","9","","",""
"Totally disagree","1990","35-65 y.","lower secondary degree","383","0.316496506713193","0.290235619329242","0.342757394097145"
"Totally disagree","1990","35-65 y.","secondary school degree","295","0.392863737117204","0.35762795073294","0.428099523501468"
"Totally disagree","1990","35-65 y.","college entrance qualification","114","0.380127900171536","0.325561259574039","0.434694540769034"
"Totally disagree","1990","35-65 y.","Other degree","11","","",""
"Totally disagree","1990","35-65 y.","no degree/no degree yet","2","","",""
"Totally disagree","1990","66 and older","lower secondary degree","117","0.30480990871063","0.256789365837879","0.35283045158338"
"Totally disagree","1990","66 and older","secondary school degree","16","","",""
"Totally disagree","1990","66 and older","college entrance qualification","4","","",""
"Totally disagree","1990","66 and older","Other degree","5","","",""
"Totally disagree","1990","66 and older","no degree/no degree yet","","","",""
"True entirely","1991","16-34 y.","lower secondary degree","18","","",""
"True entirely","1991","16-34 y.","secondary school degree","46","0.0386871148865843","0.0274330582993568","0.0499411714738119"
"True entirely","1991","16-34 y.","college entrance qualification","3","","",""
"True entirely","1991","16-34 y.","Other degree","","","",""
"True entirely","1991","16-34 y.","no degree/no degree yet","1","","",""
"True entirely","1991","35-65 y.","lower secondary degree","137","0.121485779090672","0.102153551609118","0.140818006572226"
"True entirely","1991","35-65 y.","secondary school degree","49","0.0609345725855482","0.0441257186591756","0.0777434265119208"
"True entirely","1991","35-65 y.","college entrance qualification","8","","",""
"True entirely","1991","35-65 y.","Other degree","6","","",""
"True entirely","1991","35-65 y.","no degree/no degree yet","","","",""
"True entirely","1991","66 and older","lower secondary degree","66","0.210334956719926","0.166296983109837","0.254372930330016"
"True entirely","1991","66 and older","secondary school degree","6","","",""
"True entirely","1991","66 and older","college entrance qualification","3","","",""
"True entirely","1991","66 and older","Other degree","1","","",""
"True entirely","1991","66 and older","no degree/no degree yet","","","",""
"Tends to agree","1991","16-34 y.","lower secondary degree","42","0.271517433692902","0.200106715917952","0.342928151467853"
"Tends to agree","1991","16-34 y.","secondary school degree","218","0.202760274298238","0.179297495739757","0.226223052856719"
"Tends to agree","1991","16-34 y.","college entrance qualification","23","","",""
"Tends to agree","1991","16-34 y.","Other degree","4","","",""
"Tends to agree","1991","16-34 y.","no degree/no degree yet","7","","",""
"Tends to agree","1991","35-65 y.","lower secondary degree","294","0.271850909853958","0.245522760784534","0.298179058923382"
"Tends to agree","1991","35-65 y.","secondary school degree","188","0.258752599318545","0.227978720105175","0.289526478531914"
"Tends to agree","1991","35-65 y.","college entrance qualification","41","0.154723875239685","0.113801066683391","0.195646683795978"
"Tends to agree","1991","35-65 y.","Other degree","8","","",""
"Tends to agree","1991","35-65 y.","no degree/no degree yet","5","","",""
"Tends to agree","1991","66 and older","lower secondary degree","94","0.272960988065459","0.224823958165039","0.321098017965879"
"Tends to agree","1991","66 and older","secondary school degree","16","","",""
"Tends to agree","1991","66 and older","college entrance qualification","3","","",""
"Tends to agree","1991","66 and older","Other degree","5","","",""
"Tends to agree","1991","66 and older","no degree/no degree yet","1","","",""
