"plh0191","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","16-34 y.","650","0.379608506327647","0.356492090560108","0.402724922095185","3"
"Rather not true","1990","35-65 y.","813","0.356919655847965","0.337318819772816","0.376520491923113","3"
"Rather not true","1990","66 and older","127","0.293821313382483","0.250867159525974","0.336775467238992","3"
"Tends to agree","1990","16-34 y.","325","0.192952301460523","0.174155056755219","0.211749546165827","2"
"Tends to agree","1990","35-65 y.","488","0.210443031571045","0.193766114995617","0.227119948146473","2"
"Tends to agree","1990","66 and older","89","0.215457448478669","0.17668749984366","0.254227397113677","2"
"Totally disagree","1990","16-34 y.","620","0.369300168621001","0.346311134631729","0.392289202610273","4"
"Totally disagree","1990","35-65 y.","808","0.347730718930141","0.328246108001742","0.36721532985854","4"
"Totally disagree","1990","66 and older","142","0.299792133244755","0.256587549358106","0.342996717131403","4"
"True entirely","1990","16-34 y.","98","0.0581390235908293","0.0469923090179749","0.0692857381636837","1"
"True entirely","1990","35-65 y.","186","0.0849065936508495","0.0735025159401759","0.0963106713615231","1"
"True entirely","1990","66 and older","74","0.190929104894093","0.153866531126197","0.227991678661989","1"
"Rather not true","1991","16-34 y.","636","0.403127948642166","0.378581001510668","0.427674895773664","3"
"Rather not true","1991","35-65 y.","899","0.394950509232103","0.3746157800552","0.415285238409006","3"
"Rather not true","1991","66 and older","126","0.333125858811009","0.287108500933908","0.37914321668811","3"
"Tends to agree","1991","16-34 y.","302","0.203101310624183","0.182969013540761","0.223233607707604","2"
"Tends to agree","1991","35-65 y.","536","0.253623898299159","0.23552527448467","0.271722522113647","2"
"Tends to agree","1991","66 and older","121","0.285210203023839","0.24112759614046","0.329292809907218","2"
"Totally disagree","1991","16-34 y.","528","0.352379870229602","0.328474188866949","0.376285551592256","4"
"Totally disagree","1991","35-65 y.","584","0.260512241749578","0.242254327362789","0.278770156136368","4"
"Totally disagree","1991","66 and older","79","0.184969526989941","0.147061377522365","0.222877676457516","4"
"True entirely","1991","16-34 y.","68","0.0413908705040492","0.0314228603495997","0.0513588806584987","1"
"True entirely","1991","35-65 y.","201","0.0909133507191602","0.0789545376894243","0.102872163748896","1"
"True entirely","1991","66 and older","77","0.196694411175212","0.157885454073007","0.235503368277416","1"
"Rather not true","1992","16-34 y.","1298","0.314486151683064","0.299982603470048","0.328989699896081","3"
"Rather not true","1992","35-65 y.","1821","0.305085619223863","0.293061459587912","0.317109778859815","3"
"Rather not true","1992","66 and older","392","0.275954034457325","0.25268037856866","0.29922769034599","3"
"Tends to agree","1992","16-34 y.","407","0.0945934719515606","0.0854519653464325","0.103734978556689","2"
"Tends to agree","1992","35-65 y.","869","0.13468108779368","0.125766123235614","0.143596052351746","2"
"Tends to agree","1992","66 and older","336","0.230230170677228","0.208310969322032","0.252149372032424","2"
"Totally disagree","1992","16-34 y.","2110","0.560804594763007","0.545302154760336","0.576307034765678","4"
"Totally disagree","1992","35-65 y.","2628","0.503085760066565","0.4900288639451","0.51614265618803","4"
"Totally disagree","1992","66 and older","539","0.389526997618369","0.364136852749997","0.41491714248674","4"
"True entirely","1992","16-34 y.","122","0.030115781602368","0.0247772428515525","0.0354543203531835","1"
"True entirely","1992","35-65 y.","315","0.0571475329158914","0.0510857716326334","0.0632092941991495","1"
"True entirely","1992","66 and older","150","0.104288797247079","0.0883752866266195","0.120202307867538","1"
"Rather not true","1993","16-34 y.","1729","0.353802319757746","0.340393861560632","0.36721077795486","3"
"Rather not true","1993","35-65 y.","2368","0.340039309268156","0.328697835930951","0.351380782605361","3"
"Rather not true","1993","66 and older","450","0.30677637871215","0.283226192132593","0.330326565291707","3"
"Tends to agree","1993","16-34 y.","592","0.109070792150697","0.100329177879218","0.117812406422176","2"
"Tends to agree","1993","35-65 y.","1190","0.167456491252353","0.15851725650119","0.176395726003515","2"
"Tends to agree","1993","66 and older","381","0.23598938950423","0.214305227113667","0.257673551894792","2"
"Totally disagree","1993","16-34 y.","2324","0.484464816164407","0.47045036536788","0.498479266960933","4"
"Totally disagree","1993","35-65 y.","2633","0.416427650271682","0.404625449137237","0.428229851406126","4"
"Totally disagree","1993","66 and older","449","0.321097535934075","0.297254096851172","0.344940975016979","4"
"True entirely","1993","16-34 y.","240","0.0526620719271507","0.0463985696365259","0.0589255742177754","1"
"True entirely","1993","35-65 y.","511","0.07607654920781","0.0697292455306424","0.0824238528849776","1"
"True entirely","1993","66 and older","193","0.136136695849545","0.118623845623427","0.153649546075663","1"
"Rather not true","1994","16-34 y.","","","","","3"
"Rather not true","1994","35-65 y.","","","","","3"
"Rather not true","1994","66 and older","","","","","3"
"Tends to agree","1994","16-34 y.","","","","","2"
"Tends to agree","1994","35-65 y.","","","","","2"
"Tends to agree","1994","66 and older","","","","","2"
"Totally disagree","1994","16-34 y.","","","","","4"
"Totally disagree","1994","35-65 y.","","","","","4"
"Totally disagree","1994","66 and older","","","","","4"
"True entirely","1994","16-34 y.","","","","","1"
"True entirely","1994","35-65 y.","","","","","1"
"True entirely","1994","66 and older","","","","","1"
"Rather not true","1995","16-34 y.","1747","0.352910656875394","0.339557619952458","0.366263693798331","3"
"Rather not true","1995","35-65 y.","2454","0.353763045754333","0.342403675765127","0.365122415743539","3"
"Rather not true","1995","66 and older","441","0.27932864394917","0.256861644466735","0.301795643431605","3"
"Tends to agree","1995","16-34 y.","499","0.0927930053869101","0.0846857033095935","0.100900307464227","2"
"Tends to agree","1995","35-65 y.","1003","0.132583007852534","0.124526255490227","0.140639760214842","2"
"Tends to agree","1995","66 and older","348","0.216321857282036","0.195704273076241","0.236939441487831","2"
"Totally disagree","1995","16-34 y.","2520","0.522626876252108","0.508669930460653","0.536583822043562","4"
"Totally disagree","1995","35-65 y.","2982","0.456268749541973","0.444435483517505","0.468102015566441","4"
"Totally disagree","1995","66 and older","555","0.374269834549326","0.350036974897603","0.398502694201049","4"
