"plh0191","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","no migration background","West Germany","","","",""
"True entirely","1990","no migration background","East Germany","345","0.0916972755304101","0.0830461312301856","0.100348419830635"
"True entirely","1990","direct migration background","West Germany","","","",""
"True entirely","1990","direct migration background","East Germany","12","","",""
"True entirely","1990","indirect migration background","West Germany","","","",""
"True entirely","1990","indirect migration background","East Germany","1","","",""
"Tends to agree","1990","no migration background","West Germany","","","",""
"Tends to agree","1990","no migration background","East Germany","875","0.20659223083964","0.194455960315356","0.218728501363923"
"Tends to agree","1990","direct migration background","West Germany","","","",""
"Tends to agree","1990","direct migration background","East Germany","27","","",""
"Tends to agree","1990","indirect migration background","West Germany","","","",""
"Tends to agree","1990","indirect migration background","East Germany","","","",""
"Rather not true","1990","no migration background","West Germany","","","",""
"Rather not true","1990","no migration background","East Germany","1531","0.352423818030103","0.338103321022404","0.366744315037802"
"Rather not true","1990","direct migration background","West Germany","","","",""
"Rather not true","1990","direct migration background","East Germany","59","0.428329243843267","0.347225309226882","0.509433178459652"
"Rather not true","1990","indirect migration background","West Germany","","","",""
"Rather not true","1990","indirect migration background","East Germany","","","",""
"Totally disagree","1990","no migration background","West Germany","","","",""
"Totally disagree","1990","no migration background","East Germany","1524","0.349286675599847","0.334995567947465","0.36357778325223"
"Totally disagree","1990","direct migration background","West Germany","","","",""
"Totally disagree","1990","direct migration background","East Germany","45","0.306007982111165","0.230477251183064","0.381538713039267"
"Totally disagree","1990","indirect migration background","West Germany","","","",""
"Totally disagree","1990","indirect migration background","East Germany","1","","",""
"True entirely","1991","no migration background","West Germany","2","","",""
"True entirely","1991","no migration background","East Germany","328","0.0900873674680716","0.0811869306857994","0.0989878042503438"
"True entirely","1991","direct migration background","West Germany","","","",""
"True entirely","1991","direct migration background","East Germany","15","","",""
"True entirely","1991","indirect migration background","West Germany","","","",""
"True entirely","1991","indirect migration background","East Germany","1","","",""
"Tends to agree","1991","no migration background","West Germany","1","","",""
"Tends to agree","1991","no migration background","East Germany","927","0.245294252070687","0.231918690060029","0.258669814081344"
"Tends to agree","1991","direct migration background","West Germany","","","",""
"Tends to agree","1991","direct migration background","East Germany","31","0.216201530127303","0.1482545558657","0.284148504388906"
"Tends to agree","1991","indirect migration background","West Germany","","","",""
"Tends to agree","1991","indirect migration background","East Germany","","","",""
"Rather not true","1991","no migration background","West Germany","10","","",""
"Rather not true","1991","no migration background","East Germany","1591","0.390453350821428","0.375287472203219","0.405619229439636"
"Rather not true","1991","direct migration background","West Germany","","","",""
"Rather not true","1991","direct migration background","East Germany","58","0.383593216108149","0.30333163726932","0.463854794946978"
"Rather not true","1991","indirect migration background","West Germany","","","",""
"Rather not true","1991","indirect migration background","East Germany","2","","",""
"Totally disagree","1991","no migration background","West Germany","24","","",""
"Totally disagree","1991","no migration background","East Germany","1129","0.274165029639814","0.26029732771949","0.288032731560138"
"Totally disagree","1991","direct migration background","West Germany","1","","",""
