"plh0191","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","1-pers.-HH","Male","9","","",""
"True entirely","1990","1-pers.-HH","Female","36","0.179109006917614","0.130597593490381","0.227620420344848"
"True entirely","1990","(Married) couple without C. ","Male","47","0.104235047276782","0.0766685866512456","0.131801507902319"
"True entirely","1990","(Married) couple without C. ","Female","56","0.115856593382359","0.0870744574638639","0.144638729300854"
"True entirely","1990","Single parent ","Male","3","","",""
"True entirely","1990","Single parent ","Female","9","","",""
"True entirely","1990","Couple + C. LE 16 ","Male","34","0.0463561949421453","0.0311248050006439","0.0615875848836467"
"True entirely","1990","Couple + C. LE 16 ","Female","40","0.052529029210399","0.0364986326190852","0.0685594258017127"
"True entirely","1990","Couple + C. GT 16 ","Male","28","","",""
"True entirely","1990","Couple + C. GT 16 ","Female","34","0.0893299868953455","0.0606150650042691","0.118044908786422"
"True entirely","1990","Couple + C. LE and GT 16","Male","14","","",""
"True entirely","1990","Couple + C. LE and GT 16","Female","11","","",""
"Tends to agree","1990","1-pers.-HH","Male","16","","",""
"Tends to agree","1990","1-pers.-HH","Female","53","0.2064404741301","0.155233436917649","0.257647511342551"
"Tends to agree","1990","(Married) couple without C. ","Male","101","0.217870289171211","0.180629790438764","0.255110787903657"
"Tends to agree","1990","(Married) couple without C. ","Female","99","0.215196030610492","0.178238834896411","0.252153226324573"
"Tends to agree","1990","Single parent ","Male","11","","",""
"Tends to agree","1990","Single parent ","Female","27","","",""
"Tends to agree","1990","Couple + C. LE 16 ","Male","116","0.153940514452285","0.127796669049355","0.180084359855214"
"Tends to agree","1990","Couple + C. LE 16 ","Female","153","0.203429804583581","0.174504300203163","0.232355308964"
"Tends to agree","1990","Couple + C. GT 16 ","Male","90","0.199776954071818","0.162502166481067","0.237051741662568"
"Tends to agree","1990","Couple + C. GT 16 ","Female","96","0.261613198509741","0.217364523167335","0.305861873852148"
"Tends to agree","1990","Couple + C. LE and GT 16","Male","25","","",""
"Tends to agree","1990","Couple + C. LE and GT 16","Female","29","","",""
"Rather not true","1990","1-pers.-HH","Male","29","","",""
"Rather not true","1990","1-pers.-HH","Female","70","0.298773689511146","0.240865132036217","0.356682246986076"
"Rather not true","1990","(Married) couple without C. ","Male","160","0.341012684596179","0.298246462592026","0.383778906600332"
"Rather not true","1990","(Married) couple without C. ","Female","166","0.351379098460673","0.308446742840452","0.394311454080893"
"Rather not true","1990","Single parent ","Male","16","","",""
"Rather not true","1990","Single parent ","Female","52","0.375982567375973","0.295459018586756","0.45650611616519"
"Rather not true","1990","Couple + C. LE 16 ","Male","286","0.383645859720518","0.348419078095538","0.418872641345498"
"Rather not true","1990","Couple + C. LE 16 ","Female","283","0.382819573611034","0.347892293842378","0.417746853379691"
"Rather not true","1990","Couple + C. GT 16 ","Male","156","0.358716031848908","0.314002647669778","0.403429416028038"
"Rather not true","1990","Couple + C. GT 16 ","Female","127","0.344508963149664","0.296666654607603","0.392351271691725"
"Rather not true","1990","Couple + C. LE and GT 16","Male","59","0.350105537360169","0.277542583215884","0.422668491504453"
"Rather not true","1990","Couple + C. LE and GT 16","Female","63","0.404357991522833","0.326594088382838","0.482121894662828"
"Totally disagree","1990","1-pers.-HH","Male","43","0.418914642918374","0.320729684553858","0.51709960128289"
"Totally disagree","1990","1-pers.-HH","Female","81","0.315676829441139","0.256874511535145","0.374479147347133"
"Totally disagree","1990","(Married) couple without C. ","Male","164","0.336881978955828","0.294242548333618","0.379521409578037"
"Totally disagree","1990","(Married) couple without C. ","Female","154","0.317568277546477","0.275703436536301","0.359433118556652"
"Totally disagree","1990","Single parent ","Male","22","","",""
"Totally disagree","1990","Single parent ","Female","51","0.349047805728678","0.269805392196576","0.428290219260779"
"Totally disagree","1990","Couple + C. LE 16 ","Male","296","0.416057430885052","0.380350357169572","0.451764504600532"
"Totally disagree","1990","Couple + C. LE 16 ","Female","268","0.361221592594986","0.326705343985119","0.395737841204853"
"Totally disagree","1990","Couple + C. GT 16 ","Male","168","0.37263460523507","0.327559284255667","0.417709926214473"
"Totally disagree","1990","Couple + C. GT 16 ","Female","122","0.304547851445249","0.25821490889554","0.350880793994958"
"Totally disagree","1990","Couple + C. LE and GT 16","Male","68","0.426060071036323","0.35083498648679","0.501285155585857"
"Totally disagree","1990","Couple + C. LE and GT 16","Female","50","0.332714631047164","0.258053575347481","0.407375686746847"
"True entirely","1991","1-pers.-HH","Male","11","","",""
"True entirely","1991","1-pers.-HH","Female","39","0.175674333314596","0.125274441770927","0.226074224858265"
"True entirely","1991","(Married) couple without C. ","Male","46","0.100523619080743","0.0726168472547286","0.128430390906758"
"True entirely","1991","(Married) couple without C. ","Female","53","0.112255318859712","0.0830234496148302","0.141487188104594"
"True entirely","1991","Single parent ","Male","3","","",""
"True entirely","1991","Single parent ","Female","10","","",""
"True entirely","1991","Couple + C. LE 16 ","Male","30","0.0477704176731725","0.031632883132688","0.063907952213657"
"True entirely","1991","Couple + C. LE 16 ","Female","38","0.0535397309157232","0.0366576092778625","0.0704218525535838"
"True entirely","1991","Couple + C. GT 16 ","Male","28","","",""
"True entirely","1991","Couple + C. GT 16 ","Female","31","0.0782803730428446","0.0511297356536538","0.105431010432035"
"True entirely","1991","Couple + C. LE and GT 16","Male","12","","",""
"True entirely","1991","Couple + C. LE and GT 16","Female","12","","",""
"Tends to agree","1991","1-pers.-HH","Male","19","","",""
"Tends to agree","1991","1-pers.-HH","Female","56","0.284780415886031","0.225008002351257","0.344552829420805"
"Tends to agree","1991","(Married) couple without C. ","Male","119","0.268856454308223","0.227709071182219","0.310003837434228"
"Tends to agree","1991","(Married) couple without C. ","Female","118","0.263284306875546","0.222502024122812","0.304066589628279"
"Tends to agree","1991","Single parent ","Male","10","","",""
"Tends to agree","1991","Single parent ","Female","29","","",""
"Tends to agree","1991","Couple + C. LE 16 ","Male","116","0.170088358428011","0.14166076771085","0.198515949145172"
"Tends to agree","1991","Couple + C. LE 16 ","Female","141","0.214024113439346","0.183265007797769","0.244783219080922"
"Tends to agree","1991","Couple + C. GT 16 ","Male","101","0.234592424007158","0.194998812046333","0.274186035967982"
"Tends to agree","1991","Couple + C. GT 16 ","Female","101","0.275577354913687","0.230415482338364","0.32073922748901"
"Tends to agree","1991","Couple + C. LE and GT 16","Male","29","","",""
"Tends to agree","1991","Couple + C. LE and GT 16","Female","40","0.241552161936743","0.174599694320205","0.308504629553281"
"Rather not true","1991","1-pers.-HH","Male","28","","",""
"Rather not true","1991","1-pers.-HH","Female","76","0.336722740751033","0.274132040375834","0.399313441126232"
"Rather not true","1991","(Married) couple without C. ","Male","164","0.367824203085207","0.323071451225073","0.412576954945341"
"Rather not true","1991","(Married) couple without C. ","Female","164","0.361051801302364","0.316575704468612","0.405527898136117"
"Rather not true","1991","Single parent ","Male","16","","",""
"Rather not true","1991","Single parent ","Female","47","0.344316806974991","0.26034728666013","0.428286327289852"
"Rather not true","1991","Couple + C. LE 16 ","Male","274","0.408759905381216","0.371563333616294","0.445956477146137"
"Rather not true","1991","Couple + C. LE 16 ","Female","288","0.417600172717045","0.380614911296677","0.454585434137413"
"Rather not true","1991","Couple + C. GT 16 ","Male","189","0.424444183477364","0.378261860988248","0.470626505966479"
"Rather not true","1991","Couple + C. GT 16 ","Female","151","0.401347860951976","0.351802623495274","0.450893098408678"
"Rather not true","1991","Couple + C. LE and GT 16","Male","78","0.514359779844415","0.438557777130619","0.590161782558212"
"Rather not true","1991","Couple + C. LE and GT 16","Female","75","0.481117427228877","0.402962142186869","0.559272712270886"
"Totally disagree","1991","1-pers.-HH","Male","24","","",""
"Totally disagree","1991","1-pers.-HH","Female","48","0.20282251004834","0.149567358658158","0.256077661438522"
"Totally disagree","1991","(Married) couple without C. ","Male","117","0.262795723525827","0.221946506989886","0.303644940061767"
