"plh0191","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","(0) in school","in school","","","",""
"True entirely","1990","(0) in school","inadequately","","","",""
"True entirely","1990","(0) in school","general elemantary","","","",""
"True entirely","1990","(0) in school","middle vocational","","","",""
"True entirely","1990","(0) in school","vocational + Abi","","","",""
"True entirely","1990","(0) in school","higher vocational","","","",""
"True entirely","1990","(0) in school","higher education","","","",""
"True entirely","1990","(1a) inadequately completed","in school","2","","",""
"True entirely","1990","(1a) inadequately completed","inadequately","","","",""
"True entirely","1990","(1a) inadequately completed","general elemantary","","","",""
"True entirely","1990","(1a) inadequately completed","middle vocational","","","",""
"True entirely","1990","(1a) inadequately completed","vocational + Abi","","","",""
"True entirely","1990","(1a) inadequately completed","higher vocational","","","",""
"True entirely","1990","(1a) inadequately completed","higher education","","","",""
"True entirely","1990","(1b) general elementary school","in school","","","",""
"True entirely","1990","(1b) general elementary school","inadequately","","","",""
"True entirely","1990","(1b) general elementary school","general elemantary","56","0.194354990343782","0.151981387057246","0.236728593630318"
"True entirely","1990","(1b) general elementary school","middle vocational","","","",""
"True entirely","1990","(1b) general elementary school","vocational + Abi","","","",""
"True entirely","1990","(1b) general elementary school","higher vocational","","","",""
"True entirely","1990","(1b) general elementary school","higher education","","","",""
"True entirely","1990","(1c) basic vocational qualification","in school","","","",""
"True entirely","1990","(1c) basic vocational qualification","inadequately","","","",""
"True entirely","1990","(1c) basic vocational qualification","general elemantary","","","",""
"True entirely","1990","(1c) basic vocational qualification","middle vocational","140","0.124505663832213","0.1061070770451","0.142904250619327"
"True entirely","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"True entirely","1990","(1c) basic vocational qualification","higher vocational","11","","",""
"True entirely","1990","(1c) basic vocational qualification","higher education","","","",""
"True entirely","1990","(2b) intermediate general qualification","in school","","","",""
"True entirely","1990","(2b) intermediate general qualification","inadequately","","","",""
"True entirely","1990","(2b) intermediate general qualification","general elemantary","9","","",""
"True entirely","1990","(2b) intermediate general qualification","middle vocational","","","",""
"True entirely","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"True entirely","1990","(2b) intermediate general qualification","higher vocational","","","",""
"True entirely","1990","(2b) intermediate general qualification","higher education","","","",""
"True entirely","1990","(2a) intermediate vocational","in school","","","",""
"True entirely","1990","(2a) intermediate vocational","inadequately","","","",""
"True entirely","1990","(2a) intermediate vocational","general elemantary","","","",""
"True entirely","1990","(2a) intermediate vocational","middle vocational","66","0.0549697079377055","0.0422426706451622","0.0676967452302488"
"True entirely","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"True entirely","1990","(2a) intermediate vocational","higher vocational","14","","",""
"True entirely","1990","(2a) intermediate vocational","higher education","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","in school","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","middle vocational","3","","",""
"True entirely","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","higher education","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","vocational + Abi","2","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"True entirely","1990","(3a) lower tertiary education","in school","","","",""
"True entirely","1990","(3a) lower tertiary education","inadequately","","","",""
"True entirely","1990","(3a) lower tertiary education","general elemantary","","","",""
"True entirely","1990","(3a) lower tertiary education","middle vocational","","","",""
"True entirely","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"True entirely","1990","(3a) lower tertiary education","higher vocational","","","",""
"True entirely","1990","(3a) lower tertiary education","higher education","34","0.0526534434447212","0.035536467254044","0.0697704196353984"
"True entirely","1990","(3b) higher tertiary education","in school","","","",""
"True entirely","1990","(3b) higher tertiary education","inadequately","","","",""
"True entirely","1990","(3b) higher tertiary education","general elemantary","","","",""
