"plh0191","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","16-34 y.","no migration background","641","0.377374083134055","0.354160599594135","0.400587566673975","3"
"Rather not true","1990","35-65 y.","direct migration background","40","0.400565192024842","0.306389460103637","0.494740923946047","3"
"Rather not true","1990","16-34 y.","direct migration background","9","","","","3"
"Rather not true","1990","66 and older","indirect migration background","","","","","3"
"Rather not true","1990","66 and older","direct migration background","10","","","","3"
"Rather not true","1990","16-34 y.","indirect migration background","","","","","3"
"Rather not true","1990","35-65 y.","no migration background","773","0.354678543924688","0.334646170228386","0.37471091762099","3"
"Rather not true","1990","35-65 y.","indirect migration background","","","","","3"
"Rather not true","1990","66 and older","no migration background","117","0.286683258259938","0.24285756331241","0.330508953207466","3"
"Tends to agree","1990","35-65 y.","direct migration background","23","","","","2"
"Tends to agree","1990","35-65 y.","indirect migration background","","","","","2"
"Tends to agree","1990","16-34 y.","no migration background","322","0.193476836243331","0.174559342611899","0.212394329874762","2"
"Tends to agree","1990","66 and older","direct migration background","1","","","","2"
"Tends to agree","1990","66 and older","no migration background","88","0.225400744311142","0.18490562828885","0.265895860333434","2"
"Tends to agree","1990","66 and older","indirect migration background","","","","","2"
"Tends to agree","1990","16-34 y.","direct migration background","3","","","","2"
"Tends to agree","1990","16-34 y.","indirect migration background","","","","","2"
"Tends to agree","1990","35-65 y.","no migration background","465","0.210354325374684","0.193288835639208","0.227419815110161","2"
"Totally disagree","1990","35-65 y.","direct migration background","33","0.30979995683265","0.220929054669322","0.398670858995978","4"
"Totally disagree","1990","16-34 y.","no migration background","616","0.371491713313807","0.348351319021239","0.394632107606376","4"
"Totally disagree","1990","66 and older","direct migration background","9","","","","4"
"Totally disagree","1990","16-34 y.","indirect migration background","1","","","","4"
"Totally disagree","1990","16-34 y.","direct migration background","3","","","","4"
"Totally disagree","1990","35-65 y.","indirect migration background","","","","","4"
"Totally disagree","1990","66 and older","indirect migration background","","","","","4"
"Totally disagree","1990","35-65 y.","no migration background","775","0.349678388512001","0.329710810419248","0.369645966604754","4"
"Totally disagree","1990","66 and older","no migration background","133","0.295920215791208","0.251683315103173","0.340157116479243","4"
"True entirely","1990","16-34 y.","no migration background","96","0.0576573673088068","0.046494583617448","0.0688201510001655","1"
"True entirely","1990","16-34 y.","direct migration background","1","","","","1"
"True entirely","1990","16-34 y.","indirect migration background","1","","","","1"
"True entirely","1990","35-65 y.","no migration background","178","0.085288742188627","0.0735933505574098","0.0969841338198442","1"
"True entirely","1990","35-65 y.","direct migration background","8","","","","1"
"True entirely","1990","35-65 y.","indirect migration background","","","","","1"
"True entirely","1990","66 and older","no migration background","71","0.191995781637712","0.153824293235899","0.230167270039525","1"
"True entirely","1990","66 and older","direct migration background","3","","","","1"
"True entirely","1990","66 and older","indirect migration background","","","","","1"
"Rather not true","1991","16-34 y.","no migration background","626","0.402756219018206","0.378075816052524","0.427436621983887","3"
"Rather not true","1991","35-65 y.","direct migration background","41","0.392181740177765","0.298347362638654","0.486016117716876","3"
"Rather not true","1991","66 and older","direct migration background","9","","","","3"
"Rather not true","1991","66 and older","indirect migration background","","","","","3"
"Rather not true","1991","16-34 y.","direct migration background","8","","","","3"
"Rather not true","1991","16-34 y.","indirect migration background","2","","","","3"
"Rather not true","1991","35-65 y.","no migration background","858","0.395105397032483","0.374275525321177","0.415935268743789","3"
"Rather not true","1991","35-65 y.","indirect migration background","","","","","3"
"Rather not true","1991","66 and older","no migration background","117","0.332482648258166","0.285053616557432","0.379911679958901","3"
"Tends to agree","1991","66 and older","direct migration background","1","","","","2"
"Tends to agree","1991","16-34 y.","no migration background","300","0.203241036167775","0.182991061703883","0.223491010631666","2"
"Tends to agree","1991","35-65 y.","direct migration background","28","","","","2"
"Tends to agree","1991","35-65 y.","indirect migration background","","","","","2"
"Tends to agree","1991","66 and older","no migration background","120","0.300531359718385","0.254372241027384","0.346690478409386","2"
"Tends to agree","1991","66 and older","indirect migration background","","","","","2"
"Tends to agree","1991","16-34 y.","direct migration background","2","","","","2"
"Tends to agree","1991","16-34 y.","indirect migration background","","","","","2"
"Tends to agree","1991","35-65 y.","no migration background","508","0.252432363344728","0.233923147417174","0.270941579272281","2"
"Totally disagree","1991","16-34 y.","no migration background","524","0.352364051982637","0.328325042331053","0.376403061634221","4"
"Totally disagree","1991","66 and older","direct migration background","9","","","","4"
"Totally disagree","1991","35-65 y.","direct migration background","25","","","","4"
"Totally disagree","1991","66 and older","indirect migration background","","","","","4"
"Totally disagree","1991","16-34 y.","direct migration background","4","","","","4"
"Totally disagree","1991","16-34 y.","indirect migration background","","","","","4"
"Totally disagree","1991","35-65 y.","indirect migration background","","","","","4"
"Totally disagree","1991","35-65 y.","no migration background","559","0.263100989085324","0.244340010552448","0.281861967618199","4"
"Totally disagree","1991","66 and older","no migration background","70","0.172471791117553","0.134437184720778","0.210506397514329","4"
"True entirely","1991","16-34 y.","no migration background","67","0.0416386928313825","0.0315863224972748","0.0516910631654902","1"
"True entirely","1991","16-34 y.","direct migration background","","","","","1"
"True entirely","1991","16-34 y.","indirect migration background","1","","","","1"
"True entirely","1991","35-65 y.","no migration background","191","0.089361250537466","0.0772067269313966","0.101515774143535","1"
"True entirely","1991","35-65 y.","direct migration background","10","","","","1"
"True entirely","1991","35-65 y.","indirect migration background","","","","","1"
"True entirely","1991","66 and older","no migration background","72","0.194514200905896","0.15466376403949","0.234364637772301","1"
"True entirely","1991","66 and older","direct migration background","5","","","","1"
"True entirely","1991","66 and older","indirect migration background","","","","","1"
