"plh0191","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","1-pers.-HH","middle vocational","51","0.271499874555623","0.207586573205605","0.335413175905641","3"
"Rather not true","1990","1-pers.-HH","inadequately","","","","","3"
"Rather not true","1990","(Married) couple without C. ","general elemantary","41","0.366457820984458","0.277617803834099","0.455297838134817","3"
"Rather not true","1990","1-pers.-HH","higher vocational","3","","","","3"
"Rather not true","1990","(Married) couple without C. ","in school","","","","","3"
"Rather not true","1990","1-pers.-HH","in school","","","","","3"
"Rather not true","1990","1-pers.-HH","general elemantary","34","0.348567037413007","0.253245618775877","0.443888456050137","3"
"Rather not true","1990","1-pers.-HH","vocational + Abi","3","","","","3"
"Rather not true","1990","1-pers.-HH","higher education","8","","","","3"
"Rather not true","1990","(Married) couple without C. ","inadequately","1","","","","3"
"Rather not true","1990","(Married) couple without C. ","middle vocational","195","0.359910902702918","0.31961438139733","0.400207424008506","3"
"Rather not true","1990","(Married) couple without C. ","vocational + Abi","","","","","3"
"Rather not true","1990","(Married) couple without C. ","higher vocational","20","","","","3"
"Rather not true","1990","(Married) couple without C. ","higher education","68","0.329777434326636","0.265886915632565","0.393667953020707","3"
"Rather not true","1990","Single parent ","in school","","","","","3"
"Rather not true","1990","Single parent ","inadequately","1","","","","3"
"Rather not true","1990","Single parent ","general elemantary","12","","","","3"
"Rather not true","1990","Single parent ","vocational + Abi","","","","","3"
"Rather not true","1990","Single parent ","higher education","12","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","in school","","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","inadequately","1","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","general elemantary","10","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","middle vocational","324","0.373357744788354","0.341105225744918","0.405610263831791","3"
"Rather not true","1990","Couple + C. LE 16 ","vocational + Abi","16","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","higher vocational","26","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","higher education","192","0.423387374423992","0.378087080876302","0.468687667971683","3"
"Rather not true","1990","Couple + C. GT 16 ","in school","5","","","","3"
"Rather not true","1990","Couple + C. GT 16 ","inadequately","","","","","3"
"Rather not true","1990","Couple + C. GT 16 ","general elemantary","43","0.346785226511888","0.263681382736619","0.429889070287156","3"
"Rather not true","1990","Couple + C. GT 16 ","middle vocational","152","0.332282032524519","0.289652395953573","0.374911669095465","3"
"Rather not true","1990","Couple + C. GT 16 ","vocational + Abi","9","","","","3"
"Rather not true","1990","Couple + C. GT 16 ","higher vocational","18","","","","3"
"Rather not true","1990","Couple + C. GT 16 ","higher education","55","0.415056135140124","0.332244921242011","0.497867349038237","3"
"Rather not true","1990","Couple + C. LE and GT 16","in school","9","","","","3"
