"plh0191","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","1-pers.-HH","Urban Area","53","0.361077507769439","0.284970143428948","0.437184872109929","3"
"Rather not true","1990","1-pers.-HH","Rural Area","43","0.246134196422227","0.182675016170141","0.309593376674312","3"
"Rather not true","1990","(Married) couple without C. ","Urban Area","101","0.30323987737879","0.253111732873334","0.353368021884246","3"
"Rather not true","1990","(Married) couple without C. ","Rural Area","218","0.365318941920883","0.327044385561794","0.403593498279972","3"
"Rather not true","1990","Single parent ","Urban Area","32","0.318192330240338","0.22301577720748","0.413368883273196","3"
"Rather not true","1990","Single parent ","Rural Area","35","0.396359553613374","0.29694717896378","0.495771928262968","3"
"Rather not true","1990","Couple + C. LE 16 ","Urban Area","213","0.410338580308135","0.36853968466919","0.45213747594708","3"
"Rather not true","1990","Couple + C. LE 16 ","Rural Area","339","0.365475285522376","0.334083417923244","0.396867153121509","3"
"Rather not true","1990","Couple + C. GT 16 ","Urban Area","82","0.328049865923198","0.269966779611647","0.386132952234749","3"
"Rather not true","1990","Couple + C. GT 16 ","Rural Area","199","0.366045617054235","0.326147657344207","0.405943576764263","3"
"Rather not true","1990","Couple + C. LE and GT 16","Urban Area","36","0.386053702100931","0.2854727159153","0.486634688286563","3"
"Rather not true","1990","Couple + C. LE and GT 16","Rural Area","84","0.372423629553629","0.308971300868764","0.435875958238495","3"
"Tends to agree","1990","1-pers.-HH","Urban Area","28","","","","2"
"Tends to agree","1990","1-pers.-HH","Rural Area","40","0.208734519394242","0.148863079095291","0.268605959693192","2"
"Tends to agree","1990","(Married) couple without C. ","Urban Area","69","0.218998990690819","0.173897210497931","0.264100770883708","2"
"Tends to agree","1990","Single parent ","Urban Area","19","","","","2"
"Tends to agree","1990","(Married) couple without C. ","Rural Area","129","0.217440571469151","0.184651791609861","0.250229351328442","2"
"Tends to agree","1990","Single parent ","Rural Area","16","","","","2"
"Tends to agree","1990","Couple + C. LE 16 ","Urban Area","97","0.176758536635466","0.144343531736606","0.209173541534327","2"
"Tends to agree","1990","Couple + C. LE 16 ","Rural Area","167","0.182930605123697","0.157728516585858","0.208132693661536","2"
