"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1984","direct migration background","(1a) inadequately completed","22.63","14","138","5","7","29","60","120","18.79","26.47","1","120","11","16"
"1984","direct migration background","(1b) general elementary school","16.39","14","124","5","10","21","35","60","13.53","19.25","1","110","10","14"
"1984","direct migration background","(1c) basic vocational qualification","23.26","13.82","77","3","6","35","66","100","13.28","33.24","1","365","8","14"
"1984","direct migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1984","direct migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1984","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1984","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1984","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","direct migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1984","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1984","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1984","indirect migration background","(1b) general elementary school","","","","","","","","","","","","","",""
"1984","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1984","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1984","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1984","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1984","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1984","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1984","no migration background","(0) in school","","","","","","","","","","","","","",""
"1984","no migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1984","no migration background","(1b) general elementary school","28.64","20","229","6","10","35","62","120","25.07","32.21","2","160","14","21"
"1984","no migration background","(1c) basic vocational qualification","23.81","14","423","4","7","30","50","120","21.3","26.32","1","210","13","14"
"1984","no migration background","(2a) intermediate vocational","21.17","13.21","137","4","6","21","50","150","15.67","26.67","1","280","10","14"
"1984","no migration background","(2b) intermediate general qualification","22.33","12.91","43","6","7","20","49","140","13.42","31.24","1","140","7","14"
"1984","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1984","no migration background","(2c_voc) vocational maturity certificate","21.69","12.09","30","3","6","30","44","90","13.25","30.13","1","90","6","18"
"1984","no migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","no migration background","(3b) higher tertiary education","14.46","8","36","2","3","14","42","63","8.95","19.97","1","63","4","10"
"1985","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1985","direct migration background","(1a) inadequately completed","25.55","15","104","7","10","28","56","180","19.49","31.61","1","180","14","20"
"1985","direct migration background","(1b) general elementary school","23.73","14","117","5","8","21","30","220","19.55","27.91","0","220","10","15"
"1985","direct migration background","(1c) basic vocational qualification","22.75","18.11","61","5","10","30","48","93","17.65","27.85","1","93","11","21"
"1985","direct migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1985","direct migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","direct migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1985","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1985","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","indirect migration background","(1b) general elementary school","","","","","","","","","","","","","",""
"1985","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1985","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1985","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1985","no migration background","(0) in school","","","","","","","","","","","","","",""
"1985","no migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
