"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","4.33","4","2341","2","3","5","6","4.27","4.39","4","4"
"2005","indirect migration background","4.78","5","831","3","4","6","6","4.68","4.88","5","5"
"2005","no migration background","4.53","5","17445","3","4","6","6","4.51","4.55","5","5"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","4.4","4","1641","2","3","6","6","4.33","4.47","4","4"
"2009","indirect migration background","4.84","5","712","3","4","6","7","4.74","4.94","5","5"
"2009","no migration background","4.46","4","15598","3","4","5","6","4.44","4.48","4","5"
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","4.98","5","1083","3","4","6","7","4.89","5.07","5","5"
"2012","indirect migration background","5.1","5","484","4","4","6","7","4.99","5.21","5","5"
"2012","no migration background","4.88","5","5551","3","4","6","6","4.85","4.91","5","5"
"2013","direct migration background","4.58","5","1674","2","4","6","7","4.5","4.66","5","5"
"2013","indirect migration background","4.95","5","715","3","4","6","7","4.85","5.05","5","5"
"2013","no migration background","4.66","5","16426","3","4","6","6","4.64","4.68","5","5"
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","4.77","5","7205","3","4","6","7","4.73","4.81","5","5"
"2017","indirect migration background","4.9","5","1714","3","4","6","7","4.84","4.96","5","5"
"2017","no migration background","4.7","5","20276","3","4","6","6","4.68","4.72","5","5"
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","4.67","5","3817","3","4","6","7","4.62","4.72","5","5"
"2019","indirect migration background","4.89","5","1696","3","4","6","6","4.83","4.95","5","5"
"2019","no migration background","4.6","5","20204","3","4","6","6","4.58","4.62","5","5"
