"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","4.95","5","266","3","4","6","7","4.78","5.12","5","5"
"2005","college entrance qualification","indirect migration background","4.99","5","197","4","4","6","7","4.82","5.16","5","5"
"2005","college entrance qualification","no migration background","4.81","5","4728","3","4","6","6","4.77","4.85","5","5"
"2005","lower secondary degree","direct migration background","4.27","4","595","2","3","5","6","4.15","4.39","4","4"
"2005","lower secondary degree","indirect migration background","4.55","5","254","3","4","6","6","4.37","4.73","4","5"
"2005","lower secondary degree","no migration background","4.3","4","6187","2","3","5","6","4.26","4.34","4","4"
"2005","no degree/no degree yet","direct migration background","4.13","4","214","2","3","5","6","3.9","4.36","4","4"
"2005","no degree/no degree yet","indirect migration background","5.07","5","98","3","4","6","7","4.8","5.34","5","5"
"2005","no degree/no degree yet","no migration background","4.71","5","585","3","4","6","7","4.59","4.83","5","5"
"2005","Other degree","direct migration background","4.14","4","976","2","3","5","6","4.04","4.24","4","4"
"2005","Other degree","indirect migration background","","","","","","","","","","",""
"2005","Other degree","no migration background","4.05","4","110","2","3","5","6","3.73","4.37","4","5"
"2005","secondary school degree","direct migration background","4.72","5","239","3","4","6","7","4.54","4.9","4","5"
"2005","secondary school degree","indirect migration background","4.93","5","202","3","4","6","6","4.76","5.1","5","5"
"2005","secondary school degree","no migration background","4.64","5","5561","3","4","6","6","4.6","4.68","5","5"
"2006","college entrance qualification","direct migration background","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2007","Other degree","direct migration background","","","","","","","","","","",""
"2007","Other degree","indirect migration background","","","","","","","","","","",""
"2007","Other degree","no migration background","","","","","","","","","","",""
"2007","secondary school degree","direct migration background","","","","","","","","","","",""
"2007","secondary school degree","indirect migration background","","","","","","","","","","",""
"2007","secondary school degree","no migration background","","","","","","","","","","",""
"2008","college entrance qualification","direct migration background","","","","","","","","","","",""
"2008","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2008","college entrance qualification","no migration background","","","","","","","","","","",""
"2008","lower secondary degree","direct migration background","","","","","","","","","","",""
"2008","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2008","lower secondary degree","no migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2008","Other degree","direct migration background","","","","","","","","","","",""
"2008","Other degree","indirect migration background","","","","","","","","","","",""
"2008","Other degree","no migration background","","","","","","","","","","",""
"2008","secondary school degree","direct migration background","","","","","","","","","","",""
"2008","secondary school degree","indirect migration background","","","","","","","","","","",""
"2008","secondary school degree","no migration background","","","","","","","","","","",""
"2009","college entrance qualification","direct migration background","4.9","5","222","3","4","6","7","4.72","5.08","5","5"
"2009","college entrance qualification","indirect migration background","5.06","5","182","4","4","6","6","4.87","5.25","5","5"
"2009","college entrance qualification","no migration background","4.68","5","4478","3","4","6","6","4.64","4.72","5","5"
"2009","lower secondary degree","direct migration background","4.45","4.22","405","3","4","5","6","4.3","4.6","4","4"
