"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","4.76","5","5319","3","4","6","6","4.72","4.8","5","5"
"2005","35-65 y.","4.6","5","11571","3","4","6","6","4.57","4.63","5","5"
"2005","66 and older","4.02","4","3727","2","3","5","6","3.97","4.07","4","4"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","4.72","5","3989","3","4","6","6","4.68","4.76","5","5"
"2009","35-65 y.","4.57","5","9841","3","4","6","6","4.54","4.6","5","5"
"2009","66 and older","4","4","4121","2","3","5","6","3.95","4.05","4","4"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","4.94","5","2196","3","4","6","7","4.88","5","5","5"
"2012","35-65 y.","4.91","5","4898","3","4","6","7","4.87","4.95","5","5"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","4.87","5","3690","3","4","6","6","4.83","4.91","5","5"
"2013","35-65 y.","4.72","5","10208","3","4","6","7","4.69","4.75","5","5"
"2013","66 and older","4.39","4","4917","2","3","5","6","4.35","4.43","4","4"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","4.92","5","7548","3","4","6","7","4.89","4.95","5","5"
"2017","35-65 y.","4.81","5","16636","3","4","6","7","4.79","4.83","5","5"
"2017","66 and older","4.34","4","5011","2","3","5","6","4.3","4.38","4","4"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","4.87","5","5425","3","4","6","6","4.84","4.9","5","5"
"2019","35-65 y.","4.68","5","15117","3","4","6","6","4.66","4.7","5","5"
"2019","66 and older","4.28","4","5175","2","3","5","6","4.24","4.32","4","4"
