"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","general elemantary","Female","4.04","4","1606","2","3","5","6","3.96","4.12","4","4"
"2005","general elemantary","Male","4.37","4","775","2","4","5","6","4.26","4.48","4","5"
"2005","higher education","Female","4.73","5","1856","3","4","6","6","4.67","4.79","5","5"
"2005","higher education","Male","4.9","5","2305","3","4","6","7","4.85","4.95","5","5"
"2005","higher vocational","Female","4.53","4","661","3","4","5","7","4.42","4.64","4","5"
"2005","higher vocational","Male","4.86","5","890","3","4","6","6","4.77","4.95","5","5"
"2005","in school","Female","5.1","5","340","3","4","6","7","4.96","5.24","5","5"
"2005","in school","Male","4.89","5","310","3","4","6","7","4.74","5.04","5","5"
"2005","inadequately","Female","3.45","3","133","2","3","4","5","3.18","3.72","3","4"
"2005","inadequately","Male","4.21","4","99","2","3","5","7","3.84","4.58","4","5"
"2005","middle vocational","Female","4.39","4","5350","3","4","5","6","4.35","4.43","4","4"
"2005","middle vocational","Male","4.55","5","4859","3","4","6","7","4.51","4.59","5","5"
"2005","vocational + Abi","Female","4.59","5","664","3","4","6","6","4.48","4.7","5","5"
"2005","vocational + Abi","Male","4.7","5","467","3","4","6","6","4.59","4.81","5","5"
"2006","general elemantary","Female","","","","","","","","","","",""
"2006","general elemantary","Male","","","","","","","","","","",""
"2006","higher education","Female","","","","","","","","","","",""
"2006","higher education","Male","","","","","","","","","","",""
"2006","higher vocational","Female","","","","","","","","","","",""
"2006","higher vocational","Male","","","","","","","","","","",""
"2006","in school","Female","","","","","","","","","","",""
"2006","in school","Male","","","","","","","","","","",""
"2006","inadequately","Female","","","","","","","","","","",""
"2006","inadequately","Male","","","","","","","","","","",""
"2006","middle vocational","Female","","","","","","","","","","",""
"2006","middle vocational","Male","","","","","","","","","","",""
"2006","vocational + Abi","Female","","","","","","","","","","",""
"2006","vocational + Abi","Male","","","","","","","","","","",""
"2007","general elemantary","Female","","","","","","","","","","",""
"2007","general elemantary","Male","","","","","","","","","","",""
"2007","higher education","Female","","","","","","","","","","",""
"2007","higher education","Male","","","","","","","","","","",""
"2007","higher vocational","Female","","","","","","","","","","",""
"2007","higher vocational","Male","","","","","","","","","","",""
"2007","in school","Female","","","","","","","","","","",""
"2007","in school","Male","","","","","","","","","","",""
"2007","inadequately","Female","","","","","","","","","","",""
"2007","inadequately","Male","","","","","","","","","","",""
"2007","middle vocational","Female","","","","","","","","","","",""
"2007","middle vocational","Male","","","","","","","","","","",""
"2007","vocational + Abi","Female","","","","","","","","","","",""
"2007","vocational + Abi","Male","","","","","","","","","","",""
"2008","general elemantary","Female","","","","","","","","","","",""
"2008","general elemantary","Male","","","","","","","","","","",""
"2008","higher education","Female","","","","","","","","","","",""
"2008","higher education","Male","","","","","","","","","","",""
"2008","higher vocational","Female","","","","","","","","","","",""
"2008","higher vocational","Male","","","","","","","","","","",""
"2008","in school","Female","","","","","","","","","","",""
"2008","in school","Male","","","","","","","","","","",""
"2008","inadequately","Female","","","","","","","","","","",""
"2008","inadequately","Male","","","","","","","","","","",""
"2008","middle vocational","Female","","","","","","","","","","",""
"2008","middle vocational","Male","","","","","","","","","","",""
"2008","vocational + Abi","Female","","","","","","","","","","",""
"2008","vocational + Abi","Male","","","","","","","","","","",""
"2009","general elemantary","Female","3.97","4","1224","2","3","5","6","3.88","4.06","4","4"
"2009","general elemantary","Male","4.41","4","553","3","4","5","6","4.29","4.53","4","4"
"2009","higher education","Female","4.63","5","1850","3","4","6","7","4.57","4.69","5","5"
"2009","higher education","Male","4.81","5","2178","3","4","6","6","4.76","4.86","5","5"
"2009","higher vocational","Female","4.48","4","543","3","4","5","6","4.37","4.59","4","5"
