"plb0195_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","no migration background","in school","","","",""
"Acclaimed","1984","no migration background","inadequately","3","","",""
"Acclaimed","1984","no migration background","general elemantary","138","0.283861210283033","0.243568435450393","0.324153985115674"
"Acclaimed","1984","no migration background","middle vocational","603","0.313172573628299","0.292395097142073","0.333950050114525"
"Acclaimed","1984","no migration background","vocational + Abi","29","","",""
"Acclaimed","1984","no migration background","higher vocational","99","0.303430054397532","0.253370468864182","0.353489639930881"
"Acclaimed","1984","no migration background","higher education","59","0.158203119519123","0.12155963368996","0.194846605348286"
"Acclaimed","1984","direct migration background","in school","","","",""
"Acclaimed","1984","direct migration background","inadequately","15","","",""
"Acclaimed","1984","direct migration background","general elemantary","41","0.194974181611814","0.152164342109584","0.237784021114045"
"Acclaimed","1984","direct migration background","middle vocational","69","0.258937972007211","0.217143675738764","0.300732268275657"
"Acclaimed","1984","direct migration background","vocational + Abi","8","","",""
"Acclaimed","1984","direct migration background","higher vocational","7","","",""
"Acclaimed","1984","direct migration background","higher education","2","","",""
"Acclaimed","1984","indirect migration background","in school","","","",""
"Acclaimed","1984","indirect migration background","inadequately","","","",""
"Acclaimed","1984","indirect migration background","general elemantary","3","","",""
"Acclaimed","1984","indirect migration background","middle vocational","4","","",""
"Acclaimed","1984","indirect migration background","vocational + Abi","","","",""
"Acclaimed","1984","indirect migration background","higher vocational","1","","",""
"Acclaimed","1984","indirect migration background","higher education","","","",""
"Partly, partly","1984","no migration background","in school","","","",""
"Partly, partly","1984","no migration background","inadequately","3","","",""
"Partly, partly","1984","no migration background","general elemantary","46","0.0972545186921399","0.0707748157401379","0.123734221644142"
"Partly, partly","1984","no migration background","middle vocational","226","0.114689677748189","0.100414318232444","0.128965037263933"
"Partly, partly","1984","no migration background","vocational + Abi","8","","",""
"Partly, partly","1984","no migration background","higher vocational","49","0.144989750609788","0.106651711352003","0.183327789867573"
"Partly, partly","1984","no migration background","higher education","46","0.113185059368095","0.0813726431937517","0.144997475542439"
"Partly, partly","1984","direct migration background","in school","","","",""
"Partly, partly","1984","direct migration background","inadequately","16","","",""
"Partly, partly","1984","direct migration background","general elemantary","15","","",""
"Partly, partly","1984","direct migration background","middle vocational","31","0.0831600682295873","0.0568151991852724","0.109504937273902"
"Partly, partly","1984","direct migration background","vocational + Abi","5","","",""
"Partly, partly","1984","direct migration background","higher vocational","3","","",""
"Partly, partly","1984","direct migration background","higher education","14","","",""
"Partly, partly","1984","indirect migration background","in school","","","",""
"Partly, partly","1984","indirect migration background","inadequately","","","",""
"Partly, partly","1984","indirect migration background","general elemantary","","","",""
"Partly, partly","1984","indirect migration background","middle vocational","","","",""
"Partly, partly","1984","indirect migration background","vocational + Abi","","","",""
"Partly, partly","1984","indirect migration background","higher vocational","","","",""
"Partly, partly","1984","indirect migration background","higher education","","","",""
"Paid","1984","no migration background","in school","","","",""
"Paid","1984","no migration background","inadequately","13","","",""
"Paid","1984","no migration background","general elemantary","201","0.415354156145496","0.371315783057569","0.459392529233423"
"Paid","1984","no migration background","middle vocational","712","0.376863664635239","0.355153616033351","0.398573713237126"
"Paid","1984","no migration background","vocational + Abi","20","","",""
"Paid","1984","no migration background","higher vocational","75","0.230704648481152","0.184832369945331","0.276576927016973"
"Paid","1984","no migration background","higher education","51","0.131722897446183","0.0977646385608356","0.165681156331531"
"Paid","1984","direct migration background","in school","","","",""
"Paid","1984","direct migration background","inadequately","200","0.820821751951593","0.772702346887534","0.868941157015652"
"Paid","1984","direct migration background","general elemantary","247","0.707038657242771","0.657859975791974","0.756217338693568"
"Paid","1984","direct migration background","middle vocational","278","0.534066452473055","0.486472529288941","0.581660375657169"
"Paid","1984","direct migration background","vocational + Abi","28","","",""
"Paid","1984","direct migration background","higher vocational","6","","",""
"Paid","1984","direct migration background","higher education","18","","",""
"Paid","1984","indirect migration background","in school","","","",""
"Paid","1984","indirect migration background","inadequately","1","","",""
"Paid","1984","indirect migration background","general elemantary","2","","",""
"Paid","1984","indirect migration background","middle vocational","9","","",""
"Paid","1984","indirect migration background","vocational + Abi","","","",""
"Paid","1984","indirect migration background","higher vocational","1","","",""
"Paid","1984","indirect migration background","higher education","","","",""
"Not paid","1984","no migration background","in school","1","","",""
"Not paid","1984","no migration background","inadequately","1","","",""
"Not paid","1984","no migration background","general elemantary","96","0.203530114879331","0.167549003678374","0.239511226080287"
"Not paid","1984","no migration background","middle vocational","373","0.195274083988274","0.177514882978665","0.213033284997883"
"Not paid","1984","no migration background","vocational + Abi","34","0.382945990398812","0.283070770729291","0.482821210068333"
"Not paid","1984","no migration background","higher vocational","101","0.320875546511529","0.270045725445736","0.371705367577322"
"Not paid","1984","no migration background","higher education","225","0.596888923666598","0.547634558162138","0.646143289171057"
