"plb0195_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Not Employed","1-pers.-HH","1","","",""
"Acclaimed","1984","Not Employed","(Married) couple without C. ","2","","",""
"Acclaimed","1984","Not Employed","Single parent ","","","",""
"Acclaimed","1984","Not Employed","Couple + C. LE 16 ","6","","",""
"Acclaimed","1984","Not Employed","Couple + C. GT 16 ","2","","",""
"Acclaimed","1984","Not Employed","Couple + C. LE and GT 16","1","","",""
"Acclaimed","1984","Employed","1-pers.-HH","128","0.352154550004602","0.305169986542924","0.399139113466279"
"Acclaimed","1984","Employed","(Married) couple without C. ","230","0.282692806228962","0.252957657952356","0.312427954505567"
"Acclaimed","1984","Employed","Single parent ","57","0.334113573777304","0.26614481051049","0.402082337044117"
"Acclaimed","1984","Employed","Couple + C. LE 16 ","272","0.247363440707998","0.223980203746282","0.270746677669714"
"Acclaimed","1984","Employed","Couple + C. GT 16 ","179","0.279725703634912","0.246473975816813","0.312977431453011"
"Acclaimed","1984","Employed","Couple + C. LE and GT 16","149","0.281918982635768","0.245827077407805","0.318010887863731"
"Partly, partly","1984","Not Employed","1-pers.-HH","","","",""
"Partly, partly","1984","Not Employed","(Married) couple without C. ","1","","",""
"Partly, partly","1984","Not Employed","Single parent ","","","",""
"Partly, partly","1984","Not Employed","Couple + C. LE 16 ","","","",""
"Partly, partly","1984","Not Employed","Couple + C. GT 16 ","2","","",""
"Partly, partly","1984","Not Employed","Couple + C. LE and GT 16","2","","",""
"Partly, partly","1984","Employed","1-pers.-HH","33","0.0844511224880915","0.0570986671173897","0.111803577858793"
"Partly, partly","1984","Employed","(Married) couple without C. ","98","0.110823993889713","0.0900953494100353","0.13155263836939"
"Partly, partly","1984","Employed","Single parent ","26","","",""
"Partly, partly","1984","Employed","Couple + C. LE 16 ","146","0.125127865210017","0.107197318618259","0.143058411801775"
"Partly, partly","1984","Employed","Couple + C. GT 16 ","79","0.103801979703566","0.0812074201763857","0.126396539230747"
"Partly, partly","1984","Employed","Couple + C. LE and GT 16","56","0.108240467573166","0.0833186544297238","0.133162280716607"
"Paid","1984","Not Employed","1-pers.-HH","5","","",""
"Paid","1984","Not Employed","(Married) couple without C. ","5","","",""
"Paid","1984","Not Employed","Single parent ","5","","",""
"Paid","1984","Not Employed","Couple + C. LE 16 ","7","","",""
"Paid","1984","Not Employed","Couple + C. GT 16 ","7","","",""
"Paid","1984","Not Employed","Couple + C. LE and GT 16","5","","",""
"Paid","1984","Employed","1-pers.-HH","150","0.328369780744737","0.282174294435009","0.374565267054465"
"Paid","1984","Employed","(Married) couple without C. ","338","0.333834883884582","0.302695003618404","0.36497476415076"
"Paid","1984","Employed","Single parent ","68","0.325963210588476","0.258418970366887","0.393507450810064"
"Paid","1984","Employed","Couple + C. LE 16 ","610","0.381245878398652","0.354924668402451","0.407567088394852"
"Paid","1984","Employed","Couple + C. GT 16 ","286","0.366190451036617","0.330501649217807","0.401879252855426"
"Paid","1984","Employed","Couple + C. LE and GT 16","286","0.384838781440465","0.345809117205628","0.423868445675302"
"Not paid","1984","Not Employed","1-pers.-HH","2","","",""
"Not paid","1984","Not Employed","(Married) couple without C. ","2","","",""
"Not paid","1984","Not Employed","Single parent ","","","",""
"Not paid","1984","Not Employed","Couple + C. LE 16 ","6","","",""
"Not paid","1984","Not Employed","Couple + C. GT 16 ","3","","",""
"Not paid","1984","Not Employed","Couple + C. LE and GT 16","2","","",""
"Not paid","1984","Employed","1-pers.-HH","86","0.23502454676257","0.193315218129432","0.276733875395708"
"Not paid","1984","Employed","(Married) couple without C. ","215","0.272648315996744","0.24324246373461","0.302054168258878"
"Not paid","1984","Employed","Single parent ","34","0.18827325565094","0.131940438471607","0.244606072830273"
"Not paid","1984","Employed","Couple + C. LE 16 ","280","0.246262815683333","0.222914604658584","0.269611026708082"
"Not paid","1984","Employed","Couple + C. GT 16 ","156","0.250281865624905","0.218192378889069","0.282371352360741"
"Not paid","1984","Employed","Couple + C. LE and GT 16","106","0.225001768350602","0.19150489687435","0.258498639826854"
"Acclaimed","1985","Not Employed","1-pers.-HH","1","","",""
"Acclaimed","1985","Not Employed","(Married) couple without C. ","2","","",""
"Acclaimed","1985","Not Employed","Single parent ","","","",""
"Acclaimed","1985","Not Employed","Couple + C. LE 16 ","3","","",""
"Acclaimed","1985","Not Employed","Couple + C. GT 16 ","4","","",""
"Acclaimed","1985","Not Employed","Couple + C. LE and GT 16","","","",""
"Acclaimed","1985","Employed","1-pers.-HH","116","0.373355324116885","0.322091985203977","0.424618663029794"
"Acclaimed","1985","Employed","(Married) couple without C. ","210","0.298990646307005","0.265938089941972","0.332043202672038"
"Acclaimed","1985","Employed","Single parent ","49","0.309826842840553","0.239901918829774","0.379751766851331"
"Acclaimed","1985","Employed","Couple + C. LE 16 ","193","0.209908201750722","0.185145741120823","0.234670662380621"
"Acclaimed","1985","Employed","Couple + C. GT 16 ","193","0.287550560509014","0.254304344060862","0.320796776957166"
"Acclaimed","1985","Employed","Couple + C. LE and GT 16","87","0.199526006967967","0.163736665841652","0.235315348094283"
"Partly, partly","1985","Not Employed","1-pers.-HH","","","",""
"Partly, partly","1985","Not Employed","(Married) couple without C. ","","","",""
"Partly, partly","1985","Not Employed","Single parent ","","","",""
"Partly, partly","1985","Not Employed","Couple + C. LE 16 ","1","","",""
"Partly, partly","1985","Not Employed","Couple + C. GT 16 ","","","",""
"Partly, partly","1985","Not Employed","Couple + C. LE and GT 16","2","","",""
"Partly, partly","1985","Employed","1-pers.-HH","40","0.128834762574828","0.0933287553325703","0.164340769817086"
"Partly, partly","1985","Employed","(Married) couple without C. ","83","0.112743977626753","0.0899097933600274","0.135578161893479"
"Partly, partly","1985","Employed","Single parent ","20","","",""
"Partly, partly","1985","Employed","Couple + C. LE 16 ","113","0.114383760848998","0.0950308948824862","0.133736626815509"
"Partly, partly","1985","Employed","Couple + C. GT 16 ","79","0.117429129690159","0.0937824150817619","0.141075844298556"
"Partly, partly","1985","Employed","Couple + C. LE and GT 16","52","0.118816266625225","0.089839393375054","0.147793139875397"
"Paid","1985","Not Employed","1-pers.-HH","","","",""
"Paid","1985","Not Employed","(Married) couple without C. ","6","","",""
"Paid","1985","Not Employed","Single parent ","","","",""
"Paid","1985","Not Employed","Couple + C. LE 16 ","6","","",""
"Paid","1985","Not Employed","Couple + C. GT 16 ","4","","",""
"Paid","1985","Not Employed","Couple + C. LE and GT 16","2","","",""
"Paid","1985","Employed","1-pers.-HH","103","0.247656470868752","0.201908906917146","0.293404034820359"
"Paid","1985","Employed","(Married) couple without C. ","251","0.304523263534611","0.271298194762009","0.337748332307213"
"Paid","1985","Employed","Single parent ","66","0.361298289008344","0.288658354761782","0.433938223254905"
"Paid","1985","Employed","Couple + C. LE 16 ","474","0.388561583659805","0.358923739619461","0.41819942770015"
"Paid","1985","Employed","Couple + C. GT 16 ","262","0.334270026182924","0.299619816470553","0.368920235895296"
"Paid","1985","Employed","Couple + C. LE and GT 16","237","0.400268529437866","0.356391776900807","0.444145281974925"
"Not paid","1985","Not Employed","1-pers.-HH","2","","",""
"Not paid","1985","Not Employed","(Married) couple without C. ","2","","",""
"Not paid","1985","Not Employed","Single parent ","","","",""
"Not paid","1985","Not Employed","Couple + C. LE 16 ","2","","",""
"Not paid","1985","Not Employed","Couple + C. GT 16 ","5","","",""
"Not paid","1985","Not Employed","Couple + C. LE and GT 16","3","","",""
"Not paid","1985","Employed","1-pers.-HH","83","0.250153442439534","0.20425219579002","0.296054689089049"
"Not paid","1985","Employed","(Married) couple without C. ","193","0.283742112531631","0.251195113218761","0.316289111844501"
"Not paid","1985","Employed","Single parent ","33","0.204455429040401","0.143470147667776","0.265440710413025"
"Not paid","1985","Employed","Couple + C. LE 16 ","259","0.287146453740475","0.259636351589609","0.314656555891341"
"Not paid","1985","Employed","Couple + C. GT 16 ","178","0.260750283617902","0.228501296986646","0.292999270249158"
"Not paid","1985","Employed","Couple + C. LE and GT 16","103","0.281389196968941","0.241119263209226","0.321659130728656"
"Acclaimed","1986","Not Employed","1-pers.-HH","","","",""
"Acclaimed","1986","Not Employed","(Married) couple without C. ","3","","",""
"Acclaimed","1986","Not Employed","Single parent ","","","",""
"Acclaimed","1986","Not Employed","Couple + C. LE 16 ","2","","",""
"Acclaimed","1986","Not Employed","Couple + C. GT 16 ","3","","",""
"Acclaimed","1986","Not Employed","Couple + C. LE and GT 16","1","","",""
"Acclaimed","1986","Employed","1-pers.-HH","118","0.385785282068253","0.334933087940074","0.436637476196432"
"Acclaimed","1986","Employed","(Married) couple without C. ","240","0.316761141656157","0.283880737276959","0.349641546035355"
"Acclaimed","1986","Employed","Single parent ","47","0.328567667361269","0.254624886506681","0.402510448215856"
"Acclaimed","1986","Employed","Couple + C. LE 16 ","215","0.258748952181276","0.230737394826094","0.286760509536458"
"Acclaimed","1986","Employed","Couple + C. GT 16 ","194","0.301591244232634","0.267070718114761","0.336111770350506"
"Acclaimed","1986","Employed","Couple + C. LE and GT 16","98","0.28179442700496","0.238141979895895","0.325446874114025"
"Partly, partly","1986","Not Employed","1-pers.-HH","1","","",""
"Partly, partly","1986","Not Employed","(Married) couple without C. ","1","","",""
"Partly, partly","1986","Not Employed","Single parent ","","","",""
"Partly, partly","1986","Not Employed","Couple + C. LE 16 ","","","",""
"Partly, partly","1986","Not Employed","Couple + C. GT 16 ","1","","",""
"Partly, partly","1986","Not Employed","Couple + C. LE and GT 16","1","","",""
"Partly, partly","1986","Employed","1-pers.-HH","42","0.128382738220746","0.0934370990973351","0.163328377344157"
"Partly, partly","1986","Employed","(Married) couple without C. ","92","0.120545878766217","0.0975331722466478","0.143558585285785"
"Partly, partly","1986","Employed","Single parent ","14","","",""
"Partly, partly","1986","Employed","Couple + C. LE 16 ","99","0.106857018026875","0.087097455954977","0.126616580098773"
"Partly, partly","1986","Employed","Couple + C. GT 16 ","83","0.136060320543281","0.11027214254156","0.161848498545002"
"Partly, partly","1986","Employed","Couple + C. LE and GT 16","40","0.0992163133407151","0.0702081783023102","0.12822444837912"
"Paid","1986","Not Employed","1-pers.-HH","4","","",""
"Paid","1986","Not Employed","(Married) couple without C. ","2","","",""
"Paid","1986","Not Employed","Single parent ","4","","",""
"Paid","1986","Not Employed","Couple + C. LE 16 ","4","","",""
"Paid","1986","Not Employed","Couple + C. GT 16 ","3","","",""
"Paid","1986","Not Employed","Couple + C. LE and GT 16","3","","",""
"Paid","1986","Employed","1-pers.-HH","121","0.267982628228608","0.221713557824814","0.314251698632402"
"Paid","1986","Employed","(Married) couple without C. ","273","0.328642548907749","0.295443646712479","0.361841451103018"
"Paid","1986","Employed","Single parent ","65","0.39960785812767","0.322496784203295","0.476718932052045"
"Paid","1986","Employed","Couple + C. LE 16 ","452","0.421672822659812","0.390087166654089","0.453258478665535"
"Paid","1986","Employed","Couple + C. GT 16 ","276","0.366408167793884","0.330167135307677","0.40264920028009"
"Paid","1986","Employed","Couple + C. LE and GT 16","201","0.419785832581601","0.371897902799638","0.467673762363564"
"Not paid","1986","Not Employed","1-pers.-HH","5","","",""
"Not paid","1986","Not Employed","(Married) couple without C. ","2","","",""
"Not paid","1986","Not Employed","Single parent ","","","",""
"Not paid","1986","Not Employed","Couple + C. LE 16 ","","","",""
"Not paid","1986","Not Employed","Couple + C. GT 16 ","1","","",""
"Not paid","1986","Not Employed","Couple + C. LE and GT 16","2","","",""
"Not paid","1986","Employed","1-pers.-HH","71","0.217849351482393","0.174727231873331","0.260971471091454"
"Not paid","1986","Employed","(Married) couple without C. ","164","0.234050430669878","0.204125046695332","0.263975814644423"
"Not paid","1986","Employed","Single parent ","29","","",""
"Not paid","1986","Employed","Couple + C. LE 16 ","173","0.212721207132037","0.186546311073848","0.238896103190225"
"Not paid","1986","Employed","Couple + C. GT 16 ","126","0.195940267430201","0.166085120788727","0.225795414071675"
"Not paid","1986","Employed","Couple + C. LE and GT 16","69","0.199203427072724","0.160448447236556","0.237958406908893"
"Acclaimed","1987","Not Employed","1-pers.-HH","","","",""
"Acclaimed","1987","Not Employed","(Married) couple without C. ","","","",""
"Acclaimed","1987","Not Employed","Single parent ","","","",""
"Acclaimed","1987","Not Employed","Couple + C. LE 16 ","","","",""
"Acclaimed","1987","Not Employed","Couple + C. GT 16 ","","","",""
"Acclaimed","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"Acclaimed","1987","Employed","1-pers.-HH","","","",""
"Acclaimed","1987","Employed","(Married) couple without C. ","","","",""
"Acclaimed","1987","Employed","Single parent ","","","",""
"Acclaimed","1987","Employed","Couple + C. LE 16 ","","","",""
"Acclaimed","1987","Employed","Couple + C. GT 16 ","","","",""
"Acclaimed","1987","Employed","Couple + C. LE and GT 16","","","",""
"Partly, partly","1987","Not Employed","1-pers.-HH","","","",""
"Partly, partly","1987","Not Employed","(Married) couple without C. ","","","",""
"Partly, partly","1987","Not Employed","Single parent ","","","",""
"Partly, partly","1987","Not Employed","Couple + C. LE 16 ","","","",""
"Partly, partly","1987","Not Employed","Couple + C. GT 16 ","","","",""
"Partly, partly","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"Partly, partly","1987","Employed","1-pers.-HH","","","",""
"Partly, partly","1987","Employed","(Married) couple without C. ","","","",""
"Partly, partly","1987","Employed","Single parent ","","","",""
"Partly, partly","1987","Employed","Couple + C. LE 16 ","","","",""
"Partly, partly","1987","Employed","Couple + C. GT 16 ","","","",""
"Partly, partly","1987","Employed","Couple + C. LE and GT 16","","","",""
"Paid","1987","Not Employed","1-pers.-HH","","","",""
"Paid","1987","Not Employed","(Married) couple without C. ","","","",""
"Paid","1987","Not Employed","Single parent ","","","",""
"Paid","1987","Not Employed","Couple + C. LE 16 ","","","",""
"Paid","1987","Not Employed","Couple + C. GT 16 ","","","",""
"Paid","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"Paid","1987","Employed","1-pers.-HH","","","",""
"Paid","1987","Employed","(Married) couple without C. ","","","",""
"Paid","1987","Employed","Single parent ","","","",""
"Paid","1987","Employed","Couple + C. LE 16 ","","","",""
"Paid","1987","Employed","Couple + C. GT 16 ","","","",""
"Paid","1987","Employed","Couple + C. LE and GT 16","","","",""
"Not paid","1987","Not Employed","1-pers.-HH","","","",""
"Not paid","1987","Not Employed","(Married) couple without C. ","","","",""
"Not paid","1987","Not Employed","Single parent ","","","",""
"Not paid","1987","Not Employed","Couple + C. LE 16 ","","","",""
"Not paid","1987","Not Employed","Couple + C. GT 16 ","","","",""
"Not paid","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"Not paid","1987","Employed","1-pers.-HH","","","",""
"Not paid","1987","Employed","(Married) couple without C. ","","","",""
"Not paid","1987","Employed","Single parent ","","","",""
"Not paid","1987","Employed","Couple + C. LE 16 ","","","",""
"Not paid","1987","Employed","Couple + C. GT 16 ","","","",""
"Not paid","1987","Employed","Couple + C. LE and GT 16","","","",""
"Acclaimed","1988","Not Employed","1-pers.-HH","1","","",""
"Acclaimed","1988","Not Employed","(Married) couple without C. ","2","","",""
"Acclaimed","1988","Not Employed","Single parent ","1","","",""
"Acclaimed","1988","Not Employed","Couple + C. LE 16 ","3","","",""
"Acclaimed","1988","Not Employed","Couple + C. GT 16 ","3","","",""
"Acclaimed","1988","Not Employed","Couple + C. LE and GT 16","3","","",""
"Acclaimed","1988","Employed","1-pers.-HH","98","0.351637232562808","0.297606118285894","0.405668346839723"
"Acclaimed","1988","Employed","(Married) couple without C. ","257","0.352483972313082","0.318783624021926","0.386184320604238"
"Acclaimed","1988","Employed","Single parent ","64","0.394903433325259","0.321421355282044","0.468385511368475"
"Acclaimed","1988","Employed","Couple + C. LE 16 ","233","0.28145737618999","0.252601128689614","0.310313623690366"
"Acclaimed","1988","Employed","Couple + C. GT 16 ","236","0.341630303492314","0.30732089972454","0.375939707260087"
"Acclaimed","1988","Employed","Couple + C. LE and GT 16","80","0.259894062214588","0.213815004236538","0.305973120192637"
"Partly, partly","1988","Not Employed","1-pers.-HH","1","","",""
"Partly, partly","1988","Not Employed","(Married) couple without C. ","","","",""
"Partly, partly","1988","Not Employed","Single parent ","","","",""
"Partly, partly","1988","Not Employed","Couple + C. LE 16 ","","","",""
"Partly, partly","1988","Not Employed","Couple + C. GT 16 ","","","",""
"Partly, partly","1988","Not Employed","Couple + C. LE and GT 16","","","",""
"Partly, partly","1988","Employed","1-pers.-HH","38","0.134911000137548","0.0962528080706398","0.173569192204457"
"Partly, partly","1988","Employed","(Married) couple without C. ","112","0.150364703255034","0.125151462853654","0.175577943656414"
"Partly, partly","1988","Employed","Single parent ","20","","",""
"Partly, partly","1988","Employed","Couple + C. LE 16 ","116","0.12593623246197","0.104647285675042","0.147225179248898"
"Partly, partly","1988","Employed","Couple + C. GT 16 ","79","0.109857362909671","0.0872346623107441","0.132480063508598"
"Partly, partly","1988","Employed","Couple + C. LE and GT 16","35","0.103831431899676","0.0717821912269802","0.135880672572373"
"Paid","1988","Not Employed","1-pers.-HH","1","","",""
"Paid","1988","Not Employed","(Married) couple without C. ","6","","",""
"Paid","1988","Not Employed","Single parent ","1","","",""
"Paid","1988","Not Employed","Couple + C. LE 16 ","5","","",""
"Paid","1988","Not Employed","Couple + C. GT 16 ","2","","",""
"Paid","1988","Not Employed","Couple + C. LE and GT 16","2","","",""
"Paid","1988","Employed","1-pers.-HH","96","0.265726548285017","0.215742221191413","0.31571087537862"
"Paid","1988","Employed","(Married) couple without C. ","266","0.301494123166167","0.269122543051839","0.333865703280496"
"Paid","1988","Employed","Single parent ","68","0.384118049025201","0.311003345055496","0.457232752994905"
"Paid","1988","Employed","Couple + C. LE 16 ","421","0.37760272052327","0.346495681838628","0.408709759207912"
"Paid","1988","Employed","Couple + C. GT 16 ","297","0.374996403543435","0.339973280447149","0.410019526639722"
"Paid","1988","Employed","Couple + C. LE and GT 16","183","0.438852598356696","0.386714368276777","0.490990828436616"
"Not paid","1988","Not Employed","1-pers.-HH","1","","",""
"Not paid","1988","Not Employed","(Married) couple without C. ","1","","",""
"Not paid","1988","Not Employed","Single parent ","1","","",""
"Not paid","1988","Not Employed","Couple + C. LE 16 ","2","","",""
"Not paid","1988","Not Employed","Couple + C. GT 16 ","2","","",""
"Not paid","1988","Not Employed","Couple + C. LE and GT 16","","","",""
"Not paid","1988","Employed","1-pers.-HH","68","0.247725219014627","0.198875639964341","0.296574798064912"
"Not paid","1988","Employed","(Married) couple without C. ","137","0.195657201265717","0.167673320073589","0.223641082457845"
"Not paid","1988","Employed","Single parent ","18","","",""
"Not paid","1988","Employed","Couple + C. LE 16 ","163","0.21500367082477","0.188642541027975","0.241364800621565"
"Not paid","1988","Employed","Couple + C. GT 16 ","122","0.17351593005458","0.146119941199232","0.200911918909927"
"Not paid","1988","Employed","Couple + C. LE and GT 16","50","0.19742190752904","0.155600389625895","0.239243425432184"
"Acclaimed","1989","Not Employed","1-pers.-HH","2","","",""
"Acclaimed","1989","Not Employed","(Married) couple without C. ","1","","",""
"Acclaimed","1989","Not Employed","Single parent ","1","","",""
"Acclaimed","1989","Not Employed","Couple + C. LE 16 ","4","","",""
"Acclaimed","1989","Not Employed","Couple + C. GT 16 ","4","","",""
"Acclaimed","1989","Not Employed","Couple + C. LE and GT 16","","","",""
"Acclaimed","1989","Employed","1-pers.-HH","132","0.380241659763733","0.330234194241959","0.430249125285507"
"Acclaimed","1989","Employed","(Married) couple without C. ","271","0.342880845938305","0.310781060922334","0.374980630954276"
"Acclaimed","1989","Employed","Single parent ","48","0.306255102505233","0.233217931481565","0.379292273528901"
"Acclaimed","1989","Employed","Couple + C. LE 16 ","231","0.267227916758333","0.238879060791491","0.295576772725174"
