"plb0195_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","1-pers.-HH","in school","","","","","1"
"Acclaimed","1984","1-pers.-HH","inadequately","3","","","","1"
"Acclaimed","1984","1-pers.-HH","general elemantary","19","","","","1"
"Acclaimed","1984","1-pers.-HH","middle vocational","68","0.3478842163125","0.282842169550171","0.412926263074828","1"
"Acclaimed","1984","1-pers.-HH","vocational + Abi","10","","","","1"
"Acclaimed","1984","1-pers.-HH","higher vocational","14","","","","1"
"Acclaimed","1984","1-pers.-HH","higher education","15","","","","1"
"Acclaimed","1984","(Married) couple without C. ","in school","","","","","1"
"Acclaimed","1984","(Married) couple without C. ","inadequately","1","","","","1"
"Acclaimed","1984","(Married) couple without C. ","general elemantary","31","0.273728575271659","0.198515948967799","0.348941201575519","1"
"Acclaimed","1984","(Married) couple without C. ","middle vocational","156","0.313666657113824","0.273671763474224","0.353661550753424","1"
"Acclaimed","1984","(Married) couple without C. ","vocational + Abi","9","","","","1"
"Acclaimed","1984","(Married) couple without C. ","higher vocational","18","","","","1"
"Acclaimed","1984","(Married) couple without C. ","higher education","17","","","","1"
"Acclaimed","1984","Single parent ","in school","","","","","1"
"Acclaimed","1984","Single parent ","inadequately","","","","","1"
"Acclaimed","1984","Single parent ","general elemantary","11","","","","1"
"Acclaimed","1984","Single parent ","middle vocational","35","0.363895665484907","0.269598050229013","0.458193280740801","1"
"Acclaimed","1984","Single parent ","vocational + Abi","","","","","1"
"Acclaimed","1984","Single parent ","higher vocational","8","","","","1"
"Acclaimed","1984","Single parent ","higher education","3","","","","1"
"Acclaimed","1984","Couple + C. LE 16 ","in school","","","","","1"
"Acclaimed","1984","Couple + C. LE 16 ","inadequately","5","","","","1"
"Acclaimed","1984","Couple + C. LE 16 ","general elemantary","30","0.181968005997713","0.129153426860242","0.234782585135184","1"
"Acclaimed","1984","Couple + C. LE 16 ","middle vocational","179","0.287216171744014","0.253769431908533","0.320662911579496","1"
"Acclaimed","1984","Couple + C. LE 16 ","vocational + Abi","7","","","","1"
"Acclaimed","1984","Couple + C. LE 16 ","higher vocational","39","0.312383245075437","0.231135713411772","0.393630776739102","1"
"Acclaimed","1984","Couple + C. LE 16 ","higher education","17","","","","1"
"Acclaimed","1984","Couple + C. GT 16 ","in school","","","","","1"
"Acclaimed","1984","Couple + C. GT 16 ","inadequately","","","","","1"
"Acclaimed","1984","Couple + C. GT 16 ","general elemantary","33","0.252373549119965","0.179901123943156","0.324845974296774","1"
"Acclaimed","1984","Couple + C. GT 16 ","middle vocational","125","0.31459690759166","0.269812862374229","0.359380952809091","1"
"Acclaimed","1984","Couple + C. GT 16 ","vocational + Abi","7","","","","1"
"Acclaimed","1984","Couple + C. GT 16 ","higher vocational","12","","","","1"
"Acclaimed","1984","Couple + C. GT 16 ","higher education","4","","","","1"
"Acclaimed","1984","Couple + C. LE and GT 16","in school","","","","","1"
"Acclaimed","1984","Couple + C. LE and GT 16","inadequately","8","","","","1"
"Acclaimed","1984","Couple + C. LE and GT 16","general elemantary","48","0.350437244598247","0.278927418486439","0.421947070710056","1"
"Acclaimed","1984","Couple + C. LE and GT 16","middle vocational","84","0.30028776122822","0.248844709684128","0.351730812772312","1"
"Acclaimed","1984","Couple + C. LE and GT 16","vocational + Abi","1","","","","1"
"Acclaimed","1984","Couple + C. LE and GT 16","higher vocational","7","","","","1"
"Acclaimed","1984","Couple + C. LE and GT 16","higher education","2","","","","1"
"Not paid","1984","(Married) couple without C. ","vocational + Abi","11","","","","4"
"Not paid","1984","Couple + C. LE 16 ","higher education","87","0.585881803284691","0.50858652702122","0.663177079548163","4"
"Not paid","1984","Couple + C. GT 16 ","in school","","","","","4"
"Not paid","1984","Couple + C. GT 16 ","inadequately","","","","","4"
"Not paid","1984","Couple + C. GT 16 ","general elemantary","37","0.277155514509148","0.202477502877838","0.351833526140459","4"
"Not paid","1984","Couple + C. LE and GT 16","inadequately","2","","","","4"
"Not paid","1984","Couple + C. LE and GT 16","general elemantary","17","","","","4"
"Not paid","1984","(Married) couple without C. ","general elemantary","19","","","","4"
