"plb0195_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Full Time","1-pers.-HH","121","0.388531545107035","0.336873828058285","0.440189262155786"
"Acclaimed","1984","Full Time","(Married) couple without C. ","179","0.266871433308031","0.235066477288157","0.298676389327905"
"Acclaimed","1984","Full Time","Single parent ","45","0.336711010927397","0.258981851344152","0.414440170510643"
"Acclaimed","1984","Full Time","Couple + C. LE 16 ","214","0.240214416287907","0.214782533796979","0.265646298778835"
"Acclaimed","1984","Full Time","Couple + C. GT 16 ","131","0.257710264224122","0.221646051766095","0.29377447668215"
"Acclaimed","1984","Full Time","Couple + C. LE and GT 16","108","0.249331709795615","0.210829113589428","0.287834306001802"
"Acclaimed","1984","Part Time","1-pers.-HH","7","","",""
"Acclaimed","1984","Part Time","(Married) couple without C. ","51","0.362620966985864","0.282409974488687","0.442831959483042"
"Acclaimed","1984","Part Time","Single parent ","12","","",""
"Acclaimed","1984","Part Time","Couple + C. LE 16 ","58","0.279757355542941","0.220974016056747","0.338540695029134"
"Acclaimed","1984","Part Time","Couple + C. GT 16 ","48","0.364956126329286","0.283747268699413","0.44616498395916"
"Acclaimed","1984","Part Time","Couple + C. LE and GT 16","41","0.420155074416516","0.328743788858809","0.511566359974224"
"Acclaimed","1984","Not Working","1-pers.-HH","1","","",""
"Acclaimed","1984","Not Working","(Married) couple without C. ","2","","",""
"Acclaimed","1984","Not Working","Single parent ","","","",""
"Acclaimed","1984","Not Working","Couple + C. LE 16 ","6","","",""
"Acclaimed","1984","Not Working","Couple + C. GT 16 ","2","","",""
"Acclaimed","1984","Not Working","Couple + C. LE and GT 16","1","","",""
"Partly, partly","1984","Full Time","1-pers.-HH","28","","",""
"Partly, partly","1984","Full Time","(Married) couple without C. ","86","0.113389340810812","0.0905908408381922","0.136187840783433"
"Partly, partly","1984","Full Time","Single parent ","21","","",""
"Partly, partly","1984","Full Time","Couple + C. LE 16 ","125","0.128216327814372","0.108313743040329","0.148118912588414"
"Partly, partly","1984","Full Time","Couple + C. GT 16 ","61","0.102421203482976","0.0774203349266434","0.127422072039308"
"Partly, partly","1984","Full Time","Couple + C. LE and GT 16","48","0.114628833297244","0.0862766279929794","0.142981038601509"
"Partly, partly","1984","Part Time","1-pers.-HH","5","","",""
"Partly, partly","1984","Part Time","(Married) couple without C. ","12","","",""
"Partly, partly","1984","Part Time","Single parent ","5","","",""
"Partly, partly","1984","Part Time","Couple + C. LE 16 ","21","","",""
"Partly, partly","1984","Part Time","Couple + C. GT 16 ","18","","",""
"Partly, partly","1984","Part Time","Couple + C. LE and GT 16","8","","",""
"Partly, partly","1984","Not Working","1-pers.-HH","","","",""
"Partly, partly","1984","Not Working","(Married) couple without C. ","1","","",""
"Partly, partly","1984","Not Working","Single parent ","","","",""
"Partly, partly","1984","Not Working","Couple + C. LE 16 ","","","",""
"Partly, partly","1984","Not Working","Couple + C. GT 16 ","2","","",""
"Partly, partly","1984","Not Working","Couple + C. LE and GT 16","2","","",""
"Paid","1984","Full Time","1-pers.-HH","116","0.28064652503433","0.233026891870375","0.328266158198286"
"Paid","1984","Full Time","(Married) couple without C. ","294","0.344693021104078","0.310519295659448","0.378866746548708"
"Paid","1984","Full Time","Single parent ","52","0.333250533571052","0.255720372905812","0.410780694236292"
"Paid","1984","Full Time","Couple + C. LE 16 ","503","0.371373203809509","0.342610137873687","0.400136269745331"
"Paid","1984","Full Time","Couple + C. GT 16 ","235","0.366205818733768","0.326481120090408","0.405930517377128"
"Paid","1984","Full Time","Couple + C. LE and GT 16","236","0.387704713667291","0.344342821975234","0.431066605359348"
"Paid","1984","Part Time","1-pers.-HH","34","0.611640929873123","0.482836220364501","0.740445639381745"
"Paid","1984","Part Time","(Married) couple without C. ","44","0.278980545924298","0.204151708292616","0.353809383555981"
"Paid","1984","Part Time","Single parent ","16","","",""
"Paid","1984","Part Time","Couple + C. LE 16 ","107","0.425981294175801","0.361224943122322","0.49073764522928"
"Paid","1984","Part Time","Couple + C. GT 16 ","51","0.366130956638182","0.284866768087672","0.447395145188691"
"Paid","1984","Part Time","Couple + C. LE and GT 16","50","0.37268141950692","0.283134216409164","0.462228622604676"
"Paid","1984","Not Working","1-pers.-HH","5","","",""
"Paid","1984","Not Working","(Married) couple without C. ","5","","",""
"Paid","1984","Not Working","Single parent ","5","","",""
"Paid","1984","Not Working","Couple + C. LE 16 ","7","","",""
"Paid","1984","Not Working","Couple + C. GT 16 ","7","","",""
"Paid","1984","Not Working","Couple + C. LE and GT 16","5","","",""
"Not paid","1984","Full Time","1-pers.-HH","77","0.245502206055399","0.19988888177094","0.291115530339858"
"Not paid","1984","Full Time","(Married) couple without C. ","184","0.275046204777078","0.242938321434178","0.307154088119979"
"Not paid","1984","Full Time","Single parent ","24","","",""
"Not paid","1984","Full Time","Couple + C. LE 16 ","242","0.260196052088212","0.234077919417804","0.286314184758621"
"Not paid","1984","Full Time","Couple + C. GT 16 ","138","0.273662713559134","0.23690056792416","0.310424859194109"
"Not paid","1984","Full Time","Couple + C. LE and GT 16","93","0.24833474323985","0.209883693395021","0.286785793084679"
"Not paid","1984","Part Time","1-pers.-HH","9","","",""
"Not paid","1984","Part Time","(Married) couple without C. ","31","0.260534396372347","0.187302535401365","0.333766257343329"
"Not paid","1984","Part Time","Single parent ","10","","",""
"Not paid","1984","Part Time","Couple + C. LE 16 ","38","0.183128037152387","0.132478148238917","0.233777926065857"
"Not paid","1984","Part Time","Couple + C. GT 16 ","18","","",""
"Not paid","1984","Part Time","Couple + C. LE and GT 16","13","","",""
"Not paid","1984","Not Working","1-pers.-HH","2","","",""
"Not paid","1984","Not Working","(Married) couple without C. ","2","","",""
"Not paid","1984","Not Working","Single parent ","","","",""
"Not paid","1984","Not Working","Couple + C. LE 16 ","6","","",""
"Not paid","1984","Not Working","Couple + C. GT 16 ","3","","",""
"Not paid","1984","Not Working","Couple + C. LE and GT 16","2","","",""
"Acclaimed","1985","Full Time","1-pers.-HH","98","0.385324779929699","0.328823018998532","0.441826540860867"
"Acclaimed","1985","Full Time","(Married) couple without C. ","172","0.288772102685239","0.253270910828282","0.324273294542196"
"Acclaimed","1985","Full Time","Single parent ","34","0.288842020412007","0.210017840445167","0.367666200378847"
"Acclaimed","1985","Full Time","Couple + C. LE 16 ","150","0.209092154215745","0.181292205634275","0.236892102797216"
"Acclaimed","1985","Full Time","Couple + C. GT 16 ","140","0.262685441850909","0.226005390734348","0.299365492967469"
"Acclaimed","1985","Full Time","Couple + C. LE and GT 16","69","0.192503290834653","0.153473653381069","0.231532928288238"
"Acclaimed","1985","Part Time","1-pers.-HH","18","","",""
"Acclaimed","1985","Part Time","(Married) couple without C. ","38","0.354527157781181","0.265535285621622","0.44351902994074"
"Acclaimed","1985","Part Time","Single parent ","15","","",""
"Acclaimed","1985","Part Time","Couple + C. LE 16 ","43","0.212909939978586","0.158443573139852","0.26737630681732"
"Acclaimed","1985","Part Time","Couple + C. GT 16 ","53","0.374305777640877","0.299083952514554","0.4495276027672"
"Acclaimed","1985","Part Time","Couple + C. LE and GT 16","18","","",""
"Acclaimed","1985","Not Working","1-pers.-HH","1","","",""
"Acclaimed","1985","Not Working","(Married) couple without C. ","2","","",""
"Acclaimed","1985","Not Working","Single parent ","","","",""
"Acclaimed","1985","Not Working","Couple + C. LE 16 ","3","","",""
"Acclaimed","1985","Not Working","Couple + C. GT 16 ","4","","",""
"Acclaimed","1985","Not Working","Couple + C. LE and GT 16","","","",""
"Partly, partly","1985","Full Time","1-pers.-HH","36","0.143104232910573","0.102449051829344","0.183759413991802"
"Partly, partly","1985","Full Time","(Married) couple without C. ","68","0.109215509567975","0.0847818000712199","0.13364921906473"
"Partly, partly","1985","Full Time","Single parent ","17","","",""
"Partly, partly","1985","Full Time","Couple + C. LE 16 ","93","0.115086078957548","0.0932701308087145","0.136902027106382"
"Partly, partly","1985","Full Time","Couple + C. GT 16 ","53","0.101611506219306","0.0764295734324435","0.126793439006168"
"Partly, partly","1985","Full Time","Couple + C. LE and GT 16","40","0.114945346821589","0.0833708964130208","0.146519797230157"
"Partly, partly","1985","Part Time","1-pers.-HH","4","","",""
"Partly, partly","1985","Part Time","(Married) couple without C. ","15","","",""
"Partly, partly","1985","Part Time","Single parent ","3","","",""
"Partly, partly","1985","Part Time","Couple + C. LE 16 ","20","","",""
"Partly, partly","1985","Part Time","Couple + C. GT 16 ","26","","",""
"Partly, partly","1985","Part Time","Couple + C. LE and GT 16","12","","",""
"Partly, partly","1985","Not Working","1-pers.-HH","","","",""
"Partly, partly","1985","Not Working","(Married) couple without C. ","","","",""
"Partly, partly","1985","Not Working","Single parent ","","","",""
"Partly, partly","1985","Not Working","Couple + C. LE 16 ","1","","",""
"Partly, partly","1985","Not Working","Couple + C. GT 16 ","","","",""
"Partly, partly","1985","Not Working","Couple + C. LE and GT 16","2","","",""
"Paid","1985","Full Time","1-pers.-HH","81","0.222440873009784","0.174157270253204","0.270724475766365"
"Paid","1985","Full Time","(Married) couple without C. ","216","0.305986114896213","0.269887057340697","0.342085172451728"
"Paid","1985","Full Time","Single parent ","48","0.32704997260484","0.245458514073893","0.408641431135787"
"Paid","1985","Full Time","Couple + C. LE 16 ","369","0.376883205883403","0.343754817942694","0.410011593824113"
"Paid","1985","Full Time","Couple + C. GT 16 ","203","0.337045169756056","0.297647408078927","0.376442931433185"
"Paid","1985","Full Time","Couple + C. LE and GT 16","196","0.397941783473994","0.349487288390697","0.446396278557291"
"Paid","1985","Part Time","1-pers.-HH","22","","",""
"Paid","1985","Part Time","(Married) couple without C. ","35","0.296572848638347","0.211603583995239","0.381542113281456"
"Paid","1985","Part Time","Single parent ","18","","",""
"Paid","1985","Part Time","Couple + C. LE 16 ","105","0.431519170697739","0.365620571460777","0.4974177699347"
"Paid","1985","Part Time","Couple + C. GT 16 ","59","0.324587458946084","0.251809485690609","0.397365432201559"
"Paid","1985","Part Time","Couple + C. LE and GT 16","41","0.410396867475841","0.307032613516961","0.513761121434721"
"Paid","1985","Not Working","1-pers.-HH","","","",""
"Paid","1985","Not Working","(Married) couple without C. ","6","","",""
"Paid","1985","Not Working","Single parent ","","","",""
"Paid","1985","Not Working","Couple + C. LE 16 ","6","","",""
