"plb0195_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","West Germany","Male","570","0.222413499519206","0.207542058441074","0.237284940597337"
"Acclaimed","1984","West Germany","Female","512","0.404522782551805","0.378466993397349","0.430578571706262"
"Acclaimed","1984","East Germany","Male","","","",""
"Acclaimed","1984","East Germany","Female","","","",""
"Partly, partly","1984","West Germany","Male","320","0.112345521932851","0.101052816908036","0.123638226957666"
"Partly, partly","1984","West Germany","Female","142","0.106532725571657","0.0901539660222018","0.122911485121112"
"Partly, partly","1984","East Germany","Male","","","",""
"Partly, partly","1984","East Germany","Female","","","",""
"Paid","1984","West Germany","Male","1459","0.410234644886028","0.392645127544716","0.427824162227339"
"Paid","1984","West Germany","Female","414","0.252598976779144","0.229531887281448","0.275666066276839"
"Paid","1984","East Germany","Male","","","",""
"Paid","1984","East Germany","Female","","","",""
"Not paid","1984","West Germany","Male","655","0.255006333661915","0.23941978711775","0.27059288020608"
"Not paid","1984","West Germany","Female","295","0.236345515097394","0.213791581409228","0.25889944878556"
"Not paid","1984","East Germany","Male","","","",""
"Not paid","1984","East Germany","Female","","","",""
"Acclaimed","1985","West Germany","Male","457","0.206494182872589","0.19067726932251","0.222311096422668"
"Acclaimed","1985","West Germany","Female","447","0.395990983510295","0.368377644351888","0.423604322668702"
"Acclaimed","1985","East Germany","Male","","","",""
"Acclaimed","1985","East Germany","Female","","","",""
"Partly, partly","1985","West Germany","Male","278","0.117466262416238","0.104885266940771","0.130047257891706"
"Partly, partly","1985","West Germany","Female","125","0.111180299017376","0.093431240445108","0.128929357589644"
"Partly, partly","1985","East Germany","Male","","","",""
"Partly, partly","1985","East Germany","Female","","","",""
"Paid","1985","West Germany","Male","1147","0.386801402020649","0.36777146420988","0.405831339831418"
"Paid","1985","West Germany","Female","346","0.241354673124886","0.217194401249174","0.265514945000598"
"Paid","1985","East Germany","Male","","","",""
"Paid","1985","East Germany","Female","","","",""
"Not paid","1985","West Germany","Male","634","0.289238152690523","0.271521461475011","0.306954843906036"
"Not paid","1985","West Germany","Female","287","0.251474044347444","0.22697751360039","0.275970575094497"
"Not paid","1985","East Germany","Male","","","",""
"Not paid","1985","East Germany","Female","","","",""
"Acclaimed","1986","West Germany","Male","510","0.240736365970046","0.223578192702176","0.257894539237916"
"Acclaimed","1986","West Germany","Female","459","0.431518128738349","0.402741839320765","0.460294418155932"
"Acclaimed","1986","East Germany","Male","","","",""
"Acclaimed","1986","East Germany","Female","","","",""
"Partly, partly","1986","West Germany","Male","273","0.126732486433756","0.113381248693904","0.140083724173609"
"Partly, partly","1986","West Germany","Female","122","0.106185242379546","0.0882860761307817","0.12408440862831"
"Partly, partly","1986","East Germany","Male","","","",""
"Partly, partly","1986","East Germany","Female","","","",""
"Paid","1986","West Germany","Male","1178","0.429398307053688","0.409532757158974","0.449263856948403"
"Paid","1986","West Germany","Female","320","0.246000603701429","0.22097811248292","0.271023094919939"
"Paid","1986","East Germany","Male","","","",""
"Paid","1986","East Germany","Female","","","",""
"Not paid","1986","West Germany","Male","424","0.203132840542509","0.186986023118225","0.219279657966794"
"Not paid","1986","West Germany","Female","237","0.216296025180676","0.192375139584794","0.240216910776558"
"Not paid","1986","East Germany","Male","","","",""
"Not paid","1986","East Germany","Female","","","",""
"Acclaimed","1987","West Germany","Male","","","",""
"Acclaimed","1987","West Germany","Female","","","",""
"Acclaimed","1987","East Germany","Male","","","",""
"Acclaimed","1987","East Germany","Female","","","",""
"Partly, partly","1987","West Germany","Male","","","",""
"Partly, partly","1987","West Germany","Female","","","",""
"Partly, partly","1987","East Germany","Male","","","",""
"Partly, partly","1987","East Germany","Female","","","",""
"Paid","1987","West Germany","Male","","","",""
"Paid","1987","West Germany","Female","","","",""
"Paid","1987","East Germany","Male","","","",""
"Paid","1987","East Germany","Female","","","",""
"Not paid","1987","West Germany","Male","","","",""
"Not paid","1987","West Germany","Female","","","",""
"Not paid","1987","East Germany","Male","","","",""
"Not paid","1987","East Germany","Female","","","",""
"Acclaimed","1988","West Germany","Male","534","0.257412763974462","0.239533222689873","0.275292305259051"
"Acclaimed","1988","West Germany","Female","487","0.454899247652047","0.426402513886274","0.483395981417819"
"Acclaimed","1988","East Germany","Male","","","",""
"Acclaimed","1988","East Germany","Female","","","",""
"Partly, partly","1988","West Germany","Male","300","0.138105390718684","0.123996268643934","0.152214512793434"
"Partly, partly","1988","West Germany","Female","120","0.10601365169215","0.0883961052289097","0.123631198155391"
"Partly, partly","1988","East Germany","Male","","","",""
"Partly, partly","1988","East Germany","Female","","","",""
"Paid","1988","West Germany","Male","1081","0.405088305826092","0.385012698175578","0.425163913476606"
"Paid","1988","West Germany","Female","357","0.242423741959688","0.217899260242318","0.266948223677057"
"Paid","1988","East Germany","Male","","","",""
"Paid","1988","East Germany","Female","","","",""
"Not paid","1988","West Germany","Male","382","0.199393539480762","0.183054268330998","0.215732810630526"
