"plb0195_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Not Employed","no migration background","11","","",""
"Acclaimed","1984","Not Employed","direct migration background","1","","",""
"Acclaimed","1984","Not Employed","indirect migration background","","","",""
"Acclaimed","1984","Employed","no migration background","920","0.290919474259211","0.275071177846425","0.306767770671997"
"Acclaimed","1984","Employed","direct migration background","142","0.210573665221748","0.186599201858699","0.234548128584797"
"Acclaimed","1984","Employed","indirect migration background","8","","",""
"Partly, partly","1984","Not Employed","no migration background","5","","",""
"Partly, partly","1984","Not Employed","direct migration background","1","","",""
"Partly, partly","1984","Not Employed","indirect migration background","","","",""
"Partly, partly","1984","Employed","no migration background","373","0.114467663839569","0.103358227332335","0.125577100346804"
"Partly, partly","1984","Employed","direct migration background","83","0.0802886812235391","0.064309887531192","0.0962674749158863"
"Partly, partly","1984","Employed","indirect migration background","","","",""
"Paid","1984","Not Employed","no migration background","28","","",""
"Paid","1984","Not Employed","direct migration background","7","","",""
"Paid","1984","Not Employed","indirect migration background","","","",""
"Paid","1984","Employed","no migration background","1046","0.333699152028997","0.317245544122573","0.350152759935421"
"Paid","1984","Employed","direct migration background","779","0.570210050027445","0.541100424187638","0.599319675867251"
"Paid","1984","Employed","indirect migration background","13","","",""
"Not paid","1984","Not Employed","no migration background","15","","",""
"Not paid","1984","Not Employed","direct migration background","3","","",""
"Not paid","1984","Not Employed","indirect migration background","","","",""
"Not paid","1984","Employed","no migration background","816","0.260913709872223","0.245590687616649","0.276236732127797"
"Not paid","1984","Employed","direct migration background","107","0.138927603527268","0.118589747561693","0.159265459492843"
"Not paid","1984","Employed","indirect migration background","9","","",""
"Acclaimed","1985","Not Employed","no migration background","10","","",""
"Acclaimed","1985","Not Employed","direct migration background","2","","",""
"Acclaimed","1985","Not Employed","indirect migration background","","","",""
"Acclaimed","1985","Employed","no migration background","779","0.280109682699987","0.263530053113598","0.296689312286376"
"Acclaimed","1985","Employed","direct migration background","107","0.190592409441724","0.16379100494294","0.217393813940507"
"Acclaimed","1985","Employed","indirect migration background","6","","",""
"Partly, partly","1985","Not Employed","no migration background","2","","",""
"Partly, partly","1985","Not Employed","direct migration background","1","","",""
"Partly, partly","1985","Not Employed","indirect migration background","","","",""
"Partly, partly","1985","Employed","no migration background","328","0.115821566673688","0.104006334150023","0.127636799197353"
"Partly, partly","1985","Employed","direct migration background","68","0.117898197802683","0.0958925552278321","0.139903840377533"
"Partly, partly","1985","Employed","indirect migration background","4","","",""
"Paid","1985","Not Employed","no migration background","15","","",""
"Paid","1985","Not Employed","direct migration background","7","","",""
"Paid","1985","Not Employed","indirect migration background","","","",""
"Paid","1985","Employed","no migration background","890","0.315623606217418","0.298463900090586","0.33278331234425"
"Paid","1985","Employed","direct migration background","570","0.555559607284077","0.521652307250704","0.58946690731745"
"Paid","1985","Employed","indirect migration background","11","","",""
"Not paid","1985","Not Employed","no migration background","13","","",""
"Not paid","1985","Not Employed","direct migration background","1","","",""
"Not paid","1985","Not Employed","indirect migration background","1","","",""
"Not paid","1985","Employed","no migration background","821","0.288445144408907","0.271718323530689","0.305171965287125"
"Not paid","1985","Employed","direct migration background","80","0.135949785471517","0.112562497068884","0.159337073874149"
"Not paid","1985","Employed","indirect migration background","5","","",""
"Acclaimed","1986","Not Employed","no migration background","9","","",""
"Acclaimed","1986","Not Employed","direct migration background","1","","",""
"Acclaimed","1986","Not Employed","indirect migration background","","","",""
"Acclaimed","1986","Employed","no migration background","822","0.319948499914208","0.301942486260229","0.337954513568186"
"Acclaimed","1986","Employed","direct migration background","128","0.207317243802155","0.180160441712973","0.234474045891337"
"Acclaimed","1986","Employed","indirect migration background","9","","",""
"Partly, partly","1986","Not Employed","no migration background","4","","",""
"Partly, partly","1986","Not Employed","direct migration background","","","",""
"Partly, partly","1986","Not Employed","indirect migration background","1","","",""
"Partly, partly","1986","Employed","no migration background","312","0.1224228227435","0.109770202039669","0.135075443447331"
"Partly, partly","1986","Employed","direct migration background","74","0.0932316617262082","0.0737538082324744","0.112709515219942"
"Partly, partly","1986","Employed","indirect migration background","4","","",""
"Paid","1986","Not Employed","no migration background","15","","",""
"Paid","1986","Not Employed","direct migration background","8","","",""
"Paid","1986","Not Employed","indirect migration background","","","",""
"Paid","1986","Employed","no migration background","880","0.343810322779805","0.325475328129754","0.362145317429856"
"Paid","1986","Employed","direct migration background","578","0.560645999323491","0.527398203023385","0.593893795623597"
"Paid","1986","Employed","indirect migration background","17","","",""
"Not paid","1986","Not Employed","no migration background","7","","",""
"Not paid","1986","Not Employed","direct migration background","4","","",""
"Not paid","1986","Not Employed","indirect migration background","","","",""
"Not paid","1986","Employed","no migration background","564","0.213818354562488","0.197991647055453","0.229645062069522"
"Not paid","1986","Employed","direct migration background","76","0.138805095148146","0.115643704125774","0.161966486170517"
"Not paid","1986","Employed","indirect migration background","10","","",""
"Acclaimed","1987","Not Employed","no migration background","","","",""
"Acclaimed","1987","Not Employed","direct migration background","","","",""
"Acclaimed","1987","Not Employed","indirect migration background","","","",""
"Acclaimed","1987","Employed","no migration background","","","",""
"Acclaimed","1987","Employed","direct migration background","","","",""
"Acclaimed","1987","Employed","indirect migration background","","","",""
"Partly, partly","1987","Not Employed","no migration background","","","",""
"Partly, partly","1987","Not Employed","direct migration background","","","",""
"Partly, partly","1987","Not Employed","indirect migration background","","","",""
"Partly, partly","1987","Employed","no migration background","","","",""
"Partly, partly","1987","Employed","direct migration background","","","",""
"Partly, partly","1987","Employed","indirect migration background","","","",""
"Paid","1987","Not Employed","no migration background","","","",""
"Paid","1987","Not Employed","direct migration background","","","",""
"Paid","1987","Not Employed","indirect migration background","","","",""
"Paid","1987","Employed","no migration background","","","",""
"Paid","1987","Employed","direct migration background","","","",""
"Paid","1987","Employed","indirect migration background","","","",""
"Not paid","1987","Not Employed","no migration background","","","",""
"Not paid","1987","Not Employed","direct migration background","","","",""
"Not paid","1987","Not Employed","indirect migration background","","","",""
"Not paid","1987","Employed","no migration background","","","",""
"Not paid","1987","Employed","direct migration background","","","",""
"Not paid","1987","Employed","indirect migration background","","","",""
"Acclaimed","1988","Not Employed","no migration background","9","","",""
"Acclaimed","1988","Not Employed","direct migration background","4","","",""
"Acclaimed","1988","Not Employed","indirect migration background","","","",""
"Acclaimed","1988","Employed","no migration background","847","0.338310371007103","0.31976012034005","0.356860621674155"
"Acclaimed","1988","Employed","direct migration background","138","0.227033109294587","0.199323788700451","0.254742429888723"
"Acclaimed","1988","Employed","indirect migration background","23","","",""
"Partly, partly","1988","Not Employed","no migration background","2","","",""
"Partly, partly","1988","Not Employed","direct migration background","","","",""
"Partly, partly","1988","Not Employed","indirect migration background","","","",""
"Partly, partly","1988","Employed","no migration background","329","0.131306698200265","0.11806506237044","0.144548334030089"
"Partly, partly","1988","Employed","direct migration background","83","0.0902294799359724","0.0712780933784481","0.109180866493497"
"Partly, partly","1988","Employed","indirect migration background","6","","",""
"Paid","1988","Not Employed","no migration background","10","","",""
"Paid","1988","Not Employed","direct migration background","8","","",""
"Paid","1988","Not Employed","indirect migration background","2","","",""
"Paid","1988","Employed","no migration background","808","0.322270925855524","0.303947630384747","0.340594221326302"
"Paid","1988","Employed","direct migration background","592","0.565128608314731","0.532337590382793","0.597919626246669"
"Paid","1988","Employed","indirect migration background","18","","",""
"Not paid","1988","Not Employed","no migration background","7","","",""
"Not paid","1988","Not Employed","direct migration background","","","",""
"Not paid","1988","Not Employed","indirect migration background","","","",""
"Not paid","1988","Employed","no migration background","515","0.208112004937108","0.192195584262145","0.224028425612071"
"Not paid","1988","Employed","direct migration background","65","0.117608802454709","0.0963003784243993","0.138917226485019"
"Not paid","1988","Employed","indirect migration background","4","","",""
"Acclaimed","1989","Not Employed","no migration background","8","","",""
"Acclaimed","1989","Not Employed","direct migration background","4","","",""
"Acclaimed","1989","Not Employed","indirect migration background","","","",""
"Acclaimed","1989","Employed","no migration background","861","0.329550424318623","0.311582546088581","0.347518302548666"
"Acclaimed","1989","Employed","direct migration background","149","0.208191716475116","0.181841000787663","0.234542432162569"
"Acclaimed","1989","Employed","indirect migration background","25","","",""
"Partly, partly","1989","Not Employed","no migration background","4","","",""
"Partly, partly","1989","Not Employed","direct migration background","1","","",""
"Partly, partly","1989","Not Employed","indirect migration background","","","",""
"Partly, partly","1989","Employed","no migration background","387","0.144397891005012","0.130961917267611","0.157833864742412"
"Partly, partly","1989","Employed","direct migration background","122","0.175856389123871","0.151148753060527","0.200564025187215"
"Partly, partly","1989","Employed","indirect migration background","13","","",""
"Paid","1989","Not Employed","no migration background","18","","",""
"Paid","1989","Not Employed","direct migration background","6","","",""
"Paid","1989","Not Employed","indirect migration background","","","",""
"Paid","1989","Employed","no migration background","872","0.329134587295227","0.311172481075257","0.347096693515197"
"Paid","1989","Employed","direct migration background","590","0.553174015350608","0.52090759642217","0.585440434279046"
"Paid","1989","Employed","indirect migration background","31","0.330101713083142","0.223676192800057","0.436527233366227"
"Not paid","1989","Not Employed","no migration background","5","","",""
"Not paid","1989","Not Employed","direct migration background","1","","",""
"Not paid","1989","Not Employed","indirect migration background","","","",""
"Not paid","1989","Employed","no migration background","509","0.196917097381138","0.181716008416638","0.212118186345638"
"Not paid","1989","Employed","direct migration background","51","0.0627778790504049","0.0470353226966334","0.0785204354041763"
"Not paid","1989","Employed","indirect migration background","6","","",""
"Acclaimed","1990","Not Employed","no migration background","8","","",""
"Acclaimed","1990","Not Employed","direct migration background","1","","",""
"Acclaimed","1990","Not Employed","indirect migration background","","","",""
"Acclaimed","1990","Employed","no migration background","909","0.346752563667372","0.328458503025439","0.365046624309306"
"Acclaimed","1990","Employed","direct migration background","133","0.207114934130567","0.180506454182995","0.23372341407814"
"Acclaimed","1990","Employed","indirect migration background","26","","",""
