"plb0195_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","16-34 y.","Full Time","400","0.329751887394818","0.304802932911013","0.354700841878622","1"
"Acclaimed","1984","16-34 y.","Part Time","110","0.310925916923822","0.263569756980563","0.358282076867081","1"
"Acclaimed","1984","16-34 y.","Not Working","8","","","","1"
"Acclaimed","1984","35-65 y.","Full Time","438","0.240324655231628","0.222338777701754","0.258310532761503","1"
"Acclaimed","1984","35-65 y.","Part Time","119","0.341737337326955","0.293924114529794","0.389550560124117","1"
"Acclaimed","1984","35-65 y.","Not Working","4","","","","1"
"Acclaimed","1984","66 and older","Full Time","2","","","","1"
"Acclaimed","1984","66 and older","Part Time","1","","","","1"
"Acclaimed","1984","66 and older","Not Working","","","","","1"
"Not paid","1984","16-34 y.","Full Time","230","0.186874339340313","0.166187479385143","0.207561199295483","4"
"Not paid","1984","16-34 y.","Not Working","12","","","","4"
"Not paid","1984","35-65 y.","Full Time","564","0.305310702344378","0.28592485581158","0.324696548877177","4"
"Not paid","1984","35-65 y.","Part Time","73","0.215614318617643","0.174156559974169","0.257072077261117","4"
"Not paid","1984","16-34 y.","Part Time","53","0.166732585956605","0.128598134722928","0.204867037190283","4"
"Not paid","1984","35-65 y.","Not Working","6","","","","4"
"Not paid","1984","66 and older","Full Time","6","","","","4"
"Not paid","1984","66 and older","Part Time","6","","","","4"
"Not paid","1984","66 and older","Not Working","","","","","4"
"Paid","1984","16-34 y.","Not Working","26","","","","3"
"Paid","1984","35-65 y.","Part Time","150","0.346797474168226","0.298817050147657","0.394777898188795","3"
"Paid","1984","66 and older","Full Time","","","","","3"
"Paid","1984","16-34 y.","Part Time","167","0.418106813942898","0.367642971302827","0.468570656582969","3"
"Paid","1984","35-65 y.","Not Working","9","","","","3"
"Paid","1984","16-34 y.","Full Time","556","0.346420963914701","0.321169181093549","0.371672746735853","3"
"Paid","1984","35-65 y.","Full Time","961","0.354277694974107","0.334144474404756","0.374410915543458","3"
"Paid","1984","66 and older","Part Time","4","","","","3"
"Paid","1984","66 and older","Not Working","","","","","3"
"Partly, partly","1984","16-34 y.","Full Time","178","0.136952809350169","0.118707818487497","0.15519780021284","2"
"Partly, partly","1984","16-34 y.","Part Time","37","0.104234683176675","0.0729725718200553","0.135496794533295","2"
"Partly, partly","1984","16-34 y.","Not Working","6","","","","2"
"Partly, partly","1984","35-65 y.","Part Time","36","0.0958508698871759","0.0661738522487507","0.125527887525601","2"
"Partly, partly","1984","35-65 y.","Not Working","","","","","2"
"Partly, partly","1984","66 and older","Full Time","","","","","2"
"Partly, partly","1984","66 and older","Part Time","","","","","2"
"Partly, partly","1984","66 and older","Not Working","","","","","2"
"Partly, partly","1984","35-65 y.","Full Time","205","0.100086947449886","0.0874539197171659","0.112719975182606","2"
"Acclaimed","1985","16-34 y.","Full Time","339","0.322693776236565","0.295790391385446","0.349597161087684","1"
"Acclaimed","1985","16-34 y.","Part Time","89","0.292914422423363","0.243960734309609","0.341868110537116","1"
"Acclaimed","1985","16-34 y.","Not Working","10","","","","1"
"Acclaimed","1985","35-65 y.","Full Time","352","0.225348228596097","0.205965749947612","0.244730707244582","1"
"Acclaimed","1985","35-65 y.","Part Time","112","0.315902320739035","0.269406068825466","0.362398572652604","1"
"Acclaimed","1985","35-65 y.","Not Working","2","","","","1"
"Acclaimed","1985","66 and older","Full Time","","","","","1"
"Acclaimed","1985","66 and older","Part Time","","","","","1"
"Acclaimed","1985","66 and older","Not Working","","","","","1"
"Not paid","1985","16-34 y.","Full Time","225","0.207814597722015","0.184465476521811","0.231163718922219","4"
"Not paid","1985","35-65 y.","Part Time","77","0.211145608877728","0.170325709530699","0.251965508224756","4"
"Not paid","1985","16-34 y.","Not Working","6","","","","4"
"Not paid","1985","35-65 y.","Full Time","537","0.345469584413884","0.323409924848176","0.367529243979593","4"
"Not paid","1985","16-34 y.","Part Time","60","0.198870962664812","0.155935517136958","0.241806408192666","4"
"Not paid","1985","35-65 y.","Not Working","8","","","","4"
"Not paid","1985","66 and older","Full Time","7","","","","4"
"Not paid","1985","66 and older","Part Time","","","","","4"
"Not paid","1985","66 and older","Not Working","1","","","","4"
"Paid","1985","16-34 y.","Full Time","452","0.33449755623543","0.307346270618054","0.361648841852806","3"
"Paid","1985","16-34 y.","Part Time","144","0.389562052604627","0.337106902566753","0.442017202642501","3"
"Paid","1985","35-65 y.","Not Working","5","","","","3"
"Paid","1985","35-65 y.","Part Time","148","0.343945682712748","0.296434339472826","0.391457025952669","3"
"Paid","1985","16-34 y.","Not Working","17","","","","3"
"Paid","1985","66 and older","Full Time","1","","","","3"
"Paid","1985","35-65 y.","Full Time","726","0.328158591124875","0.306376265098296","0.349940917151454","3"
"Paid","1985","66 and older","Part Time","","","","","3"
"Paid","1985","66 and older","Not Working","","","","","3"
"Partly, partly","1985","66 and older","Part Time","","","","","2"
"Partly, partly","1985","16-34 y.","Part Time","39","0.118652562307198","0.0838676283677252","0.153437496246672","2"
"Partly, partly","1985","16-34 y.","Not Working","3","","","","2"
"Partly, partly","1985","35-65 y.","Part Time","47","0.12900638767049","0.0954793199888781","0.162533455352101","2"
"Partly, partly","1985","16-34 y.","Full Time","144","0.134994069805991","0.115329430532089","0.154658709079893","2"
"Partly, partly","1985","35-65 y.","Not Working","","","","","2"
"Partly, partly","1985","66 and older","Not Working","","","","","2"
"Partly, partly","1985","35-65 y.","Full Time","170","0.101023595865144","0.0870433587122007","0.115003833018087","2"
"Partly, partly","1985","66 and older","Full Time","","","","","2"
"Acclaimed","1986","16-34 y.","Full Time","349","0.334712668637692","0.307661779943753","0.361763557331632","1"
"Acclaimed","1986","16-34 y.","Part Time","104","0.323106572609115","0.272877053641078","0.373336091577152","1"
"Acclaimed","1986","16-34 y.","Not Working","10","","","","1"
"Acclaimed","1986","35-65 y.","Full Time","392","0.269751231164855","0.248335976001587","0.291166486328122","1"
"Acclaimed","1986","35-65 y.","Part Time","114","0.391682747895956","0.33811726336913","0.445248232422782","1"
"Acclaimed","1986","35-65 y.","Not Working","","","","","1"
"Acclaimed","1986","66 and older","Full Time","","","","","1"
"Acclaimed","1986","66 and older","Part Time","","","","","1"
"Acclaimed","1986","66 and older","Not Working","","","","","1"
"Not paid","1986","16-34 y.","Full Time","174","0.159947216208548","0.138934486892052","0.180959945525044","4"
"Not paid","1986","16-34 y.","Not Working","9","","","","4"
"Not paid","1986","35-65 y.","Full Time","375","0.265110436091296","0.243812840755026","0.286408031427565","4"
"Not paid","1986","35-65 y.","Part Time","44","0.14177674968439","0.10349820699599","0.180055292372789","4"
"Not paid","1986","16-34 y.","Part Time","56","0.160021391764177","0.120643803927444","0.199398979600911","4"
"Not paid","1986","35-65 y.","Not Working","2","","","","4"
"Not paid","1986","66 and older","Full Time","","","","","4"
"Not paid","1986","66 and older","Part Time","1","","","","4"
"Not paid","1986","66 and older","Not Working","","","","","4"
