"plb0195_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","1-pers.-HH","129","0.346913662849451","0.300556528572002","0.3932707971269"
"Acclaimed","1984","(Married) couple without C. ","232","0.282083784785531","0.252535302333817","0.311632267237245"
"Acclaimed","1984","Single parent ","57","0.325796624161885","0.259155848728021","0.39243739959575"
"Acclaimed","1984","Couple + C. LE 16 ","278","0.247797299450276","0.224568414753342","0.271026184147209"
"Acclaimed","1984","Couple + C. GT 16 ","181","0.277772582826288","0.244919157270968","0.310626008381609"
"Acclaimed","1984","Couple + C. LE and GT 16","150","0.280065839348097","0.244344296693924","0.31578738200227"
"Partly, partly","1984","1-pers.-HH","33","0.082560052249456","0.0557563748511758","0.109363729647736"
"Partly, partly","1984","(Married) couple without C. ","99","0.11081655468496","0.0902051663848649","0.131427942985055"
"Partly, partly","1984","Single parent ","26","","",""
"Partly, partly","1984","Couple + C. LE 16 ","146","0.123215135526232","0.105530700847463","0.140899570205002"
"Partly, partly","1984","Couple + C. GT 16 ","81","0.103307828456783","0.0809830431731765","0.12563261374039"
"Partly, partly","1984","Couple + C. LE and GT 16","58","0.111563957385204","0.0865185104815276","0.136609404288881"
"Paid","1984","1-pers.-HH","155","0.337229085103557","0.291185957950314","0.3832722122568"
"Paid","1984","(Married) couple without C. ","343","0.336025947608723","0.305010989411437","0.36704090580601"
"Paid","1984","Single parent ","73","0.342741726807067","0.275254309006439","0.410229144607695"
"Paid","1984","Couple + C. LE 16 ","617","0.38131958051278","0.355186514316841","0.407452646708718"
"Paid","1984","Couple + C. GT 16 ","293","0.370281189954049","0.334862039227419","0.405700340680679"
"Paid","1984","Couple + C. LE and GT 16","291","0.385798524832881","0.347073700671225","0.424523348994537"
"Not paid","1984","1-pers.-HH","88","0.233297199797536","0.192107477193011","0.274486922402062"
"Not paid","1984","(Married) couple without C. ","217","0.271073712920785","0.241886357450819","0.300261068390751"
"Not paid","1984","Single parent ","34","0.183586648149554","0.128537971107042","0.238635325192066"
"Not paid","1984","Couple + C. LE 16 ","286","0.247667984510712","0.224443165601222","0.270892803420202"
"Not paid","1984","Couple + C. GT 16 ","159","0.248638398762879","0.216934871503812","0.280341926021946"
"Not paid","1984","Couple + C. LE and GT 16","108","0.222571678433817","0.189479993950539","0.255663362917096"
"Acclaimed","1985","1-pers.-HH","117","0.373842626551257","0.322789222718501","0.424896030384014"
"Acclaimed","1985","(Married) couple without C. ","212","0.297309144844282","0.264531777016156","0.330086512672408"
"Acclaimed","1985","Single parent ","49","0.309826842840553","0.239901918829774","0.379751766851331"
"Acclaimed","1985","Couple + C. LE 16 ","196","0.208454169578505","0.18389633560083","0.23301200355618"
"Acclaimed","1985","Couple + C. GT 16 ","197","0.28945002879477","0.256438685316347","0.322461372273193"
"Acclaimed","1985","Couple + C. LE and GT 16","87","0.197486846500165","0.162093215110344","0.232880477889986"
"Partly, partly","1985","1-pers.-HH","40","0.127871192423303","0.0926328706411328","0.163109514205473"
"Partly, partly","1985","(Married) couple without C. ","83","0.111596958750218","0.0890172160857977","0.134176701414639"
