"plb0195_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","lower secondary degree","Male","333","0.232513513204273","0.21100633383604","0.254020692572507"
"Acclaimed","1984","lower secondary degree","Female","231","0.369169922548618","0.331396731797937","0.406943113299299"
"Acclaimed","1984","secondary school degree","Male","121","0.276197633510828","0.234229000635965","0.318166266385692"
"Acclaimed","1984","secondary school degree","Female","189","0.503188606548748","0.452583583128844","0.553793629968652"
"Acclaimed","1984","college entrance qualification","Male","63","0.163708732675455","0.127448315233949","0.199969150116962"
"Acclaimed","1984","college entrance qualification","Female","56","0.357832691263335","0.283556059151959","0.432109323374712"
"Acclaimed","1984","Other degree","Male","43","0.140154154166295","0.108115585457971","0.172192722874619"
"Acclaimed","1984","Other degree","Female","21","","",""
"Acclaimed","1984","no degree/no degree yet","Male","8","","",""
"Acclaimed","1984","no degree/no degree yet","Female","13","","",""
"Partly, partly","1984","lower secondary degree","Male","167","0.11191018862456","0.0958597373739526","0.127960639875168"
"Partly, partly","1984","lower secondary degree","Female","66","0.106306063643338","0.0821799291319599","0.130432198154716"
"Partly, partly","1984","secondary school degree","Male","59","0.131185470598777","0.0994962722587852","0.162874668938769"
"Partly, partly","1984","secondary school degree","Female","43","0.110183164020187","0.0784918398252557","0.141874488215119"
"Partly, partly","1984","college entrance qualification","Male","48","0.108977751522765","0.0784404054356721","0.139515097609858"
"Partly, partly","1984","college entrance qualification","Female","16","","",""
"Partly, partly","1984","Other degree","Male","33","0.0779909711435252","0.0532424318483925","0.102739510438658"
"Partly, partly","1984","Other degree","Female","9","","",""
"Partly, partly","1984","no degree/no degree yet","Male","12","","",""
"Partly, partly","1984","no degree/no degree yet","Female","8","","",""
"Paid","1984","lower secondary degree","Male","740","0.492546202895613","0.467092807135052","0.517999598656175"
"Paid","1984","lower secondary degree","Female","204","0.317907391860589","0.281458334160655","0.354356449560523"
"Paid","1984","secondary school degree","Male","109","0.247068814581023","0.206584065226544","0.287553563935502"
"Paid","1984","secondary school degree","Female","53","0.137793286943945","0.102907205760358","0.172679368127533"
"Paid","1984","college entrance qualification","Male","71","0.164741580059781","0.128389426853926","0.201093733265637"
"Paid","1984","college entrance qualification","Female","30","0.18115058329728","0.121473170055427","0.240827996539134"
"Paid","1984","Other degree","Male","337","0.692716033713968","0.65013586381138","0.735296203616557"
"Paid","1984","Other degree","Female","68","0.57330565201286","0.482112878157302","0.664498425868417"
"Paid","1984","no degree/no degree yet","Male","190","0.818803763653241","0.767905700992106","0.869701826314377"
"Paid","1984","no degree/no degree yet","Female","54","0.554272309651409","0.446028771296851","0.662515848005968"
"Not paid","1984","lower secondary degree","Male","242","0.163030095275553","0.144223386415273","0.181836804135834"
"Not paid","1984","lower secondary degree","Female","126","0.206616621947456","0.174925435556125","0.238307808338787"
"Not paid","1984","secondary school degree","Male","147","0.345548081309372","0.300910776722246","0.390185385896497"
"Not paid","1984","secondary school degree","Female","90","0.248834942487119","0.205077107244756","0.292592777729482"
"Not paid","1984","college entrance qualification","Male","218","0.562571935741998","0.513958037407706","0.611185834076291"
"Not paid","1984","college entrance qualification","Female","58","0.369365088853935","0.294581719777849","0.44414845793002"
"Not paid","1984","Other degree","Male","38","0.0891388409762115","0.0628410418840735","0.11543664006835"
"Not paid","1984","Other degree","Female","15","","",""
"Not paid","1984","no degree/no degree yet","Male","10","","",""
"Not paid","1984","no degree/no degree yet","Female","6","","",""
"Acclaimed","1985","lower secondary degree","Male","240","0.203399997791122","0.181085418252035","0.22571457733021"
"Acclaimed","1985","lower secondary degree","Female","197","0.364650977164141","0.324424535252887","0.404877419075395"
"Acclaimed","1985","secondary school degree","Male","113","0.265838909519299","0.223386105481611","0.308291713556987"
"Acclaimed","1985","secondary school degree","Female","164","0.470953390723564","0.418955899334751","0.522950882112378"
"Acclaimed","1985","college entrance qualification","Male","64","0.184896967387953","0.144960842019709","0.224833092756197"
"Acclaimed","1985","college entrance qualification","Female","57","0.351835829525495","0.278525219892692","0.425146439158298"
"Acclaimed","1985","Other degree","Male","32","0.11784090708157","0.0831068438909135","0.152574970272226"
"Acclaimed","1985","Other degree","Female","15","","",""
"Acclaimed","1985","no degree/no degree yet","Male","5","","",""
"Acclaimed","1985","no degree/no degree yet","Female","8","","",""
"Partly, partly","1985","lower secondary degree","Male","146","0.114560475918499","0.0969045726369412","0.132216379200056"
"Partly, partly","1985","lower secondary degree","Female","60","0.113980424119521","0.0874219243364323","0.14053892390261"
"Partly, partly","1985","secondary school degree","Male","59","0.142152147650813","0.10859513647128","0.175709158830345"
"Partly, partly","1985","secondary school degree","Female","38","0.105999703029935","0.0739320175186088","0.138067388541261"
"Partly, partly","1985","college entrance qualification","Male","43","0.112544655724713","0.0800336449858543","0.145055666463572"
"Partly, partly","1985","college entrance qualification","Female","17","","",""
"Partly, partly","1985","Other degree","Male","21","","",""
"Partly, partly","1985","Other degree","Female","7","","",""
"Partly, partly","1985","no degree/no degree yet","Male","9","","",""
"Partly, partly","1985","no degree/no degree yet","Female","3","","",""
"Paid","1985","lower secondary degree","Male","618","0.478013672953554","0.450322407190558","0.505704938716549"
"Paid","1985","lower secondary degree","Female","179","0.318084806418401","0.279162067571924","0.357007545264879"
"Paid","1985","secondary school degree","Male","101","0.236560898009707","0.195723307900477","0.277398488118937"
"Paid","1985","secondary school degree","Female","59","0.1437221282995","0.107178165479297","0.180266091119702"
"Paid","1985","college entrance qualification","Male","51","0.140803791912635","0.105023149830309","0.176584433994961"
"Paid","1985","college entrance qualification","Female","24","","",""
"Paid","1985","Other degree","Male","250","0.71744543468831","0.668941195520077","0.765949673856543"
"Paid","1985","Other degree","Female","44","0.59361686775146","0.480167312940193","0.707066422562726"
"Paid","1985","no degree/no degree yet","Male","116","0.770931461423104","0.700304707824938","0.841558215021271"
"Paid","1985","no degree/no degree yet","Female","35","0.564891362257319","0.432660591136684","0.697122133377955"
"Not paid","1985","lower secondary degree","Male","246","0.204025853336825","0.18168575054793","0.226365956125721"
