"plb0195_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1985","Urban Area","Male","349","0.205264526555927","0.187442675961417","0.223086377150436","1"
"Acclaimed","1985","Urban Area","Female","359","0.407939277524445","0.376688043221592","0.439190511827299","1"
"Acclaimed","1985","Rural Area","Male","108","0.210424445638752","0.176140316758117","0.244708574519388","1"
"Acclaimed","1985","Rural Area","Female","88","0.355045233364941","0.296311923958741","0.413778542771141","1"
"Not paid","1985","Urban Area","Male","479","0.280393921232611","0.260573345876124","0.300214496589098","4"
"Not paid","1985","Urban Area","Female","220","0.246833575611782","0.219415694987503","0.274251456236062","4"
"Not paid","1985","Rural Area","Male","155","0.317506338787199","0.278352559590304","0.356660117984094","4"
"Not paid","1985","Rural Area","Female","67","0.26737652156994","0.213053983677638","0.321699059462242","4"
"Paid","1985","Urban Area","Female","272","0.232592982433776","0.205727324842818","0.259458640024734","3"
"Paid","1985","Urban Area","Male","919","0.390917601665554","0.369386552839959","0.41244865049115","3"
"Paid","1985","Rural Area","Male","228","0.37364508672893","0.332955052200153","0.414335121257707","3"
"Paid","1985","Rural Area","Female","74","0.271380214634341","0.216802220327854","0.325958208940828","3"
"Partly, partly","1985","Urban Area","Male","226","0.123423950545908","0.108910219525544","0.137937681566273","2"
"Partly, partly","1985","Urban Area","Female","99","0.112634164429997","0.0925306164317959","0.132737712428197","2"
"Partly, partly","1985","Rural Area","Male","52","0.0984241288451188","0.0733688000602679","0.12347945762997","2"
"Partly, partly","1985","Rural Area","Female","26","","","","2"
"Acclaimed","1986","Urban Area","Male","381","0.227764610665831","0.208901922653079","0.246627298678583","1"
"Acclaimed","1986","Urban Area","Female","353","0.427076263748108","0.394560172351811","0.459592355144405","1"
"Acclaimed","1986","Rural Area","Male","129","0.285025587418377","0.244891154507496","0.325160020329258","1"
"Acclaimed","1986","Rural Area","Female","106","0.446095843334565","0.384353967807281","0.507837718861849","1"
"Not paid","1986","Urban Area","Male","335","0.207888715092041","0.189637399849924","0.226140030334157","4"
"Not paid","1986","Urban Area","Female","187","0.227234639478184","0.199688654801416","0.254780624154952","4"
"Not paid","1986","Rural Area","Male","89","0.186894947045071","0.152237061252398","0.221552832837743","4"
"Not paid","1986","Rural Area","Female","50","0.180396690631443","0.13263666488805","0.228156716374835","4"
"Paid","1986","Urban Area","Female","253","0.241843556910026","0.213695793863599","0.269991319956453","3"
"Paid","1986","Rural Area","Male","223","0.432691574210157","0.388643310668178","0.476739837752135","3"
"Paid","1986","Rural Area","Female","67","0.259643576151368","0.205186084565272","0.314101067737464","3"
"Paid","1986","Urban Area","Male","955","0.428433750570009","0.406177052484647","0.450690448655371","3"
"Partly, partly","1986","Urban Area","Male","228","0.13591292367212","0.120499655278514","0.151326192065726","2"
"Partly, partly","1986","Rural Area","Male","45","0.0953878913263955","0.0692718240404246","0.121503958612366","2"
"Partly, partly","1986","Urban Area","Female","96","0.103845539863682","0.0837923913569649","0.123898688370398","2"
"Partly, partly","1986","Rural Area","Female","26","","","","2"
"Acclaimed","1987","Urban Area","Female","","","","","1"
"Acclaimed","1987","Urban Area","Male","","","","","1"
"Acclaimed","1987","Rural Area","Male","","","","","1"
"Acclaimed","1987","Rural Area","Female","","","","","1"
"Not paid","1987","Urban Area","Male","","","","","4"
"Not paid","1987","Urban Area","Female","","","","","4"
"Not paid","1987","Rural Area","Male","","","","","4"
"Not paid","1987","Rural Area","Female","","","","","4"
"Paid","1987","Urban Area","Female","","","","","3"
"Paid","1987","Rural Area","Male","","","","","3"
"Paid","1987","Rural Area","Female","","","","","3"
"Paid","1987","Urban Area","Male","","","","","3"
"Partly, partly","1987","Urban Area","Male","","","","","2"
"Partly, partly","1987","Urban Area","Female","","","","","2"
"Partly, partly","1987","Rural Area","Male","","","","","2"
"Partly, partly","1987","Rural Area","Female","","","","","2"
"Acclaimed","1988","Rural Area","Female","101","0.439313340194289","0.37626017104981","0.502366509338768","1"
"Acclaimed","1988","Urban Area","Female","386","0.458984052947864","0.427043228843032","0.490924877052696","1"
"Acclaimed","1988","Urban Area","Male","397","0.240400000521116","0.220869339767295","0.259930661274937","1"
"Acclaimed","1988","Rural Area","Male","137","0.320907438258708","0.278154129559424","0.363660746957992","1"
"Not paid","1988","Urban Area","Male","312","0.205927303988313","0.187445501493901","0.224409106482724","4"
"Not paid","1988","Urban Area","Female","168","0.19987435030168","0.174241322146926","0.225507378456434","4"
"Not paid","1988","Rural Area","Male","70","0.175008362410936","0.140209141121516","0.209807583700355","4"
"Not paid","1988","Rural Area","Female","41","0.184411558576481","0.135140804077799","0.233682313075162","4"
"Paid","1988","Urban Area","Male","890","0.415435949966254","0.392912997726824","0.437958902205685","3"
"Paid","1988","Urban Area","Female","286","0.238929545556768","0.211596398032373","0.266262693081162","3"
"Paid","1988","Rural Area","Male","191","0.366469048226311","0.322340674665358","0.410597421787265","3"
"Paid","1988","Rural Area","Female","71","0.255756133060656","0.200327997150082","0.311184268971231","3"
"Partly, partly","1988","Urban Area","Male","240","0.138236745524317","0.122461978180624","0.15401151286801","2"
"Partly, partly","1988","Urban Area","Female","95","0.102212051193688","0.082795136471416","0.12162896591596","2"
"Partly, partly","1988","Rural Area","Male","60","0.137615151104044","0.106065174857074","0.169165127351015","2"
"Partly, partly","1988","Rural Area","Female","25","","","","2"
"Acclaimed","1989","Rural Area","Female","98","0.388065647240984","0.327899411991426","0.448231882490541","1"
"Acclaimed","1989","Urban Area","Male","392","0.239417809596617","0.2202250726403","0.258610546552933","1"
"Acclaimed","1989","Urban Area","Female","427","0.444125664374761","0.413869807289735","0.474381521459786","1"
"Acclaimed","1989","Rural Area","Male","130","0.283813544419088","0.243311753714202","0.324315335123974","1"
