"plb0195_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1985","Full Time","Urban Area","535","0.264591262123269","0.246649333479235","0.282533190767302"
"Acclaimed","1985","Full Time","Rural Area","156","0.258477591795792","0.224318446106231","0.292636737485352"
"Acclaimed","1985","Part Time","Urban Area","161","0.313759756693988","0.275498381244833","0.352021132143144"
"Acclaimed","1985","Part Time","Rural Area","40","0.278348964960826","0.206863451299137","0.349834478622514"
"Acclaimed","1985","Not Working","Urban Area","12","","",""
"Acclaimed","1985","Not Working","Rural Area","","","",""
"Partly, partly","1985","Full Time","Urban Area","254","0.117950326090649","0.104830953139927","0.131069699041371"
"Partly, partly","1985","Full Time","Rural Area","60","0.101607300081192","0.0780335337569757","0.125181066405408"
"Partly, partly","1985","Part Time","Urban Area","70","0.131513245558205","0.103646245751903","0.159380245364507"
"Partly, partly","1985","Part Time","Rural Area","16","","",""
"Partly, partly","1985","Not Working","Urban Area","1","","",""
"Partly, partly","1985","Not Working","Rural Area","2","","",""
"Paid","1985","Full Time","Urban Area","952","0.334050727680103","0.314866524352343","0.353234931007862"
"Paid","1985","Full Time","Rural Area","227","0.31616098764417","0.279881220761657","0.352440754526684"
"Paid","1985","Part Time","Urban Area","224","0.342438261772004","0.303310655788968","0.38156586775504"
"Paid","1985","Part Time","Rural Area","68","0.437601076176341","0.358474741513838","0.516727410838844"
"Paid","1985","Not Working","Urban Area","15","","",""
"Paid","1985","Not Working","Rural Area","7","","",""
"Not paid","1985","Full Time","Urban Area","581","0.283407684105979","0.265077835947335","0.301737532264624"
"Not paid","1985","Full Time","Rural Area","188","0.323754120478846","0.287245671772315","0.360262569185378"
"Not paid","1985","Part Time","Urban Area","110","0.212288735975802","0.178570032232744","0.246007439718861"
"Not paid","1985","Part Time","Rural Area","27","","",""
"Not paid","1985","Not Working","Urban Area","8","","",""
"Not paid","1985","Not Working","Rural Area","7","","",""
"Acclaimed","1986","Full Time","Urban Area","561","0.286129367598473","0.267438296452636","0.30482043874431"
"Acclaimed","1986","Full Time","Rural Area","180","0.335339058476652","0.296717099843495","0.373961017109809"
"Acclaimed","1986","Part Time","Urban Area","165","0.34797219878481","0.306387060183495","0.389557337386124"
"Acclaimed","1986","Part Time","Rural Area","53","0.377680296129679","0.300096432862845","0.455264159396512"
"Acclaimed","1986","Not Working","Urban Area","8","","",""
"Acclaimed","1986","Not Working","Rural Area","2","","",""
"Partly, partly","1986","Full Time","Urban Area","273","0.131696288095551","0.117711180530578","0.145681395660524"
"Partly, partly","1986","Full Time","Rural Area","53","0.0929732580416202","0.0692168259568783","0.116729690126362"
"Partly, partly","1986","Part Time","Urban Area","47","0.0950210625964842","0.069419763708553","0.120622361484415"
"Partly, partly","1986","Part Time","Rural Area","17","","",""
"Partly, partly","1986","Not Working","Urban Area","4","","",""
"Partly, partly","1986","Not Working","Rural Area","1","","",""
"Paid","1986","Full Time","Urban Area","977","0.356785315735208","0.336973481927933","0.376597149542484"
"Paid","1986","Full Time","Rural Area","227","0.367853389012459","0.328404167929374","0.407302610095543"
"Paid","1986","Part Time","Urban Area","213","0.39103483176104","0.348432166367645","0.433637497154436"
"Paid","1986","Part Time","Rural Area","58","0.373437116505924","0.296027746281196","0.450846486730652"
"Paid","1986","Not Working","Urban Area","18","","",""
"Paid","1986","Not Working","Rural Area","5","","",""
"Not paid","1986","Full Time","Urban Area","435","0.225389028570767","0.208108722801498","0.242669334340037"
"Not paid","1986","Full Time","Rural Area","114","0.203834294469269","0.170878445388299","0.236790143550239"
"Not paid","1986","Part Time","Urban Area","79","0.165971906857666","0.133490079451071","0.19845373426426"
"Not paid","1986","Part Time","Rural Area","22","","",""
"Not paid","1986","Not Working","Urban Area","8","","",""
"Not paid","1986","Not Working","Rural Area","3","","",""
"Acclaimed","1987","Full Time","Urban Area","","","",""
"Acclaimed","1987","Full Time","Rural Area","","","",""
"Acclaimed","1987","Part Time","Urban Area","","","",""
"Acclaimed","1987","Part Time","Rural Area","","","",""
"Acclaimed","1987","Not Working","Urban Area","","","",""
"Acclaimed","1987","Not Working","Rural Area","","","",""
"Partly, partly","1987","Full Time","Urban Area","","","",""
"Partly, partly","1987","Full Time","Rural Area","","","",""
"Partly, partly","1987","Part Time","Urban Area","","","",""
"Partly, partly","1987","Part Time","Rural Area","","","",""
"Partly, partly","1987","Not Working","Urban Area","","","",""
"Partly, partly","1987","Not Working","Rural Area","","","",""
"Paid","1987","Full Time","Urban Area","","","",""
"Paid","1987","Full Time","Rural Area","","","",""
"Paid","1987","Part Time","Urban Area","","","",""
"Paid","1987","Part Time","Rural Area","","","",""
"Paid","1987","Not Working","Urban Area","","","",""
"Paid","1987","Not Working","Rural Area","","","",""
"Not paid","1987","Full Time","Urban Area","","","",""
"Not paid","1987","Full Time","Rural Area","","","",""
"Not paid","1987","Part Time","Urban Area","","","",""
"Not paid","1987","Part Time","Rural Area","","","",""
"Not paid","1987","Not Working","Urban Area","","","",""
"Not paid","1987","Not Working","Rural Area","","","",""
"Acclaimed","1988","Full Time","Urban Area","616","0.311169537955792","0.291988471071219","0.330350604840366"
"Acclaimed","1988","Full Time","Rural Area","185","0.358034554850468","0.317784346044122","0.398284763656814"
"Acclaimed","1988","Part Time","Urban Area","158","0.351271371179716","0.309595399636719","0.392947342722712"
"Acclaimed","1988","Part Time","Rural Area","49","0.375269532927044","0.295349338604593","0.455189727249495"
"Acclaimed","1988","Not Working","Urban Area","9","","",""
"Acclaimed","1988","Not Working","Rural Area","4","","",""
"Partly, partly","1988","Full Time","Urban Area","292","0.13517824325871","0.121012650494988","0.149343836022431"
"Partly, partly","1988","Full Time","Rural Area","74","0.144611402148512","0.115083483419768","0.174139320877256"
"Partly, partly","1988","Part Time","Urban Area","42","0.0871239843975128","0.0625028768328575","0.111745091962168"
"Partly, partly","1988","Part Time","Rural Area","10","","",""
"Partly, partly","1988","Not Working","Urban Area","1","","",""
"Partly, partly","1988","Not Working","Rural Area","1","","",""
"Paid","1988","Full Time","Urban Area","935","0.344992311841718","0.32529776659954","0.364686857083895"
"Paid","1988","Full Time","Rural Area","195","0.310810878866155","0.271954068101013","0.349667689631297"
"Paid","1988","Part Time","Urban Area","224","0.378637113156758","0.336290657346758","0.420983568966757"
"Paid","1988","Part Time","Rural Area","64","0.399607715679998","0.318759019896108","0.480456411463889"
"Paid","1988","Not Working","Urban Area","17","","",""
"Paid","1988","Not Working","Rural Area","3","","",""
"Not paid","1988","Full Time","Urban Area","395","0.208659906943781","0.191824673631723","0.225495140255839"
"Not paid","1988","Full Time","Rural Area","91","0.186543164134865","0.153838720457843","0.219247607811887"
"Not paid","1988","Part Time","Urban Area","80","0.182967531266014","0.149212423816496","0.216722638715532"
"Not paid","1988","Part Time","Rural Area","18","","",""
"Not paid","1988","Not Working","Urban Area","5","","",""
"Not paid","1988","Not Working","Rural Area","2","","",""
"Acclaimed","1989","Full Time","Urban Area","642","0.305191892467808","0.28676884780224","0.323614937133375"
"Acclaimed","1989","Full Time","Rural Area","182","0.322064089914296","0.284101828972556","0.360026350856036"
"Acclaimed","1989","Part Time","Urban Area","165","0.36066319787299","0.318403827754775","0.402922567991205"
"Acclaimed","1989","Part Time","Rural Area","46","0.337496885094848","0.258604080630897","0.4163896895588"
"Acclaimed","1989","Not Working","Urban Area","12","","",""
"Acclaimed","1989","Not Working","Rural Area","","","",""
"Partly, partly","1989","Full Time","Urban Area","359","0.151342824951751","0.13700479339331","0.165680856510193"
"Partly, partly","1989","Full Time","Rural Area","87","0.162941914299614","0.132937800515046","0.192946028084183"
"Partly, partly","1989","Part Time","Urban Area","58","0.132372991253829","0.102548470373571","0.162197512134088"
"Partly, partly","1989","Part Time","Rural Area","18","","",""
"Partly, partly","1989","Not Working","Urban Area","3","","",""
"Partly, partly","1989","Not Working","Rural Area","2","","",""
"Paid","1989","Full Time","Urban Area","1004","0.346342007575921","0.327306242210436","0.365377772941407"
"Paid","1989","Full Time","Rural Area","223","0.342275694689016","0.303728162972202","0.38082322640583"
"Paid","1989","Part Time","Urban Area","212","0.378851324292671","0.336160018428291","0.42154263015705"
"Paid","1989","Part Time","Rural Area","54","0.373157847192646","0.292465205408053","0.453850488977239"
"Paid","1989","Not Working","Urban Area","20","","",""
"Paid","1989","Not Working","Rural Area","4","","",""
"Not paid","1989","Full Time","Urban Area","395","0.197123275004519","0.181207204394729","0.21303934561431"
"Not paid","1989","Full Time","Rural Area","90","0.172718301097074","0.142008112329699","0.203428489864449"
"Not paid","1989","Part Time","Urban Area","61","0.12811248658051","0.0986999004389392","0.15752507272208"
"Not paid","1989","Part Time","Rural Area","20","","",""
"Not paid","1989","Not Working","Urban Area","4","","",""
"Not paid","1989","Not Working","Rural Area","2","","",""
"Acclaimed","1990","Full Time","Urban Area","657","0.319287830363338","0.300454904269971","0.338120756456704"
"Acclaimed","1990","Full Time","Rural Area","205","0.357894555690615","0.32003823020205","0.39575088117918"
"Acclaimed","1990","Part Time","Urban Area","154","0.329635811899259","0.287756647590962","0.371514976207557"
"Acclaimed","1990","Part Time","Rural Area","52","0.425221909615904","0.340238464230867","0.510205355000941"
"Acclaimed","1990","Not Working","Urban Area","7","","",""
"Acclaimed","1990","Not Working","Rural Area","2","","",""
"Partly, partly","1990","Full Time","Urban Area","355","0.141529667642448","0.12744874052116","0.155610594763735"
"Partly, partly","1990","Full Time","Rural Area","95","0.17082132034358","0.141101044530824","0.200541596156337"
"Partly, partly","1990","Part Time","Urban Area","70","0.155408494636162","0.123132016409922","0.187684972862402"
"Partly, partly","1990","Part Time","Rural Area","16","","",""
"Partly, partly","1990","Not Working","Urban Area","3","","",""
"Partly, partly","1990","Not Working","Rural Area","","","",""
"Paid","1990","Full Time","Urban Area","988","0.351064935451936","0.331783506806837","0.370346364097034"
"Paid","1990","Full Time","Rural Area","231","0.318600552516157","0.281806138923813","0.355394966108501"
"Paid","1990","Part Time","Urban Area","199","0.382928989442378","0.339622587234997","0.42623539164976"
"Paid","1990","Part Time","Rural Area","52","0.363813633104451","0.281113143897604","0.446514122311298"
"Paid","1990","Not Working","Urban Area","17","","",""
"Paid","1990","Not Working","Rural Area","5","","",""
"Not paid","1990","Full Time","Urban Area","354","0.188117566542279","0.172330330214003","0.203904802870555"
