"plb0195_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Partly, partly","1986","general elemantary","West Germany","59","0.0973140906386663","0.0747195478666582","0.119908633410674"
"Partly, partly","1986","general elemantary","East Germany","","","",""
"Partly, partly","1986","middle vocational","West Germany","241","0.129346994408098","0.114433170505087","0.14426081831111"
"Partly, partly","1986","middle vocational","East Germany","","","",""
"Partly, partly","1986","vocational + Abi","West Germany","12","","",""
"Partly, partly","1986","vocational + Abi","East Germany","","","",""
"Partly, partly","1986","higher vocational","West Germany","34","0.131171034880842","0.0894904371324853","0.172851632629198"
"Partly, partly","1986","higher vocational","East Germany","","","",""
"Partly, partly","1986","higher education","West Germany","35","0.0973822090986479","0.0665414065916755","0.12822301160562"
"Partly, partly","1986","higher education","East Germany","","","",""
"Paid","1986","in school","West Germany","2","","",""
"Paid","1986","in school","East Germany","","","",""
"Paid","1986","inadequately","West Germany","126","0.675600141949632","0.604383869103444","0.74681641479582"
"Paid","1986","inadequately","East Germany","","","",""
"Paid","1986","general elemantary","West Germany","379","0.4954493826319","0.457334079504281","0.53356468575952"
"Paid","1986","general elemantary","East Germany","","","",""
"Paid","1986","middle vocational","West Germany","816","0.384024385028874","0.362409673227301","0.405639096830448"
"Paid","1986","middle vocational","East Germany","","","",""
"Paid","1986","vocational + Abi","West Germany","47","0.357152834095473","0.267609622774589","0.446696045416358"
"Paid","1986","vocational + Abi","East Germany","","","",""
"Paid","1986","higher vocational","West Germany","64","0.249497203569095","0.196070691889953","0.302923715248237"
"Paid","1986","higher vocational","East Germany","","","",""
"Paid","1986","higher education","West Germany","45","0.114688841489101","0.0815419759588461","0.147835707019357"
"Paid","1986","higher education","East Germany","","","",""
"Not paid","1986","in school","West Germany","","","",""
"Not paid","1986","in school","East Germany","","","",""
"Not paid","1986","inadequately","West Germany","7","","",""
"Not paid","1986","inadequately","East Germany","","","",""
"Not paid","1986","general elemantary","West Germany","75","0.129313977448951","0.103733957279512","0.15489399761839"
"Not paid","1986","general elemantary","East Germany","","","",""
"Not paid","1986","middle vocational","West Germany","283","0.154263391291149","0.138211090447828","0.170315692134469"
"Not paid","1986","middle vocational","East Germany","","","",""
"Not paid","1986","vocational + Abi","West Germany","26","","",""
"Not paid","1986","vocational + Abi","East Germany","","","",""
"Not paid","1986","higher vocational","West Germany","69","0.266126012944702","0.211562511589181","0.320689514300223"
"Not paid","1986","higher vocational","East Germany","","","",""
"Not paid","1986","higher education","West Germany","198","0.574478663900266","0.523046886062382","0.625910441738151"
"Not paid","1986","higher education","East Germany","","","",""
"Acclaimed","1987","in school","West Germany","","","",""
"Acclaimed","1987","in school","East Germany","","","",""
"Acclaimed","1987","inadequately","West Germany","","","",""
"Acclaimed","1987","inadequately","East Germany","","","",""
"Acclaimed","1987","general elemantary","West Germany","","","",""
"Acclaimed","1987","general elemantary","East Germany","","","",""
"Acclaimed","1987","middle vocational","West Germany","","","",""
"Acclaimed","1987","middle vocational","East Germany","","","",""
"Acclaimed","1987","vocational + Abi","West Germany","","","",""
"Acclaimed","1987","vocational + Abi","East Germany","","","",""
"Acclaimed","1987","higher vocational","West Germany","","","",""
"Acclaimed","1987","higher vocational","East Germany","","","",""
"Acclaimed","1987","higher education","West Germany","","","",""
"Acclaimed","1987","higher education","East Germany","","","",""
"Partly, partly","1987","in school","West Germany","","","",""
"Partly, partly","1987","in school","East Germany","","","",""
"Partly, partly","1987","inadequately","West Germany","","","",""
"Partly, partly","1987","inadequately","East Germany","","","",""
"Partly, partly","1987","general elemantary","West Germany","","","",""
"Partly, partly","1987","general elemantary","East Germany","","","",""
"Partly, partly","1987","middle vocational","West Germany","","","",""
"Partly, partly","1987","middle vocational","East Germany","","","",""
"Partly, partly","1987","vocational + Abi","West Germany","","","",""
"Partly, partly","1987","vocational + Abi","East Germany","","","",""
"Partly, partly","1987","higher vocational","West Germany","","","",""
"Partly, partly","1987","higher vocational","East Germany","","","",""
"Partly, partly","1987","higher education","West Germany","","","",""
"Partly, partly","1987","higher education","East Germany","","","",""
"Paid","1987","in school","West Germany","","","",""
"Paid","1987","in school","East Germany","","","",""
"Paid","1987","inadequately","West Germany","","","",""
"Paid","1987","inadequately","East Germany","","","",""
"Paid","1987","general elemantary","West Germany","","","",""
"Paid","1987","general elemantary","East Germany","","","",""
"Paid","1987","middle vocational","West Germany","","","",""
"Paid","1987","middle vocational","East Germany","","","",""
"Paid","1987","vocational + Abi","West Germany","","","",""
"Paid","1987","vocational + Abi","East Germany","","","",""
"Paid","1987","higher vocational","West Germany","","","",""
"Paid","1987","higher vocational","East Germany","","","",""
"Paid","1987","higher education","West Germany","","","",""
"Paid","1987","higher education","East Germany","","","",""
"Not paid","1987","in school","West Germany","","","",""
"Not paid","1987","in school","East Germany","","","",""
"Not paid","1987","inadequately","West Germany","","","",""
"Not paid","1987","inadequately","East Germany","","","",""
"Not paid","1987","general elemantary","West Germany","","","",""
"Not paid","1987","general elemantary","East Germany","","","",""
"Not paid","1987","middle vocational","West Germany","","","",""
"Not paid","1987","middle vocational","East Germany","","","",""
"Not paid","1987","vocational + Abi","West Germany","","","",""
"Not paid","1987","vocational + Abi","East Germany","","","",""
"Not paid","1987","higher vocational","West Germany","","","",""
"Not paid","1987","higher vocational","East Germany","","","",""
"Not paid","1987","higher education","West Germany","","","",""
"Not paid","1987","higher education","East Germany","","","",""
"Acclaimed","1988","in school","West Germany","","","",""
"Acclaimed","1988","in school","East Germany","","","",""
"Acclaimed","1988","inadequately","West Germany","17","","",""
"Acclaimed","1988","inadequately","East Germany","","","",""
"Acclaimed","1988","general elemantary","West Germany","166","0.303014445033588","0.268371221355142","0.337657668712033"
"Acclaimed","1988","general elemantary","East Germany","","","",""
"Acclaimed","1988","middle vocational","West Germany","623","0.352217199464028","0.330613890181557","0.373820508746498"
"Acclaimed","1988","middle vocational","East Germany","","","",""
"Acclaimed","1988","vocational + Abi","West Germany","30","0.347319695615278","0.258344959626494","0.436294431604062"
"Acclaimed","1988","vocational + Abi","East Germany","","","",""
"Acclaimed","1988","higher vocational","West Germany","91","0.404435868031214","0.342214688460162","0.466657047602267"
"Acclaimed","1988","higher vocational","East Germany","","","",""
"Acclaimed","1988","higher education","West Germany","78","0.20082501659799","0.159556044500651","0.242093988695329"
"Acclaimed","1988","higher education","East Germany","","","",""
"Partly, partly","1988","in school","West Germany","","","",""
"Partly, partly","1988","in school","East Germany","","","",""
"Partly, partly","1988","inadequately","West Germany","9","","",""
"Partly, partly","1988","inadequately","East Germany","","","",""
"Partly, partly","1988","general elemantary","West Germany","65","0.107444149227774","0.0840996893912919","0.130788609064256"
"Partly, partly","1988","general elemantary","East Germany","","","",""
"Partly, partly","1988","middle vocational","West Germany","244","0.131278787750759","0.11600531519111","0.146552260310408"
"Partly, partly","1988","middle vocational","East Germany","","","",""
"Partly, partly","1988","vocational + Abi","West Germany","20","","",""
"Partly, partly","1988","vocational + Abi","East Germany","","","",""
"Partly, partly","1988","higher vocational","West Germany","38","0.153501659322135","0.107801392748981","0.199201925895289"
"Partly, partly","1988","higher vocational","East Germany","","","",""
"Partly, partly","1988","higher education","West Germany","43","0.114781912023239","0.0819455017788489","0.14761832226763"
"Partly, partly","1988","higher education","East Germany","","","",""
"Paid","1988","in school","West Germany","1","","",""
"Paid","1988","in school","East Germany","","","",""
"Paid","1988","inadequately","West Germany","133","0.831235842775676","0.773737341184919","0.888734344366434"
"Paid","1988","inadequately","East Germany","","","",""
"Paid","1988","general elemantary","West Germany","387","0.481565492991266","0.443899504177683","0.519231481804848"
"Paid","1988","general elemantary","East Germany","","","",""
"Paid","1988","middle vocational","West Germany","766","0.375637348905868","0.353734372342313","0.397540325469423"
"Paid","1988","middle vocational","East Germany","","","",""
"Paid","1988","vocational + Abi","West Germany","37","0.225086877491718","0.147040393217447","0.303133361765989"
"Paid","1988","vocational + Abi","East Germany","","","",""
"Paid","1988","higher vocational","West Germany","54","0.205711861368357","0.15446493226454","0.256958790472174"
"Paid","1988","higher vocational","East Germany","","","",""
"Paid","1988","higher education","West Germany","39","0.0989707495424861","0.0682085999061854","0.129732899178787"
"Paid","1988","higher education","East Germany","","","",""
"Not paid","1988","in school","West Germany","","","",""
"Not paid","1988","in school","East Germany","","","",""
"Not paid","1988","inadequately","West Germany","4","","",""
"Not paid","1988","inadequately","East Germany","","","",""
"Not paid","1988","general elemantary","West Germany","58","0.107975912747373","0.0845807281718766","0.131371097322869"
"Not paid","1988","general elemantary","East Germany","","","",""
"Not paid","1988","middle vocational","West Germany","245","0.140866663879345","0.125132825047759","0.156600502710932"
"Not paid","1988","middle vocational","East Germany","","","",""
"Not paid","1988","vocational + Abi","West Germany","23","","",""
"Not paid","1988","vocational + Abi","East Germany","","","",""
"Not paid","1988","higher vocational","West Germany","56","0.236350611278294","0.182489599210061","0.290211623346527"
"Not paid","1988","higher vocational","East Germany","","","",""
"Not paid","1988","higher education","West Germany","202","0.585422321836285","0.534672864565217","0.636171779107352"
"Not paid","1988","higher education","East Germany","","","",""
"Acclaimed","1989","in school","West Germany","","","",""
"Acclaimed","1989","in school","East Germany","","","",""
"Acclaimed","1989","inadequately","West Germany","25","","",""
"Acclaimed","1989","inadequately","East Germany","","","",""
"Acclaimed","1989","general elemantary","West Germany","166","0.296302323419131","0.262855708742251","0.329748938096011"
"Acclaimed","1989","general elemantary","East Germany","","","",""
"Acclaimed","1989","middle vocational","West Germany","647","0.339629848358584","0.318977518665907","0.360282178051261"
"Acclaimed","1989","middle vocational","East Germany","","","",""
"Acclaimed","1989","vocational + Abi","West Germany","44","0.383298381488143","0.296669752200028","0.469927010776258"
"Acclaimed","1989","vocational + Abi","East Germany","","","",""
"Acclaimed","1989","higher vocational","West Germany","82","0.363418827296981","0.301659758825772","0.425177895768191"
"Acclaimed","1989","higher vocational","East Germany","","","",""
"Acclaimed","1989","higher education","West Germany","75","0.203193337125576","0.161395452581091","0.244991221670061"
"Acclaimed","1989","higher education","East Germany","","","",""
"Partly, partly","1989","in school","West Germany","","","",""
"Partly, partly","1989","in school","East Germany","","","",""
"Partly, partly","1989","inadequately","West Germany","15","","",""
"Partly, partly","1989","inadequately","East Germany","","","",""
"Partly, partly","1989","general elemantary","West Germany","97","0.137232611397486","0.112028748750871","0.162436474044102"
"Partly, partly","1989","general elemantary","East Germany","","","",""
"Partly, partly","1989","middle vocational","West Germany","281","0.140284697691781","0.12514019959169","0.155429195791872"
"Partly, partly","1989","middle vocational","East Germany","","","",""
"Partly, partly","1989","vocational + Abi","West Germany","18","","",""
"Partly, partly","1989","vocational + Abi","East Germany","","","",""
"Partly, partly","1989","higher vocational","West Germany","54","0.223504424052677","0.170013181614052","0.276995666491303"
"Partly, partly","1989","higher vocational","East Germany","","","",""
"Partly, partly","1989","higher education","West Germany","55","0.157458915641094","0.119623172903369","0.195294658378818"
"Partly, partly","1989","higher education","East Germany","","","",""
"Paid","1989","in school","West Germany","3","","",""
"Paid","1989","in school","East Germany","","","",""
"Paid","1989","inadequately","West Germany","127","0.736241200957623","0.670384889204248","0.802097512710998"
"Paid","1989","inadequately","East Germany","","","",""
"Paid","1989","general elemantary","West Germany","392","0.464572185312976","0.428040589308342","0.50110378131761"
"Paid","1989","general elemantary","East Germany","","","",""
"Paid","1989","middle vocational","West Germany","847","0.384570769886766","0.363355449151595","0.405786090621936"
"Paid","1989","middle vocational","East Germany","","","",""
"Paid","1989","vocational + Abi","West Germany","36","0.224250868024874","0.149934731926355","0.298567004123393"
"Paid","1989","vocational + Abi","East Germany","","","",""
"Paid","1989","higher vocational","West Germany","50","0.206437720966395","0.154467427829241","0.258408014103549"
"Paid","1989","higher vocational","East Germany","","","",""
"Paid","1989","higher education","West Germany","39","0.0963595913624817","0.0657069158031828","0.127012266921781"
"Paid","1989","higher education","East Germany","","","",""
"Not paid","1989","in school","West Germany","","","",""
"Not paid","1989","in school","East Germany","","","",""
"Not paid","1989","inadequately","West Germany","5","","",""
"Not paid","1989","inadequately","East Germany","","","",""
"Not paid","1989","general elemantary","West Germany","61","0.101892879870406","0.0797350324138691","0.124050727326943"
"Not paid","1989","general elemantary","East Germany","","","",""
"Not paid","1989","middle vocational","West Germany","245","0.135514684062869","0.120588651142453","0.150440716983286"
"Not paid","1989","middle vocational","East Germany","","","",""
"Not paid","1989","vocational + Abi","West Germany","23","","",""
"Not paid","1989","vocational + Abi","East Germany","","","",""
"Not paid","1989","higher vocational","West Germany","47","0.206639027683946","0.15464999684183","0.258628058526063"
"Not paid","1989","higher vocational","East Germany","","","",""
"Not paid","1989","higher education","West Germany","187","0.542988155870849","0.491241534633748","0.59473477710795"
"Not paid","1989","higher education","East Germany","","","",""
"Acclaimed","1990","in school","West Germany","","","",""
"Acclaimed","1990","in school","East Germany","","","",""
"Acclaimed","1990","inadequately","West Germany","22","","",""
"Acclaimed","1990","inadequately","East Germany","","","",""
"Acclaimed","1990","general elemantary","West Germany","167","0.298186227240709","0.264748374616074","0.331624079865345"
"Acclaimed","1990","general elemantary","East Germany","","","",""
"Acclaimed","1990","middle vocational","West Germany","653","0.354692805960575","0.333582526053704","0.375803085867447"
"Acclaimed","1990","middle vocational","East Germany","","","",""
"Acclaimed","1990","vocational + Abi","West Germany","40","0.382123731626908","0.296942121081372","0.467305342172444"
"Acclaimed","1990","vocational + Abi","East Germany","","","",""
"Acclaimed","1990","higher vocational","West Germany","89","0.368197740495878","0.305592337653378","0.430803143338378"
"Acclaimed","1990","higher vocational","East Germany","","","",""
"Acclaimed","1990","higher education","West Germany","96","0.257711424423087","0.212963975311889","0.302458873534285"
"Acclaimed","1990","higher education","East Germany","","","",""
"Partly, partly","1990","in school","West Germany","1","","",""
"Partly, partly","1990","in school","East Germany","","","",""
"Partly, partly","1990","inadequately","West Germany","21","","",""
"Partly, partly","1990","inadequately","East Germany","","","",""
"Partly, partly","1990","general elemantary","West Germany","91","0.129191059958441","0.104674399291473","0.153707720625408"
"Partly, partly","1990","general elemantary","East Germany","","","",""
"Partly, partly","1990","middle vocational","West Germany","283","0.13227558131141","0.117326472695473","0.147224689927346"
"Partly, partly","1990","middle vocational","East Germany","","","",""
"Partly, partly","1990","vocational + Abi","West Germany","24","","",""
"Partly, partly","1990","vocational + Abi","East Germany","","","",""
"Partly, partly","1990","higher vocational","West Germany","52","0.236696906540628","0.181524050011932","0.291869763069325"
"Partly, partly","1990","higher vocational","East Germany","","","",""
"Partly, partly","1990","higher education","West Germany","65","0.17486086570184","0.135998882158265","0.213722849245416"
"Partly, partly","1990","higher education","East Germany","","","",""
"Paid","1990","in school","West Germany","2","","",""
"Paid","1990","in school","East Germany","","","",""
"Paid","1990","inadequately","West Germany","115","0.701351801546223","0.630214491827905","0.772489111264542"
"Paid","1990","inadequately","East Germany","","","",""
"Paid","1990","general elemantary","West Germany","410","0.489549554232832","0.453010376552826","0.526088731912838"
"Paid","1990","general elemantary","East Germany","","","",""
"Paid","1990","middle vocational","West Germany","810","0.383928750158082","0.362468966620456","0.405388533695708"
"Paid","1990","middle vocational","East Germany","","","",""
"Paid","1990","vocational + Abi","West Germany","42","0.207529765813907","0.136437106172069","0.278622425455745"
"Paid","1990","vocational + Abi","East Germany","","","",""
"Paid","1990","higher vocational","West Germany","50","0.211980685386291","0.158929237076451","0.26503213369613"
"Paid","1990","higher vocational","East Germany","","","",""
"Paid","1990","higher education","West Germany","30","0.0674807604218495","0.0418161933146127","0.0931453275290864"
"Paid","1990","higher education","East Germany","","","",""
"Not paid","1990","in school","West Germany","","","",""
"Not paid","1990","in school","East Germany","","","",""
"Not paid","1990","inadequately","West Germany","1","","",""
"Not paid","1990","inadequately","East Germany","","","",""
"Not paid","1990","general elemantary","West Germany","51","0.0830731585680178","0.0628996540199771","0.103246663116059"
"Not paid","1990","general elemantary","East Germany","","","",""
"Not paid","1990","middle vocational","West Germany","227","0.129102862569933","0.114307148977913","0.143898576161953"
"Not paid","1990","middle vocational","East Germany","","","",""
"Not paid","1990","vocational + Abi","West Germany","19","","",""
"Not paid","1990","vocational + Abi","East Germany","","","",""
"Not paid","1990","higher vocational","West Germany","37","0.183124667577203","0.132921400225398","0.233327934929008"
"Not paid","1990","higher vocational","East Germany","","","",""
"Not paid","1990","higher education","West Germany","176","0.499946949453223","0.448792306141767","0.551101592764679"
"Not paid","1990","higher education","East Germany","","","",""
"Acclaimed","1991","in school","West Germany","","","",""
"Acclaimed","1991","in school","East Germany","","","",""
"Acclaimed","1991","inadequately","West Germany","30","0.183550877581474","0.128935840554021","0.238165914608926"
"Acclaimed","1991","inadequately","East Germany","","","",""
"Acclaimed","1991","general elemantary","West Germany","190","0.30112199560028","0.268677620999785","0.333566370200775"
"Acclaimed","1991","general elemantary","East Germany","25","","",""
"Acclaimed","1991","middle vocational","West Germany","681","0.331837855469458","0.311708232874942","0.351967478063973"
"Acclaimed","1991","middle vocational","East Germany","509","0.477666581717126","0.447568307640924","0.507764855793328"
"Acclaimed","1991","vocational + Abi","West Germany","54","0.427259396819645","0.347562386290397","0.506956407348892"
"Acclaimed","1991","vocational + Abi","East Germany","16","","",""
"Acclaimed","1991","higher vocational","West Germany","102","0.392951908302662","0.332288100410577","0.453615716194748"
"Acclaimed","1991","higher vocational","East Germany","50","0.429517018141215","0.336589063845727","0.522444972436703"
"Acclaimed","1991","higher education","West Germany","101","0.265325080548448","0.220992566274955","0.30965759482194"
"Acclaimed","1991","higher education","East Germany","251","0.432621822535518","0.392091256399582","0.473152388671455"
"Partly, partly","1991","in school","West Germany","","","",""
"Partly, partly","1991","in school","East Germany","","","",""
"Partly, partly","1991","inadequately","West Germany","19","","",""
"Partly, partly","1991","inadequately","East Germany","","","",""
"Partly, partly","1991","general elemantary","West Germany","95","0.108907843524961","0.0868756178782864","0.130940069171636"
"Partly, partly","1991","general elemantary","East Germany","10","","",""
"Partly, partly","1991","middle vocational","West Germany","326","0.156741618571758","0.141199714216616","0.1722835229269"
"Partly, partly","1991","middle vocational","East Germany","152","0.141770326092778","0.120751924313825","0.16278872787173"
"Partly, partly","1991","vocational + Abi","West Germany","21","","",""
"Partly, partly","1991","vocational + Abi","East Germany","5","","",""
"Partly, partly","1991","higher vocational","West Germany","46","0.176232842484492","0.128907466047707","0.223558218921276"
"Partly, partly","1991","higher vocational","East Germany","15","","",""
"Partly, partly","1991","higher education","West Germany","65","0.16032982505761","0.123487491838555","0.197172158276665"
"Partly, partly","1991","higher education","East Germany","56","0.0948715995964014","0.0708989878124414","0.118844211380361"
"Paid","1991","in school","West Germany","1","","",""
"Paid","1991","in school","East Germany","","","",""
"Paid","1991","inadequately","West Germany","138","0.720658512064057","0.657358773269198","0.783958250858917"
"Paid","1991","inadequately","East Germany","1","","",""
"Paid","1991","general elemantary","West Germany","435","0.509719325354577","0.474363952769015","0.545074697940139"
"Paid","1991","general elemantary","East Germany","25","","",""
"Paid","1991","middle vocational","West Germany","874","0.387029701032819","0.366207645605535","0.407851756460103"
"Paid","1991","middle vocational","East Germany","341","0.326133574313326","0.297885430101124","0.354381718525529"
"Paid","1991","vocational + Abi","West Germany","50","0.259506186689033","0.188882268477939","0.330130104900127"
"Paid","1991","vocational + Abi","East Germany","7","","",""
"Paid","1991","higher vocational","West Germany","60","0.244665903052066","0.191270399408024","0.298061406696107"
