"plb0195_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1985","no migration background","Urban Area","611","0.286223365347561","0.267223434220943","0.305223296474179"
"Acclaimed","1985","no migration background","Rural Area","178","0.259759183937094","0.226897333876978","0.29262103399721"
"Acclaimed","1985","direct migration background","Urban Area","92","0.183234882611676","0.155094341215755","0.211375424007597"
"Acclaimed","1985","direct migration background","Rural Area","17","","",""
"Acclaimed","1985","indirect migration background","Urban Area","5","","",""
"Acclaimed","1985","indirect migration background","Rural Area","1","","",""
"Partly, partly","1985","no migration background","Urban Area","263","0.12049729556184","0.106812901852992","0.134181689270687"
"Partly, partly","1985","no migration background","Rural Area","67","0.0980639797228611","0.0757764126570438","0.120351546788678"
"Partly, partly","1985","direct migration background","Urban Area","59","0.110165892355738","0.0873909187056465","0.13294086600583"
"Partly, partly","1985","direct migration background","Rural Area","10","","",""
"Partly, partly","1985","indirect migration background","Urban Area","3","","",""
"Partly, partly","1985","indirect migration background","Rural Area","1","","",""
"Paid","1985","no migration background","Urban Area","680","0.31054030384665","0.291089759961986","0.329990847731313"
"Paid","1985","no migration background","Rural Area","225","0.331728830204685","0.296444001657574","0.367013658751796"
"Paid","1985","direct migration background","Urban Area","500","0.565693146525662","0.529637890763535","0.601748402287789"
"Paid","1985","direct migration background","Rural Area","77","0.518440715109548","0.425066668745291","0.611814761473806"
"Paid","1985","indirect migration background","Urban Area","11","","",""
"Paid","1985","indirect migration background","Rural Area","","","",""
"Not paid","1985","no migration background","Urban Area","620","0.28273903524395","0.263809070503109","0.301668999984791"
"Not paid","1985","no migration background","Rural Area","214","0.31044800613536","0.275774481812903","0.345121530457817"
"Not paid","1985","direct migration background","Urban Area","75","0.140906078506924","0.115597662300593","0.166214494713255"
"Not paid","1985","direct migration background","Rural Area","6","","",""
"Not paid","1985","indirect migration background","Urban Area","4","","",""
"Not paid","1985","indirect migration background","Rural Area","2","","",""
"Acclaimed","1986","no migration background","Urban Area","619","0.309525744316989","0.28928018637105","0.329771302262927"
"Acclaimed","1986","no migration background","Rural Area","212","0.348245818585277","0.310439182073296","0.386052455097258"
"Acclaimed","1986","direct migration background","Urban Area","107","0.193773423065514","0.165467140152297","0.22207970597873"
"Acclaimed","1986","direct migration background","Rural Area","22","","",""
"Acclaimed","1986","indirect migration background","Urban Area","8","","",""
"Acclaimed","1986","indirect migration background","Rural Area","1","","",""
"Partly, partly","1986","no migration background","Urban Area","256","0.128120589642726","0.113483818186871","0.14275736109858"
"Partly, partly","1986","no migration background","Rural Area","60","0.103128953663713","0.0789944439198082","0.127263463407617"
"Partly, partly","1986","direct migration background","Urban Area","63","0.092299189965397","0.0715702311598323","0.113028148770962"
"Partly, partly","1986","direct migration background","Rural Area","11","","",""
"Partly, partly","1986","indirect migration background","Urban Area","5","","",""
"Partly, partly","1986","indirect migration background","Rural Area","","","",""
"Paid","1986","no migration background","Urban Area","677","0.33899632606481","0.318265956291643","0.359726695837977"
"Paid","1986","no migration background","Rural Area","218","0.36469114921722","0.326493359100213","0.402888939334227"
"Paid","1986","direct migration background","Urban Area","516","0.580722934391666","0.545384913372905","0.616060955410427"
"Paid","1986","direct migration background","Rural Area","70","0.463728694513916","0.374504685565112","0.552952703462719"
"Paid","1986","indirect migration background","Urban Area","15","","",""
"Paid","1986","indirect migration background","Rural Area","2","","",""
"Not paid","1986","no migration background","Urban Area","451","0.223357339975475","0.205117612217651","0.241597067733299"
"Not paid","1986","no migration background","Rural Area","120","0.18393407853379","0.153188908788815","0.214679248278765"
"Not paid","1986","direct migration background","Urban Area","63","0.133204452577423","0.108869814633953","0.157539090520893"
"Not paid","1986","direct migration background","Rural Area","17","","",""
"Not paid","1986","indirect migration background","Urban Area","8","","",""
"Not paid","1986","indirect migration background","Rural Area","2","","",""
"Acclaimed","1987","no migration background","Urban Area","","","",""
"Acclaimed","1987","no migration background","Rural Area","","","",""
"Acclaimed","1987","direct migration background","Urban Area","","","",""
"Acclaimed","1987","direct migration background","Rural Area","","","",""
"Acclaimed","1987","indirect migration background","Urban Area","","","",""
"Acclaimed","1987","indirect migration background","Rural Area","","","",""
"Partly, partly","1987","no migration background","Urban Area","","","",""
"Partly, partly","1987","no migration background","Rural Area","","","",""
"Partly, partly","1987","direct migration background","Urban Area","","","",""
"Partly, partly","1987","direct migration background","Rural Area","","","",""
"Partly, partly","1987","indirect migration background","Urban Area","","","",""
"Partly, partly","1987","indirect migration background","Rural Area","","","",""
"Paid","1987","no migration background","Urban Area","","","",""
"Paid","1987","no migration background","Rural Area","","","",""
"Paid","1987","direct migration background","Urban Area","","","",""
"Paid","1987","direct migration background","Rural Area","","","",""
"Paid","1987","indirect migration background","Urban Area","","","",""
"Paid","1987","indirect migration background","Rural Area","","","",""
"Not paid","1987","no migration background","Urban Area","","","",""
"Not paid","1987","no migration background","Rural Area","","","",""
"Not paid","1987","direct migration background","Urban Area","","","",""
"Not paid","1987","direct migration background","Rural Area","","","",""
"Not paid","1987","indirect migration background","Urban Area","","","",""
"Not paid","1987","indirect migration background","Rural Area","","","",""
"Acclaimed","1988","no migration background","Urban Area","649","0.330329019092687","0.309517552159172","0.351140486026202"
"Acclaimed","1988","no migration background","Rural Area","207","0.363984126917738","0.324310759277738","0.403657494557738"
"Acclaimed","1988","direct migration background","Urban Area","116","0.21749051439504","0.188276000002076","0.246705028788004"
"Acclaimed","1988","direct migration background","Rural Area","26","","",""
"Acclaimed","1988","indirect migration background","Urban Area","18","","",""
"Acclaimed","1988","indirect migration background","Rural Area","5","","",""
"Partly, partly","1988","no migration background","Urban Area","256","0.129289836903881","0.114443558850194","0.144136114957568"
"Partly, partly","1988","no migration background","Rural Area","75","0.135478246823621","0.10725892230922","0.163697571338021"
"Partly, partly","1988","direct migration background","Urban Area","73","0.0903262778234358","0.0700268597563497","0.110625695890522"
"Partly, partly","1988","direct migration background","Rural Area","10","","",""
"Partly, partly","1988","indirect migration background","Urban Area","6","","",""
"Partly, partly","1988","indirect migration background","Rural Area","","","",""
"Paid","1988","no migration background","Urban Area","636","0.324431207740744","0.30371574253084","0.345146672950648"
"Paid","1988","no migration background","Rural Area","182","0.319312937117137","0.280870946123148","0.357754928111127"
"Paid","1988","direct migration background","Urban Area","522","0.580152703892711","0.545202432950384","0.615102974835038"
"Paid","1988","direct migration background","Rural Area","78","0.461923682405294","0.374174252884395","0.549673111926192"
"Paid","1988","indirect migration background","Urban Area","18","","",""
"Paid","1988","indirect migration background","Rural Area","2","","",""
"Not paid","1988","no migration background","Urban Area","421","0.215949936262687","0.197742574268548","0.234157298256827"
"Not paid","1988","no migration background","Rural Area","101","0.181224689141504","0.149462171583131","0.212987206699877"
"Not paid","1988","direct migration background","Urban Area","55","0.112030503888813","0.0896947366921943","0.134366271085431"
"Not paid","1988","direct migration background","Rural Area","10","","",""
