"plb0195_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Full Time","no migration background","714","0.280071177566329","0.262717497038132","0.297424858094525","1"
"Acclaimed","1984","Full Time","direct migration background","121","0.223637870928326","0.197043048779265","0.250232693077387","1"
"Acclaimed","1984","Full Time","indirect migration background","5","","","","1"
"Acclaimed","1984","Part Time","no migration background","206","0.339132530326453","0.300703827392338","0.377561233260568","1"
"Acclaimed","1984","Part Time","direct migration background","21","","","","1"
"Acclaimed","1984","Part Time","indirect migration background","3","","","","1"
"Acclaimed","1984","Not Working","no migration background","11","","","","1"
"Acclaimed","1984","Not Working","direct migration background","1","","","","1"
"Acclaimed","1984","Not Working","indirect migration background","","","","","1"
"Not paid","1984","Full Time","no migration background","704","0.275554844571778","0.258287745112712","0.292821944030843","4"
"Not paid","1984","Full Time","indirect migration background","9","","","","4"
"Not paid","1984","Part Time","no migration background","112","0.195844153964811","0.163630556204835","0.228057751724787","4"
"Not paid","1984","Part Time","direct migration background","20","","","","4"
"Not paid","1984","Full Time","direct migration background","87","0.1165996905784","0.0961154571057669","0.137083924051033","4"
"Not paid","1984","Part Time","indirect migration background","","","","","4"
"Not paid","1984","Not Working","no migration background","15","","","","4"
"Not paid","1984","Not Working","direct migration background","3","","","","4"
"Not paid","1984","Not Working","indirect migration background","","","","","4"
"Paid","1984","Full Time","indirect migration background","11","","","","3"
"Paid","1984","Part Time","direct migration background","107","0.468793996192862","0.393334142620082","0.544253849765642","3"
"Paid","1984","Not Working","no migration background","28","","","","3"
"Paid","1984","Full Time","direct migration background","672","0.594319632522015","0.562979972668329","0.625659292375701","3"
"Paid","1984","Part Time","indirect migration background","2","","","","3"
"Paid","1984","Full Time","no migration background","834","0.325069071864656","0.306966924359712","0.3431712193696","3"
"Paid","1984","Part Time","no migration background","212","0.372053794292899","0.332818410702234","0.411289177883564","3"
"Paid","1984","Not Working","direct migration background","7","","","","3"
"Paid","1984","Not Working","indirect migration background","","","","","3"
"Partly, partly","1984","Full Time","no migration background","320","0.119304905997238","0.106777690485383","0.131832121509092","2"
"Partly, partly","1984","Full Time","direct migration background","63","0.0654428059712592","0.0496584762925482","0.0812271356499703","2"
"Partly, partly","1984","Full Time","indirect migration background","","","","","2"
"Partly, partly","1984","Part Time","direct migration background","20","","","","2"
"Partly, partly","1984","Part Time","indirect migration background","","","","","2"
"Partly, partly","1984","Not Working","no migration background","5","","","","2"
"Partly, partly","1984","Not Working","direct migration background","1","","","","2"
"Partly, partly","1984","Not Working","indirect migration background","","","","","2"
"Partly, partly","1984","Part Time","no migration background","53","0.092969521415837","0.0693975963583491","0.116541446473325","2"
"Acclaimed","1985","Full Time","no migration background","599","0.270605319858685","0.2522603519666","0.288950287750769","1"
"Acclaimed","1985","Full Time","direct migration background","86","0.192455847182127","0.162803307382177","0.222108386982076","1"
"Acclaimed","1985","Full Time","indirect migration background","6","","","","1"
"Acclaimed","1985","Part Time","no migration background","180","0.318501620571165","0.280085623992211","0.35691761715012","1"
"Acclaimed","1985","Part Time","direct migration background","21","","","","1"
"Acclaimed","1985","Part Time","indirect migration background","","","","","1"
"Acclaimed","1985","Not Working","no migration background","10","","","","1"
"Acclaimed","1985","Not Working","direct migration background","2","","","","1"
"Acclaimed","1985","Not Working","indirect migration background","","","","","1"
"Not paid","1985","Full Time","no migration background","702","0.308476974457183","0.289405591183592","0.327548357730773","4"
"Not paid","1985","Part Time","direct migration background","18","","","","4"
"Not paid","1985","Full Time","indirect migration background","5","","","","4"
"Not paid","1985","Part Time","no migration background","119","0.207528539319152","0.174089437997999","0.240967640640304","4"
"Not paid","1985","Full Time","direct migration background","62","0.121259468136756","0.0967066491114056","0.145812287162107","4"
"Not paid","1985","Part Time","indirect migration background","","","","","4"
"Not paid","1985","Not Working","no migration background","13","","","","4"
"Not paid","1985","Not Working","direct migration background","1","","","","4"
"Not paid","1985","Not Working","indirect migration background","1","","","","4"
"Paid","1985","Full Time","no migration background","695","0.306429404588499","0.287393301409513","0.325465507767484","3"
"Paid","1985","Full Time","direct migration background","476","0.572409732111075","0.535197937573244","0.609621526648905","3"
"Paid","1985","Part Time","indirect migration background","3","","","","3"
"Paid","1985","Part Time","direct migration background","94","0.486421255905351","0.405347282910168","0.567495228900535","3"
"Paid","1985","Full Time","indirect migration background","8","","","","3"
"Paid","1985","Not Working","no migration background","15","","","","3"
"Paid","1985","Part Time","no migration background","195","0.352762678410519","0.313362611549406","0.392162745271631","3"
"Paid","1985","Not Working","direct migration background","7","","","","3"
"Paid","1985","Not Working","indirect migration background","","","","","3"
"Partly, partly","1985","Not Working","direct migration background","1","","","","2"
"Partly, partly","1985","Full Time","direct migration background","55","0.113874952570043","0.0899817252644138","0.137768179875671","2"
"Partly, partly","1985","Full Time","indirect migration background","2","","","","2"
"Partly, partly","1985","Part Time","direct migration background","13","","","","2"
"Partly, partly","1985","Full Time","no migration background","257","0.114488301095634","0.101340739861061","0.127635862330207","2"
"Partly, partly","1985","Part Time","indirect migration background","2","","","","2"
"Partly, partly","1985","Not Working","indirect migration background","","","","","2"
"Partly, partly","1985","Part Time","no migration background","71","0.121207161699164","0.0942960733299188","0.148118250068409","2"
"Partly, partly","1985","Not Working","no migration background","2","","","","2"
"Acclaimed","1986","Full Time","no migration background","632","0.308592661735106","0.288694053219283","0.328491270250929","1"
"Acclaimed","1986","Full Time","direct migration background","104","0.196447697928534","0.167506976382677","0.225388419474392","1"
"Acclaimed","1986","Full Time","indirect migration background","5","","","","1"
"Acclaimed","1986","Part Time","no migration background","190","0.366880759666005","0.324970393125742","0.408791126206267","1"
"Acclaimed","1986","Part Time","direct migration background","24","","","","1"
"Acclaimed","1986","Part Time","indirect migration background","4","","","","1"
"Acclaimed","1986","Not Working","no migration background","9","","","","1"
"Acclaimed","1986","Not Working","direct migration background","1","","","","1"
"Acclaimed","1986","Not Working","indirect migration background","","","","","1"
"Not paid","1986","Full Time","no migration background","483","0.229028193918063","0.210926190577899","0.247130197258227","4"
"Not paid","1986","Full Time","indirect migration background","5","","","","4"
"Not paid","1986","Part Time","no migration background","81","0.150957989685799","0.119825856733033","0.182090122638565","4"
"Not paid","1986","Part Time","direct migration background","15","","","","4"
"Not paid","1986","Full Time","direct migration background","61","0.138696316626863","0.113520160451515","0.163872472802211","4"
"Not paid","1986","Part Time","indirect migration background","5","","","","4"
"Not paid","1986","Not Working","no migration background","7","","","","4"
"Not paid","1986","Not Working","direct migration background","4","","","","4"
"Not paid","1986","Not Working","indirect migration background","","","","","4"
"Paid","1986","Full Time","direct migration background","499","0.570346293147133","0.534287814355417","0.606404771938849","3"
