"plb0195_h","year","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","1082","0.281464941154262","0.268126882270517","0.294803000038008"
"Partly, partly","1984","462","0.110460642703504","0.101163642039723","0.119757643367284"
"Paid","1984","1873","0.359119109753475","0.344890436251385","0.373347783255565"
"Not paid","1984","950","0.248955306388759","0.236130521781905","0.261780090995613"
"Acclaimed","1985","904","0.271132287383376","0.256848833690678","0.285415741076073"
"Partly, partly","1985","403","0.115322095560865","0.105059266175209","0.125584924946521"
"Paid","1985","1493","0.337188950351395","0.321999229484384","0.352378671218406"
"Not paid","1985","921","0.276356666704364","0.261988031741359","0.290725301667369"
"Acclaimed","1986","969","0.307006220237547","0.291775163881602","0.322237276593492"
"Partly, partly","1986","395","0.119595206385008","0.108880263633716","0.130310149136299"
"Paid","1986","1498","0.365693375839121","0.349789611211021","0.381597140467221"
"Not paid","1986","661","0.207705197538324","0.194309699810685","0.221100695265963"
"Acclaimed","1987","","","",""
"Partly, partly","1987","","","",""
"Paid","1987","","","",""
"Not paid","1987","","","",""
"Acclaimed","1988","1021","0.327226435457394","0.311615029992309","0.342837840922479"
"Partly, partly","1988","420","0.126760603551517","0.115690742664772","0.137830464438262"
"Paid","1988","1438","0.347584570825049","0.331740174021118","0.36342896762898"
"Not paid","1988","591","0.198428390166039","0.185158833250001","0.211697947082078"
"Acclaimed","1989","1047","0.316203601975556","0.301145284731733","0.331261919219378"
"Partly, partly","1989","527","0.148282177848687","0.136773591590824","0.15979076410655"
"Paid","1989","1517","0.352920395693184","0.337444818137885","0.368395973248482"
"Not paid","1989","572","0.182593824482574","0.170082835792057","0.195104813173091"
"Acclaimed","1990","1077","0.331793342440316","0.316456955352496","0.347129729528136"
"Partly, partly","1990","539","0.146834539555321","0.135306258017898","0.158362821092744"
"Paid","1990","1492","0.351768634956435","0.33621516102077","0.3673221088921"
"Not paid","1990","513","0.169603483047928","0.157380028232093","0.181826937863763"
"Acclaimed","1991","2026","0.351850904727731","0.339496866512089","0.364204942943372"
"Partly, partly","1991","818","0.144195476535526","0.135107749957474","0.153283203113578"
"Paid","1991","2102","0.344498638103424","0.33220521868965","0.356792057517197"
"Not paid","1991","794","0.15945498063332","0.149984071302588","0.168925889964052"
"Acclaimed","1992","1852","0.351198248487558","0.338472526847148","0.363923970127969"
"Partly, partly","1992","894","0.167453859585176","0.157499760058979","0.177407959111374"
"Paid","1992","1885","0.326054586780134","0.313557529516237","0.338551644044032"
"Not paid","1992","774","0.155293305147131","0.14563769824215","0.164948912052112"
"Acclaimed","1993","1804","0.34675782628837","0.333915433726628","0.359600218850112"
"Partly, partly","1993","902","0.164536012748502","0.154531635748586","0.174540389748419"
"Paid","1993","1766","0.318346011822849","0.305776239992949","0.330915783652748"
"Not paid","1993","804","0.170360149140279","0.160215792577773","0.180504505702784"
"Acclaimed","1994","1927","0.374293724085826","0.361144119118891","0.387443329052761"
"Partly, partly","1994","906","0.171270936244444","0.161034016490087","0.1815078559988"
"Paid","1994","1573","0.289115446205682","0.276796987714622","0.301433904696741"
"Not paid","1994","797","0.165319893464048","0.155226347435153","0.175413439492944"
"Acclaimed","1995","2050","0.374647308866176","0.361904960565326","0.387389657167025"
"Partly, partly","1995","994","0.17753320239898","0.16747374321873","0.18759266157923"
"Paid","1995","1680","0.282131178644479","0.2702837598937","0.293978597395257"
"Not paid","1995","819","0.165688310090366","0.155900495131496","0.175476125049236"
"Acclaimed","1996","2212","0.415734494288334","0.402539191324535","0.428929797252134"
"Partly, partly","1996","880","0.168332898702713","0.158315257455539","0.178350539949887"
"Paid","1996","1472","0.254079346048647","0.242423676927467","0.265735015169827"
"Not paid","1996","795","0.161853260960306","0.151992124487571","0.171714397433041"
"Acclaimed","1997","1969","0.433119128890162","0.418803040619685","0.447435217160639"
"Partly, partly","1997","974","0.205621364000606","0.193944595245522","0.217298132755691"
"Paid","1997","877","0.170042825981018","0.159189026786019","0.180896625176016"
"Not paid","1997","782","0.191216681128214","0.17985470782336","0.202578654433068"
"Acclaimed","1998","2220","0.442749846958249","0.429023075387702","0.456476618528797"
"Partly, partly","1998","1083","0.209444022827254","0.198198894983335","0.220689150671172"
"Paid","1998","875","0.166945838539819","0.156639877020918","0.17725180005872"
"Not paid","1998","852","0.180860291674678","0.17022340085544","0.191497182493915"
"Acclaimed","1999","2207","0.453801476616449","0.439954564156227","0.467648389076671"
"Partly, partly","1999","1070","0.21240837653983","0.201032598819972","0.223784154259688"
"Paid","1999","848","0.153925525127611","0.143888515242091","0.16396253501313"
"Not paid","1999","841","0.17986462171611","0.169182429682911","0.19054681374931"
"Acclaimed","2000","3901","0.47381844610776","0.463068729592599","0.484568162622921"
"Partly, partly","2000","1702","0.20569856216993","0.196996312840563","0.214400811499296"
"Paid","2000","1308","0.156914316507136","0.149083800858026","0.164744832156245"
"Not paid","2000","1377","0.163568675215175","0.155605460380707","0.171531890049642"
"Acclaimed","2001","3526","0.457746270085946","0.446654243014497","0.468838297157395"
"Partly, partly","2001","1708","0.219616619733027","0.21039974156245","0.228833497903604"
"Paid","2001","1237","0.161033999188987","0.152850704144802","0.169217294233173"
"Not paid","2001","1279","0.16160311099204","0.153408149307841","0.169798072676239"
"Acclaimed","2002","3633","0.479322806883107","0.468363311609204","0.49028230215701"
"Partly, partly","2002","1662","0.208043682886365","0.199138966135449","0.216948399637282"
"Paid","2002","992","0.13504147303041","0.127543852523016","0.142539093537804"
"Not paid","2002","1695","0.177592037200118","0.169208107516738","0.185975966883497"
"Acclaimed","2003","3628","0.505210145984202","0.493948084536457","0.516472207431947"
"Partly, partly","2003","1492","0.195330306776552","0.186400026153562","0.204260587399541"
"Paid","2003","902","0.130786406013467","0.123191611541056","0.138381200485878"
"Not paid","2003","1549","0.168673141225779","0.16023823341327","0.177108049038289"
"Acclaimed","2004","3493","0.494079818138349","0.482611585975612","0.505548050301085"
"Partly, partly","2004","1393","0.190134677992779","0.181133611185371","0.199135744800187"
"Paid","2004","809","0.124170570609771","0.116606143850059","0.131734997369483"
"Not paid","2004","1606","0.191614933259101","0.182587158104402","0.200642708413801"
"Acclaimed","2005","3392","0.504943119651203","0.493059673173325","0.516826566129081"
"Partly, partly","2005","1341","0.205377926866674","0.195776167231491","0.214979686501856"
"Paid","2005","689","0.110730735944528","0.103272358310916","0.118189113578141"
"Not paid","2005","1378","0.178948217537595","0.169837709466245","0.188058725608946"
"Acclaimed","2006","3737","0.494257002630002","0.482949427625715","0.505564577634288"
"Partly, partly","2006","1391","0.189711036876892","0.180843676006115","0.19857839774767"
"Paid","2006","763","0.118641737321158","0.111328273598085","0.12595520104423"
"Not paid","2006","1619","0.197390223171948","0.18838813703072","0.206392309313177"
"Acclaimed","2007","3454","0.492925394813043","0.481178247745967","0.504672541880119"
"Partly, partly","2007","1372","0.213445244679403","0.2038177430419","0.223072746316907"
"Paid","2007","637","0.100580597427636","0.0935134506657241","0.107647744189547"
"Not paid","2007","1495","0.193048763079918","0.183774849676514","0.202322676483322"
"Acclaimed","2008","3328","0.488356595359621","0.476534752927332","0.500178437791909"
"Partly, partly","2008","1369","0.215008144809266","0.205292022368434","0.224724267250097"
"Paid","2008","693","0.106888717997739","0.0995815066338123","0.114195929361665"
"Not paid","2008","1478","0.189746541833375","0.180473326830287","0.199019756836464"
"Acclaimed","2009","2981","0.485544162668448","0.472990700378369","0.498097624958528"
"Partly, partly","2009","1227","0.221240355867682","0.210814565286592","0.231666146448773"
"Paid","2009","591","0.104900379861145","0.0972037726943281","0.112596987027962"
"Not paid","2009","1290","0.188315101602724","0.178495103330224","0.198135099875225"
"Acclaimed","2010","4269","0.517783140498541","0.507125302207294","0.528440978789788"
"Partly, partly","2010","1579","0.188835428502107","0.180487663690982","0.197183193313233"
"Paid","2010","965","0.107051675180517","0.100457144760367","0.113646205600667"
"Not paid","2010","1631","0.186329755818835","0.178024762197748","0.194634749439922"
"Acclaimed","2011","5018","0.494607118267656","0.484882462144651","0.504331774390662"
"Partly, partly","2011","1933","0.195353411303798","0.187641844975179","0.203064977632416"
