"plb0195_h","year","education","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","lower secondary degree","564","0.272437711006106","0.253436621539885","0.291438800472327"
"Acclaimed","1984","secondary school degree","310","0.380695333491726","0.347277474911788","0.414113192071665"
"Acclaimed","1984","college entrance qualification","119","0.218230444584588","0.184020598278908","0.252440290890269"
"Acclaimed","1984","Other degree","64","0.152461683069914","0.122795029190764","0.182128336949064"
"Acclaimed","1984","no degree/no degree yet","21","","",""
"Partly, partly","1984","lower secondary degree","233","0.110272942370762","0.0969047501493888","0.123641134592136"
"Partly, partly","1984","secondary school degree","102","0.121516836192819","0.0990302974182587","0.144003374967379"
"Partly, partly","1984","college entrance qualification","64","0.104111533802972","0.0788167790760411","0.129406288529902"
"Partly, partly","1984","Other degree","42","0.0874202934655418","0.0641098748637889","0.110730712067295"
"Partly, partly","1984","no degree/no degree yet","20","","",""
"Paid","1984","lower secondary degree","944","0.441525438709789","0.420332588706359","0.462718288713219"
"Paid","1984","secondary school degree","162","0.196762667382975","0.169401730941827","0.224123603824123"
"Paid","1984","college entrance qualification","101","0.169350217518748","0.138286320717024","0.200414114320471"
"Paid","1984","Other degree","405","0.669007587349186","0.630171713659842","0.707843461038531"
"Paid","1984","no degree/no degree yet","244","0.74663389873555","0.697498673690831","0.795769123780269"
"Not paid","1984","lower secondary degree","368","0.175763907913343","0.159519627976892","0.192008187849793"
"Not paid","1984","secondary school degree","237","0.301025162932479","0.269455508013221","0.332594817851737"
"Not paid","1984","college entrance qualification","276","0.508307804093692","0.466901723424211","0.549713884763174"
"Not paid","1984","Other degree","53","0.0911104361153579","0.0673612812138639","0.114859591016852"
"Not paid","1984","no degree/no degree yet","16","","",""
"Acclaimed","1985","lower secondary degree","437","0.252514104340279","0.232443698234672","0.272584510445886"
"Acclaimed","1985","secondary school degree","277","0.361664993824237","0.327727458682771","0.395602528965703"
"Acclaimed","1985","college entrance qualification","121","0.236810306521464","0.200479773694709","0.273140839348219"
"Acclaimed","1985","Other degree","47","0.142448418878292","0.108324844961925","0.176571992794658"
"Acclaimed","1985","no degree/no degree yet","13","","",""
"Partly, partly","1985","lower secondary degree","206","0.114383802722653","0.099680432953964","0.129087172491343"
"Partly, partly","1985","secondary school degree","97","0.125262325022347","0.101881928159598","0.148642721885095"
"Partly, partly","1985","college entrance qualification","60","0.114258078302486","0.0870716423573553","0.141444514247616"
"Partly, partly","1985","Other degree","28","","",""
"Partly, partly","1985","no degree/no degree yet","12","","",""
"Paid","1985","lower secondary degree","797","0.429302257854964","0.40643592600513","0.452168589704797"
"Paid","1985","secondary school degree","160","0.193188164301269","0.165302620600236","0.221073708002302"
"Paid","1985","college entrance qualification","75","0.141427136571007","0.111648132298088","0.171206140843925"
"Paid","1985","Other degree","294","0.693936719490303","0.648942044748041","0.738931394232564"
"Paid","1985","no degree/no degree yet","151","0.709069256124397","0.644487414233674","0.773651098015121"
"Not paid","1985","lower secondary degree","360","0.203799835082104","0.185190755884388","0.222408914279821"
"Not paid","1985","secondary school degree","236","0.319884516852147","0.286939429056401","0.352829604647894"
