"plb0195_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","no migration background","(0) in school","","","",""
"Acclaimed","1984","no migration background","(1a) inadequately completed","4","","",""
"Acclaimed","1984","no migration background","(1b) general elementary school","91","0.233605505704323","0.191772454611257","0.275438556797389"
"Acclaimed","1984","no migration background","(1c) basic vocational qualification","424","0.281708576346068","0.258997284412082","0.304419868280053"
"Acclaimed","1984","no migration background","(2b) intermediate general qualification","47","0.468928371288269","0.369102690740496","0.568754051836041"
"Acclaimed","1984","no migration background","(2a) intermediate vocational","239","0.380687525531076","0.342528951619276","0.418846099442875"
"Acclaimed","1984","no migration background","(2c_gen) general maturity certificate","12","","",""
"Acclaimed","1984","no migration background","(2c_voc) vocational maturity certificate","53","0.343807974783083","0.269033100932959","0.418582848633208"
"Acclaimed","1984","no migration background","(3a) lower tertiary education","26","","",""
"Acclaimed","1984","no migration background","(3b) higher tertiary education","33","0.14123087600163","0.0972622790973878","0.185199472905873"
"Acclaimed","1984","direct migration background","(0) in school","","","",""
"Acclaimed","1984","direct migration background","(1a) inadequately completed","17","","",""
"Acclaimed","1984","direct migration background","(1b) general elementary school","40","0.191482291865025","0.148505971169384","0.234458612560666"
"Acclaimed","1984","direct migration background","(1c) basic vocational qualification","50","0.22275646665838","0.176659787327853","0.268853145988907"
"Acclaimed","1984","direct migration background","(2b) intermediate general qualification","1","","",""
"Acclaimed","1984","direct migration background","(2a) intermediate vocational","13","","",""
"Acclaimed","1984","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Acclaimed","1984","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Acclaimed","1984","direct migration background","(3a) lower tertiary education","1","","",""
"Acclaimed","1984","direct migration background","(3b) higher tertiary education","1","","",""
"Acclaimed","1984","indirect migration background","(0) in school","","","",""
"Acclaimed","1984","indirect migration background","(1a) inadequately completed","","","",""
"Acclaimed","1984","indirect migration background","(1b) general elementary school","3","","",""
"Acclaimed","1984","indirect migration background","(1c) basic vocational qualification","3","","",""
"Acclaimed","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"Acclaimed","1984","indirect migration background","(2a) intermediate vocational","2","","",""
"Acclaimed","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Acclaimed","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Acclaimed","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Acclaimed","1984","indirect migration background","(3b) higher tertiary education","","","",""
"Partly, partly","1984","no migration background","(0) in school","","","",""
"Partly, partly","1984","no migration background","(1a) inadequately completed","2","","",""
"Partly, partly","1984","no migration background","(1b) general elementary school","40","0.101543837359357","0.0716812765226145","0.1314063981961"
"Partly, partly","1984","no migration background","(1c) basic vocational qualification","176","0.1140889353989","0.0980377063693406","0.13014016442846"
"Partly, partly","1984","no migration background","(2b) intermediate general qualification","8","","",""
"Partly, partly","1984","no migration background","(2a) intermediate vocational","82","0.125409602420601","0.0993828101051628","0.151436394736039"
"Partly, partly","1984","no migration background","(2c_gen) general maturity certificate","4","","",""
"Partly, partly","1984","no migration background","(2c_voc) vocational maturity certificate","19","","",""
"Partly, partly","1984","no migration background","(3a) lower tertiary education","26","","",""
"Partly, partly","1984","no migration background","(3b) higher tertiary education","20","","",""
