"ple0053","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","lower secondary degree","248","0.100292208157818","0.0886876620812519","0.111896754234383"
"Yes","1984","Full Time","secondary school degree","81","0.0817085114964774","0.0642624648055485","0.0991545581874063"
"Yes","1984","Full Time","college entrance qualification","46","0.0829042015237506","0.0602280398097362","0.105580363237765"
"Yes","1984","Full Time","Other degree","105","0.12436296085169","0.103267367134211","0.145458554569169"
"Yes","1984","Full Time","no degree/no degree yet","73","0.123496167832976","0.0970380760420109","0.149954259623942"
"Yes","1984","Part Time","lower secondary degree","128","0.137343998063108","0.115113871115028","0.159574125011188"
"Yes","1984","Part Time","secondary school degree","44","0.122145055640776","0.0875417016683086","0.156748409613243"
"Yes","1984","Part Time","college entrance qualification","22","","",""
"Yes","1984","Part Time","Other degree","25","","",""
"Yes","1984","Part Time","no degree/no degree yet","16","","",""
"Yes","1984","Not Working","lower secondary degree","353","0.138977367097098","0.125741710238771","0.152213023955425"
"Yes","1984","Not Working","secondary school degree","76","0.120848909246883","0.0960191663054226","0.145678652188344"
"Yes","1984","Not Working","college entrance qualification","32","0.0752703563328393","0.0504205207975248","0.100120191868154"
"Yes","1984","Not Working","Other degree","49","0.149563714301847","0.110487983064497","0.188639445539197"
"Yes","1984","Not Working","no degree/no degree yet","65","0.0716036940980952","0.0505479174349657","0.0926594707612246"
"No","1984","Full Time","lower secondary degree","2326","0.899707791842182","0.888103245765617","0.911312337918748"
"No","1984","Full Time","secondary school degree","866","0.918291488503522","0.900845441812594","0.935737535194451"
"No","1984","Full Time","college entrance qualification","522","0.917095798476249","0.894419636762235","0.939771960190264"
"No","1984","Full Time","Other degree","835","0.87563703914831","0.854541445430831","0.896732632865789"
"No","1984","Full Time","no degree/no degree yet","521","0.876503832167023","0.850045740376058","0.902961923957989"
"No","1984","Part Time","lower secondary degree","793","0.862656001936892","0.840425874988812","0.884886128884972"
"No","1984","Part Time","secondary school degree","300","0.877854944359224","0.843251590386757","0.912458298331691"
"No","1984","Part Time","college entrance qualification","269","0.923661726036011","0.893152637119534","0.954170814952488"
"No","1984","Part Time","Other degree","164","0.863595295162155","0.814663967710773","0.912526622613536"
"No","1984","Part Time","no degree/no degree yet","117","0.913416499475107","0.865622401809613","0.961210597140601"
"No","1984","Not Working","lower secondary degree","2271","0.861022632902902","0.847786976044575","0.874258289761229"
"No","1984","Not Working","secondary school degree","586","0.879151090753117","0.854321347811656","0.903980833694577"
"No","1984","Not Working","college entrance qualification","401","0.924729643667161","0.899879808131846","0.949579479202475"
"No","1984","Not Working","Other degree","271","0.850436285698153","0.811360554460803","0.889512016935503"
"No","1984","Not Working","no degree/no degree yet","511","0.928396305901905","0.907340529238775","0.949452082565034"
"Yes","1985","Full Time","lower secondary degree","180","0.0788296006693565","0.0676577794394434","0.0900014218992696"
"Yes","1985","Full Time","secondary school degree","81","0.0914143206517212","0.0724589766722134","0.110369664631229"
"Yes","1985","Full Time","college entrance qualification","36","0.0632650353518839","0.043138446434476","0.0833916242692918"
"Yes","1985","Full Time","Other degree","86","0.10715829182208","0.0855890603452721","0.128727523298889"
"Yes","1985","Full Time","no degree/no degree yet","52","0.106687692944506","0.0781959747193178","0.135179411169694"
"Yes","1985","Part Time","lower secondary degree","117","0.117088203923225","0.0963568656961199","0.137819542150329"
"Yes","1985","Part Time","secondary school degree","43","0.116084678085444","0.0826213184388365","0.149548037732051"
"Yes","1985","Part Time","college entrance qualification","39","0.124753542803941","0.085840084309598","0.163667001298285"
"Yes","1985","Part Time","Other degree","24","","",""
"Yes","1985","Part Time","no degree/no degree yet","13","","",""
"Yes","1985","Not Working","lower secondary degree","337","0.148362539904048","0.133885881680708","0.162839198127388"
"Yes","1985","Not Working","secondary school degree","81","0.134560669048473","0.108163463141742","0.160957874955205"
"Yes","1985","Not Working","college entrance qualification","50","0.125683109007212","0.0929510841697618","0.158415133844662"
"Yes","1985","Not Working","Other degree","44","0.186524681609585","0.139801457402291","0.233247905816878"
"Yes","1985","Not Working","no degree/no degree yet","67","0.11535418515173","0.0883104242466328","0.142397946056828"
"No","1985","Full Time","lower secondary degree","2055","0.921170399330643","0.90999857810073","0.932342220560557"
