"ple0053","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","indirect migration background","higher vocational","4","","","","2"
"No","1984","indirect migration background","higher education","3","","","","2"
"No","1984","indirect migration background","general elemantary","52","0.995300064935661","0.976886702514793","1.01371342735653","2"
"No","1984","indirect migration background","inadequately","4","","","","2"
"No","1984","indirect migration background","in school","8","","","","2"
"No","1984","indirect migration background","middle vocational","49","0.981512036743598","0.9455831665507","1.0174409069365","2"
"No","1984","indirect migration background","vocational + Abi","1","","","","2"
"No","1984","no migration background","higher vocational","524","0.863246539785855","0.835822841637168","0.890670237934542","2"
"No","1984","no migration background","higher education","607","0.912206383188594","0.890697627217613","0.933715139159574","2"
"No","1984","no migration background","inadequately","69","0.890523227406694","0.820782520183902","0.960263934629485","2"
"No","1984","no migration background","general elemantary","2066","0.878730184926405","0.865500877457075","0.891959492395734","2"
"No","1984","no migration background","in school","151","0.959968139506932","0.929401278332441","0.990535000681424","2"
"No","1984","no migration background","middle vocational","4110","0.887577749166898","0.878479872570762","0.896675625763034","2"
"No","1984","no migration background","vocational + Abi","171","0.933797298843817","0.89787175584958","0.969722841838054","2"
"No","1984","direct migration background","in school","19","","","","2"
"No","1984","direct migration background","inadequately","807","0.869152040647601","0.847559206468039","0.890744874827163","2"
"No","1984","direct migration background","general elemantary","939","0.855153362318977","0.834055645856839","0.876251078781115","2"
"No","1984","direct migration background","middle vocational","924","0.89557378419509","0.876906797642364","0.914240770747816","2"
"No","1984","direct migration background","vocational + Abi","104","0.842888535780722","0.779347859913145","0.9064292116483","2"
"No","1984","direct migration background","higher vocational","42","0.830420381469553","0.727429487032296","0.933411275906809","2"
"No","1984","direct migration background","higher education","119","0.958330945389484","0.922871433314138","0.99379045746483","2"
"Yes","1984","no migration background","in school","7","","","","1"
"Yes","1984","no migration background","inadequately","8","","","","1"
"Yes","1984","no migration background","general elemantary","273","0.121269815073595","0.108040507604266","0.134499122542924","1"
"Yes","1984","no migration background","middle vocational","521","0.112422250833102","0.103324374236966","0.121520127429238","1"
"Yes","1984","no migration background","vocational + Abi","13","","","","1"
"Yes","1984","no migration background","higher vocational","79","0.136753460214145","0.109329762065458","0.164177158362832","1"
"Yes","1984","no migration background","higher education","58","0.0877936168114063","0.0662848608404261","0.109302372782386","1"
"Yes","1984","direct migration background","in school","2","","","","1"
"Yes","1984","direct migration background","inadequately","130","0.130847959352399","0.109255125172837","0.152440793531961","1"
"Yes","1984","direct migration background","general elemantary","130","0.144846637681023","0.123748921218885","0.165944354143161","1"
"Yes","1984","direct migration background","middle vocational","107","0.10442621580491","0.0857592292521837","0.123093202357636","1"
"Yes","1984","direct migration background","vocational + Abi","22","","","","1"
"Yes","1984","direct migration background","higher vocational","9","","","","1"
"Yes","1984","direct migration background","higher education","3","","","","1"
"Yes","1984","indirect migration background","in school","","","","","1"
"Yes","1984","indirect migration background","inadequately","","","","","1"
"Yes","1984","indirect migration background","general elemantary","1","","","","1"
"Yes","1984","indirect migration background","middle vocational","5","","","","1"
"Yes","1984","indirect migration background","vocational + Abi","","","","","1"
"Yes","1984","indirect migration background","higher vocational","","","","","1"
"Yes","1984","indirect migration background","higher education","","","","","1"
"No","1985","indirect migration background","general elemantary","50","0.80700966356266","0.707152410495603","0.906866916629717","2"
"No","1985","indirect migration background","inadequately","5","","","","2"
"No","1985","indirect migration background","in school","10","","","","2"
"No","1985","indirect migration background","higher vocational","4","","","","2"
"No","1985","indirect migration background","higher education","4","","","","2"
"No","1985","no migration background","higher vocational","494","0.873550560292048","0.846218246305624","0.900882874278472","2"
"No","1985","indirect migration background","middle vocational","52","0.901016547463646","0.823488589400482","0.978544505526809","2"
"No","1985","indirect migration background","vocational + Abi","","","","","2"
"No","1985","no migration background","higher education","578","0.896559662989658","0.873021250684248","0.920098075295067","2"
"No","1985","direct migration background","middle vocational","812","0.908179173300771","0.889416973206958","0.926941373394583","2"
"No","1985","no migration background","middle vocational","3740","0.885322112166109","0.875712009025989","0.894932215306228","2"
"No","1985","direct migration background","vocational + Abi","94","0.929268378603864","0.87999540100902","0.978541356198708","2"
"No","1985","direct migration background","higher vocational","42","0.885203706208531","0.795023127560835","0.975384284856227","2"
"No","1985","direct migration background","higher education","103","0.94412150227603","0.901198701390194","0.987044303161866","2"
"No","1985","no migration background","inadequately","68","0.837420604430501","0.758514060578742","0.91632714828226","2"
"No","1985","no migration background","general elemantary","1852","0.880055637686829","0.866116630207877","0.893994645165781","2"
"No","1985","no migration background","vocational + Abi","160","0.926726151990892","0.888227815312706","0.965224488669077","2"
"No","1985","no migration background","in school","142","0.922289173308989","0.880143154008112","0.964435192609866","2"
"No","1985","direct migration background","in school","21","","","","2"
"No","1985","direct migration background","inadequately","668","0.884214407867279","0.861451210853289","0.906977604881269","2"
"No","1985","direct migration background","general elemantary","799","0.869211354730472","0.847447774205913","0.890974935255031","2"
