"plh0206i01","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","Male","1","","","","1"
"1 Strongly disagree","2005","in school","Female","","","","","1"
"1 Strongly disagree","2005","inadequately","Male","","","","","1"
"1 Strongly disagree","2005","inadequately","Female","1","","","","1"
"1 Strongly disagree","2005","general elemantary","Male","2","","","","1"
"1 Strongly disagree","2005","general elemantary","Female","4","","","","1"
"1 Strongly disagree","2005","middle vocational","Male","10","","","","1"
"1 Strongly disagree","2005","middle vocational","Female","11","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Male","1","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Female","1","","","","1"
"1 Strongly disagree","2005","higher vocational","Male","1","","","","1"
"1 Strongly disagree","2005","higher vocational","Female","1","","","","1"
"1 Strongly disagree","2005","higher education","Male","1","","","","1"
"1 Strongly disagree","2005","higher education","Female","4","","","","1"
"2 on scale 1-7 ","2005","general elemantary","Female","10","","","","2"
"2 on scale 1-7 ","2005","middle vocational","Male","11","","","","2"
"2 on scale 1-7 ","2005","middle vocational","Female","6","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Male","3","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2005","higher education","Male","6","","","","2"
"2 on scale 1-7 ","2005","higher education","Female","6","","","","2"
"2 on scale 1-7 ","2005","in school","Male","","","","","2"
"2 on scale 1-7 ","2005","in school","Female","","","","","2"
"2 on scale 1-7 ","2005","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2005","inadequately","Female","1","","","","2"
"2 on scale 1-7 ","2005","general elemantary","Male","1","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","Female","","","","","2"
"3 on scale 1-7 ","2005","general elemantary","Male","10","","","","3"
"3 on scale 1-7 ","2005","general elemantary","Female","12","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Male","32","0.00675023087165802","0.00445499870249311","0.00904546304082293","3"
"3 on scale 1-7 ","2005","in school","Male","2","","","","3"
"3 on scale 1-7 ","2005","in school","Female","","","","","3"
"3 on scale 1-7 ","2005","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2005","inadequately","Female","6","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Female","30","0.00616760004859284","0.00407613515911221","0.00825906493807347","3"
"3 on scale 1-7 ","2005","vocational + Abi","Male","1","","","","3"
"3 on scale 1-7 ","2005","vocational + Abi","Female","4","","","","3"
"3 on scale 1-7 ","2005","higher vocational","Male","5","","","","3"
"3 on scale 1-7 ","2005","higher vocational","Female","7","","","","3"
"3 on scale 1-7 ","2005","higher education","Male","14","","","","3"
"3 on scale 1-7 ","2005","higher education","Female","12","","","","3"
"4 on scale 1-7","2005","middle vocational","Male","137","0.0286830409629766","0.0240042768005592","0.0333618051253941","4"
"4 on scale 1-7","2005","general elemantary","Female","72","0.0475285765592105","0.0371868940307085","0.0578702590877125","4"
"4 on scale 1-7","2005","higher education","Female","42","0.0256633823858694","0.0184693802095896","0.0328573845621493","4"
"4 on scale 1-7","2005","middle vocational","Female","130","0.0244271126848742","0.0203032724641108","0.0285509529056376","4"
"4 on scale 1-7","2005","vocational + Abi","Male","16","","","","4"
"4 on scale 1-7","2005","in school","Male","17","","","","4"
"4 on scale 1-7","2005","in school","Female","15","","","","4"
"4 on scale 1-7","2005","vocational + Abi","Female","19","","","","4"
"4 on scale 1-7","2005","higher vocational","Male","21","","","","4"
"4 on scale 1-7","2005","higher vocational","Female","16","","","","4"
"4 on scale 1-7","2005","higher education","Male","45","0.021547641410351","0.0156276942511467","0.0274675885695552","4"
"4 on scale 1-7","2005","inadequately","Male","6","","","","4"
"4 on scale 1-7","2005","inadequately","Female","9","","","","4"
"4 on scale 1-7","2005","general elemantary","Male","41","0.0544487277402322","0.0385354741396393","0.0703619813408251","4"
"5 on scale 1-7","2005","higher vocational","Male","55","0.056583422809453","0.0414297215728026","0.0717371240461035","5"
"5 on scale 1-7","2005","higher vocational","Female","43","0.0749918037634747","0.0549890095612066","0.0949945979657427","5"
"5 on scale 1-7","2005","higher education","Male","209","0.109875402150969","0.0971250036512628","0.122625800650675","5"
"5 on scale 1-7","2005","higher education","Female","116","0.0618236491459007","0.0508669770749394","0.0727803212168621","5"
"5 on scale 1-7","2005","in school","Male","54","0.155551136547149","0.115140832005885","0.195961441088413","5"
"5 on scale 1-7","2005","in school","Female","38","0.144682563221522","0.107179952591104","0.182185173851939","5"
"5 on scale 1-7","2005","inadequately","Male","8","","","","5"
"5 on scale 1-7","2005","inadequately","Female","14","","","","5"
"5 on scale 1-7","2005","general elemantary","Male","75","0.0777248735850144","0.058947587018427","0.0965021601516017","5"
"5 on scale 1-7","2005","general elemantary","Female","156","0.0958530839972772","0.0815440482617203","0.110162119732834","5"
"5 on scale 1-7","2005","middle vocational","Male","417","0.0873564153604043","0.0794416858480056","0.0952711448728031","5"
"5 on scale 1-7","2005","middle vocational","Female","366","0.0671698939667456","0.0604829988794271","0.0738567890540642","5"
"5 on scale 1-7","2005","vocational + Abi","Male","44","0.100105885484622","0.072884190577607","0.127327580391637","5"
"5 on scale 1-7","2005","vocational + Abi","Female","47","0.0707289842306925","0.0512729160112408","0.0901850524501442","5"
"6 on scale 1-7","2005","higher education","Male","714","0.273193711245998","0.255026310112373","0.291361112379624","6"
"6 on scale 1-7","2005","higher education","Female","456","0.230352077410869","0.211196236461529","0.24950791836021","6"
"6 on scale 1-7","2005","in school","Male","84","0.274868090244487","0.225089851966207","0.324646328522767","6"
"6 on scale 1-7","2005","in school","Female","90","0.233026867419278","0.187957359670141","0.278096375168415","6"
"6 on scale 1-7","2005","inadequately","Male","19","","","","6"
"6 on scale 1-7","2005","inadequately","Female","23","","","","6"
"6 on scale 1-7","2005","general elemantary","Male","201","0.233653062128184","0.203975991805798","0.26333013245057","6"
"6 on scale 1-7","2005","general elemantary","Female","358","0.202376427653569","0.182848022656579","0.221904832650558","6"
"6 on scale 1-7","2005","middle vocational","Male","1232","0.243510794948789","0.231479882976248","0.25554170692133","6"
"6 on scale 1-7","2005","middle vocational","Female","1231","0.212681450758821","0.201750046638199","0.223612854879442","6"
"6 on scale 1-7","2005","vocational + Abi","Male","137","0.275960560992365","0.23541957826689","0.316501543717841","6"
"6 on scale 1-7","2005","vocational + Abi","Female","149","0.212307276398207","0.181272685104327","0.243341867692088","6"
"6 on scale 1-7","2005","higher vocational","Male","234","0.279486304715554","0.250054035490259","0.308918573940848","6"
"6 on scale 1-7","2005","higher vocational","Female","165","0.208364822962486","0.17751975586966","0.239209890055313","6"
"7 Strongly agree","2005","higher vocational","Male","574","0.642940307892138","0.611515104185151","0.674365511599126","7"
"7 Strongly agree","2005","higher education","Female","1220","0.672705191120945","0.651357984524061","0.694052397717828","7"
"7 Strongly agree","2005","higher education","Male","1322","0.585738448897964","0.565655046123448","0.60582185167248","7"
"7 Strongly agree","2005","higher vocational","Female","434","0.679388166064048","0.643942777669492","0.714833554458603","7"
"7 Strongly agree","2005","general elemantary","Female","1014","0.632081565064324","0.608641967173796","0.655521162954852","7"
"7 Strongly agree","2005","middle vocational","Male","3050","0.62946139811144","0.615923870586397","0.642998925636484","7"
"7 Strongly agree","2005","middle vocational","Female","3609","0.685534958760173","0.673131668973427","0.697938248546919","7"
"7 Strongly agree","2005","vocational + Abi","Male","268","0.574721026784085","0.529882106181887","0.619559947386284","7"
"7 Strongly agree","2005","vocational + Abi","Female","447","0.674270424848406","0.638704768655799","0.709836081041013","7"
"7 Strongly agree","2005","in school","Male","151","0.495384345989652","0.439637493705647","0.551131198273657","7"
