"plh0206i01","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Full Time","5","","","","1"
"1 Strongly disagree","2005","16-34 y.","Part Time","1","","","","1"
"1 Strongly disagree","2005","16-34 y.","Not Working","3","","","","1"
"1 Strongly disagree","2005","35-65 y.","Full Time","9","","","","1"
"1 Strongly disagree","2005","35-65 y.","Part Time","7","","","","1"
"1 Strongly disagree","2005","35-65 y.","Not Working","4","","","","1"
"1 Strongly disagree","2005","66 and older","Full Time","","","","","1"
"1 Strongly disagree","2005","66 and older","Part Time","","","","","1"
"1 Strongly disagree","2005","66 and older","Not Working","9","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Working","7","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Full Time","3","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Working","4","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Full Time","19","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Part Time","3","","","","2"
"2 on scale 1-7 ","2005","66 and older","Full Time","","","","","2"
"2 on scale 1-7 ","2005","66 and older","Part Time","","","","","2"
"2 on scale 1-7 ","2005","66 and older","Not Working","9","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Part Time","","","","","2"
"3 on scale 1-7 ","2005","16-34 y.","Part Time","7","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Full Time","8","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Working","22","","","","3"
"3 on scale 1-7 ","2005","66 and older","Full Time","","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Working","15","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Full Time","42","0.00623907225603052","0.00422816792281576","0.00824997658924528","3"
"3 on scale 1-7 ","2005","35-65 y.","Part Time","13","","","","3"
"3 on scale 1-7 ","2005","66 and older","Part Time","2","","","","3"
"3 on scale 1-7 ","2005","66 and older","Not Working","32","0.00918453018135406","0.0060539747466184","0.0123150856160897","3"
"4 on scale 1-7","2005","16-34 y.","Part Time","50","0.0433678137951951","0.0334185393185162","0.053317088271874","4"
"4 on scale 1-7","2005","16-34 y.","Not Working","63","0.0452876774254098","0.0351465061884814","0.0554288486623382","4"
"4 on scale 1-7","2005","35-65 y.","Not Working","86","0.0296883650581812","0.0232851895021786","0.0360915406141837","4"
"4 on scale 1-7","2005","66 and older","Full Time","","","","","4"
"4 on scale 1-7","2005","66 and older","Part Time","5","","","","4"
"4 on scale 1-7","2005","35-65 y.","Part Time","78","0.024074855927519","0.0186071312660474","0.0295425805889906","4"
"4 on scale 1-7","2005","35-65 y.","Full Time","146","0.0272844646622757","0.0231240071789484","0.031444922145603","4"
"4 on scale 1-7","2005","66 and older","Not Working","124","0.0337578502771392","0.0278309595961692","0.0396847409581091","4"
"4 on scale 1-7","2005","16-34 y.","Full Time","50","0.0276874832160547","0.0206649540076409","0.0347100124244684","4"
"5 on scale 1-7","2005","35-65 y.","Full Time","428","0.0773507755293759","0.0705283140804406","0.0841732369783112","5"
"5 on scale 1-7","2005","35-65 y.","Not Working","223","0.0793487759985416","0.0691519658791419","0.0895455861179413","5"
"5 on scale 1-7","2005","66 and older","Full Time","3","","","","5"
"5 on scale 1-7","2005","16-34 y.","Part Time","129","0.081449864404819","0.068089085767096","0.0948106430425419","5"
"5 on scale 1-7","2005","16-34 y.","Not Working","188","0.104346794037951","0.0894370109508424","0.11925657712506","5"
"5 on scale 1-7","2005","35-65 y.","Part Time","190","0.0637846027615254","0.0550676969814651","0.0725015085415857","5"
"5 on scale 1-7","2005","66 and older","Part Time","13","","","","5"
"5 on scale 1-7","2005","66 and older","Not Working","321","0.0931000345295443","0.0835643659130326","0.102635703146056","5"
"5 on scale 1-7","2005","16-34 y.","Full Time","177","0.0888757484154738","0.0766962524891221","0.101055244341825","5"
"6 on scale 1-7","2005","66 and older","Full Time","12","","","","6"
"6 on scale 1-7","2005","66 and older","Part Time","45","0.177898460628999","0.123232373130736","0.232564548127261","6"
"6 on scale 1-7","2005","16-34 y.","Full Time","558","0.267482676520376","0.248537194649921","0.286428158390831","6"
"6 on scale 1-7","2005","16-34 y.","Part Time","422","0.225662618442413","0.205243824928032","0.246081411956795","6"
"6 on scale 1-7","2005","35-65 y.","Full Time","1550","0.239830901817565","0.228926593580924","0.250735210054205","6"
"6 on scale 1-7","2005","35-65 y.","Not Working","647","0.229001136276941","0.213148834315299","0.244853438238584","6"
"6 on scale 1-7","2005","66 and older","Not Working","789","0.20994421105131","0.196578952390683","0.223309469711937","6"
"6 on scale 1-7","2005","16-34 y.","Not Working","420","0.246661772548514","0.22563814012971","0.267685404967319","6"
"6 on scale 1-7","2005","35-65 y.","Part Time","719","0.22696859407884","0.21202696374624","0.241910224411441","6"
"7 Strongly agree","2005","35-65 y.","Not Working","1710","0.648458385146504","0.630445798801604","0.666470971491404","7"
"7 Strongly agree","2005","66 and older","Part Time","123","0.729366123834265","0.665857450683444","0.792874796985087","7"
"7 Strongly agree","2005","66 and older","Not Working","2283","0.648160262135951","0.63248877605407","0.663831748217832","7"
"7 Strongly agree","2005","66 and older","Full Time","23","","","","7"
