"plh0206i01","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","West Germany","13","","",""
"1 Strongly disagree","2005","Full Time","East Germany","1","","",""
"1 Strongly disagree","2005","Part Time","West Germany","6","","",""
"1 Strongly disagree","2005","Part Time","East Germany","2","","",""
"1 Strongly disagree","2005","Not Working","West Germany","13","","",""
"1 Strongly disagree","2005","Not Working","East Germany","3","","",""
"2 on scale 1-7 ","2005","Full Time","West Germany","16","","",""
"2 on scale 1-7 ","2005","Full Time","East Germany","6","","",""
"2 on scale 1-7 ","2005","Part Time","West Germany","2","","",""
"2 on scale 1-7 ","2005","Part Time","East Germany","1","","",""
"2 on scale 1-7 ","2005","Not Working","West Germany","14","","",""
"2 on scale 1-7 ","2005","Not Working","East Germany","6","","",""
"3 on scale 1-7 ","2005","Full Time","West Germany","40","0.00550556555379522","0.00364715530335657","0.00736397580423387"
"3 on scale 1-7 ","2005","Full Time","East Germany","10","","",""
"3 on scale 1-7 ","2005","Part Time","West Germany","21","","",""
"3 on scale 1-7 ","2005","Part Time","East Germany","1","","",""
"3 on scale 1-7 ","2005","Not Working","West Germany","52","0.00895700994301442","0.00652683534829426","0.0113871845377346"
"3 on scale 1-7 ","2005","Not Working","East Germany","17","","",""
"4 on scale 1-7","2005","Full Time","West Germany","156","0.0294549175523152","0.025208465671901","0.0337013694327293"
"4 on scale 1-7","2005","Full Time","East Germany","40","0.0167922849373963","0.0110671577051318","0.0225174121696607"
"4 on scale 1-7","2005","Part Time","West Germany","111","0.0342326997305936","0.0284576404733234","0.0400077589878638"
"4 on scale 1-7","2005","Part Time","East Germany","22","","",""
"4 on scale 1-7","2005","Not Working","West Germany","196","0.0339038644894661","0.0292357180061262","0.0385720109728059"
"4 on scale 1-7","2005","Not Working","East Germany","77","0.0364000941003779","0.0284033085287635","0.0443968796719924"
"5 on scale 1-7","2005","Full Time","West Germany","479","0.0831322402056186","0.0761983407891329","0.0900661396221042"
"5 on scale 1-7","2005","Full Time","East Germany","129","0.0691256187616192","0.057823167021453","0.0804280705017855"
"5 on scale 1-7","2005","Part Time","West Germany","262","0.0705639203428911","0.062429984635238","0.0786978560505442"
"5 on scale 1-7","2005","Part Time","East Germany","70","0.0655011224666067","0.0502354383648565","0.0807668065683569"
"5 on scale 1-7","2005","Not Working","West Germany","554","0.0949171064711836","0.087357031109435","0.102477181832932"
"5 on scale 1-7","2005","Not Working","East Germany","178","0.0746724004068059","0.0634485043169445","0.0858962964966674"
"6 on scale 1-7","2005","Full Time","West Germany","1600","0.247565406746897","0.236725668349193","0.258405145144602"
"6 on scale 1-7","2005","Full Time","East Germany","520","0.253188988379624","0.233814271292478","0.272563705466769"
