"plh0206i01","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","West Germany","1","","",""
"1 Strongly disagree","2005","(0) in school","East Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","West Germany","1","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","East Germany","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","West Germany","6","","",""
"1 Strongly disagree","2005","(1b) general elementary school","East Germany","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","West Germany","12","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","East Germany","2","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","West Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","West Germany","6","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","East Germany","2","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","West Germany","1","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","West Germany","2","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","West Germany","1","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","East Germany","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","West Germany","2","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","East Germany","2","","",""
"2 on scale 1-7 ","2005","(0) in school","West Germany","","","",""
"2 on scale 1-7 ","2005","(0) in school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","1","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","West Germany","8","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","East Germany","3","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","9","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","1","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","West Germany","3","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","East Germany","3","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","West Germany","2","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","West Germany","2","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","West Germany","3","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","East Germany","3","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","West Germany","3","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","East Germany","3","","",""
"3 on scale 1-7 ","2005","(0) in school","West Germany","1","","",""
"3 on scale 1-7 ","2005","(0) in school","East Germany","1","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","5","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","1","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","West Germany","15","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","East Germany","1","","",""
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","35","0.00691140977467493","0.0045263430172904","0.00929647653205946"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","9","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","4","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","2","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","West Germany","14","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","East Germany","6","","",""
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","West Germany","2","","",""
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","East Germany","1","","",""
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","West Germany","11","","",""
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"3 on scale 1-7 ","2005","(3a) lower tertiary education","West Germany","10","","",""
"3 on scale 1-7 ","2005","(3a) lower tertiary education","East Germany","4","","",""
"3 on scale 1-7 ","2005","(3b) higher tertiary education","West Germany","11","","",""
"3 on scale 1-7 ","2005","(3b) higher tertiary education","East Germany","1","","",""
"4 on scale 1-7","2005","(0) in school","West Germany","27","","",""
"4 on scale 1-7","2005","(0) in school","East Germany","5","","",""
"4 on scale 1-7","2005","(1a) inadequately completed","West Germany","11","","",""
"4 on scale 1-7","2005","(1a) inadequately completed","East Germany","2","","",""
"4 on scale 1-7","2005","(1b) general elementary school","West Germany","76","0.0442195792439565","0.034312019355319","0.054127139132594"
"4 on scale 1-7","2005","(1b) general elementary school","East Germany","15","","",""
"4 on scale 1-7","2005","(1c) basic vocational qualification","West Germany","145","0.0324205782418849","0.0273216733453803","0.0375194831383896"
"4 on scale 1-7","2005","(1c) basic vocational qualification","East Germany","34","0.0252437450815014","0.0159356540058011","0.0345518361572017"
"4 on scale 1-7","2005","(2b) intermediate general qualification","West Germany","20","","",""
"4 on scale 1-7","2005","(2b) intermediate general qualification","East Germany","4","","",""
"4 on scale 1-7","2005","(2a) intermediate vocational","West Germany","56","0.0188609896963578","0.0140715488507132","0.0236504305420023"
"4 on scale 1-7","2005","(2a) intermediate vocational","East Germany","41","0.0168903792888713","0.010775621600873","0.0230051369768695"
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","West Germany","17","","",""
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","East Germany","4","","",""
