"plh0206i01","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","11","","",""
"1 Strongly disagree","2005","Urban Area","Female","20","","",""
"1 Strongly disagree","2005","Rural Area","Male","5","","",""
"1 Strongly disagree","2005","Rural Area","Female","2","","",""
"2 on scale 1-7 ","2005","Urban Area","Male","14","","",""
"2 on scale 1-7 ","2005","Urban Area","Female","15","","",""
"2 on scale 1-7 ","2005","Rural Area","Male","8","","",""
"2 on scale 1-7 ","2005","Rural Area","Female","8","","",""
"3 on scale 1-7 ","2005","Urban Area","Male","45","0.00616463299775216","0.00427869087414822","0.00805057512135609"
"3 on scale 1-7 ","2005","Urban Area","Female","50","0.00620956846548213","0.00440232058327029","0.00801681634769397"
"3 on scale 1-7 ","2005","Rural Area","Male","22","","",""
"3 on scale 1-7 ","2005","Rural Area","Female","24","","",""
"4 on scale 1-7","2005","Urban Area","Male","191","0.0313072172457431","0.0271112432389287","0.0355031912525575"
"4 on scale 1-7","2005","Urban Area","Female","209","0.0336514224490928","0.0295027587788342","0.0378000861193513"
"4 on scale 1-7","2005","Rural Area","Male","102","0.0323660309548028","0.0263198042735336","0.0384122576360721"
"4 on scale 1-7","2005","Rural Area","Female","100","0.0235910326051543","0.0186033878474003","0.0285786773629084"
"5 on scale 1-7","2005","Urban Area","Male","591","0.0943159233455743","0.087273884762575","0.101357961928574"
"5 on scale 1-7","2005","Urban Area","Female","529","0.0769799917089948","0.0708475405680252","0.0831124428499645"
"5 on scale 1-7","2005","Rural Area","Male","288","0.0819302300432254","0.0725601331754315","0.0913003269110193"
"5 on scale 1-7","2005","Rural Area","Female","264","0.069098351982578","0.0607636149371076","0.0774330890280484"
"6 on scale 1-7","2005","Urban Area","Male","1782","0.258231570982102","0.247686333493959","0.268776808470244"
"6 on scale 1-7","2005","Urban Area","Female","1667","0.212088122788179","0.20268360338604","0.221492642190318"
"6 on scale 1-7","2005","Rural Area","Male","873","0.242323276908659","0.227683863028774","0.256962690788543"
"6 on scale 1-7","2005","Rural Area","Female","840","0.214488332466719","0.200999190826264","0.227977474107173"
"7 Strongly agree","2005","Urban Area","Male","3983","0.606473633302845","0.594702713416537","0.618244553189154"
"7 Strongly agree","2005","Urban Area","Female","4768","0.664733520278023","0.653872804062808","0.675594236493238"
"7 Strongly agree","2005","Rural Area","Male","1993","0.632465389829201","0.61599318805993","0.648937591598471"
"7 Strongly agree","2005","Rural Area","Female","2319","0.67980770365562","0.664475497902517","0.695139909408723"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
"4 on scale 1-7","2006","Urban Area","Female","","","",""
"4 on scale 1-7","2006","Rural Area","Male","","","",""
"4 on scale 1-7","2006","Rural Area","Female","","","",""
"5 on scale 1-7","2006","Urban Area","Male","","","",""
"5 on scale 1-7","2006","Urban Area","Female","","","",""
"5 on scale 1-7","2006","Rural Area","Male","","","",""
"5 on scale 1-7","2006","Rural Area","Female","","","",""
"6 on scale 1-7","2006","Urban Area","Male","","","",""
"6 on scale 1-7","2006","Urban Area","Female","","","",""
"6 on scale 1-7","2006","Rural Area","Male","","","",""
"6 on scale 1-7","2006","Rural Area","Female","","","",""
"7 Strongly agree","2006","Urban Area","Male","","","",""
"7 Strongly agree","2006","Urban Area","Female","","","",""
"7 Strongly agree","2006","Rural Area","Male","","","",""
"7 Strongly agree","2006","Rural Area","Female","","","",""
"1 Strongly disagree","2007","Urban Area","Male","","","",""
"1 Strongly disagree","2007","Urban Area","Female","","","",""
"1 Strongly disagree","2007","Rural Area","Male","","","",""
"1 Strongly disagree","2007","Rural Area","Female","","","",""
"2 on scale 1-7 ","2007","Urban Area","Male","","","",""
"2 on scale 1-7 ","2007","Urban Area","Female","","","",""
"2 on scale 1-7 ","2007","Rural Area","Male","","","",""
"2 on scale 1-7 ","2007","Rural Area","Female","","","",""
"3 on scale 1-7 ","2007","Urban Area","Male","","","",""
"3 on scale 1-7 ","2007","Urban Area","Female","","","",""
"3 on scale 1-7 ","2007","Rural Area","Male","","","",""
"3 on scale 1-7 ","2007","Rural Area","Female","","","",""
"4 on scale 1-7","2007","Urban Area","Male","","","",""
"4 on scale 1-7","2007","Urban Area","Female","","","",""
"4 on scale 1-7","2007","Rural Area","Male","","","",""
"4 on scale 1-7","2007","Rural Area","Female","","","",""
"5 on scale 1-7","2007","Urban Area","Male","","","",""
"5 on scale 1-7","2007","Urban Area","Female","","","",""
"5 on scale 1-7","2007","Rural Area","Male","","","",""
"5 on scale 1-7","2007","Rural Area","Female","","","",""
"6 on scale 1-7","2007","Urban Area","Male","","","",""
"6 on scale 1-7","2007","Urban Area","Female","","","",""
"6 on scale 1-7","2007","Rural Area","Male","","","",""
"6 on scale 1-7","2007","Rural Area","Female","","","",""
"7 Strongly agree","2007","Urban Area","Male","","","",""
"7 Strongly agree","2007","Urban Area","Female","","","",""
"7 Strongly agree","2007","Rural Area","Male","","","",""
"7 Strongly agree","2007","Rural Area","Female","","","",""
"1 Strongly disagree","2008","Urban Area","Male","","","",""
"1 Strongly disagree","2008","Urban Area","Female","","","",""
"1 Strongly disagree","2008","Rural Area","Male","","","",""
"1 Strongly disagree","2008","Rural Area","Female","","","",""
"2 on scale 1-7 ","2008","Urban Area","Male","","","",""
"2 on scale 1-7 ","2008","Urban Area","Female","","","",""
"2 on scale 1-7 ","2008","Rural Area","Male","","","",""
"2 on scale 1-7 ","2008","Rural Area","Female","","","",""
"3 on scale 1-7 ","2008","Urban Area","Male","","","",""
"3 on scale 1-7 ","2008","Urban Area","Female","","","",""
"3 on scale 1-7 ","2008","Rural Area","Male","","","",""
"3 on scale 1-7 ","2008","Rural Area","Female","","","",""
"4 on scale 1-7","2008","Urban Area","Male","","","",""
"4 on scale 1-7","2008","Urban Area","Female","","","",""
"4 on scale 1-7","2008","Rural Area","Male","","","",""
"4 on scale 1-7","2008","Rural Area","Female","","","",""
"5 on scale 1-7","2008","Urban Area","Male","","","",""
"5 on scale 1-7","2008","Urban Area","Female","","","",""
"5 on scale 1-7","2008","Rural Area","Male","","","",""
"5 on scale 1-7","2008","Rural Area","Female","","","",""
"6 on scale 1-7","2008","Urban Area","Male","","","",""
"6 on scale 1-7","2008","Urban Area","Female","","","",""
"6 on scale 1-7","2008","Rural Area","Male","","","",""
"6 on scale 1-7","2008","Rural Area","Female","","","",""
"7 Strongly agree","2008","Urban Area","Male","","","",""
"7 Strongly agree","2008","Urban Area","Female","","","",""
"7 Strongly agree","2008","Rural Area","Male","","","",""
"7 Strongly agree","2008","Rural Area","Female","","","",""
"1 Strongly disagree","2009","Urban Area","Male","","","",""
"1 Strongly disagree","2009","Urban Area","Female","","","",""
"1 Strongly disagree","2009","Rural Area","Male","","","",""
"1 Strongly disagree","2009","Rural Area","Female","","","",""
"2 on scale 1-7 ","2009","Urban Area","Male","","","",""
"2 on scale 1-7 ","2009","Urban Area","Female","","","",""
"2 on scale 1-7 ","2009","Rural Area","Male","","","",""
"2 on scale 1-7 ","2009","Rural Area","Female","","","",""
"3 on scale 1-7 ","2009","Urban Area","Male","","","",""
"3 on scale 1-7 ","2009","Urban Area","Female","","","",""
"3 on scale 1-7 ","2009","Rural Area","Male","","","",""
"3 on scale 1-7 ","2009","Rural Area","Female","","","",""
"4 on scale 1-7","2009","Urban Area","Male","","","",""
"4 on scale 1-7","2009","Urban Area","Female","","","",""
"4 on scale 1-7","2009","Rural Area","Male","","","",""
"4 on scale 1-7","2009","Rural Area","Female","","","",""
"5 on scale 1-7","2009","Urban Area","Male","","","",""
"5 on scale 1-7","2009","Urban Area","Female","","","",""
"5 on scale 1-7","2009","Rural Area","Male","","","",""
"5 on scale 1-7","2009","Rural Area","Female","","","",""
"6 on scale 1-7","2009","Urban Area","Male","","","",""
"6 on scale 1-7","2009","Urban Area","Female","","","",""
"6 on scale 1-7","2009","Rural Area","Male","","","",""
"6 on scale 1-7","2009","Rural Area","Female","","","",""
"7 Strongly agree","2009","Urban Area","Male","","","",""
"7 Strongly agree","2009","Urban Area","Female","","","",""
"7 Strongly agree","2009","Rural Area","Male","","","",""
"7 Strongly agree","2009","Rural Area","Female","","","",""
"1 Strongly disagree","2010","Urban Area","Male","10","","",""
"1 Strongly disagree","2010","Urban Area","Female","19","","",""
"1 Strongly disagree","2010","Rural Area","Male","5","","",""
"1 Strongly disagree","2010","Rural Area","Female","11","","",""
"2 on scale 1-7 ","2010","Urban Area","Male","13","","",""
"2 on scale 1-7 ","2010","Urban Area","Female","14","","",""
"2 on scale 1-7 ","2010","Rural Area","Male","14","","",""
"2 on scale 1-7 ","2010","Rural Area","Female","14","","",""
"3 on scale 1-7 ","2010","Urban Area","Male","35","0.00799572008584788","0.00557878568283702","0.0104126544888587"
"3 on scale 1-7 ","2010","Urban Area","Female","27","","",""
"3 on scale 1-7 ","2010","Rural Area","Male","20","","",""
"3 on scale 1-7 ","2010","Rural Area","Female","20","","",""
"4 on scale 1-7","2010","Urban Area","Male","132","0.027557068374705","0.0231145639552324","0.0319995727941775"
"4 on scale 1-7","2010","Urban Area","Female","151","0.0273614863320628","0.0231685448104068","0.0315544278537188"
"4 on scale 1-7","2010","Rural Area","Male","91","0.0362375695748406","0.0292286388369005","0.0432465003127806"
"4 on scale 1-7","2010","Rural Area","Female","89","0.0295480805260737","0.0234155452676503","0.035680615784497"
"5 on scale 1-7","2010","Urban Area","Male","487","0.10131003133533","0.0931214159783129","0.109498646692348"
"5 on scale 1-7","2010","Urban Area","Female","470","0.0825919756742334","0.075517024839615","0.0896669265088518"
"5 on scale 1-7","2010","Rural Area","Male","303","0.096898084117988","0.0858034440389583","0.107992724197018"
"5 on scale 1-7","2010","Rural Area","Female","274","0.0889690152760279","0.07865864242156","0.0992793881304959"
"6 on scale 1-7","2010","Urban Area","Male","1508","0.274946617697814","0.262829802566447","0.287063432829181"
"6 on scale 1-7","2010","Urban Area","Female","1532","0.25629974613742","0.245078365754225","0.267521126520614"
"6 on scale 1-7","2010","Rural Area","Male","751","0.273048047459188","0.256338694524557","0.289757400393819"
"6 on scale 1-7","2010","Rural Area","Female","775","0.258531872240121","0.242675943163232","0.27438780131701"
"7 Strongly agree","2010","Urban Area","Male","3031","0.583166185633229","0.569786160233859","0.596546211032598"
