"plh0206i01","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","in school","","","",""
"1 Strongly disagree","2005","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2005","16-34 y.","general elemantary","","","",""
"1 Strongly disagree","2005","16-34 y.","middle vocational","","","",""
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","","","",""
"1 Strongly disagree","2005","16-34 y.","higher vocational","","","",""
"1 Strongly disagree","2005","16-34 y.","higher education","","","",""
"1 Strongly disagree","2005","35-65 y.","in school","","","",""
"1 Strongly disagree","2005","35-65 y.","inadequately","","","",""
"1 Strongly disagree","2005","35-65 y.","general elemantary","","","",""
"1 Strongly disagree","2005","35-65 y.","middle vocational","","","",""
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","","","",""
"1 Strongly disagree","2005","35-65 y.","higher vocational","","","",""
"1 Strongly disagree","2005","35-65 y.","higher education","","","",""
"1 Strongly disagree","2005","66 and older","in school","","","",""
"1 Strongly disagree","2005","66 and older","inadequately","","","",""
"1 Strongly disagree","2005","66 and older","general elemantary","","","",""
"1 Strongly disagree","2005","66 and older","middle vocational","","","",""
"1 Strongly disagree","2005","66 and older","vocational + Abi","","","",""
"1 Strongly disagree","2005","66 and older","higher vocational","","","",""
"1 Strongly disagree","2005","66 and older","higher education","","","",""
"2 on scale 1-7 ","2005","16-34 y.","in school","","","",""
"2 on scale 1-7 ","2005","16-34 y.","inadequately","","","",""
"2 on scale 1-7 ","2005","16-34 y.","general elemantary","","","",""
"2 on scale 1-7 ","2005","16-34 y.","middle vocational","","","",""
"2 on scale 1-7 ","2005","16-34 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher vocational","","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher education","","","",""
"2 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2005","35-65 y.","inadequately","","","",""
"2 on scale 1-7 ","2005","35-65 y.","general elemantary","","","",""
"2 on scale 1-7 ","2005","35-65 y.","middle vocational","","","",""
"2 on scale 1-7 ","2005","35-65 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher vocational","","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher education","","","",""
"2 on scale 1-7 ","2005","66 and older","in school","","","",""
"2 on scale 1-7 ","2005","66 and older","inadequately","","","",""
"2 on scale 1-7 ","2005","66 and older","general elemantary","","","",""
"2 on scale 1-7 ","2005","66 and older","middle vocational","","","",""
"2 on scale 1-7 ","2005","66 and older","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","66 and older","higher vocational","","","",""
"2 on scale 1-7 ","2005","66 and older","higher education","","","",""
"3 on scale 1-7 ","2005","16-34 y.","in school","","","",""
"3 on scale 1-7 ","2005","16-34 y.","inadequately","","","",""
"3 on scale 1-7 ","2005","16-34 y.","general elemantary","","","",""
"3 on scale 1-7 ","2005","16-34 y.","middle vocational","","","",""
"3 on scale 1-7 ","2005","16-34 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher vocational","","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher education","","","",""
"3 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"3 on scale 1-7 ","2005","35-65 y.","inadequately","","","",""
"3 on scale 1-7 ","2005","35-65 y.","general elemantary","","","",""
"3 on scale 1-7 ","2005","35-65 y.","middle vocational","34","0.00715824196510133","0.00501887112656284","0.00929761280363982"
"3 on scale 1-7 ","2005","35-65 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","35-65 y.","higher vocational","","","",""
"3 on scale 1-7 ","2005","35-65 y.","higher education","","","",""
"3 on scale 1-7 ","2005","66 and older","in school","","","",""
"3 on scale 1-7 ","2005","66 and older","inadequately","","","",""
"3 on scale 1-7 ","2005","66 and older","general elemantary","","","",""
"3 on scale 1-7 ","2005","66 and older","middle vocational","","","",""
"3 on scale 1-7 ","2005","66 and older","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","66 and older","higher vocational","","","",""
"3 on scale 1-7 ","2005","66 and older","higher education","","","",""
"4 on scale 1-7","2005","16-34 y.","in school","32","0.0548885221390096","0.037338476982526","0.0724385672954933"
"4 on scale 1-7","2005","16-34 y.","inadequately","","","",""
"4 on scale 1-7","2005","16-34 y.","general elemantary","43","0.0681648124152937","0.0510806131887208","0.0852490116418666"
"4 on scale 1-7","2005","16-34 y.","middle vocational","58","0.029067858822528","0.022258177354148","0.035877540290908"
"4 on scale 1-7","2005","16-34 y.","vocational + Abi","","","",""
"4 on scale 1-7","2005","16-34 y.","higher vocational","","","",""
"4 on scale 1-7","2005","16-34 y.","higher education","","","",""
"4 on scale 1-7","2005","35-65 y.","in school","","","",""
"4 on scale 1-7","2005","35-65 y.","inadequately","","","",""
"4 on scale 1-7","2005","35-65 y.","general elemantary","38","0.0360719809682721","0.0233478416533713","0.0487961202831728"
"4 on scale 1-7","2005","35-65 y.","middle vocational","144","0.025606123237326","0.0215976216884175","0.0296146247862345"
"4 on scale 1-7","2005","35-65 y.","vocational + Abi","","","",""
"4 on scale 1-7","2005","35-65 y.","higher vocational","","","",""
"4 on scale 1-7","2005","35-65 y.","higher education","71","0.0269478913035194","0.0211349284789528","0.0327608541280859"
"4 on scale 1-7","2005","66 and older","in school","","","",""
"4 on scale 1-7","2005","66 and older","inadequately","","","",""
"4 on scale 1-7","2005","66 and older","general elemantary","32","0.0449726377160368","0.0301009326219721","0.0598443428101016"
"4 on scale 1-7","2005","66 and older","middle vocational","65","0.0263409394994962","0.019267277270944","0.0334146017280484"
"4 on scale 1-7","2005","66 and older","vocational + Abi","","","",""
"4 on scale 1-7","2005","66 and older","higher vocational","","","",""
"4 on scale 1-7","2005","66 and older","higher education","","","",""
"5 on scale 1-7","2005","16-34 y.","in school","92","0.149992254573199","0.122479009995557","0.177505499150841"
"5 on scale 1-7","2005","16-34 y.","inadequately","","","",""
"5 on scale 1-7","2005","16-34 y.","general elemantary","83","0.0870792123495751","0.067966657424097","0.106191767275053"
"5 on scale 1-7","2005","16-34 y.","middle vocational","187","0.0775529269285858","0.0667112699409744","0.0883945839161972"
"5 on scale 1-7","2005","16-34 y.","vocational + Abi","42","0.0799989318961847","0.0545922882726163","0.105405575519753"
"5 on scale 1-7","2005","16-34 y.","higher vocational","","","",""
"5 on scale 1-7","2005","16-34 y.","higher education","45","0.110607871962327","0.0837016637567151","0.137514080167938"
"5 on scale 1-7","2005","35-65 y.","in school","","","",""
"5 on scale 1-7","2005","35-65 y.","inadequately","","","",""
"5 on scale 1-7","2005","35-65 y.","general elemantary","72","0.0892431306774162","0.0697890934298133","0.108697167925019"
"5 on scale 1-7","2005","35-65 y.","middle vocational","418","0.0684496084019536","0.0620414752479853","0.0748577415559218"
"5 on scale 1-7","2005","35-65 y.","vocational + Abi","41","0.0940296953234752","0.0705580051189372","0.117501385528013"
"5 on scale 1-7","2005","35-65 y.","higher vocational","69","0.0611797798763326","0.0470041588762523","0.0753554008764129"
"5 on scale 1-7","2005","35-65 y.","higher education","228","0.085984693425074","0.0759210692220055","0.0960483176281425"
"5 on scale 1-7","2005","66 and older","in school","","","",""
"5 on scale 1-7","2005","66 and older","inadequately","","","",""
"5 on scale 1-7","2005","66 and older","general elemantary","76","0.0934862966209749","0.0725962291820156","0.114376364059934"
"5 on scale 1-7","2005","66 and older","middle vocational","178","0.0984314902496098","0.0852734372854165","0.111589543213803"
"5 on scale 1-7","2005","66 and older","vocational + Abi","","","",""
"5 on scale 1-7","2005","66 and older","higher vocational","","","",""
"5 on scale 1-7","2005","66 and older","higher education","52","0.0809323897596635","0.0601880811848435","0.101676698334484"
"6 on scale 1-7","2005","16-34 y.","in school","174","0.253467818804754","0.219949545997352","0.286986091612156"
"6 on scale 1-7","2005","16-34 y.","inadequately","","","",""
"6 on scale 1-7","2005","16-34 y.","general elemantary","206","0.203228376002282","0.175950907994436","0.230505844010128"
"6 on scale 1-7","2005","16-34 y.","middle vocational","626","0.260556575234343","0.242764388336961","0.278348762131725"
"6 on scale 1-7","2005","16-34 y.","vocational + Abi","106","0.260161607520319","0.219074925432081","0.301248289608557"
"6 on scale 1-7","2005","16-34 y.","higher vocational","51","0.241681085988029","0.18322068944863","0.300141482527427"
"6 on scale 1-7","2005","16-34 y.","higher education","165","0.290536289167416","0.251588920168533","0.329483658166299"
"6 on scale 1-7","2005","35-65 y.","in school","","","",""
"6 on scale 1-7","2005","35-65 y.","inadequately","","","",""
"6 on scale 1-7","2005","35-65 y.","general elemantary","194","0.236488960526228","0.207493219425104","0.265484701627353"
"6 on scale 1-7","2005","35-65 y.","middle vocational","1414","0.223361821185133","0.21279226610887","0.233931376261395"
"6 on scale 1-7","2005","35-65 y.","vocational + Abi","150","0.231286480684122","0.197377693864784","0.26519526750346"
"6 on scale 1-7","2005","35-65 y.","higher vocational","292","0.257893285437284","0.232017108092188","0.283769462782379"
"6 on scale 1-7","2005","35-65 y.","higher education","839","0.253353564495961","0.237740501554648","0.268966627437274"
"6 on scale 1-7","2005","66 and older","in school","","","",""
"6 on scale 1-7","2005","66 and older","inadequately","","","",""
"6 on scale 1-7","2005","66 and older","general elemantary","159","0.198985379002102","0.170336378022232","0.227634379981973"
"6 on scale 1-7","2005","66 and older","middle vocational","423","0.207344123269212","0.189437510577054","0.225250735961371"
"6 on scale 1-7","2005","66 and older","vocational + Abi","30","0.212863454840871","0.133426315416437","0.292300594265305"
"6 on scale 1-7","2005","66 and older","higher vocational","56","0.233221882629473","0.181318279872799","0.285125485386148"
"6 on scale 1-7","2005","66 and older","higher education","166","0.228501922276915","0.196566224884682","0.260437619669148"
"7 Strongly agree","2005","16-34 y.","in school","346","0.54003754384127","0.501634193028793","0.578440894653746"
"7 Strongly agree","2005","16-34 y.","inadequately","38","0.608301910461063","0.483747989961705","0.732855830960421"
"7 Strongly agree","2005","16-34 y.","general elemantary","494","0.629635730986504","0.596901346752953","0.662370115220055"
"7 Strongly agree","2005","16-34 y.","middle vocational","1449","0.626998775564308","0.607396146917669","0.646601404210947"
"7 Strongly agree","2005","16-34 y.","vocational + Abi","279","0.625268496018681","0.579936544822591","0.670600447214771"
"7 Strongly agree","2005","16-34 y.","higher vocational","143","0.701043255076968","0.638527271768957","0.763559238384979"
"7 Strongly agree","2005","16-34 y.","higher education","306","0.588015191684134","0.54579232522106","0.630238058147209"
"7 Strongly agree","2005","35-65 y.","in school","","","",""
"7 Strongly agree","2005","35-65 y.","inadequately","77","0.6197431004086","0.535314297376706","0.704171903440493"
"7 Strongly agree","2005","35-65 y.","general elemantary","508","0.619895201876389","0.586772029092324","0.653018374660453"
"7 Strongly agree","2005","35-65 y.","middle vocational","3929","0.670229819248159","0.658299270180057","0.682160368316261"
"7 Strongly agree","2005","35-65 y.","vocational + Abi","379","0.637140243338637","0.598473126602216","0.675807360075058"
"7 Strongly agree","2005","35-65 y.","higher vocational","699","0.654991543942873","0.626873854014158","0.683109233871587"
"7 Strongly agree","2005","35-65 y.","higher education","1811","0.62285907893406","0.605460497857019","0.640257660011102"
"7 Strongly agree","2005","66 and older","in school","","","",""
"7 Strongly agree","2005","66 and older","inadequately","34","0.732489268737295","0.609792160753671","0.85518637672092"
"7 Strongly agree","2005","66 and older","general elemantary","463","0.634352811345593","0.599792692198156","0.668912930493029"
"7 Strongly agree","2005","66 and older","middle vocational","1281","0.65722112771117","0.6362564585198","0.67818579690254"
"7 Strongly agree","2005","66 and older","vocational + Abi","57","0.62347856628456","0.52945134086322","0.7175057917059"
"7 Strongly agree","2005","66 and older","higher vocational","166","0.641215748652861","0.582345377101174","0.700086120204548"
"7 Strongly agree","2005","66 and older","higher education","425","0.655543583563671","0.619399936206141","0.691687230921201"
"1 Strongly disagree","2006","16-34 y.","in school","","","",""
"1 Strongly disagree","2006","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2006","16-34 y.","general elemantary","","","",""
"1 Strongly disagree","2006","16-34 y.","middle vocational","","","",""
"1 Strongly disagree","2006","16-34 y.","vocational + Abi","","","",""
"1 Strongly disagree","2006","16-34 y.","higher vocational","","","",""
"1 Strongly disagree","2006","16-34 y.","higher education","","","",""
"1 Strongly disagree","2006","35-65 y.","in school","","","",""
"1 Strongly disagree","2006","35-65 y.","inadequately","","","",""
"1 Strongly disagree","2006","35-65 y.","general elemantary","","","",""
"1 Strongly disagree","2006","35-65 y.","middle vocational","","","",""
"1 Strongly disagree","2006","35-65 y.","vocational + Abi","","","",""
"1 Strongly disagree","2006","35-65 y.","higher vocational","","","",""
"1 Strongly disagree","2006","35-65 y.","higher education","","","",""
